id,author,work_title,title,section,text,word_count,language
1,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,1,Den geliebtesten und geehrtesten Mitdienern der katholischen Kirche aller Orten wünscht Alexander Freude in dem Herrn.,16,deutsch
2,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,2,"Da die katholische Kirche nur Ein Leib ist, und da in den göttlichen Schriften befohlen wird, das Band der Eintracht und des Friedens zu erhalten; so folgt, daß wireinander dasjenige, was von einem Jeden geschieht, schreiben und kund thun, damit, wenn ein Glied entweder leidet oder sich freuet, wir Alle miteinander entweder leiden, oder uns freuen.",56,deutsch
3,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,3,"In unserer Diöcese sind jetzt gottlose Männer aufgetreten und Feinde Christi, welche den Abfall lehren, den man mit Recht für den Vorläufer des Antichristus ansehen, und so nennen kann. Ich wünschte zwar so etwas dem Stillschweigen zu übergeben, damit das Uebel vielleicht nur in den Häuptern der Ketzerei vertilgt würde, und etwas solches nicht in andere Orte dringen, und die Ohren einiger Unvorsichtigen beflecken möchte.",65,deutsch
4,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,4,"Allein da Eusebius, jetzt Bischof von Nikomedien, in dem Wahne, daß alle Angelegenheiten der Kirche auf ihm beruhen, weil nämlich, nachdem er Berytus verlassen, und aus Ehrgeiz in die Kirche von Nikomedien sich eingedrängt hat, deßwegen nicht zur Strafe gezogen worden ist; da er, sage ich, den Schutz jener Abtrünnigen übernommen, und überall hin Empfehlungsschreiben für dieselben zu schicken sich unterfangen hat, um einige Unwissende in diese höchst schändliche und Christo widerstrebende Ketzerei zu ziehen: so ward ich gezwungen, weil ich wußte, was in dem Gesetze geschrieben steht, die Sache nicht ferner mit Stillschweigen zu übergehen, sondern euch Allen kund zu machen, auf daß ihr sowohl die, welche abtrünnig geworden sind, als auch die unheilvollen Worte ihrer Ketzerei kennet, und, wenn etwa Eusebius schreiben sollte, nicht darauf achtet.",128,deutsch
5,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,5,"Denn da er seine alte schlechte Gesinnung, die er eine Zeit lang verschwieg, jetzt mit Hülfe jener Menschen erneuern will; so nimmt er zwar den Schein an, daß er wegen jener schreibe, beweiset aber in der That, daß er dieses seinetwegen zu thun sich beeifere.",45,deutsch
6,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,1,"Die also, welche abtrünnig wurden, sind: Arius, Achilles, Aithales, Karpones, ein zweiter Arius, und Sarmates, welche alle einst Priester waren; fernerEuzoius, Lucius, Julius, Menas, Helladius, und Gajus, weiland Diakone, und mit ihnen Secundus und Theonas, einst Titularbischöfe. Was sie aber den heiligen Schriften zuwiderlaufendes ersonnen haben und schwätzen, ist Folgendes.Nicht immer war Gott Vater, sondern es gab eine Zeit, wo Gott nicht Vater war.",64,deutsch
7,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,2,"Nicht immer war Gottes Wort, sondern er ist aus Nichts entstanden; denn der seyende Gott hat das nichtseyende Wort aus Nichtseyendem gemacht; und deßhalb gab es auch eine Zeit, in der es nicht war. Denn der Sohn ist etwas Geschaffenes und Gemachtes, und der Wesenheit nach dem Vater nicht gleich; auch ist er nicht das wirkliche und natürliche Wort des Vaters, noch dessen wirkliche Weisheit, sondern Eines aus den geschaffenen und entstandenen Dingen, und wird im uneigentlichen Sinne Wort und Weisheit genannt, da er selbst durch das eigene Wort Gottes gemacht ist, und durch die Weisheit in Gott, durch welche Gott sowohl Alles Uebrige, als ihn selbst gemacht hat.",109,deutsch
8,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,3,"Demnach ist er von Natur veränderlich und wandelbar, so wie alle vernünftigen Wesen. Das Wort ist der Wesenheit Gottes fremd, und von derselben verschieden und abgesondert. Auch kann der Vater von dem Sohne nicht ausgesprochen werden; denn das Wort kennt den Vater nicht vollkommen und nicht genau, und kann ihn nicht vollkommen schauen.",53,deutsch
9,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,4,"Denn nicht einmal seine eigene Wesenheit kennt der Sohn, wie sie ist; denn unsertwegen ist er gemacht worden, damit uns Gott durch denselben wie durch ein Werkzeug erschaffen könnte; und er wäre nicht entstanden, hätte nicht Gott uns erschaffen wollen. Es fragte sie daher Jemand, ob das Wort Gottes eben so verändert werden könne, wie der Teufel verändert worden sey; und sie scheuten sich nicht zu sagen: Ja; denn es ist, weil es entstanden und erschaffen ist, veränderlicher Natur.",79,deutsch
10,Alexander von Alexandrien,Umlaufschreiben,Umlaufschreiben,1,"Weil die Arianer dieses sagten, und auf dieser unverschämten Behauptung beharrten, belegten wir sie und ihre Anhänger in einer Versammlung der Bischöfe von Aegypten und Libyen, welche gegen hundert an der Zahl waren, mit dem Bannfluche. Eusebius und seine Freunde aber nahmen sie auf und bemühten sich, die Lüge mit der Wahrheit, und die Gottlosigkeit mit der Gottesverehrung zu vermischen.",60,deutsch
