id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Der Tod ein Gut,"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",1,". Nachdem ich bereits über die Seele gesprochen habe, scheint es mir, daß ich unschwer daran Einiges anknüpfe, um den Nachweis zu führen, daß der Tod ein wahres Gut sei. Alles nämlich, was der Seele schadet, kann als ein Übel betrachtet werden; was ihr aber in keiner Weise nachtheilig ist, kann auch nicht als ein Übel gelten.",57,deutsch
2,Ambrosius von Mailand,Der Tod ein Gut,"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",2,"Wir können weiter schließen: Alles, was kein Übel ist, ist gut. Was aber fehlerhaft und verderblich ist, dürfen wir ein Übel nennen, während Dasjenige, was frei von verderblichen Fehlern ist, als Gut bezeichnet wird. Gut und Übel sind also einander entgegengesetzt und schließen sich gegenseitig aus.",46,deutsch
3,Ambrosius von Mailand,Der Tod ein Gut,"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",3,"In ähnlicher Weise reden wir von Schuldlosigkeit, wo der Wille, zu schaden, nicht vorhanden ist. Wer aber jener Schuldlosigkeit sich nicht bewußt ist, Den nennen wir schuldig. Barmherzig ist Derjenige, der gerne verzeiht; unbarmherzig dagegen, wer zum Verzeihen und Nachgeben nicht zu bestimmen ist.",44,deutsch
4,Ambrosius von Mailand,Der Tod ein Gut,"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",4,"2. Vielleicht wird mir der Einwand gemacht: Kann es denn einen schärferen Gegensatz geben als Leben undTod? Wenn nun das Leben ein Gut ist, wie wäre der Tod kein Übel? Wir brauchen aber nur näher festzustellen, was Leben und Tod eigentlich ist, um jenen Einwurf zu beseitigen.",47,deutsch
5,Ambrosius von Mailand,Der Tod ein Gut,"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",5,"Leben heißt äusserlich genommen: athmen; denn mit dem letzten Athemzuge tritt der Tod ein. Man wird nun freilich geneigt sein, diesen Lebensodem als ein Gut zu betrachten und dann so zu schließen: Leben ist der Genuß, Sterben ist der Verlust eines hohen Gutes.",43,deutsch
6,Ambrosius von Mailand,Der Tod ein Gut,"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",6,"So sagt ja auch die Schrift: „Siehe, ich habe euch vorgelegt Leben und Tod, Gutes und Böses. 1Da wird das Leben als ein Gut, der Tod als Übel bezeichnet, und Beides wird zur Wahl gestellt. Im Anschlusse an die heutige Lesung wird auch vielleicht daran erinnert, daß der erste Mensch im Paradiese von allen Bäumen des Gartens, auch vom Baume des Lebens essen sollte; von dem Baume der Erkenntniß des Guten und Bösen aber sollte er nicht essen: an dem Tage, an welchem er davon aß, sollte er des Todes sterben.",91,deutsch
7,Ambrosius von Mailand,Der Tod ein Gut,"1. Wie sollte der Tod kein Übel sein, da er das Leben beendigt?",7,"Der Mensch mißachtete das göttliche Gebot; die Vergeltung blieb ihm nicht aus: aus dem Paradiese verstoßen, mußte er den Tod kosten. So ist denn der Tod ein Übel, weil er die Vollstreckung des Verwerfungurtheils ist.",35,deutsch
8,Ambrosius von Mailand,Der Tod ein Gut,"2. Gleichwohl ist der Tod in unserem Sinne eine Wohlthat, weil er uns von zahllosem Elende befreit.",1,"3. Wir können einen dreifachen Tod unterscheiden. Zunächst schließt die Sünde ein Sterben ein. „Die Seele, welche sündigt, sagt der Prophet,1„die stirbt. Wir reden aber auch von einem mystischen Tode bei Demjenigen, welcher der Sünde abstirbt und sein Leben in Gott beginnt.",42,deutsch
9,Ambrosius von Mailand,Der Tod ein Gut,"2. Gleichwohl ist der Tod in unserem Sinne eine Wohlthat, weil er uns von zahllosem Elende befreit.",2,"Darauf geht das Wort des Apostels: „Wir sind mit ihm durch die Taufe zum Tode begraben. Sonst aberist der Tod die Scheidung von Seele und Leib, welche den Lauf dieses Lebens abschließt. Unzweifelhaft ist jener Tod, der in der Sünde erfolgt, ein Übel, wie der andere Tod, in welchem man von tödlicher Sündenschuld wieder gerechtfertigt wird, ein unbeschreiblich hohes Gut ist.",61,deutsch
10,Ambrosius von Mailand,Der Tod ein Gut,"2. Gleichwohl ist der Tod in unserem Sinne eine Wohlthat, weil er uns von zahllosem Elende befreit.",3,"Der Tod im dritten Sinne des Wortes endlich liegt zwischen gut und böse: er erscheint den Gerechten als ein Gut, während er den Meisten Furcht einflößt; er befreit zwar Alle, aber doch erfreut er nur Wenige. Was aber den Tod schwer macht, liegt nicht im Sterben selbst, sondern in unserer Gebrechlichkeit: wir lassen uns von körperlichem Wohlbehagen und von unserer Lebenslust derart gefangen nehmen, daß wir erschrecken, wenn es sich um den Abschluß eines Lebenslaufes handelt, der doch im Grunde reicher an Bitterkeit als an Freude ist.",87,deutsch
