id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,1,"Wiederholt haben wir ausgeführt, daß man die Welt fliehen müsse: wollte Gott, daß die Herzensmeinung dabei ebenso voll Ernst und Besorgniß wäre, wie die Rede leichthin fließt. Gar schlimm ist es eben, daß nur zu oft die Lockungen der Lust in das Herz Eingang finden, daß die Ergießung der Eitelkeiten den Geist gefangen nimmt, so zwar, daß man im Geiste daran denkt, Das erwägt, was man zu meiden entschlossen ist.",70,deutsch
2,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,2,"So ist es für den Menschen überaus schwer, Das zu meiden, dessen er sich niemals ganz entäussern kann. Man wünscht Das wohl, aber der Erfolg belehrt uns, wie unfruchtbar dieser Wunsch ist. So betet ja auch der Psalmist: „Neige mein Herz zu deinen Zeugnissen und nicht zum Geize! 1Wir haben eben unser Herz nicht ganz in unserer Gewalt.",58,deutsch
3,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,3,"Unsere Gedanken, die unversehens in dieSeele einströmen, den Geist überschütten und uns nach einer ganz anderen Richtung ziehen, als wir selbst ursprünglich wollten: diese Gedanken rufen uns zu irdischem, weltlichem Begehren, werfen Lüsternheit und Begierlichkeit in unsere Seele hinein; ja selbst in den Augenblicken, wo wir unser Herz im Gebete zu Gott erheben wollen, werden wir oft genug zur Erde wieder herabgezogen.",62,deutsch
4,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,4,"2. Wer ist so sehr der Seligkeit schon hier theilhaftig, daß sein Herz allezeit emporgerichtet wäre und bliebe? Und vor Allem, wer vermöchte Das ohne die göttliche Hilfe? Gewiß Niemand. Sagt ja auch die Schrift: „Selig der Mann, der seine Hilfe von dir hat.",44,deutsch
5,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,5,"Aufgänge zur Höhe sind in seinem Herzen. 2Ja vollkommen selig ist Derjenige, den keine Lust zurückruft, den keine Begierde beugt, der auf das Niedere gar nicht mehr zurückblickt: diesem Verlangen unterlag freilich selbst Lots Weib. Und durch dieses Beispiel gemahnt vergißt der Apostel das Vergangene, was hinter ihm liegt, und strebt nur Dem zu, was vor ihm ist: so aber eilt er dem Kampfziele entgegen und erreicht dasselbe.",68,deutsch
6,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,6,"Er sieht Christus vor sich, von dem er zur Krone der Gerechtigkeit gerufen wird. Aber er erreicht diese Krone nur, weil er sich selbst verleugnete, um Christus zu gewinnen. Er lebte sich ja auch nicht mehr selbst, sondern Christus lebte in ihm.",42,deutsch
7,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,7,"3. Wer kann aber bei so vielen Leidenschaften, denen wir im Leibesleben unterworfen sind, bei so vielen Versuchungen, welche diese Welt bietet: wer kann da den Wegzum Leben sicher und ohne Wanken inne halten? Da blickt das Auge zurück, und sogleich zieht es das Fühlen der Seele nach; es hört das Ohr und lenkt die Aufmerksamkeit ab; der Geruch wird eingesogen, und die Gedanken sind sofort gehindert; es kostet der Mund und die Sünde bleibt haften; das Gefühl wird angeregt, und sogleich ist das Feuer entzündet. „Der Tod tritt ein durch das Fenster, sagt der Prophet; das Fenster aber ist dein Auge.",102,deutsch
8,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,8,"Wenn du ein Weib ansiehst, ihrer zu begehren, so hat der Tod Eingang bei dir gefunden; wenn du buhlerischen Worten lauschest, wenn dein Gefühl von der Lust ergriffen wird: so hat der Tod bei dir Eingang gefunden. Wer also hinansteigen will zur Wohnung Gottes, der darf nicht den Freuden und Lüsten dieser Welt folgen; er muß entschlossen sein, auch Schmerz- und Leidvolles hinzunehmen.",63,deutsch
9,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,9,"Besser ist es ja, in das Haus der Trauer als in das Haus sinnlicher Freude einzutreten. Hätte Adam nicht der Lust sich gefangen gegeben, er wäre niemals aus dem Paradiese herabgesunken.",31,deutsch
10,Ambrosius von Mailand,Die Flucht vor der Welt,1. Man kann die Lüste und Begierden der Welt nur unter dem Beistande der göttlichen Gnade fliehen.,10,"4. Mit Recht preist deßhalb auch David, der selbst die Gefahren sündhaften Schauens an sich erprobt hatte, Denjenigen selig, dessen ganze Hoffnung im Namen des Herrn ist. Dann sieht er nicht um nach Eitelkeit, Lüge und Thorheit: er hält vielmehr sein Auge fest und unentwegt auf Christus gerichtet.",48,deutsch
