id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Exameron,Exameron,1,"So großem Wahne denn konnten Menschen verfallen, daß einige von ihnen drei Prinzipien alles Seienden aufstellten: Gott, die Idee und die Materie! So Plato und seine Schule. Dieselben seien, versichern sie, unvergänglich, ungeschaffen und anfangslos. Und Gott habe nicht als Schöpfer der Materie, sondern nur als Bildner, dem ein Bild, d. i. die Idee vorschwebte, die Welt aus der Materie, Hyle genannt, gemacht.",63,deutsch
2,Ambrosius von Mailand,Exameron,Exameron,2,"Diese habe, behaupten sie, für alle Dinge die Entstehungsursache abgegeben. Sogar auch die Welt halten sie für unvergänglich und nicht für geschaffen oder gemacht. Wieder andere Aristoteles und seine Schule glaubten diese Anschauung vertreten zu sollen nahmen zwei Prinzipien an, Materie und Form, und in Verbindung damit ein drittes, das „wirkende genannt, hinlänglich genug das zu verwirklichen, was nach seinem Ermessen ins Werk zu setzen sei.",66,deutsch
3,Ambrosius von Mailand,Exameron,Exameron,1,"Was wäre nun so ungereimt als ihre (der Philosophen) Verquickung der Ewigkeit der Schöpfung mit der Ewigkeit des allmächtigen Gottes, oder ihre Identifizierung der Schöpfung mit Gott1, so daß sie dem Himmel und der Erde und dem Meere göttliche Ehre erwiesen?",41,deutsch
4,Ambrosius von Mailand,Exameron,Exameron,2,"Die Folge war, daß sie in den Teilen der Welt Gottheiten erblickten2, wiewohl über die Weltselbst nicht geringe Meinungsverschiedenheit unter ihnen besteht.",22,deutsch
5,Ambrosius von Mailand,Exameron,Exameron,3,"Die Gleichung: Die Einheit des Alls Gott, vollzieht erstmals der Stifter der eleatischen Schule, Xenophanes.",15,deutsch
6,Ambrosius von Mailand,Exameron,Exameron,4,"Schon der Begründer der griech. Naturphilosophie, Thales, lehrte nach Arist., De an. I 5, daß alles voll von Göttern sei, und erblickte anscheinend in den einzelnen Naturkräften Gottheiten.",28,deutsch
7,Ambrosius von Mailand,Exameron,Exameron,1,"[Forts. v.] Pythagoras nimmt nureineWelt an. Andere behaupten das Dasein zahlloser Welten, wie Demokrit in seinen Schriften, dem das Altertum die größte Autorität in der Naturwissenschaft zuerkannte. Aristoteles eignet sich den Satz an: Die Welt war und wird immerfort sein. Dem stellt Plato die Behauptung entgegen: Sie hat nicht immer bestanden, wird aber immer fortbestehen.",55,deutsch
8,Ambrosius von Mailand,Exameron,Exameron,2,Gar viele Autoren1aber treten in ihren Schriften für die Anschauung ein: Sie hat nicht immer bestanden und wird nicht immer bestehen.,21,deutsch
9,Ambrosius von Mailand,Exameron,Exameron,1,"[Forts. v.] Wie ließe sich bei diesen widersprechenden Ansichten der wahre Sachverhalt ermitteln? Geben doch die einen die Welt selbst, insofern ihr nach ihrem Dafürhalten anscheinend göttlicher Geist innewohne, für Gott aus, andere die Bestandteile derselben, wieder andere beides zugleich. Da läßt sich doch unmöglich eine Vorstellung gewinnen von der Gestalt der Götter, von deren Zahl, von deren Wohnsitz oder Leben und Treiben.",63,deutsch
10,Ambrosius von Mailand,Exameron,Exameron,2,"Nach der Welt zu urteilen müßte man sich ja die Gottheit füglich rotierend, rund1, lohend, in gewisse Bewegungen versetzt, bewußtlos und fremder Bewegung, nicht der eigenen folgend denken.",28,deutsch
11,Ambrosius von Mailand,Exameron,Exameron,1,"Folgenden Satz stellte der heilige Moses, da er im göttlichen Geiste1voraussah, daß solchemenschliche Irrtümer hervortreten würden und vielleicht schon hervorzutreten anfingen, an die Spitze seines Berichtes:„Im Anfang hat Gott den Himmel und die Erde geschaffen 2. Er spricht damit den Anfang der Dinge, den Urheber der Welt und die Erschaffung der Materie zugleich aus.",54,deutsch
12,Ambrosius von Mailand,Exameron,Exameron,2,"Man sollte daraus ersehen: Gott war vor dem Anfange der Welt da, bezw.ergerade ist der Anfang des Alls gemäß der Antwort, die der Gottessohn im Evangelium auf die Frage: „wer bist du? gegeben hat: „Der Anfang, der ich auch zu euch rede 3; undergerade hat den Dingen den Anfang ihres Entstehens gegeben underist der Schöpfer der Welt, nicht aber gleichsam nur an der Hand einer Idee der Nachformer der Materie, aus der er nicht nach seinem freien Ermessen, sondern nach gegebenem Muster seine Werke gestaltete.",85,deutsch
13,Ambrosius von Mailand,Exameron,Exameron,3,"Zutreffend gebrauchte er desgleichen die Wendung: „Im Anfanghat er geschaffen . Er wollte damit, daß er in seiner Darstellung gleich das Ergebnis der vollendeten Schöpfung der folgenden Aufzeigung der anfangenden voranstellte, die unbegreifliche Schnelligkeit der Schöpfung zum Ausdruck bringen.",39,deutsch
14,Ambrosius von Mailand,Exameron,Exameron,4,"Die Inspiration der Hl. Schrift spricht Ambr. ebenso oft wie bestimmt aus, bespricht sie aber nirgends eingehender. Was er gelegentlich hiervon äußert, ist korrekt. Eine Verbalinspiration scheint er bei aller Betonung des göttlichen Faktors nicht zu vertreten, noch weniger eine durchgängige Realinspiration zu leugnen (so Dausch, Die Schriftinspiration, Freib. 1891, ). Vgl.",52,deutsch
15,Ambrosius von Mailand,Exameron,Exameron,5,"Kellner, Der heilige Ambrosius als Erklärer des Alten Testamentes, Regensb. 1893,  ff.",12,deutsch
16,Ambrosius von Mailand,Exameron,Exameron,1,"Folgenden Satz stellte der heilige Moses, da er im göttlichen Geiste1voraussah, daß solchemenschliche Irrtümer hervortreten würden und vielleicht schon hervorzutreten anfingen, an die Spitze seines Berichtes:„Im Anfang hat Gott den Himmel und die Erde geschaffen 2. Er spricht damit den Anfang der Dinge, den Urheber der Welt und die Erschaffung der Materie zugleich aus.",54,deutsch
17,Ambrosius von Mailand,Exameron,Exameron,2,"Man sollte daraus ersehen: Gott war vor dem Anfange der Welt da, bezw.ergerade ist der Anfang des Alls gemäß der Antwort, die der Gottessohn im Evangelium auf die Frage: „wer bist du? gegeben hat: „Der Anfang, der ich auch zu euch rede 3; undergerade hat den Dingen den Anfang ihres Entstehens gegeben underist der Schöpfer der Welt, nicht aber gleichsam nur an der Hand einer Idee der Nachformer der Materie, aus der er nicht nach seinem freien Ermessen, sondern nach gegebenem Muster seine Werke gestaltete.",85,deutsch
18,Ambrosius von Mailand,Exameron,Exameron,3,"Zutreffend gebrauchte er desgleichen die Wendung: „Im Anfanghat er geschaffen . Er wollte damit, daß er in seiner Darstellung gleich das Ergebnis der vollendeten Schöpfung der folgenden Aufzeigung der anfangenden voranstellte, die unbegreifliche Schnelligkeit der Schöpfung zum Ausdruck bringen.",39,deutsch
19,Ambrosius von Mailand,Exameron,Exameron,4,"Die Inspiration der Hl. Schrift spricht Ambr. ebenso oft wie bestimmt aus, bespricht sie aber nirgends eingehender. Was er gelegentlich hiervon äußert, ist korrekt. Eine Verbalinspiration scheint er bei aller Betonung des göttlichen Faktors nicht zu vertreten, noch weniger eine durchgängige Realinspiration zu leugnen (so Dausch, Die Schriftinspiration, Freib. 1891, ). Vgl.",52,deutsch
20,Ambrosius von Mailand,Exameron,Exameron,5,"Kellner, Der heilige Ambrosius als Erklärer des Alten Testamentes, Regensb. 1893,  ff.",12,deutsch
21,Ambrosius von Mailand,Exameron,Exameron,1,"Weres spricht, müssen wir beachten. Doch Moses1, der in jeglicher Weisheit der Ägypter wohlbewanderte, den die Tochter des Pharao aus dem Flusse heben ließ und wie ihr Kind lieb gewann2und auf königliche Kosten in allen Lehren der Weltweisheit unterweisen und ausbilden zu lassen wünschte.",44,deutsch
22,Ambrosius von Mailand,Exameron,Exameron,2,"Obschon nach dem Wasser benannt3, glaubte er dennoch nichtbehaupten zu dürfen, daß alles aus Wasser bestehe, wie Thales behauptet. Und obschon am Königshofe erzogen, wollte er aus Liebe zur Gerechtigkeit eher das Brot freiwilliger Verbannung essen, denn als hoher Würdenträger der Zwingherrschaft in weichlicher Genußsucht in den Dienst der Sünde treten.",51,deutsch
23,Ambrosius von Mailand,Exameron,Exameron,3,"Bevor er noch zur Aufgabe berufen wurde, sein Volk zu befreien, setzte er sich dadurch, daß er im Übereifer seines natürlichen Rechtlichkeitssinnes einen ungerecht behandelten Volksgenossen rächte, der Ungnade aus, riß sich vom Genußleben los, floh das ganze unruhige Treiben am Königshofe, suchte die Einsamkeit Äthiopiens auf und versenkte dort seinen Geist, fern allen sonstigen Beschäftigungen, ganz in die Erkenntnis des Göttlichen, so daß er die Herrlichkeit Gottes von Angesicht zu Angesicht schaute.",73,deutsch
24,Ambrosius von Mailand,Exameron,Exameron,4,"Ihm gibt die Schrift das Zeugnis, daß „kein Prophet fürder aufstand in Israel gleich Moses, welcher den Herrn kannte von Angesicht zu Angesicht 4. Nicht im Gesicht und nicht im Traum, sondern von Mund zu Mund durfte er mit Gott dem Allerhöchsten sprechen und ward der Gnade gewürdigt, Gottes Gegenwart nicht nur im Bilde oder im Rätsel, sondern in Klarheit und Wahrheit zu schauen5.",64,deutsch
25,Ambrosius von Mailand,Exameron,Exameron,5,"Die folgende Charakteristik des Moses frei nach Basil., Hexaem. hom. I 1 (Migne S. G. XXIX).",16,deutsch
26,Ambrosius von Mailand,Exameron,Exameron,6,"Moses bedeutet ‚aus dem Wasser gerettet . Vgl. Exod. 2, 19, bezw. Philo, De vit. Moys. I 4, der dem Ambr. in der etymolog. Deutung hebräischer Namen Quelle und Vorbild zu sein pflegt. Übrigens glaubt Wilbrand, Bibl. Zeitschr. X (1912) 337 ff., aus Hieronymus und Ambrosius selbst Anhaltspunkte dafür zu haben, daß letzteren zu jener Deutung auch ein griechisches Onomastikum vorgelegen habe.",62,deutsch
27,Ambrosius von Mailand,Exameron,Exameron,1,"Er (Moses) nun öffnete seinen Mund und goß aus die Worte, welche der Herr zu ihm redete gemäß der Verheißung, die er ihm gegeben hatte, da er ihn zu König Pharao sendete: „Zieh hin! Und ich werde deinen Mund öffnen und dich lehren, was du sprechen sollst 1.",48,deutsch
28,Ambrosius von Mailand,Exameron,Exameron,2,"In der Tat, wenn er schon die Worte, die er zur Entlassung seines Volkes vorbringen sollte, von Gott empfangen hatte, wieviel mehr jene, die er über den Himmel aussprechen sollte! „Nicht in Überredungmenschlicher Weisheit 2, nicht in philosophischen Trugschlüssen, „sondern in Erweisung von Geist und Kraft 3, gleichsam als Zeuge der göttlichen Schöpfung, wagte er denn zu sprechen: „Im Anfange hat Gott den Himmel und die Erde geschaffen .Erwartete nicht erst den langwierigen und vergeblichen Prozeß ab, wonach die Welt aus Atomverbindungen sich zusammenfügte, und (wartete) nicht sozusagen auf einen Schüler der Materie, der letztere erst studieren mußte, um die Welt formen zu können, sondern glaubte gleich Gott als ihren Urheber aussprechen zu sollen.",114,deutsch
29,Ambrosius von Mailand,Exameron,Exameron,3,"Ein Mann voll Weisheit, merkte er wohl, daß allein in Gottes Geist Wesen und Grund der sichtbaren und unsichtbaren Dinge beruhten, und nicht, wie die Philosophen lehren, eine nachhaltige Verbindung der Atome ihre stetige Fortdauer bedinge. Ihm dünkte es, als spännen sie nur ein Spinngewebe4, sie, die so kleinliche und wesenlose Prinzipien für Himmel und Erde ansetzten.",57,deutsch
30,Ambrosius von Mailand,Exameron,Exameron,4,"Müßten doch diese, wie zufällig verbunden, so auch zufällig und aufs Geratewohl sich auflösen, hätten sie nicht in der göttlichen Macht ihres Lenkers den festen Bestand. Kein Wunder übrigens, wenn die, welche Gott nicht kennen, auch vom Lenker (der Welt), der alles leitet und regiert, nichts wissen.",47,deutsch
31,Ambrosius von Mailand,Exameron,Exameron,5,"So folgen wir also dem, der sowohl den Schöpfer als auch den Lenker kannte, und lassen wir uns nicht von eitlen Meinungen irreführen!",23,deutsch
