id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Im Begriff, (eine Erklärung) zur Evangeliumschrift zu schreiben, worin der heilige Lukas eine im volleren Sinn des Wortes geordnete Darstellung der Lebensgeschichte des Herrn gegeben hat1, glauben wir zunächst eben über die Darstellungsweise Aufschluß geben zu sollen: sie ist die geschichtliche.",41,deutsch
2,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Denn wenn auch die Göttliche Schrift die Lehre der Weltweisheit als nichtig erscheinen läßt2, insofern sie mehr mit vielen Worten prunkt als auf sachliche Gründe sich stützt, so wird doch einer, der auch in den Göttlichen Schriften die Vorzüge sucht, die in den Augen jener Bewunderung verdienen, sie finden.",49,deutsch
3,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Drei Dinge nämlich sind es, die nach der Ansicht der Weisen dieser Welt weitaus den Vorzug verdienen. Drei Arten der Philosophie seien zu unterscheiden: die Natur-, die Moral- und die Vernunftphilosophie1. Wir konnten diese drei Arten bereits im Alten Testamente wahrnehmen2.",41,deutsch
4,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Denn was anders versinnbilden jene drei Brunnen des Gesichtes3, desÜberflusses4und des Schwures5als diesen dreifachen Vorzug, den die Patriarchen besaßen. Der Brunnen des Gesichtes bezieht sich auf das Vernünftige6, insofern die Vernunft das Auge des Geistes schärft und den Blick der Seele klärt; der Brunnen des Überflusses auf das Sittliche, insofern Isaak erst nach der Trennung von den fremden Stammesangehörigen7, der typischen Repräsentanten der Fleischeslaster, den Born des lebendigen Geistes gefunden hat, reines Wasser nämlich sprudeln die guten Sitten, und das Gutsein selbst, eine soziale Tugend, strömt reichlich anderen, karger sich selbst .",92,deutsch
5,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,3,"Der dritte Brunnen ist der des Schwures. Er bedeutet die Naturphilosophie8, die sich mit den Dingen der übernatürlichen oder der natürlichen Ordnung befaßt. Denn was von Gott als Zeugen ausgesagt oder beschworen wird, nimmt wegen der Beiziehung des Herrn der Natur als Beglaubigungszeugen auch göttlichen Charakter an.",47,deutsch
6,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,4,"Was anders zeigen uns desgleichen die drei Bücher Salomos: das eine von den Sprüchen, das andere der Prediger, das dritte vom Hohen Lied, als daß der heilige Salomo mit dieser dreifachen Weisheit wohlvertraut war?9Über die Vernunft- und Sittenwahrheiten schrieb er in den Sprüchen; über Naturwahrheiten im Prediger: „O Eitelkeit der Eitelkeiten und alles ist Eitelkeit 10, was in dieser Welt besteht,„denn der Nichtigkeit ist die Schöpfung unterworfen 11; über die wunderbaren12Vernunftwahrheiten (Mysterien) aber im Hohen Lied, insofern dann, wenn sich unserer Seele die Liebe des himmlischen Wortes einsenkt und mit der (übernatürlichen) Vernunfterkenntnis heilige Gesinnung wie im Bunde sich vereinigt, wunderbare Geheimnisse sich enthüllen.",104,deutsch
7,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,5,"Gen. 10, 14 (It. nach LXX, u. Hebr. Vulg.: ‚Brunnen des Lebendigen und auch Sehenden ).",16,deutsch
8,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,6,"Gen. 26, 33. Hebr. ibnah ‚Sieben (Siebenbrunnen) Vulg. wie It. ‚abundantia , ‚Überfluß (Siebenzahl) Abundanzzahl?). Im Hebr. verbindet sich mit der Zahl sieben die Bedeutung ‚schwören (vgl. Gen. 21, 30), daher statt ‚Siebenbrunnen ‚Brunnen des Schwurs (Bersabee).",37,deutsch
9,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,7,"d. i. die Philosophie über Natur und Wesen der Dinge, z. B. Gottes (sieh unter n. 3). Auch hier ist darum, wie Ambr. selbst oben betont, das übernatürliche Moment nicht auszuschließen.",31,deutsch
10,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,8,"Auf diesen Gedanken kommt Ambr. öfters zurück. Cf. De Isaac et an. 6, 23. Expos. in Ps. 118 serm. 1, 3.",21,deutsch
11,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Welche (Art von) Weisheit hätte nach deiner Ansicht desgleichen den Evangelisten gefehlt? Sie weisen wohl von den verschiedenen Arten derselben reichen Ertrag auf, doch tut jeder wiederum in einer anderen Art sich besonders hervor. So enthält sicherlich die nach Johannes betitelte Evangeliumschrift Naturphilosophie1.",43,deutsch
12,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Denn niemand sonst, wage ich zu behaupten, hat mit so erhabener Weisheit die Majestät Gottes geschaut und in eigenartiger Sprache uns erschlossen. Er schwang sich auf über die Wolken, schwang sich auf über die Kräfte des Himmels, schwang sich auf über die Engel und fand „im Anfang das Wort und schaute „das Wort bei Gott 2.",56,deutsch
13,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,3,"Wer aber hätte in höherem Grade die dem Menschen entsprechenden Lebensvorschriften bis ins einzelne unter dem Gesichtspunkt des Sittlichen erforscht und uns (schriftlich) vorgelegt als der hl. Matthäus? Was wäre wegen ihrer wunderbaren Verbindung vernunftgemäßer als die Verse, die der hl.",41,deutsch
14,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,4,"Markus sogleich an den Anfang stellen zu müssen glaubte: „Sieh, ich sende meinen Engel und: „die Stimme des Rufenden in der Wüste ?3Er wollte so einerseits Bewunderung hervorrufen, andererseits zeigen, wie der Mensch durch Demut und Enthaltsamkeit und Glauben gefallen müsse gleich jenem heiligen Johannes dem Täufer, der über die drei Stufen zur Seligkeit emporstieg: Kleidung, Nahrung, Predigt.",58,deutsch
15,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Der heilige Lukas hat dagegen eine Art geschichtliche Anordnung eingehalten und uns eine größere Anzahl wunderbarer Begebenheiten aus derLebensgeschichte des Herrn bekannt gegeben, doch so, daß die Geschichte dieses seines Evangeliums die Vorzüge der ganzen Weisheitslehre in sich schließt. Denn welche erhabenere Wahrheit kännte die Naturphilosophie als die von ihm mitgeteilte Tatsache, es sei der Heilige Geist auch Schöpfer der Menschwerdung des Herrn gewesen?1.",64,deutsch
16,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"In die Naturwahrheiten schlägt sonach seine Lehre von der schöpferischen Wirksamkeit des (Heiligen) Geistes ein. Darum trägt auch David Naturphilosophie vor, wenn er sagt: „Sende aus Deinen Geist und sie werden erschaffen werden 2. Die Lehre vom Sittlichen vertritt (Lukas) in der gleichen Schrift, indem er mir in jenen Seligpreisungen3sittliche Unterweisungen erteilt, wie ich den Feind lieben müsse4, wie ich dem tätlichen Angreifer nicht Hieb und Schlag zurückgeben dürfe5, wie ich Gutes tun, Darlehen geben müsse ohne Aussicht auf Rückerstattung und mit Aussicht auf die (göttliche) Lohnvergeltung6; denn leichter fällt einem der Lohn zu, wenn man ihn nicht (von Menschen) erwartet.",101,deutsch
17,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,3,"Auch in Vernunftwahrheiten unterwies er mich, wenn ich lese, daß der, „welcher treu ist im Kleinsten, auch in bezug auf Größeres treu ist 7. Was soll ich noch hinsichtlich der Naturwahrheiten an seine Lehre erinnern, die Kräfte der Himmel würden erschüttert8, der Herr der Sonnen9sei Gottes eingeborener Sohn, bei dessen Leiden bei Tag Finsternis entstanden sei, die Erde in Dunkel sich gehüllt, die Sonne sich verborgen habe?10",67,deutsch
18,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,4,"Der Plur. ‚Sonnen (statt Sing. bei Schenkl, ) nach Engelbrecht,  besser bezeugt und aus Mark. 13, 24 f. erklärlich (‚Sonnen Sonne, Mond und Sterne).",24,deutsch
19,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Der ganze Vorrang also, den sich die weltliche Weisheit fälschlich anmaßt, gebührt in Wahrheit der geistlichen Weisheit. Kann doch, um eine etwas kühne Wendung zu gebrauchen, selbst unser Glaube, selbst das Trinitätsgeheimnis nicht ohne die dreifacheWeisheitslehre gedacht werden: ohne den Glauben an jenen, der von Natur der Vater ist, der uns den Erlöser erzeugt hat, und an jenes sittliche Ideal, (den Sohn,) der als Mensch dem Vater bis zum Tode gehorsam1uns erlöst hat, und an jenen vernünftigen Geist, welcher der Menschenbrust die vernünftige Gottesverehrung und Lebensführung eingesenkt hat.",88,deutsch
20,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Niemand glaube, wir hätten damit einen Unterschied zwischen ihrer Macht und Kraft gemacht, eine Verdächtigung, mit der er doch ebensogut einen Paulus begeifern könnte! Denn auch dieser machte keinen Unterschied, da er sprach: „Es gibt Unterschiede der Gnadengaben, aber es ist derselbe Geist; und es gibt Unterschiede der Ämter, aber es ist derselbe Herr; und es gibt Unterschiede in den Wirkungen, aber es ist derselbe Gott, der alles in allen wirkt 2.",72,deutsch
21,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,3,"Alles und in allen wirkt nämlich der Sohn, wie man auch an einer anderen Stelle liest: „Alles und in allen ist Christus 3. Es wirkt aber auch der Heilige Geist; denn „alles wirkt ein und derselbe Geist, einem jeden zuteilend, wie er will 4.",44,deutsch
22,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,4,"Also keine Verschiedenheit des Wirkens, keinen Unterschied kann es geben, wo keiner Person weder im Vater, noch im Sohne, noch im Heiligen Geiste eine untergeordnete Kraftvollkommenheit zukommt.",27,deutsch
23,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Dies also laßt uns beim Lesen ernstlich bedenken, damit es uns an den (einschlägigen) Stellen selbst besser einzuleuchten vermag! „Denn wer sucht, der findet, und wer anklopft, dem wird aufgetan werden 1. Nur reges Streben öffnet sich die Pforte zur Wahrheit: darum laßt uns den himmlischen Lehren folgen!",48,deutsch
24,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Nicht umsonst ward zum Menschen gesprochen, was zu keinem anderen lebenden Wesen gesprochen wurde: „Im Schweiße deines Angesichtes sollst du dein Brot essen 2. Den von Natur unvernünftigen Wesen muß auf Gottes Geheiß die Erde die Nahrung bieten, demMenschen allein hingegen wird, damit er die Vernunft, die er empfangen, betätige, ein in Arbeit verlaufendes Leben zur Vorschrift gemacht.",58,deutsch
25,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,3,"Er, der sich ja mit der Nahrung der übrigen lebenden Wesen nicht zufrieden gibt, dem die Gabe der Obstbäume, die allen gemeinsam ihre Speise reichen sollten, nicht genügt, der vielmehr nach Genüssen bunt besetzter Tafeln verlangt, Genüsse aus überseeischen Ländern sich herbeiholt, Genüsse aus den Fluten rafft; er, der es sich schon für den (irdischen) Lebensunterhalt Mühe kosten läßt, darf es nicht verschmähen, wenn er für das ewige Leben kurzer Mühe sich unterziehen muß.",74,deutsch
26,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,4,"Wer nun in diese Kämpfe heiliger Wissenschaft eintritt, die Sorge um dieses der Verirrung ausgesetzte Leben abstreift, der Bande der Sündhaftigkeit ledig, als Streiter der Frömmigkeit gleichsam der Seele Glieder mit des Geistes Öl salbt und den Kämpfen der Wahrheit sich unterzieht, der wird zweifellos den ewigen Lohn heiliger Siegeskronen verdienen. „Denn guter Arbeit harrt edle Frucht 3.",58,deutsch
27,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,5,"Und je mehr Kämpfe, um so herrlicher der Tugenden Krone.",10,deutsch
28,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Doch kehren wir zum Thema zurück! In geschichtlicher Darstellungsweise, bemerkten wir, wurde unser Evangeliumbuch abgefaßt. So sehen wir denn auch, daß im Vergleich zu den anderen das reichlichere Maß der Sorgfalt mehr auf den Bericht der Tatsachen denn auf die Wiedergabe der Lehren verwendet ist.",45,deutsch
29,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Der Evangelist selbst begann nach dem Brauch eines Historikers mit einer Erzählung: „Es lebte , beginnt er, „in den Tagen des Herodes, des Königs von Judäa, ein Priester namens Zacharias 1. Und nun erzählt er diese geschichtliche Begebenheit in ausführlicher Darstellung zu Ende.",43,deutsch
30,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,3,"Darum wollten auch jene Autoren, welche die vier apokalyptischen Tiergestalten2auf die vier Evangelienschriften beziehen zu sollen glaubten, unsere Schrift durch das Symbol des Kalbes versinnbildet finden; denn das Kalb ist priesterliches Opfertier. Dazunun stimmt trefflich unsere Evangeliumschrift. Es beginnt mit einer Priesterfamilie und schließt mit jenem Opferkalb, das die Sünde aller auf sich nehmend für das Leben der ganzen Welt dargebracht ward; denn priesterlichen Charakter trägt jenes Opferkalb an sich; der nämliche ist ja Opfer und Priester zugleich: Priester, weil er unser Versöhner ist denn zum Fürsprecher haben wir ihn beim Vater3 Opfer, weil er uns mit seinem eigenen Blute erlöst hat4.",102,deutsch
31,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,4,"Es war wohl am Platze, die derartige Auffassung (vom Lukasevangelium) nicht mit Stillschweigen zu übergehen, nachdem wir beim Matthäusevangelium diesittlicheGrundtendenz konstatiert haben; von Sitten im eigentlichen Sinn ist nämlich nur beim Menschen die Rede.",34,deutsch
32,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Gar manche meinen indes, unser Herr selbst werde in den vier Evangelienschriften unter den vier Tiergestalten symbolisch dargestellt, indem er zugleich Mensch, zugleich Löwe, zugleich Kalb, zugleich Adler sei: Mensch, weil er aus Maria geboren ward; Löwe, weil er „der Starke 1ist; Kalb, weil er Opfer ist; Adler, weil er die Auferstehung ist2.",53,deutsch
33,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Und zwar gelangen in den einzelnen Schriften die Tiergestalten in der Weise zur typischen Verwendung, daß der Inhalt einer jeden entweder der Natur oder der Kraft der vorstehenden Wesen oder ihrer (typischen) Beziehung zur Gnade oder zum Wunder entspricht. Denn wenn auch dies alles in allen (Evangelien) sich findet, so gelangen die Einzelvorzüge doch nur in je einem derselben zur erschöpfenden Darstellung: Der eine (Evangelist) schrieb ausführlicher über die menschliche Abstammung (Christi) und gab zugleich in ausführlicheren Vorschriften eine sittliche Anleitung des Menschen; der andere begann mit der ausdrücklichen Hervorhebung seiner göttlichen Macht, wie er, ein König von einem Könige, ein Starker von einem Starken, ein Wahrhafter von einemWahrhaftigen, ob seiner lebendigen Kraft den Tod verachtete; der dritte stellte an den Anfang das Opfer eines Priesters und verbreitete sich in erschöpfenderer Darstellung über die Hinopferung des Opferkalbes (Christus) selbst; der vierte brachte eingehender als die übrigen die Wunder der göttlichen Auferstehung zum Vortrag.",153,deutsch
34,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,3,"So ist also „eineralles undeinerin allen 3, wie es in der Schriftlesung geheißen hat; nicht in jeder Schrift anders, sondern in sämtlichen wahr dargestellt. Doch nun laßt uns an den Wortlaut des Evangeliums selbst herantreten!",35,deutsch
35,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,4,"Joh. 11, 25; Ps. 102, 5 [hebr. Ps. 103, 5].",10,deutsch
36,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Verwandte Erscheinungen in der alt- und neutestamentlichen Heilsgeschichte: wahre und falsche Propheten (1). Apokryphe Evangelien (2). Die Wirksamkeit der Inspirationsgnade im Hagiographen (3). Das Wort, nicht das Wunder das Mittel der Glaubensverbreitung (4). Vom Schauen des Wortes Gottes (5—7). Intention und Handlung, die beiden Tugendfunktionen im Vollkommenen (8—9).",48,deutsch
37,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,2,"Der menschliche Wille und die Inspiration (10). Nicht Vollständigkeit, sondern Sorgfältigkeit ein formaler Vorzug der Lukasschrift (11). Das Evangelium ein den Gläubigen anvertrautes Pfand (12). Vom Mottenfraß der Häresie (13). Vom Rost der Sünde an der Seele (14).",38,deutsch
38,Ambrosius von Mailand,Lukaskommentar,Lukaskommentar,1,"Verwandte Erscheinungen in der alt- und neutestamentlichen Heilsgeschichte: wahre und falsche Propheten (1). Apokryphe Evangelien (2). Die Wirksamkeit der Inspirationsgnade im Hagiographen (3). Das Wort, nicht das Wunder das Mittel der Glaubensverbreitung (4). Vom Schauen des Wortes Gottes (5—7). Intention und Handlung, die beiden Tugendfunktionen im Vollkommenen (8—9).",48,deutsch
