id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,1,"Das also drohten uns die schweren Erdbeben, das die unaufhörlichen Regenschauer und kündigte die außergewöhnliche Dunkelheit und Finsternis, daß unser gnädigster Kaiser Theodosius vom Irdischen scheiden würde!1Selbst die Elemente trauerten über seinen Hingang. Der Himmel war in Dunkel gehüllt, die Luft starrte ständig in Finsternis, die Erde schütterte unter Beben und war vollbedeckt von strömenden Wassern.",56,deutsch
2,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,2,"Warum auch sollte nicht selbst die Welt trauern, daß jählings ein Herrscher hinweggerafft werden sollte, durch den das harte Los dieser Welt so gern Linderung erfuhr, indem er die Vergehen, ehe er sie strafte, verzieh?2",35,deutsch
3,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,3,"Von vielen Erdbeben einige Monate vor dem Tode des Kaisers im Spätherbst 394 berichtet auch Marcellinus Comes in seiner Chronik von 379—534 zum Jahre 394. Über außerordentliche elementare Vorgänge ferner, die am 6. Sept. 394 wesentlich zum entscheidenden Sieg des Theodosius über den Usurpator Eugenius bei Aquileja beitrugen, vgl. Rauschen, .",51,deutsch
4,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,4,"Ambrosius selbst tut derselben wiederholt Erwähnung. Cf. Enarr. in Ps. 36, n. 25. Epist. 61, 2 und 62, 4.",19,deutsch
5,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,5,"Dieser rühmende Nachruf wird sich vor allem auf die weitgehende Amnestie beziehen, welche der siegreiche Kaiser auf die Fürbitte des Ambr. gegen die Anhänger des Eugenius übte. Er gewährte beispielsweise den zu ihm übertretenden Truppen desselben nicht bloß Verzeihung, sondern ließ sie sogar an den Geschenken teilnehmen, die er nach dem Siege an das Heer verteilte. Rauschen,  f.",58,deutsch
6,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,1,"Er nun freilich ging hin, eine Königsherrschaft anzutreten1, die er nicht niederlegte, sondern nur vertauschte, kraft seiner Frömmigkeit in die Gezelte Christi aufgenommen, in jenes himmlische Jerusalem, wo er jetzt weilt und spricht: „Wie wir s vernommen, so haben wir s auch geschaut in der Stadt des Herrn der Heerscharen, in der Stadt unseres Gottes, die Gott auf ewiggegründet 2.",60,deutsch
7,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,2,"Aber so viele ließ er gleichsam des väterlichen Schutzes beraubt zurück, und in erster Linie seine Söhne. Doch nein, sie sind dessen nicht beraubt: er ließ sie ja als Erben seines Frommsinns zurück; sie sind dessen nicht beraubt: er erwarb ihnen ja Christi Gnade und des Heeres Treue.",48,deutsch
8,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,3,"Gerade letzterem lieferte er den Beweis, daß der Herr die Frömmigkeit segnet, die Gottlosigkeit straft.",15,deutsch
9,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,1,"Erst vor kurzem haben wir mitsammen den Heimgang dieses Fürsten laut betrauert: heute feiern wir in Gegenwart des Kaisers Honorius, der dem heiligen Opfer anwohnt, den Vierzigsten1. Denn wie der heilige Joseph seinen Vater in vierzigtägiger Totenfeier ehrte, so erweist auch er noch seinem Vater Theodosius die gebührenden Ehren.",49,deutsch
10,Ambrosius von Mailand,Rede zum Tod von Kaiser Theodosius,Rede zum Tod von Kaiser Theodosius,2,"Wenn nun die einen den Dritten und Dreißigsten, andere den Siebten und Vierzigsten zu begehen pflegen, wollen wir sehen, welche Weisung die Schriftlesung gibt. Nach dem Tode Jakobs „befahl Joseph , so heißt es, „den Leichendienern, ihn zu bestatten. Und die Leichendiener bestatteten Israel.",44,deutsch
