id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,1,"Vom Sittlichguten: Nach dem Vorgang Davids (1) will Ambrosius aus priesterlichem Pflichtgefühl (2) und lehramtlichem Eifer (3), wenn auch im Bewußtsein mangelnder theologischer Vorbildung (4) an die Unterweisung seiner ‚Söhne gehen.",31,deutsch
2,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,2,"1. Ich glaube nicht anmaßend zu erscheinen, wenn ich im Kreise meiner Söhne1dem Herzenswunsch zu lehren stattgeben möchte. Spricht doch ein Lehrer der Demut selbst: „Kommt, Söhne, hört mich! Die Furcht des Herrn will ich euch lehren 2. Man mag hierin einen Ausdruck seiner ebenso demütigen wie zarten Gottesfurcht erblicken.",50,deutsch
3,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,3,"Denn mit der Wendung ‚Furcht Gottes , die offenbar eine gemeinsame Pflicht aller ist, gab er das Losungswort für die Gottesfürchtigkeit aus. Doch da gerade die Furcht „der Anfang der Weisheit 3und die Seligmacherin ist — denn „selig, die Gott fürchten 4—, bezeichnete er sich deutlich auch als Lehrer der Weisheit und als Wegweiser zur Seligkeit.",56,deutsch
4,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,4,"2. Auf die Nachahmung seiner Gottesfürchtigkeit bedacht und zu einem Gnadenerweis nicht unberechtigt, wollen denn auch wir die Lehren, die der Geist der Weisheit jenem eingegossen hat, euch als unseren Söhnen mitteilen, wie sie uns durch ihn erschlossen wurden und durch Anschauung und Beispiel bekannt sind.Können wir uns doch nunmehr der Pflicht des Lehrens, die uns das wider Willen aufgenötigte Priesteramt5auferlegte, nicht entschlagen. „Gott hat ja die einen zu Aposteln, andere aber zu Propheten, andere hingegen zu Evangelisten, andere aber zu Hirten und Lehrern eingesetzt 6.",86,deutsch
5,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,5,"3. Nicht den Ruhm der Apostel maße ich mir an — wer dürfte dies denn außer den Jüngern, die der Sohn Gottes selbst hierzu erwählt hat? —, nicht der Propheten Gnadengabe, nicht die Gewalt der Evangelisten, nicht der Hirten Sorgfalt: nur jenen Fleiß und Eifer in Sachen der göttlichen Schrift verlange ich mir, welche der Apostel an letzter Stelle unter den Ämtern der Heiligen aufführte, und auch diesen nur, um aus dem eifrigen Lehren lernen zu können.",77,deutsch
6,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,6,"Denn nureinenwahren Lehrer gibt es7: er allein brauchte nicht lernen, was er alle lehrte; Menschen aber müssen erst lernen, was sie lehren, und empfangen von ihm, was sie anderen überliefern sollen.",31,deutsch
7,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,7,"4. Doch nicht einmal das trifft bei mir zu. Man hat mich ja von Richterstuhl und Amtsbinde weg jählings ins Priesteramt entführt8. So fing ich an, euch zu lehren, was ich selbst nicht gelernt habe; so geschah es, daß ich eher zu lehren als zu lernen anhub.",47,deutsch
8,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,8,"Lernen und lehren zugleich muß ich sonach, weil mir keine Zeit zum Lernen erübrigte.",14,deutsch
9,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,9,An seinen Sohn Markus richtet auch Cicero seine Abhandlung über die Pflichtenlehre. S. oben.,14,deutsch
10,Ambrosius von Mailand,Von den Pflichten der Kirchendiener,Von den Pflichten der Kirchendiener,10,"Ps. 110, 10 [Hebr. Ps. 111, 10]. Sprichw. 1, 7.",10,deutsch
