id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,1,"1. [Die fortlaufende Zählung: 1 bis 80 im 1. Buch und im 2. Buch: 1 bis 135 entspricht der Kapiteleinteilung bei Migne MPl tom. 016 c. 1289-1354C].Wir haben, geliebteste Brüder, mein Opfer hergeleitet; ein unbeflecktes, Gott wohlgefälliges Opfer: meinenHerrn und Bruder Satyrus.",42,deutsch
2,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,2,"Ich hatte wohl daran gedacht, daß er sterblich sei: und die Ahnung hat mich nicht getäuscht; aber überströmend ist auch die Gnade gewesen. Darum finde ich auch Nichts zu beklagen, aber wohl habe ich Grund genug, Dank zu sagen. Stets war es ja mein Wunsch, daß, wenn Leiden entweder der Kirche oder meiner warteten, dieselben eher auf mich und mein Haus fallen möchten.",63,deutsch
3,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,3,"Gott sei also Dank, daß ich bei dem allgemeinen Bangen, wo Alles von den Unternehmungen der Barbaren gefürchtet wurde,1daß ich da durch persönlichen Schmerzallgemeines Leid vielleicht beseitigt habe, daß auf mich gewendet ist, was ich für Alle fürchtete. Möchte es damit nur genug sein, damit mein persönlicher Schmerz die Abwendung allgemeinen Leides einschließe!",53,deutsch
4,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,4,"2. Nichts zwar von Allem, was die Erde besitzt, meine Brüder, hatte für mich einen höheren Werth als ein Bruder, wie Satyrus war; Nichts erschien mir liebenswürdiger, Nichts war mir theurer: aber das, was Alle betrifft, drängt das Persönliche zurück. Ja, hätte Jemand die eigene Meinung des Hingeschiedenen erforschen mögen: er hätte gefunden, daß Jener lieber für Andere den Tod zu erleiden gewillt war, als im eigenen Interesse sein Leben zu erhalten.",72,deutsch
5,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,5,"Ist ja auch gerade deßhalb Christus dem Fleische nachfür Allegestorben, damit wir vergäßen, uns allein zu leben.",17,deutsch
6,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,6,"3. Es tritt noch hinzu, daß ich der göttlichen Vorsehung meinen Dank gar nicht verweigern kann: oder muß ich nicht innigere Freude darüber empfinden, einen solchen Bruder gehabt zu haben, als ich vom Schmerz bewegt sein darf, daß ich ihn verlor?",41,deutsch
7,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,7,"Daß ich ihn besaß, war ein Gnadengeschenk; daß ich ihn verlor, war Heimzahlung einer Schuld. Wie ein mir anvertrautes Darlehen habe ich ihn, solange es mir gestattet wurde, behalten: jetzt hat er, der ihn mir anvertraute, ihn zurückgefordert. — Es ist kein Unterschied, ob man das anvertraute Pfand abschwört, oder ob man dem zurückgegebenen nachweint: in beidem liegt eine Verletzung der Treue und damit eine Gefahr für das öffentliche Leben.",70,deutsch
8,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,8,"Es schließt doch eine Schuld ein, wenn man das Darlehen ableugnet? ist es denn Frömmigkeit, wenn man das Opfer vorenthält? Zudem kann man den Darleiher von Geld nochhintergehen. Der Urheber der Natur aber, der Darleiher aller Lebensbedürfnisse läßt sich nicht täuschen.",41,deutsch
9,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,9,"Je größer und reicher aber nun das Darlehen ist, desto innigere Dankbarkeit muß doch auch der Gebrauch desselben erwecken.",19,deutsch
10,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,10,"4. Ich kann also hinsichtlich des Bruders der Undankbarkeit keinen Raum geben: er hat, was der Natur gemein ist, zurückgegeben; was nur der Gnade eignet, hat er erworben. Wer möchte des allgemeinen Looses sich weigern? Wer darf klagen, daß ein ihm anvertrautes Pfand zurückgefordert wird, da doch der ewige Vater zu unserem Troste seinen eingeborenen Sohn für uns in den Tod dahingegeben hat?",63,deutsch
11,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,11,"Wer darf denn beanspruchen, von dem allgemeinen Loose, zu sterben, ausgenommen zu werden, da er doch Theil hat an dem Loose, geboren zu sein? Das ist ein großes Geheimniß der göttlichen Liebe gegen uns, daß selbst Christus nicht ausgenommen war von dem Tode des Leibes, daß er, obwohl er der Herr der Natur war, doch nicht dem Gesetze des Fleisches, das er angenommen, sich entziehen wollte.Wir müssenja sterben; für ihn bestand keine Nöthigung.",73,deutsch
12,Ambrosius von Mailand,Über den Tod seines Bruders Satyrus,Über den Tod seines Bruders Satyrus,12,"Oder konnte er, der von dem Jünger sagte: „Wenn ich nun will, daß er so bleiben soll, bis ich komme ; sollte er selbst nicht haben so bleiben können, wenn er nur gewollt hätte? Aber freilich durch Verlängerung dieses Lebens (des Bruders) hätte er sich den Preis, mir das Opfer genommen.",51,deutsch
