id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Über die Buße,Über die Buße,1,"Wenn das letzte und höchste Ziel aller Tugend dahin geht, dem geistigen Nutzen des Nebenmenschen in möglichster Ausdehnung zu dienen, so darf man als eine der schönsten Tugenden das milde Maßhalten bezeichnen, welches nicht einmal diejenigen verletzen will, die seiner Verurtheilung unterliegen, während es dieselben gleichzeitig gerade durch die Verurtheilung wieder der Lossprechung würdig zu machen strebt.",57,deutsch
2,Ambrosius von Mailand,Über die Buße,Über die Buße,2,"Diese Milde ist es einzig, welcher die Kirche, die der Herr in seinem Blute gestiftet hat, ihre Ausbreitung verdankt. Sie ahmt den himmlischen Wohlthäter nach; indem sie auf die Rettung Aller bedacht ist, verfolgt sie jenes heilbringende Ziel mit einer Milde, daß die Herzen nicht zurückweichen, die Geister nicht erschrecken können.",51,deutsch
3,Ambrosius von Mailand,Über die Buße,Über die Buße,3,"In der That muß ja auch derjenige, welcher die Fehler menschlicher Schwäche bessern will, diese Schwäche selbst ertragen; er muß sie gewissermaßen auf seine Schultern legen, nicht aber verdrießlich abwerfen. Lesen wir doch auch, daß jener Hirt des Evangeliums das verirrte, müde Schaf heimgetragen, aber nicht abgeworfen habe.",48,deutsch
4,Ambrosius von Mailand,Über die Buße,Über die Buße,4,"Darumsagt auch Salomon: „Sei nicht allzu gerecht ,1denn weises Maßhalten muß die Gerechtigkeit sänftigen. Wie möchte sich sonst Jemand dir zur Heilung anvertrauen, wenn du ihm Widerwillen entgegenbringst, wenn er glauben muß, daß er seinem Arzte nicht Mitleid, sondern Verachtung einflößt?",41,deutsch
5,Ambrosius von Mailand,Über die Buße,Über die Buße,5,"Deßhalb hat der Herr Jesus Mitleid mit uns getragen, um uns nicht abzuschrecken, sondern zu sich zu rufen. Er kam voll Sanftmuth und Demuth, und so sprach er: „Kommet zu mir Alle, die ihr mühselig und beladen seid, ich will euch erquicken.",42,deutsch
6,Ambrosius von Mailand,Über die Buße,Über die Buße,6,"Der Herr Jesus erquickt die Mühseligen, er weis t sie nicht zurück; darum hat er denn auch solche Jünger sich erwählt, die im richtigen Verständnisse seines göttlichen Willens das Volk Gottes sammeln, aber nicht zurückstoßen. Es erhellt somit, daß diejenigen nicht als Christi Jünger gelten können, welche der Meinung sind, daß man harten und stolzen Grundsätzen statt milder und demüthiger folgen müsse.",62,deutsch
7,Ambrosius von Mailand,Über die Buße,Über die Buße,7,"Sie verweigern ja Anderen die Barmherzigkeit des Herrn, während sie selbst sie suchen: so sind die Lehrer der Novatianer, welche sich als „die Reinen bezeichnen.2",25,deutsch
8,Ambrosius von Mailand,Über die Buße,Über die Buße,8,"Kann es denn ein stolzeres Treiben geben, da doch die Schrift sagt: „Niemand ist rein von Schuld, nicht einmal das Kind von einem einzigen Tage; 3während Davidausruft: „Von meiner Missethat reinige mich! Sind denn diese Menschen etwa heiliger als David, aus dessen Geschlecht der Herr im Geheimniß der Menschwerdung hat wollen geboren werden? dessen Tochter jenes himmlische auserwählte Gefäß ist, das im jungfräulichen Schooße den Heiland der Welt empfangen hat?",70,deutsch
9,Ambrosius von Mailand,Über die Buße,Über die Buße,9,"Gibt es denn etwas Härteres, als Buße aufzulegen, ohne Nachlaß zu gewähren? Nimmt man denn nicht den Antrieb zur Buße hinweg, wenn man immerfort die Verzeihung versagt? Kann doch füglich keiner Buße thun, der nicht auf Verzeihung hofft!",38,deutsch
10,Ambrosius von Mailand,Über die Buße,Über die Buße,10,"Die Novatianer, welche, wie ihr Führer Novatian seinen Bischof Cäcilian, so die ganze katholische Kirche einer zu großen Nachsicht gegen die lapsi aus der decischen Verfolgung beschuldigten, nannten sich selbst in ihrem sectirerischen Hochmuthe die Reinen —καθαροί[katharoi]. — Auch der achte Canon der nicänischen Synode nimmt diese Bezeichnung herüber:„περὶ τῶν ὀνομαζόντων μὲν ἑαυτοὺς καθαρούς[peri tōn onomazontōn men heautous katharous] – in Betreff derjenigen, welche sich selbst dieReinenbenennen etc.",68,deutsch
11,Ambrosius von Mailand,Über die Buße,Über die Buße,11,"Während die Kirche die Wiederaufnahme der lapsi in die Kirchengemeinschaft gestattete, verweigerten die Novatianer (im Anschlusse an die älteren Montanisten) die Wiederaufnahme gänzlich.",23,deutsch
12,Ambrosius von Mailand,Über die Buße,Über die Buße,12,"Ambrosius citirt: „Quia nemo mundus a peccato, nec unius diei infans nach den LXX:„Τίς γὰρ ἔσται καθαρὸς ἀπὸ ῥύπου; Οὐδὲ εἷς, ἐὰν καὶ μιᾶς ἡμέρας γένηται ὁ βίος αὐτοῦ ἐπὶ τῆς γῆς Job 14,4 [Tis gar estai katharos apo rhypou; Oude heis, ean kai mias hēmeras genētai ho bios autou epi tēs gēs].",53,deutsch
13,Ambrosius von Mailand,Über die Buße,Über die Buße,1,"Diese Irrlehrer bestreiten, daß diejenigen zur kirchlichen Gemeinschaft wieder dürfen zugelassen werden, welche durch Verleugnung ihres Glaubens gefallen sind. Wenn sie lediglich das Verbrechen des Sacrilegiums ausnähmen und ihm die Verzeihung versagten, so wäre das zwar hart und würde auch durch göttliche Aussprüche als durchaus falsch verworfen: es stimmte aber doch wenigstens mit ihren eigenen sonstigen Behauptungen überein.",58,deutsch
14,Ambrosius von Mailand,Über die Buße,Über die Buße,2,"Der Herr, welcher alle Sünden vergeben hat, nahm kein Verbrechen aus. Da Jene aber nach Art der Stoiker annehmen, daß alle Sünden hinsichtlich ihrer Schwere als unter sich gleich zu betrachten seien, und daß also Jemand, der einen Haushahn, ebenso wie derjenige, welcher seinen Vater erdrosselt, für immer von den heiligen Geheimnissen fern zu halten sei: wie greifen sie jetzt ein einziges Verbrechen heraus, während sie doch selbst nicht leugnen können, daß es geradezu unerträglich sein würde, wenn die Strafe einiger Weniger — der Abgefallenen nämlich — auf Viele sich ausdehnte?",91,deutsch
15,Ambrosius von Mailand,Über die Buße,Über die Buße,3,"Sie sagen freilich, daß sie dem Herrn eine ganz besondere Verehrung entgegenbringen, wenn sie ihmausschließlich die Macht, Sünden zu vergeben, vorbehalten. In Wirklichkeit kann aber Niemand Gott größere Schmach anthun, als derjenige, welcher Gottes Aufträge einschränken und das von ihm übertragene Amt wirkungslos machen möchte.",45,deutsch
16,Ambrosius von Mailand,Über die Buße,Über die Buße,4,"Wenn der Herr Jesus selbst gesagt hat: „Empfanget den heiligen Geist; denen ihr die Sünden erlasset, denen sind sie erlassen; denen ihr sie behaltet, denen sind sie behalten; wer ehrt ihn dann mehr: derjenige, welcher seinen Weisungen Folge leistet, oder derjenige, welcher sich denselben widersetzt?",45,deutsch
17,Ambrosius von Mailand,Über die Buße,Über die Buße,5,"Die Kirche übt nach beiden Seiten den rechten Gehorsam, sowohl wenn sie bindet, als wenn sie löset. Der Irrthum dagegen zeigt sich in dem einen Falle hart, in dem anderen ungehorsam: er will binden, was er nicht lösen mag; er will nicht lösen, was er gebunden hat, und so richtet er sich durch seinen eigenen Urtheilsspruch.",56,deutsch
18,Ambrosius von Mailand,Über die Buße,Über die Buße,6,"Der Herr wollte, daß das Recht zu lösen und zu binden neben einander bestehe, und darum hat er beides unter der gleichen Voraussetzung der Gegenseitigkeit verliehen. Wer darnach nicht das Recht hat, zu lösen, der hat auch nicht das Recht, zu binden.",42,deutsch
19,Ambrosius von Mailand,Über die Buße,Über die Buße,7,"So erstickt denn die Lehre jener Irrlehrer sich in sich selbst: da sie sich das Recht zu lösen absprechen, so müssen sie sich auch das Recht zu binden versagen. Oder wie kann das Eine ihnen gestattet, das Andere verwehrt sein? Es ist doch unzweifelhaft sicher, daß denjenigen, welchen Beides übertragen wurde, entweder beides oder keines zusteht.",56,deutsch
20,Ambrosius von Mailand,Über die Buße,Über die Buße,8,"So ist es: der Kirche steht beides, dem Irrthum steht keines zu, weil das Recht einzig den Priestern verliehen wurde. Die Kirche nimmt darnach mit Recht beides für sich in Anspruch, weil sie wahre Priester hat: der Irrthum, der keine Priester Gottes hat,1kann Nichtsbeanspruchen.",44,deutsch
21,Ambrosius von Mailand,Über die Buße,Über die Buße,9,"Gerade dadurch, daß er keine von beiden Vollmachten beansprucht, bekennt er aber von sich selbst, daß er, eben weil er keine Priester hat, auch nicht berechtigt ist, ein priesterliches Amt für sich zu beanspruchen. So tritt uns in schamloser Verstocktheit ein recht schämiges Bekenntniß entgegen.",45,deutsch
22,Ambrosius von Mailand,Über die Buße,Über die Buße,10,"Dabei ist noch besonders zu beachten, daß derjenige, welcher den heiligen Geist empfing, auch die Vollmacht erhielt, Sünden zu vergeben und zu behalten. So sprach der Herr: „Empfanget den heiligen Geist; denen ihr die Sünden nachlasset, denen sind sie nachgelassen; denen ihr sie behaltet, denen sind sie behalten.",48,deutsch
23,Ambrosius von Mailand,Über die Buße,Über die Buße,11,"Wer also die Lösegewalt nicht besitzt, der hat auch den heiligen Geist nicht. Das Amt des Priesters ist eine Gabe des heiligen Geistes, und dessen Recht besteht gerade im Nachlassen oder Behalten der Sünden: wie können nun diejenigen die Gabe des heiligen Geistes beanspruchen, die dem Rechte und der Macht desselben mißtrauen?",52,deutsch
24,Ambrosius von Mailand,Über die Buße,Über die Buße,12,"Kann es denn nun anmaßendere Menschen geben? Obwohl der Geist Gottes geneigter zum Erbarmen als zum Strafen ist, wollen sie doch das nicht, was er nach seinem eigenen Worte will, während sie das, was er nicht will, thun. Und doch ist es Sache der Gerechtigkeit, zu strafen, während der Barmherzigkeit Verzeihen geziemt.",52,deutsch
25,Ambrosius von Mailand,Über die Buße,Über die Buße,13,"Immerhin also, Novatian, wäre es erträglicher, wenn du statt der Binde- die Lösegewalt dir beilegtest: einmal würde die Anmaßung und in Folge dessen das Vergehen geringer sein, zum Anderen wäre zu beachten, daß du eben durch Mitleiden mit der Niederlage des Sünders dich zur Gewährung der Verzeihung hättest bestimmen lassen.2",50,deutsch
26,Ambrosius von Mailand,Über die Buße,Über die Buße,14,"Die Annahme, daß die Priester der Novatianer nicht wahre Priester seien, kann in der oben gegebenen Verbindung nur mit Rücksicht auf die mangelnde Jurisdiction eine gewisse Berechtigung beanspruchen, da der achte Nicänische Canon ausdrücklich die Priester der Novatianer, ebenso wie die Meletianischen Priester, als richtig geweiht, anerkennt.",47,deutsch
