id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Über die Jungfrauen,I. Kapitel. Proömium,1,"Die göttliche Offenbarung ein anvertrautes Talent; dessen Fruchtbarmachung Pflicht [1]. Wenn eigenes Unvermögen verstummt, spricht Gott in seinem Diener [2]. Ambrosius vergleicht sich mit Nathanael unter dem Feigenbaum, bezw. mit dem Feigenbaum der Lukasparabel [3]. Auch das schriftliche Wort hat seine Berechtigung. Thema der Lobrede [4].",46,deutsch
2,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,1,". Wenn wir nach dem Ausspruch der himmlischen Wahrheit über jedes Wort, das wir unnütz reden, Rechenschaft zu geben haben1; oder wenn jeder Knecht, falls er die ihm anvertrauten Talente der geistlichen Gnade, die doch zum Zweck der Mehrung durch Zinszuwachs auf dem Geldmarkt anzulegen waren, sei es nach Art eines ängstlichen Wucherers, sei es nach Art eines geizigen Besitzers, in sein Erdreich vergräbt, bei der Rückkehr des Herrn nicht in geringe Ungnade fällt2, muß sich uns mit Recht, da uns trotz der schwachen Begabung die strengste Pflicht zur Nutzbarmachung der anvertrauten Aussprüche Gottes im Herzen des Volkes obliegt, die Besorgnis aufdrängen, es möchte auch von unserem Predigtworte Zinsertrag gefordert werden, um so mehr, als der Herr von uns nur das Mühen, nicht den Erfolg verlangt.",126,deutsch
3,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,2,Daraus reifte denn der Gedanke zu einer schriftlichen Abhandlung. Ist doch das gesprochene Wort mehr als das geschriebene der Gefahr der Beschämung ausgesetzt: das Papier errötet nicht.,27,deutsch
4,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,1,"Wohl fehlt mir das Vertrauen auf meine Fähigkeit; doch durch Beispiele göttlichen Erbarmensermutigt wage ich, an eine Rede zu denken. Hat doch selbst eine Eselin geredet, da Gott es wollte1. Steht mir, dem unter der schweren Last dieser Welt Schmachtenden, ein Engel zur Seite, so werde auch ich den Mund nach langem Schweigen öffnen; denn er, der in jener Eselin die hemmenden Bande der Natur löste, kann auch die Hemmnisse meiner Unzulänglichkeit lösen.",73,deutsch
5,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,2,"In der alttestamentlichen Bundeslade fing der Stab des Priesters zu grünen an2: ein Leichtes für Gott, daß in der heiligen Kirche auch aus uns wie aus Knoten eine Blüte breche. Warum die Hoffnung aufgeben, daß der Herr in einem Menschen rede, nachdem er im Dorngestrüpp geredet hat?3Selbst einen Dornbusch verschmähte Gott nicht.",52,deutsch
6,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,3,"O daß er auch mein Gehecke erhellte! Vielleicht werden dann manche auch in unserem Dorngestrüpp einigen Lichtglanz bewundern; werden manche nicht den brennenden Schmerz unseres Dornes fühlen; wird manchen unsere aus dem Dornbusch vernehmliche Stimme den Schuh von den Füßen lösen4, daß ihr geistiger Wandel der Hindernisse des Fleisches los werde.",51,deutsch
7,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,1,"Doch das sind Auszeichnungen, deren heilige Männer gewürdigt wurden. O daß mich, der ich noch unter dem unfruchtbaren Feigenbaum liege, von ungefähr Jesu Blick träfe!1Auch unser Feigenbaum würde nach drei Jahren Früchte tragen2. Doch woher dürften Sünder so große Hoffnung schöpfen?",41,deutsch
8,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,2,"Möchte doch wenigstens jener Gärtner des Weinberges des Herrn im Evangelium, der vielleicht schon den Auftrag erhalten hat, unseren Feigenbaum umzuhauen, auch noch für dieses Jahr davon ablassen! Möchte er bis dahin noch rings aufgraben und einen Korb Dünger einlegen3, ob er nicht etwa den Dürftigen aus dem Staub heben undden Armen aus dem Kot aufrichten könnte!4Selig, die ihre Rosse unterm Weinstock und unterm Ölbaum anbinden können5, ihrer Mühen Lauf dem Licht und der Freude weihend!6Mich umschattet noch der Feigenbaum, d. i. der verführerische Reiz der Weltfreuden: zu niedrig, um zur Höhe zu streben, zu schwächlich, um leistungsfähig, zu weichlich, um nutzdienlich, zu unvermögend, um fruchtbringend zu sein.",108,deutsch
9,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,1,"Wundere sich niemand, warum ich mich zu schreiben unterfange, nachdem ich zu sprechen außerstande bin! Und doch, wenn wir uns vergegenwärtigen wollten, was wir in den Evangelienschriften und in der Geschichte der Priester lesen, wenn wir den heiligen Propheten Zacharias als Zeugen beiziehen wollten, so wird man finden, daß es etwas geben kann, was nicht das Wort ausspricht, was der Griffel ausdrückt.",62,deutsch
10,Ambrosius von Mailand,Über die Jungfrauen,Über die Jungfrauen,2,"Wenn der Name Johannes dem Vater die Sprache wiedergab1, darf auch ich die Hoffnung nicht aufgeben, daß ich, ob ich auch stumm bin, die Sprache erhalte, wenn ich Christus ausspreche. „Wer wird sein Geschlecht aufzählen? lautet die Frage des Propheten2. Als sein Diener will ich denn das Lob der Familie des Herrn feiern.",53,deutsch
