id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,1,"Hochberühmt war bei den Alten jenes Urtheil, welches Salomo einst fällte, als er von zwei streitenden Weibern angegangen wurde. Die Eine von diesen hatte Nachts im Schlafe ihr Kind erstickt und forderte nun das Kind der Anderen; diese aber, geleitet von dem Gefühle wahrer Mutterliebe und frei vom Schuldbewußtsein, vertheidigte für sich mit vollem Rechte ihren eigenen Sohn.",58,deutsch
2,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,2,"Da beide auf ihren Behauptungen hartnäckig beharrten, wurde der Richter unsicher und bedenklich; Salomo konnte ja nicht über die Geheimnisse der Seele aburtheilen und verhüllter war nichts, als die eigentliche Ueberzeugung der beiden Mütter. Mit Rücksicht auf die immerhin sehr zweifelhafte Entscheidung ließ Salomo ein Schwert bringen und befahl den Dienern, welche scheinbar der traurigen Pflicht ihres Dienstes sich unterzogen, den Knaben zu zertheilen, damit jede der klagenden Weiber ihren Theil erhielte.",72,deutsch
3,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,3,"Kaum war der Befehl erlassen, da beruhigte sich Jene, die das fremde Kind verlangt hatte, nicht bloß dabei, sondern heischte dringend ohne eine Regung mütterlichen Gefühles die Ausführung des Befehles. Die Andere aber, die ihr eigen Kind gar wohl kannte, fürchtete jetzt nicht, in diesem Streite zu unterliegen, — siefürchtete nur, ihr Kind zu verlieren.",55,deutsch
4,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,4,"Daran denkend, sich selbst vergessend, fing sie zu flehen an: man möge lieber das Kind unversehrt der Fremden geben, als daß es zertheilt der eigenen Mutter zufiele. Salomo aber fällte, nicht in göttlicher Erleuchtung, sondern auf Grund der menschlichen Wahrnehmung hinsichtlich der inneren Regung, das Urtheil: jener sei der Knabe unversehrt zu übergeben, welche der tiefe Schmerz als die wahre Mutter kundgegeben; die Andere aber, welche kein Mitleid mit dem, dem Tode geweihten Kinde gehabt, sei mit demselben durch kein Band der Natur verbunden, weil sie baar sei jeglichen Gefühles der Liebe.",92,deutsch
5,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,5,"Die Wahrheit bleibt also nicht verborgen, sie bricht hervor durch die Verstellung. So war es hier, wenn auch der Mutter vor dem zweifelhaften Ausgange bangte, so lange das Urtheil in seiner Unsicherheit sie bedrohte. Das ist aber zum Vorbilde geschehen in längstvergangenen Zeiten und zu unserer Belehrung aufgezeichnet, damit wir erkennen, daß Alles, was Lug und Trug, doch aufgedeckt wird.",60,deutsch
6,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,6,"Jene beiden Frauen bedeuten nun den Glauben einerseits, und andrerseits den Zweifel einer wankenden Seele. In dem thörichten Zweifel liegt der Ursprung jeglichen Irrthums: in seiner fleischlichen Befangenheit verliert er, geistig schlafend, die ganze Frucht der Zukunft, um dann die geistigen Kinder einer ganz anderen Mutter sich anzueignen.",48,deutsch
7,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,7,"Während nun so der Zweifel streitet, strömt der Glaube über, bis das Schwert Christi die innersten Gesinnungen offenbar macht. Welches ist nun dieses Schwert Christi? Jenes, von welchem geschrieben steht: „Ich bin gekommen, das Schwert in die Welt zu bringen. Und wiederum jenes, von dem das Wort gesprochen wurde: „Und auch deine Seele wird ein Schwert durchdringen.",57,deutsch
8,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,8,"Was aber dieses Schwert ist und gilt, das sagen uns die Worte des Apostels:1„Lebendig ist das Wort Gottes und wirksam und schärfer, als jedes zweischneidige Schwert, und dringet durch,bis daß es Seele und Geist, auch Mark und Bein scheidet und ist ein Richter der Gedanken und Gesinnungen des Herzens. 2",50,deutsch
9,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,9,"Wir wenden uns nunmehr zur Betrachtung einer Geschichte aus der Zeit der Richter in Israel. Wir wollen Acht haben auf die Erzählung vonJephte, der an seiner Tochter das Opfer vollzog.",30,deutsch
10,Ambrosius von Mailand,Über die Jungfräulichkeit,Über die Jungfräulichkeit,10,"In welchem Zusammenhange die Einleitung des ersten Capitels mit der Hauptabhandlung steht, ist schlechterdings nicht zu errathen. Wir haben durch Auslassung zweier kleiner Sätze und eine unwesentliche Umschreibung des letzten Satzes einenmöglichenZusammenhang wenigstens angedeutet. Auch die Mauriner meinen in der admonitio zu dieser Schrift: „Attamen ut fateamur quod res est, primae huic parti cum reliqua serie lucubrationis non multum intercedit cognationis.",61,deutsch
