id,author,work_title,title,section,text,word_count,language
1,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,1,"Es erscheint ganz zutreffend, daß sich an die Lobeserhebungen, welche ich in den vorhergehenden Büchern den Jungfrauen spendete,eine Abhandlung über die Wittwen schließt. Oder dürften wir ohne ein Zeichen ehrender Anerkennung an ihnen vorübergehen? dürften wir sie ausschließen von dem Ruhme, der den Jungfrauen gebührt, da doch das Wort des Apostels Beide verbindet: „Das ehelose Weib und die Jungfrausinnet, was des Herrn ist, damit sie heilig sei an Geist und Leib. 1Ohnehin gewinnt ja die Gotteslehre von der Jungfräulichkeit an Kraft auch durch die Beispiele der Wittwen.",87,deutsch
2,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,2,"Diejenigen von ihnen, welche mit ihrem Gatten in der Ehe jungfräulich lebten, sind ein lebendiger Beweis für die Jungfrauen, wie die volle Unversehrtheit Gott dem Herrn zu bewahren ist. Kaum von geringerer Tugendstärke aber zeugt dieEnthaltsamkeit derjenigen, welche vorher eines glücklichen Ehestandes sich erfreut haben.",45,deutsch
3,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,3,"Hier wie dort offenbart sich ein christlicher Starkmuth, der jede Schwäche ausschließt.",12,deutsch
4,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,4,"Es liegt freilich schon in dieser Tugendstärke selbst der Lohn eingeschlossen: dieFreiheit. „Gebunden, sagt der Apostel,2„ist das Weib all die Zeit, in welcher ihr Mann lebt; ist er aber entschlafen,so ist sie frei; sie mag heirathen, wen sie will, nur geschehe es im Herrn.",44,deutsch
5,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,5,"Seliger aber wird sie sein, wenn sie so bleibt gemäß meinem Rathe; ich meine aber, daß auch ich den Geist Gottes habe. Deutlicher kann der Apostel den Unterschied nicht ausdrücken, als wenn er Jenegebunden, diese aberseligernennt. Dabei beruft er sich nicht auf seine eigene menschliche Ueberzeugung, sondern auf die Unterweisung, die er vom göttlichen Geiste empfangen: so ist also jener Ausspruch nicht ein menschlicher, sondern ein göttlicher.",67,deutsch
6,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,6,"Was folgt nun aber daraus, daß einstmals, als auf dem ganzen Geschlechte schwer die Hungersnoth lastete, Elias zu einer Wittwe gesandt wurde?3Es ist dabei wohl zu beachten, wie den Einzelnen die eigenthümlichen Gnadenerweise zu Theil werden: zur Jungfrau wird ein Engel, zur Wittwe wird ein Prophet gesandt und zwar hier Elias, dort Gabriel, die erhabensten Führer also der Propheten und Engel.",61,deutsch
7,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,7,"Darin liegt jedoch nicht ein Lob des Wittwenstandes schlechtweg ohne Verbindung mit der entsprechenden Tugend. Es hat auch vorher und allezeit Wittwen gegeben, aber eine wird Allen vorgezogen, und dadurch werden die anderen weniger von ihrem Bestreben abgehalten, als vielmehr durch das Tugendbeispiel aufgemuntert.",44,deutsch
8,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,8,"Diese Vorbemerkung spannt wohl die Aufmerksamkeit, obwohl auch der einfache Sinn eine sittliche Vorschrift und eine dem Tugendbeispiel entsprechende Mahnung an die Jungfrauen enthält. Es ist ja doch ersichtlich, daß jene Wittwe nicht lediglich durch den Namen, sondern durch ihrVerdienst sich auszeichnete; sie sollte den Lohn der Gastfreundlichkeit nicht verlieren bei Gott, der nach dem Evangelium einen Trunk kalten Wassers mit dem unermeßlichen Lohne der Ewigkeit vergilt.",67,deutsch
9,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,9,"Er ersetzte den schwindenden Rest von Mehl und Oel durch die nicht versiegende Fülle zuströmender Gaben. — Esmuß so sein; denn wenn ein Heide sagt, daß Freunden Alles gemeinsam sein müße, um wie viel mehr gilt das von Verwandten! Wir aber sind als Glieder desselben Körpers in der That Verwandte.",50,deutsch
10,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,10,"Wir sind übrigens hinsichtlich der Gastfreundlichkeit nicht auf einen bestimmten Kreis eingeschränkt. Oder wie kann man das, was in der Welt ist, als Eigenthum des Einzelnen ansehen, da doch die Welt selbst Allen gemeinsam ist? Oder wie kann man die Früchte der Erde dem Einzelnen zusprechen, da doch die Erde Allen gehört? „Betrachtet die Vögel des Himmels, sagt der Herr, „sie säen nicht und ärnten nicht. 4Es soll ja denen, die kein Eigenthum haben, gleichwohl Nichts mangeln; und Gott der Herr weiß seine Verheissung wahr zu machen.",87,deutsch
11,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,11,"So sammeln die Vögel nicht ein und doch essen sie, denn der himmlische Vater ernähret sie. „Siehe, spricht der Herr, „ich habe euch gegeben alles Kraut, das sich besamet auf Erden, und alle Bäume, die in sich selbst Samen haben nach ihrer Art, daß sie euch zur Speise seien und allen Thieren der Erde und allem Geflügel des Himmels und Allem, das sich reget auf Erden. 5Diese ausnahmslose Zusage des göttlichen Wortes beschränken wir auf das persönliche Bedürfniß, und so darben wir, so gehen wir leer aus, während wir einsammeln.",90,deutsch
12,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,12,"Wir können freilich auch nicht auf die Verheißung hoffen, wenn wir die göttliche Mahnung nicht beachten. Es erscheint demnach heilsam, das Gebot der Gastlichkeit unseren Gästen gegenüber zu beachten: sind wir doch selbst nur Gäste der weiten Welt.",38,deutsch
13,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,13,"Wie groß war nun die Ehrfurcht, welche jene heilige Wittwe,6während sie der äußersten Noth preisgegeben war, gegen Gott bewahrte! Nicht für sich allein bereitete sie die letzte Nahrung, sondern sie theilte mit dem Sohne, damit die Mutter das Kind nicht überlebe.",41,deutsch
14,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,14,"Das ist erhabener Akt derTreue, aber größer war doch noch der Akt der Frömmigkeit. Während nämlich Niemand dem Sohne vorgezogen werden konnte, mußte der Prophet Gottes dem Kinde, ja dem eigenen Leben vorgezogen werden. Man muß wohl anerkennen, daß sie Jenem ihre Gabe nicht als geringe Speise darbot, sondern als denletztenBissen, mit dem sie ihr Leben noch fristen konnte: so gastlich war sie, daß sieAlleshingab, so vertrauensvoll, daß siesofortgläubig sich unterwarf.",71,deutsch
15,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,1,"Um des Lobes würdig zu werden, das der Apostel den Wittwen spendet, genügt also nicht, daß die Ehe durch den Tod des Gatten getrennt ist, es muß vielmehr die Tugend hinzutreten. Für solche gebe aber nicht ich Vorschriften, sondern der Apostel hat sie ausgesprochen.",44,deutsch
16,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,2,"Nicht ich allein will sie geehrt wissen, sondern der Völkerapostel hat das früher verlangt, wenn er sagt:1„Wittwen ehre, die wahrhaft Wittwen sind. Wenn aber eine Wittwe Kinder hat oder Enkel, so lerne sie zuerst ihr eigen Haus leiten und den Eltern Vergeltung erstatten.",43,deutsch
17,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,3,"Eine doppelte Tugendgesinnung muß darnach die Wittwe beseelen: sie muß ihre Kinder lieben und den Eltern gehorchen. Während sie so den Eltern Folgsamkeit zeigt, übt sie zugleich ihr Lehramt an den eigenen Kindern und lohnt sich auf diese Weise selbst durch ihre Pflichterfüllung; das, was sie Anderen gewährt, nutzt ihr selbst.",51,deutsch
18,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,4,"„Denn das, fährt der Apostel fort, „ist angenehm vor Gott. Wenn du, o Wittwe, sinnest, was Gottes ist, so mußt du auch das befolgen, wovon du weißt, daß es Gott wohlgefällig ist. In der That sagt ja der Apostel vorher, indem er zum Streben nach Keuschheit mahnt, daß die Wittwen auf das sinnen, was des Herrn ist.",57,deutsch
19,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,5,"Eine Wittwe aber, welche wohl erprobt zum heiligen Dienste ausersehen wird, soll nach einem weiteren Worte des Apostels nicht bloß sinnen, was des Herrn ist, sondern auch fest auf ihn hoffen. „Die, sagt er, „welche wahrhaft Wittwe und vereinsamt ist, hoffe auf Gott und beharre in Bitten und Gebeten Tag und Nacht.",52,deutsch
20,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,6,"Und nicht mit Unrecht fordert er, daß diejenigen ohne Tadel sein müssen, denen Tugendwerke aufgelegt werden, denen aber auch eine so große Würde zuerkannt wird, daß sie selbst von den Bischöfen geehrt werden sollen.",34,deutsch
21,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,7,"Welche aber zu solcher Wahl zugelassen werden sollen, das liegt in den Worten: „Sie soll nicht unter sechzig Jahren sein undeinesMannes Weib. Damit soll nicht gesagt werden, als ob dasAlter alleindie wahre Wittwe mache; es sollen vielmehr die Verdienste des Wittwenstandes ihren Lohn im Alter finden.",46,deutsch
22,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,8,"Erhabener steht ja Jene da, welche die anschwellende Gluth der Jugend bewältigt, ohne nach der Gunst eines Gatten, nach gesteigerter Freude reicheren Kindersegens zu verlangen. Oder ist sie in ihrer Jugendfülle nicht verehrungswürdiger als Jene, welche abgestorben im Greisenalter eine Tugend übt, die bloß natürlich ist?",46,deutsch
23,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,9,"Ebenso soll durch jene Worte des Apostels derjenigen, welche eine zweite Ehe einging — und der Apostel verdammt das keineswegs — und dann von Neuem das Eheband durch den Tod ihres Gatten gelöset sah, nicht ganz die wahre Wittwengesinnung abgesprochen werden.",41,deutsch
24,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,10,"Auch sie kann das Verdienst einer freilich erst späten Keuschheit sich erwerben: aber bewährter ist doch jene, welche auf die zweite Ehe verzichtete. In dieser leuchtet der Kampf um die Tugend, das Ringen um der Keuschheit willen; jene dagegen scheint mehrunter dem Einfluße des Alters oder einer natürlichen Scham zu handlen.",51,deutsch
25,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,11,"Die Stärke der Wittwe besteht aber nicht bloß in der äußeren Enthaltsamkeit, sondern in treuer ausgedehnter Tugendübung. Darum fährt der Apostel fort: „Wenn sie in guten Werken bezeugt wird, wenn sie Kinder aufgezogen, wenn sie Fremde beherbergt, wenn sie Heiligen die Füße gewaschen, wenn sie Bedrängten beigestanden, wenn sie jedem guten Werke sich hingegeben hat.",55,deutsch
26,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,12,"Man sieht, wie viele Tugendübungen hier verlangt werden; und zu den einzeln aufgeführten kommt noch die Nachfolge in jedem guten Werke.",21,deutsch
27,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,13,"Die jüngeren Wittwen sollen nach der Anweisung des Apostels gerade deßhalb vermieden werden, weil sie solchem Tugendwerke nicht gewachsen sind. Die Jugend ist dem Falle mehr ausgesetzt, weil die Gewalt der Begierden durch die Gluth des jugendlichen Alters noch mehr entfacht wird, und ein treuer Lehrer muß die Veranlassung zur Sünde zurückhalten.",52,deutsch
28,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,14,"Das ist die Grundlage einer guten Unterweisung, daß man erst die Sünde zu verhindern und dann die Tugend einzupflanzen sich bemüht. Da jedoch der Apostel sehr wohl wußte, daß die heilige Anna achtzigjährig, aber schon in ihrer Jugend Wittwe geworden, als Prophetin die Werke des Herrn vorausverkündigte, so kann er meines Erachtens die jüngeren Wittwen nicht schlechthin von dem Streben nach echter Wittwentugend haben ausschließen wollen.",66,deutsch
29,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,15,"Da er vielmehr geradezu sagt: „Es ist besser zu heirathen, als in Begierden zu erglühen, so hat er offenbar die Verehelichung als Heilmittel angerathen, damit diejenige, welche sonst Gefahr liefe, gerettet würde. Mit diesen Worten hat aber der Apostel keineswegs vorschreiben wollen, daß diejenigen, welche die Gnade der Enthaltsamkeit empfangen, besser thun, diesem Gnadenzuge nicht zu folgen.",57,deutsch
30,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,16,"Es ist ja in der That ein bedeutender Unterschied, dem Sinkenden zu Hilfe zu eilen und eine Tugend anzurathen für den standhaften Nachfolger des Herrn.",25,deutsch
31,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,17,"Wird es noch nöthig sein, daß ich von den menschlichen Urtheilen hinsichtlich der Behandlung der Wittwen rede, wenn wir uns erinnern, daß die Juden nach dem Berichte der heiligen Urkunde durch Nichts den Herrn so schwer beleidigten als dadurch, daß sie die Rücksicht auf die Wittwen und die Rechte der Waisen verletzten?",52,deutsch
32,Ambrosius von Mailand,Über die Wittwen,Über die Wittwen,18,"Das künden die Worte des Propheten, welche die Verwerfung des Volkes als wohl verdient hinstellen. Die Wittwen zu ehren, den Waisen Gerechtigkeit zu erzeigen, das allein wird als Grund angegeben, wenn der Zorn Gottes sollte besänftigt werden. „Schaffet Recht der Waise, beschirmet die Wittwe; alsdann kommet und klaget über mich, spricht der Herr. 2Wiederum heißt es: „Der Herr nimmt auf die Waisen und die Wittwe 3und: „Die Wittwen will ich segnen. 4Das ist um so erhabener, als ein Vorbild der Kirche darin verborgen liegt. — So sehet ihr denn, ihr heiligen Jungfrauen, daß jene Pflicht keineswegs leichtfertig vernachlässigt werden kann, welche durch die Zusage göttlicher Segnungen geehrt ist.",108,deutsch
