id,author,work_title,title,section,text,word_count,language
1,Aristides von Athen,Apologie,Apologie,1,An1den Imperator Caesar Titus (Aelius) Hadrianus Antoninus Augustus Pius der Philosoph Marcianus Aristides aus Athen,15,deutsch
2,Aristides von Athen,Apologie,Apologie,2,"Die syrische HS schickt voraus: Ferner die Apologie, die der Philosoph Aristides an Kaiser Hadrian wegen der Gottesverehrung richtete.",19,deutsch
3,Aristides von Athen,Apologie,Apologie,1,"1. Ich bin, o Kaiser, durch Gottes Vorsehung1auf die Welt gekommen. Und als ich den Himmel betrachtete2und Erde und Meer, und Sonne und Mond [erblickte] und die übrigen Schöpfungswerke, da erstaunte ich über dieses Weltgebäude3. 2. Ich begriff aber, daß sich die Welt und alles darin (nur) aus Zwang [seitens eines andern] bewegt, und ich sah ein, daß derjenige, der sie bewegt und erhält, Gott ist, [der darin verhüllt und dadurch verborgen ist4]; auch ist klar, daß das Bewegende stärker5ist als das Bewegte, und das Erhaltende stärker als das Erhaltene .",91,deutsch
4,Aristides von Athen,Apologie,Apologie,2,"Aber nachzugrübeln über den Beweger des Alls, wie beschaffen er (nämlich) ist - denn soviel ist mir ersichtlich: er ist ja seiner Natur nach unbegreiflich - und zu handeln über die Festigkeit seiner Weltordnung, um sie ganz zu begreifen, bringt mir keinen Gewinn, kann sie ja doch niemand vollkommen begreifen. 3.",51,deutsch
5,Aristides von Athen,Apologie,Apologie,3,"Ich behaupte aber von dem Weltbeweger, daß er der Gott des Alls ist, der alles um des Menschen6willen gemacht hat; und mir scheint das (allein) von Wert zu sein, daß man Gott verehre und den (Mit-) Menschen nicht kränke.. Ich behaupte aber, daß Gott ungezeugt7ist und ungemacht8, von niemand umfaßt wird, selbst aber alles umfaßt9, (daß er ist) eine durch sich seiende10Form11, anfangslos12und endlos, unvergänglich13, unsterblich, vollkommen und unbegreiflich14.",69,deutsch
6,Aristides von Athen,Apologie,Apologie,4,"Wenn ich sagte: vollkommen, so heißt das, daß er keinen Mangel hat und nichts bedarf15, während alles seiner bedarf; und wenn ich sagte, daß er anfangslos ist, so heißt das, daß alles, was einen Anfang hat, auch ein Ende hat, und alles, was ein Ende hat, auflösbar ist.",48,deutsch
7,Aristides von Athen,Apologie,Apologie,5,"5. Er hat keinen Namen16; denn alles, was einen Namen hat, gehört mit zum Geschaffenen. Er hat keine Gestalt und keine Zusammensetzung von Gliedern; denn wer solches hat, gehört mit zu den Gebilden. Er ist nicht männlich und nicht weiblich17. Der Himmel umfaßt ihn nicht, vielmehr wird der Himmel und alles Sichtbare und Unsichtbare von ihm umfaßt. 6.",58,deutsch
8,Aristides von Athen,Apologie,Apologie,6,"Er hat keinen Gegner; denn es gibt niemand, der stärker wäre als er18. Er hat nicht Grimm und Zorn19; denn es gibt nichts, das ihm widerstehen könnte. Irrtum und Vergeßlichkeit liegt nicht in seiner Natur; denn er ist ganz und gar Weisheit und Einsicht und durch ihn besteht alles20, [was besteht].",51,deutsch
9,Aristides von Athen,Apologie,Apologie,7,"Er heischt nichtSchlacht- und Trankopfer21, noch eines von den sichtbaren Dingen; [von niemand heischt er etwas,] aber alle Lebewesen heischen von ihm.",22,deutsch
10,Aristides von Athen,Apologie,Apologie,8,"S sklavisch: die Ausschmückung der Welt. A sinngemäß: den Bau der Welt. Vgl. 1Klem 33,3; Tatian 21.",17,deutsch
