id,author,work_title,title,section,text,word_count,language
1,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Dieweil ich in Erfahrung gebracht habe, daß nicht Wenige, welche ihrer Einbildung zufolge sich gar große Einsicht zutrauen, rasen, toben und gleichsam als wie etwas Offenbares aus einem Orakelspruche verkünden: nachdem auf dem Erdkreise das Christenvolk angefangen habe, sey derselbe in Verfall und mannigfaltige Uebel suchten das Menschengeschlecht heim; ja selbst die Himmlischen, welche sonst unsre Angelegenheiten zu beachten pflegten, hätten sich die gewohnte Sorgfalt hintansetzend dem Bereiche der Erde entzogen: so beschloß ich nach Fassung und Unvermögen der Rede dem Schimpf zu begegnen, wie auch die ränkevollen Anschuldigungen zu vernichten, damit ein Mal jene nicht etwa meinen durch Vorbringung solcher Pöbelreden etwas Bedeutendes auszusagen, und dann, damit, enthalten wir uns derlei Streitigkeiten, sie nicht glauben, ein Recht, durch ihre Schlechtigkeit gewonnen und durch das Schweigen der Verteidiger nicht zerstört, erlangt zu haben: denn keinesweges möchte ich läugnen, diese Beschuldigung sey eine sehr schwere, und allerdings verdienten wir den feindseligen Haß, fände sich außer Zweifel gesetzt bei uns der Grund, weßhalb der Weltgang von seinen üblichen Gesetzen abgewichen, die Götter verbannt und dem Menschengeschlecht solche Schwärme von Drangsalen herbeigeführt worden.",180,deutsch
2,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Wir wollen also dieser Meinung Sinn beschauen, und welcher Art das Gesagte sey. Wir wollen, mit Entfernung aller Neigung zu Streit, durch welche die Betrachtung der Dinge nur verdunkelt und verhüllt zu werden pflegt, ob das AusGesagte wahr sey, durch die Prüfung schicklicher Punkte erwägen: denn in Wahrheit wird sich durch die Verbindung der Schlußfolgen darthun, daß nicht so sehr wir Unfromme, sondern vielmehr sie selbst, welche sich als die Verehrer der Götter und Anhänger der altherkömmlichen Religion bekennen, von jener Beschuldigung getroffen werden.",84,deutsch
3,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Zuerstuntersuchen wir die ihnen so heimische und gefällige Rede: nachdem der Name der christlichen Lehre auf Erden angefangen, was Ungewöhnliches, Unbekanntes, wider das von Anfang her angeordnete Gesetzliche jener Zustand der Dinge, den man Natur nennt, empfunden oder ertragen habe? Ob jene ersten Elemente, aus welchen alle Dinge, wie übereinstimmend ist, zusammengefügt worden, in entgegengesetzte Qualitäten umgewandelt wurden?",58,deutsch
4,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,3,"Ob wohl die Fügung dieser Maschine und dieses Gebäudes, welche uns Alle decken und umschließen, in irgend einem Theil nachließ oder sich auflöste? Ob etwa der Umschwung des Himmels, abschweifend von dem Maaße seiner ursprünglichen Bewegung, entweder langsamer zu schleichen oder mit hastigerer Schnelle fortgerissen zu werden begann?",48,deutsch
5,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,4,"Ob die Sterne von Westen her nun aufsteigen und im Osten zum Untergang sich neigen? Ob die Königin der Sterne, die Sonne selbst, deren Licht Alles schmückt und mit Farbe belebt, zu entbrennen nachließ, lau wurde und die natürliche Beschaffenheit gewöhnlicher Temperatur in entgegengesetzten Zustand fälschte?",46,deutsch
6,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,5,"Ob der Mond abließ sich zu erneuen und zurückzuführen immerfort durch Erneuerung die alten Gestaltungen? Ob die Kälte, die Hitze, die mittlere Wärme der ungleichförmigen Jahreszeiten durch Verwirrung zu Grunde gingen? Ob der Winter jetzt lange Tage habe, und ob des Sommers Nacht spätes Licht hervorrufe?",46,deutsch
7,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,6,"Ob die Winde ausgeblasen, ob nach erloschenem Feuer weder der Himmel mit Wolken sich umziehe, noch der Acker von Regen befeuchtet gedeihe? Den ihr anvertrauten Samen weigert die Erde zu empfangen? Nicht wollen die Bäume ergrünen? Die Schmackhaftigkeit der eßbaren Früchte, der Saft des Weinstockes, sie sind gewandelt?",48,deutsch
8,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,7,"Den Olivenkernen wird garstige Gauche [ Jauche, Grimm Wb] entpreßt, und nicht wirkt das erloschene Licht? Die dem Festlande eigenthümlichen Thiere, wie auch die im Wasser lebenden leiden keine Brunst, pflanzen sich nicht fort? Die im Mutterschooß empfangenen Fruchtgebilde werden nicht auf ihre Weise und gemäß ihrer Siegel bewahrt?",49,deutsch
9,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,8,"Die Menschen selbst endlich, welche die erste, beginnende Betriebsamkeit durch die bewohnbaren Striche des Erdkreises hin zerstreut, knüpfen sie nicht mit rechtlicher Förmlichkeit das Eheband? erzeugen sie nicht die süßesten Nachkommen? betreiben sie nicht öffentliche, bürgerliche und eigene Geschäfte? bilden sie nicht, wie ihnen beliebt, ihren Geist und ihre Talente in mannigfaltigen Künsten und Wissenschaften aus, und treiben eifriger Bemühung Zinsen ein?",62,deutsch
10,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,9,"Herrschen sie nicht? befehlen sie nicht, welchen hierzu das Loos gefallen ist? wachsen sie nicht täglich an Würde und Macht? sitzen sie nicht den Streitigkeiten der Gerichte vor? legen sie nicht Gesetz und Recht aus? Ja, feiern nicht Alle alles Uebrige, wodurch das menschliche Leben umgürtet und zusammengehalten wird, nach der bei ihren Völkern altväterlich hergebrachten Weise und Anordnung?",59,deutsch
11,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Da diese Dinge also bestehen und keine Neuerung hereingebrochen ist, welche den andauernden Bestand derselben durch Trennung der Fortdauer geändert hat, was sagt man denn, es sey der Erde ein Verderben zugefügtworden, nachdem die christliche Lehre in die Welt hereingekommen der verborgenen Wahrheit Geheimniß offenbarte?",45,deutsch
12,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Die Pestseuchen aber, sagen sie, die Dürre, die Kriege, die Heuschrecken, die Mäuse, der Hagelschlag und die andern schädlichen Zustände, welche den menschlichen Lebensverkehr bestürmen, verhängen die durch eure Frevel und Beleidigungen erbitterten Götter über uns. Wäre es nun nicht Thorheit, bei ganz augenscheinlichen, keiner Verteidigung bedürftigen Dingen länger zu verweilen, so könnte ich in Wahrheit der verflossenen Jahrhunderte eingedenk darthun, wie diese von euch erwähnten Uebel nicht unbekannt, nicht jählings waren; noch auch, daß diese Verderbnisse, nachdem unser Volk dieses Namens Glückseligkeit zu empfangen gewürdigt worden, hereinzubrechen und durch der Unterschiede Umstellung die menschlichen Zustände zu belästigen angefangen haben: denn sind wir daran Schuld, wurden zur Strafe unsres Verbrechens diese Pestseuchen ersonnen, woher wußte das Alterthum die Namen der Mißgeschicke? woher gab es dem Kriege die Benennung? wie konnte es die Pest, den Hagelschlag bezeichnen? oder unter seine Worte, in welchen die Sprache sich darthat, aufnehmen?",147,deutsch
13,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,3,"Sind nämlich diese Uebel neu und haben sie Veranlassung von frischen Widerwärtigkeiten, wie konnte geschehen, daß es Worte für Dinge bildete, deren Erkenntniß ihm mangelte und die es in keiner Zeit der Vorfahren entstanden wußte? Man sagt, Mangel der Furcht und Angst vor Hungersnoth bedrängten uns dichter.",47,deutsch
14,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,4,"Die alten und ältesten Jahrhunderte waren wohl ehedem solcher Noth ledig? Bezeugen und rufen nicht die Namen selbst, mit welchen man diese Uebel bezeichnete, nie sey ein Sterblicher ihrer befreit dahingegangen? Ist die Sache schwer zu glauben, so könnten wir durch der Schriftsteller Zeugnisse darthun, welche und wie bedeutende Völker so vielmal schauderhafte Hungersnoth erduldet haben und durch häufige Dürre zu Grunde gerichtet wurden.",64,deutsch
15,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,5,"Ungemeine Hagelschläge ereigneten sich und trafen allenthalben: denn finden wir nicht in alten Schriften aufgezeichnet und zusammengetragen, wie daß auch Steinregen oft ganze Landschaften zerstörten? Regenmangel macht die Saat abstehen und kündet Unfruchtbarkeit des Bodens an. Das Alterthum war wohl solcher Uebel ledig? da wir doch erfahren haben, daß selbst große Ströme zu Staub ausgetrocknet sind. Pestseuchen verbrennen das Menschengeschlecht.",60,deutsch
16,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,6,"Durchlauft die in verschiedenartigen Sprachen verfaßten Annalen und ihr werdet vernehmen, oftmals seyen sämtliche Länder verwüstet ihrer Bewohner beraubt worden. Heuschrecken, Mäuse vernichten und fressen jede Art Frucht. Durchgeht euere Geschichten, und ihr werdet euch unterrichten, wie oft die Vorzeit von diesen Uebeln heimgesucht dem Jammer der Nothdurft zu Theil wurde.",51,deutsch
17,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,7,"Die durch die heftigsten Bewegungen der Erde erschütterten Städte schwanken bis zur Gefahr. Wie nun, haben die früheren Zeiten keine durch die größten Spaltungen des Erdbodens sammt den Einwohnern versunkene Städte geschaut? oder waren sie etwa vor solcherlei Unfällen glücklicher Weise gesichert?",42,deutsch
18,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,Wann ist das Menschengeschlecht durch Ueberschwemmungenvertilgt worden? nicht schon vor uns? Wann ward die entzündete Welt in Glut und Asche aufgelöst? nicht bereits vor uns? Wann bedeckten die ansehnlichsten Städte Meeresfluthen? nicht vor uns? Wann führte man mit wilden Thieren Kriege und kämpfte mit Löwen? nicht vor uns?,48,deutsch
19,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Wann kam den Völkern die Gefahr von giftigen Schlangen? nicht vor uns? Weil ihr nun ferner gewohnt seyd, uns die Veranlassung häufiger Kriege vorzuwerfen, die Verwüstungen der Städte, die Einfälle der Germanen und Skythen, so will ich euch deßwegen mit eurer Erlaubniß und gütigen Nachsicht sagen, was in dem Gesagten eigentlich sey, und ihr aus Lust zu Ränken nicht seht.",60,deutsch
20,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Daß vor zehntausend Jahren eine große Menge Menschen von der Insel, welche man für die Atlantis des Neptuns hält, wie Platon darthut, hervorbrach und eine Unzahl Nationen gänzlich vertilgte: daran waren wir Schuld? Daß die Assyrier und Baktrianer unter Anführung des Ninus und Zoroasters einst nicht bloß mit dem Schwerdt und Truppenmacht kriegten, sondern auch mittels der Magier und mit den geheimen Disciplinen der Chaldäer, dieß geschah durch unsere Mißgunst?",70,deutsch
21,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Daß Helena unter dem Schutze und auf Antrieb der Götter entführt, ihrer Zeit und der Zukunft ein grauses Verhängniß wurde, dieses Verbrechen ist unserer Lehre beizulegen? Daß jener frevelhafte Xerxes das Meer dem Festlande einfügen und überschreiten wollte, dieß vollbrachte er unseres Namens wegen?",44,deutsch
22,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,3,"Daß ein innerhalb Makedoniens Gränzen entsprossener Jüngling des Orients Reiche und Völker der Eroberung und Knechtschaft unterwarf, das verursachten und erregten wir? Daß dann die Römer, gleichwie ein reißender Strom alle Völker überschwemmten und in sich versenkten, unbezweifelbar haben wir ihren Geist in die Wuth hineingestürzt?",46,deutsch
23,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,4,"Wenn nun aber sich kein Mensch findet, der das vor Zeiten Geschehene unsern Zeiten zuzuschreiben wagt, welcher Weise können wir dann der gegenwärtigen Drangsale Ursache seyn, da nichts Neues sich ereignet, sondern Alles alt auch keiner ehemaligen Zeit unerhört ist.",40,deutsch
24,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Wiewohl ihr sagt, diese Kriege würden wegen der Mißgunst unsrer Lehre erregt, dennoch läßt sich unschwer beweisen, wie daß, nachdem Christus auf Erden gehört worden, dieselben nicht sowohl zugenommen, sondern vielmehr größten Theils durch Unterdrückung der Wuth entkräftet wurden: denn da wir, eine so mächtige Menge durch seinen Unterricht und seine Gebote empfangen haben, nicht müsse Böses mit Bösem vergolten werden; es sey trefflicher Unrecht erleiden als anthun, sein eigenes Blut vergießen als mit dem eines Anderen Hand und Gewissen beflecken; so genießt sogleich der undankbare Erdkreis eine Wohlthat von Christus, der die wilde Wuth sänftigte und die feindlichen Hände vom Blute verwandter Geschöpfe abzuhalten begann.",106,deutsch
25,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Wollten nun Alle, welche einsehen, sie seyen Menschen nicht der Leibesgestalt nach, sondern gemäß dem Vermögen der Vernunft, überhaupt nur ein wenig den heilsamen und friedlichen Verordnungen Gehör geben, und nicht aus Stolz und Arroganz mehr ihren Sinnen als seinenErmahnungen glauben, so lebte alsbald der ganze Erdkreis, den Gebrauch des Eisens zu sanftern Werken gewendet, in behaglichster Ruhe und stimmte durch unverletzte Bündnisse des Friedens überein.",66,deutsch
26,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Wird aber durch euch, sagen sie, keinerlei menschlicher Zustand belästigt, woher dann diese Uebel, welche allzumal die bejammernswerte Sterblichkeit bedrängen und belasten? Du forderst von mir eine diesem Gegenstande nicht nothwendige Auseinandersetzung: denn die gegenwärtige in Handen [sic] befindliche Untersuchung ist nicht deßwegen unternommen, um darzuthun oder zu erproben, welcherlei Ursachen und Gründen zufolge jedes Ding geschehe; sondern um zu zeigen, wie fern die Schmachrede eines so großen Verbrechens von uns sey.",72,deutsch
27,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Wenn ich dieß aber zu Tage fördere: denn durch Thatsachen und glänzende Beweise der Sache Wahrheit sich entwickelt, so bin ich unbesorgt, woher diese Uebel oder aus welchen Quellen und Anfängen sie hervorstömen.",33,deutsch
28,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Damit es nun aber doch nicht scheinen mag, ich hätte, gefragt, was ich über derlei Dinge denke, keine Antwort geben können, so kann ich sagen: Wie etwa, wenn die erste Materie, welche in die vier Elemente der Dinge geordnet worden, die Ursachen aller Drangsalen in ihren bestimmten Gesetzen eingewickelt enthielt?",50,deutsch
29,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Wie, wenn der Gestirne Bewegung nach gewissen Himmelszeichen, Häusern, Konstellationen diese Uebel erzeugten und den Unterworfenen die Nothwendigkeiten nach mannigfaltiger Sonderung spendeten? Wie, wenn zu festgesetzten Zeiten der Dinge Wechsel stattfände, und wie bei der Meeresfluth, halb glückliche Zustände herzuströmten, bald diese hinwiederum kehrende Uebel zurückdrängten?",46,deutsch
30,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,3,"Wie, wenn diese Hefe der Materie, die wir unter unsern Füßen zertreten, das Gesetz für sich empfangen hätte, die schädlichsten Dünste auszuhauchen, wodurch die Athmosphäre verpestet, den Leibern Seuche verursacht und den Lebensverkehr entkräftet? Wie, wenn, was das schicklichste aber, Alles uns widerlich Erscheinende, der Welt selbst kein Uebel ist; und wir Alles was zu unserm Vortheile angeordnet geschieht, nach unfrommer Ansicht als Wirkungen der Natur lästern?",67,deutsch
31,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,4,"Jener erhabene Platon, das Haupt und der Grundpfeiler der Philosophen, hat in seinen Dialogen jene wilden Ueberschwemmungen und Verbrennungen der Welt als Reinigungen der Erde angeführt; und nicht hat der weise Mann sich gescheut, des Menschengeschlechtes Vernichtung, Verheerung, Verfall, Untergang, Hinsterben Erneuerung der Dinge zu nennen und einer an Kraft wieder hergestellten Jugend zu vergleichen.",55,deutsch
32,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Der Himmel verweigert den Regen, sagt man, und wir sind wegen, ich weiß nicht welchem Fruchtmangel bekümmert. Was verlangst du aber, daß die Elemente deiner Nothdurft dienen? und damit du bequemer und üppiger leben kannst, sollen die Jahreszeiten willfährig deiner Bequemlichkeit sich erweisen?",43,deutsch
33,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Wie, wenn solcher Weise der eifrigste Schiffer sich beklagte, daß so lange kein Wind wehe und jeder Hauch ruhe? Müßte man da nicht sagen, diese Stille sey der Welt verderblich, weil den Wünschen desSchiffenden zuwider? Wie, wenn einer, von der Sonne versengt zu werden und den Körper auszudörren gewohnt worden, aus ähnlichem Grunde sich beklagte, daß angehäufte Wolken die Annehmlichkeit der Heiterkeit entzogen haben?",64,deutsch
34,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,3,"Muß man deßhalb sagen, die Wolken, weil deckend, hängend, sie unnützer Sucht sich zu röthen und Gelegenheit zum Trinken sich zu bereiten verwehren, seyen für feindlich zu schätzen? Alle diese Ereignisse, welche in diesem Weltgebäude geschehen und sich begeben, müssen nicht nach unserem Vortheile, sondern nach den Gesetzen und Ordnungen der Natur selbst erwogen werden.",55,deutsch
35,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Auch wenn Etwas sich ereignet, was uns selbst oder unsere Zustände wenig durch erfreulichen Erfolg begünstigt, ist es nicht gleich ein Uebel und darf keinesweges als zum Verberblichen gehörig angenommen werden. Mag der Himmel regnen oder nicht regnen, sich selbst regnet er oder nicht; und was dir vielleicht unbekannt ist, entweder kocht er durch die Heftigkeit der Trockenheit die zu große Erdfeuchtigkeit ein, oder er mildert die längst angedauerte Dürre durch Regengüsse.",72,deutsch
36,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,2,"Pestseuchen, Krankheiten, Hungersnoth und andere verderbliche Formen der Uebel bringt man in Erinnerung; woher weißt du aber, ob, was strotzt, nicht deshalb hinweggerafft wird, damit durch diese Hinwegnahme die Ueppigkeit ein Maaß finde?",33,deutsch
37,Arnobius der Ältere,Gegen die Heiden,Gegen die Heiden,1,"Du wagst zu sagen, dieß und jenes ist in der Welt ein Uebel, davon du weder den Ursprung noch die Ursache erklären, lösen magst; und weil es deiner Genüsse, vielleicht auch Begierden Lust hindert, nennst du es verderblich und widrig. Wie also, weil die Kälte deinen Gliedern zuwider ist, deines Blutes Hitze zu kühlen pflegt, deßhalb soll kein Winter in der Welt seyn?",63,deutsch
