id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,1,"Unsers heiligen Vaters Athanasjus, Erzbischofes zu Alexandrien,Abhandlung über die Synoden zu Rimini in Italien, und zu Seleucia in Isaurien.",19,deutsch
2,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,2,"Vielleicht ist auch zu euch der Ruf von der Synode gelangt, über die jetzt allenthalben gesprochen wird; denn nach allen Orten sind Schreiben von dem Kaiser und den Statthaltern ergangen, um die, welche sich versammeln sollten, zu derselben einzuladen. Allein weil ihr beieuerer Wißbegierde die Verhandlungen kennen zu lernen wünschet; hielt ich es für angemessen, Alles, was ich gesehen und genau erfahren habe, auch euch kund zu thun, damit ihr nicht, wenn ihr es von Andern höret, einen Zweifel heget, zumal da Manche die Sache anders, als sie sich zugetragen, zu erzählen pflegen.",93,deutsch
3,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,3,"Das Concilium wurde also nicht zu Nicäa, wie bestimmt war, gehalten; sondern es erschien ein zweiter Befehl, daß nämlich die Bischöfe des Abendlandes zu Rimini zusammenkommen, die des Morgenlandes in dem sogenannten rauhen Seleucia, in Isaurien, versammelt werden sollten. Als Vorwand zu dieser Versammlung aber wurde angegeben, es sollte über den Glauben an unsern Herrn Jesus Christus gehandelt werden.",59,deutsch
4,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,4,"Dieses Gerücht verbreiteten nämlich von Pannonien aus Ursacius, Valens und ein gewisser Germinius, von Syrien aus aber Acacius, Eudoxius und Patrophilus, Bischof der von den Scythen benannten Stadt Scythopolis. Denn diese, welche immer auf der Seite des Arius waren, und weder wissen, was sie glauben, noch was sie behaupten, allmälich aber Alle verführen und den Samen ihrer Ketzerei ausstreuen, brachten Einige, welche ein Gewicht zu haben schienen, und den ketzerischen Kaiser Constantius selbst durch Verstellung, als wäre es ihnen um den Glauben zu thun, dahin, daß er eine Synode veranstaltete; sie wähnten nämlich, daß sie die Synode zu Nicäa verdunkeln, und so Alle von ihrer Gesinnung abwendig machen könnten, so daß die Gottlosigkeit anstatt der Wahrheit überall herrschen würde.",119,deutsch
5,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,1,"Fürs Erste nun muß ich mich wundern, (und ich glaube, daß jeder Verständige dieses einsieht,) daß, da eine allgemeine Synode angesagt war, und diese Alle erwarteten, dieselbe plötzlich getheilt wurde, so daß die Einen hier zusammenkamen, die Andern aber dort sich versammelten.",42,deutsch
6,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,2,"Dieses war aber wohl das Werk der Vorsehung, damit aufder einen Synode der unverfälschte und reine Glaube der Einen offenbar, auf der Andern hingegen die verdächtige und zweifelhafte Ansicht der Andern widerlegt würde. Zweitens bemerkte ich mit den rechtgläubigen Brüdern, die hier bei mir sind, auch dieses, und wir zürnten bei uns selbst, als wir das Ungeziemende dieses Zusammenlaufens gewahr wurden.",61,deutsch
7,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,3,"Denn was drängte so sehr, daß der Erdkreis in Verwirrung gerieth, und daß die, welche damals Kleriker genannt wurden, hin und her liefen und fragten, wie sie denn an unsern Herrn Jesus Christus glauben lernen sollten? Denn hätten sie geglaubt, so hätten sie nicht zu fragen gebraucht, als wüßten sie nicht, was sie glauben sollten.",55,deutsch
8,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,4,"Dieses aber gab den Katechumenen kein kleines Aergerniß, und den Heiden nicht wenig, sondern überflüssig Stoff zum Gelächter, daß Christen, als würden sie erst jetzt aus dem Schlafe geweckt, sich erkundigten, wie man an Christum glauben müsse, die sogenannten Kleriker unter ihnen aber, obschon sie, als Lehrer, die Ehrenbezeugungen von den Laien forderten, jetzt doch als Ungläubige sich bewiesen, indem sie suchten, was sie nicht hatten.",66,deutsch
9,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,5,"Und Ursacius mit seinen Genossen, welche an diesem Schuld waren, wußte nicht, welchen Schatz von Zorn er sich und ihnen hinterlegte, da der Herr durch den Mund seiner Heiligen spricht:1„Wehe jenen, durch welche mein Name gelästert wird unter den Heiden; und da er selbst in den Evangelien sagt:2„Wer aber Einen dieser Kleinen ärgert, für den wäre es besser, daß ihm ein Mühlstein an den Hals gehängt, und er in die Tiefe des Meeres versenkt würde, als daß er, wie Lukas beifügt,3„Einen dieser Kleinen ärgerte.",84,deutsch
10,Athanasius von Alexandrien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,Abhandlung über die Synode zu Rimini in Italien und zu Seleucia in Isaurien,1,"Denn welche Lehre fehlte der katholischen Kirche zur Gottseligkeit, daß sie jetzt über den Glauben Untersuchungenanstellen, und an die Spitze ihrer Erklärungen über den Glauben das Consulat der gegenwärtigen Zeit setzen? Denn Ursacius, Valens und Germinius mit ihren Genossen haben gethan, was bei den Christen niemals weder geschehen noch gehört worden ist.",52,deutsch
