id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",1,"Abhandlung über die Worte: „Mir sind alle Dinge von meinem Vater übergeben worden, und Niemand kennt den Sohn, als der Vater; so kennt auch Niemand den Vater, als der Sohn, und wem es der Sohn offenbaren will. 1",38,deutsch
2,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",2,"Auch dieses verstehen die Anhänger der Sekte des Arius und des Eusebius, und seine Mitketzer nicht, und handeln daher gottlos gegen den Herrn. Denn sie sagen: Wenn ihm Alles übergeben worden ist, (unter dem WorteAllesverstehen sie nämlich die Herrschaft über die Schöpfung,) so war einmal eine Zeit, wo er nicht Alles hatte.",52,deutsch
3,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",3,"Wenn er es aber nicht hatte, so ist er nicht aus dem Vater. Denn wäre er aus demselben, so hätte er es ja immer gehabt als aus ihm seyend, und es wäre nicht nöthig gewesen, daß er es empfangen hätte. Allein auch hieraus wird sich ihr Unverstand noch mehr beweisen lassen.",51,deutsch
4,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",4,"Denn nicht die Herrschaft über die Schöpfung, oder die Lenkung der gemachten Dinge bezeichnet dieser Ausdruck, sondern er will irgend einen Sinn der göttlichen Anordnung andeuten. Denn wenn ihm, als er es sagte, alle Dinge übergeben wurden; so war die Erschaffung des Wortes offenbar unnütz, ehe es dieselben erhielt.",49,deutsch
5,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",5,"Und was soll der Ausspruch:2„In ihm bestehen alle Dinge? Wurde ihm aber gleich bei dem Entstehen der Schöpfung dieselbe ganz übergeben; so war die Uebergebung nicht nothwendig; denn durch ihn sind alle Dinge geworden; und es war überflüssig, dem Herrn dasjenige zu übergeben, dessen Urheber er selbst war.",48,deutsch
6,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",6,"Denn erwar ja der Herr der Schöpfung, weil er sie machte. Ist sie ihm aber erst, nachdem sie entstanden war, übergeben worden; so sieh das Ungereimte! Denn wenn sie ihm übergeben wurde, und wenn der Vater, als sie das Wort übernommen hatte, zurücktrat; so laufen wir Gefahr, in die Sagen, welche Einige erzählen, zu gerathen, daß er, nachdem er sie diesem übergeben hatte, selbst zurückgetreten sey.",66,deutsch
7,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",7,"Oder hat, wenn der Sohn hat, auch der Vater; so hätte man nicht sagen sollen „sind übergeben worden; sondern er habe den Sohn zum Mitgenossen angenommen, wie Paulus den Silvanus. Aber dieses ist noch ungereimter; denn Gott bedarf nichts, und er nahm nicht aus Bedürfniß den Sohn zu Hülfe; sondern er macht, weil er der Vater des Wortes ist, Alles durch dasselbe, und übergibt ihm nicht die Schöpfung, sondern sorgt durch dasselbe und in demselben für die Schöpfung, so daß weder ein Sperling ohne den Vater auf die Erde fällt3, noch das Gras ohne Gott gekleidet wird4und daß, da der Vater wirkt, bisher auch der Sohn wirkt5.",107,deutsch
8,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",8,"Demnach ist die Ansicht der Gottlosen nichtig. Denn es ist nicht so, wie sie meinen, sondern der Ausspruch deutet die Anordnung dem Fleische nach an.",25,deutsch
9,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",1,"Denn nachdem der Mensch gesündiget hatte und gefallen war, und als nach seinem Falle Alles in Verwirrung gerathen war, herrschte der Tod von Adam bis auf1Moses, die Erde war verflucht, die Hölle geöffnet, das Paradies verschlossen, der Himmel erzürnt, und endlich der Mensch verderbt und dem Viehe gleich gemacht, und der Teufel spottete unser.",54,deutsch
10,Athanasius von Alexandrien,"Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""","Abhandlung über die Worte: ""Mir sind alle Dinge von meinem Vater übergeben worden.""",2,"Da sprach nun der gütige Gott, welcher den nach seinem Ebenbilde geschaffenen Menschen nicht wollte zu Grunde gehen lassen:2„Wen soll ich senden,und wer wird hingehen? Und während Alle schwiegen, sprach der Sohn: „Sieh! ich bin da, sende mich. Hierauf sagte der Vater: „Geh! und übergab ihm den Menschen, damit das Wort selbst Fleisch werden, und das Fleisch, nachdem er es angenommen hätte, durchaus bessern möchte.",65,deutsch
