id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,1,"Nachdem wir das Schreiben deiner Gottseligkeit durchlesen hatten, gaben wir zwar deinem frommen Glauben an Christum wahrhaft unsern Beifall, und priesen vor Allem Gott, welcher dir diese Gnade verlieh, daß du rechtgläubige Gesinnungen hegest, und die Ränke des Teufels, so viel als möglich, kennst, wunderten uns aber über die Verkehrtheit der Ketzer, indem wir sahen, wie sie in einen solchen Abgrund der Gottlosigkeit versunken sind, daß sie nicht einmal mehr ihre Sinne gesund erhalten, sondern eine durchaus verderbte Seele haben.",80,deutsch
2,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,2,"Diese Verwegenheit ist aber eine Eingebung des Teufels, und eine Nachahmung der gottlosen Juden. Denn wie jene, nachdem sie von allen Seiten widerlegt waren, Gründe gegen sich selbst ersannen, bloß um den Herrn zu läugnen, und die Weissagungen gegen sich selbst anzuführen; eben so ersinnen auch diese, da sie sich allenthalben gebrandmarkt und ihre Ketzerei von Allen verabscheuet sehen, Verbrechen, um in dem Kampfe gegen die Wahrheit nicht abzulassen, und wahrhaft Christi Feinde zu bleiben.",75,deutsch
3,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,3,"Denn woher ist bei ihnen auch dieses Verbrechen gekommen? Wie haben sie es überhaupt gewagt, diese neue Lästerung gegen den Heiland auszusprechen? Allein der Gottlose ist, wie bekannt, etwas Böses, und wahrhaft verwerflich hinsichtlich des Glaubens1. Denn anfangs läugneten sie die Gottheit des eingebornen Sohnes Gottes, und nahmen den Schein an, doch wenigstens seine Ankunft imFleische anzuerkennen, jetzt aber ließen sie, indem sie allmählich tiefer herabstiegen, auch diese ihre Meinung fahren, und wurden gänzlich Gottesläugner, so daß sie ihn weder als Gott anerkennen, noch glauben, daß er Mensch geworden ist.",90,deutsch
4,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,4,"Denn glaubten sie es, so würden sie nicht solche Dinge gesprochen haben, welche deine Frömmigkeit gegen sie niederschrieb.",18,deutsch
5,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,1,"Du nun, Geliebter und wahrhaft Ersehntester, hast der Ueberlieferung der Kirche und der Religion Christi ganz entsprechend gehandelt, da du diese Leute widerlegtest, ermahntest und zurecht wiesest. Weil sie aber auf Antrieb ihres Vaters, des Teufels, es nicht erkannt und nicht eingesehen haben, sondern wie geschrieben steht1, im Finstern wandeln; so sollen sie von deiner Frömmigkeit lernen, daß ihre verkehrte Ansicht die des Valentinus, Marcion und Manichäus sey, von welchen die Einen anstatt der Wahrheit bloßen Schein einführten, die Andern aber das Untheilbare theilten, und folgende Schriftstelle läugneten.2„Das Wort ist Fleisch geworden, und hat unter uns gewohnt."" Warum erben sie also, da sie dasselbe, wie jene denken, nicht auch ihre Namen?",111,deutsch
6,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,2,"Denn es ist billig, daß sie auch die Namen derjenigen haben, deren schlechte Ansicht sie behaupten, so daß sie künftighin Valentinianer, Marcionisten und Manichäer genannt werden. Denn vielleicht werden sie sich wenigstens dieser berüchtigten Namen schämen, und einzusehen vermögen, in welchen Abgrund der Gottlosigkeit sie gerathen sind.",47,deutsch
7,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,3,"Es wäre zwar gerecht gewesen, ihnen nichts mehr zu antworten, nach der Ermahnung des Apostels:3„Einen ketzerischen Menschen meide, wenn du ihn ein und das anderemal zurecht gewiesen hast, überzeugt, daß ein solcher verkehrt ist, und sündiget, so daß er sich selbstverurtheilet;"" zumal, da auch der Prophet von solchen sagt:4„Der Thor wird Thorheit reden, und sein Herz wird Eitles denken."" Allein weil auch sie, nach dem Beispiele ihres Führers, wie Löwen umher gehen und suchen, wen sie von den Unbehutsamen verschlingen, darum wurde es für uns nothwendig, deiner Frömmigkeit entgegen zu schreiben, damit die Brüder, durch deine Mahnung abermals unterwiesen, immer mehr und mehr die Nichtigkeit des Geschwätzes jener Menschen einsehen.",110,deutsch
8,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,1,"Beten wir nicht ein Geschöpf an? Keineswegs, denn ein solcher Irrthum ist die Sache der Heiden und der Arianer; sondern wir beten den Herrn der Schöpfung, das Fleisch gewordene Wort Gottes an. Denn wenn auch das Fleisch selbst, an und für sich betrachtet, ein Theil der Geschöpfe ist, so ist es dennoch Gottes Leib geworden.",55,deutsch
9,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,2,"Wir trennen aber den Leib nicht von dem Worte und beten ihn nicht für sich an, und wir entfernen, wenn wir das Wort anbeten wollen, dasselbe nicht von dem Fleische, sondern wir erkennen, weil wir, wie wir oben bemerkt haben, den Ausspruch: „Das Wort ist Fleisch geworden,"" wohl wissen, dieses auch, da es im Fleische ist, als Gott an.",59,deutsch
10,Athanasius von Alexandrien,Brief an den Bischof und Bekenner Adelphius,Brief an den Bischof und Bekenner Adelphius,3,"Wer ist nun so unverständig, daß er zu dem Herrn sagen würde: Weiche von dem Körper, damit ich dich anbete? Oder wer ist so gottlos, daß er mit den thörichten Juden wegen des Leibes zu ihm sagen möchte:1„Warum machst du, der du ein Mensch bist, dich selbst zu Gott?"" Aber kein solcher war jener Aussätzige; denn er fiel anbetend vor Gott, welcher im Leibe war, nieder, und erkannte, daß er Gott war, mit den Worten: „Herr! wenn du willst, so kannst du mich reinigen."" Und er hielt weder das Wort Gottes wegen des Fleisches für ein Geschöpf, noch achtete er, weildas Wort der Schöpfer der ganzen Schöpfung ist, das Fleisch, das es angezogen hatte, gering, sondern betete den Schöpfer des Weltalls wie in einem geschaffenen Tempel an, und wurde gereiniget.",130,deutsch
