id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,1,Athanasius wünscht dem Bruder und Mitdiener Serapion Freude in dem Herrn.,11,deutsch
2,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,2,"Ich habe dein ehrfurchtsvolles Schreiben gelesen, in welchem du uns ermahntest, wir möchten dir unsere Angelegenheiten und die gegenwärtigen Vorfälle erzählen, und zugleich über die höchst gottlose Ketzerei der Arianer schreiben, wegen welcher wir diese Leiden erduldeten, und welches Lebensende Arius gehabt habe.",43,deutsch
3,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,3,"Da du also drei Dinge von mir verlangtest, habe ich zwei bereitwillig gethan, und deiner Frömmigkeit mein Schreiben an die Mönche übersendet; denn aus diesem kannst du sowohl das auf uns, als auch das auf die Ketzerei Bezügliche ersehen. Was aber den dritten Punkt betrifft, nämlich den Tod des Arius, habe ich vieles erwogen, weil ich fürchtete, es möchte Jemand vermuthen, daß ich mich über den Tod des Mannes lustig mache.",71,deutsch
4,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,4,"Weil jedoch bei euch über die Ketzerei gesprochen wurde, und die Untersuchung mit der Frage endigte, ob Arius in der Kirchen-Gemeinschaft gestorben sey; deßwegen habe ich, da ich von der Geschichte seines Todes die Lösung dieserFrage abhängt, nothwendiger Weise mich beeilt, die Sache genau zu erzählen, in der Meinung, es sey eines und dasselbe, dieses zu erzählen, und dem Streite für die Folge ein Ende zu machen.",67,deutsch
5,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,5,"Denn ich glaube, daß, von seinem wunderbaren Tode in Kenntniß gesetzt, nicht einmal mehr diejenigen, welche früher hierüber Untersuchungen anstellten, es wagen werden, daran zu zweifeln, daß die arianische Ketzerei Gott verhaßt sey.",33,deutsch
6,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,1,"Ich war zwar in Constantinopel nicht anwesend, ats jener mit Tod abging; aber der Priester Makarius war zugegen, und aus dessen Munde habe ich die Sache vernommen. Arius wurde nämlich, auf Betreiben der Eusebianer, von dem Könige Constantius dahin berufen; und der König fragte den Arius, als dieser eingetreten war, ob er den Glauben der katholischen Kirche habe; dieser aber betheuerte seine Rechtgläubigkeit durch einen Schwur, und übergab eine Abschrift seines Glaubensbekenntnisses, in welchem er das verheimlichte, weßwegen er von dem Bischofe Alexander aus der Kirche gestossen worden, und Worte der heiligen Schriften arglistig einschaltete.",95,deutsch
7,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,2,"Nachdem er nun geschworen hatte, daß er nicht jene Meinung gehabt habe, wegen welcher ihn Alexander ausgeschlossen hatte, entließ ihn der König mit den Worten: „Hast du den rechten Glauben, so hast du gut geschworen; ist aber dein Glaube gottlos, und du hast dennoch geschworen, so mag Gott nach dem Schwure deine Sache richten.",54,deutsch
8,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,3,"Nachdem er also auf diese Weise von dem Könige hinweggegangen war, wollten ihn die Eusebianer mit ihrer gewöhnlichen Gewaltthätigkeit in die Kirche einführen; der Bischof von Constantinopel, der selige Alexander aber, widersetzte sich und sagte, der Urheber der Ketzerei dürfe nicht in die Kirchengemeinschaft aufgenommen werden.",46,deutsch
9,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,4,"Und nun erwiederten die Eusebianer unter Drohungen: „Wie wir, auch gegen euern Willen, es bewirkt haben,daß der König ihn kommen ließ, so wird morgen, wenn es auch deiner Meinung nicht entspricht, Arius in dieser Kirche mit uns der Versammlung beiwohnen. Es war aber Samstag, als sie dieses sagten.",48,deutsch
10,Athanasius von Alexandrien,Brief an den Bruder Serapion,Brief an den Bruder Serapion,1,"Als nun der Bischof Alexander dieses hörte, ward er tief betrübt, ging in die Kirche, hob seine Hände zu Gott empor, warf sich unter Thränen vor dem Altare auf sein Angesicht nieder, und betete auf dem Boden liegend. Es war aber auch Makarius zugegen; er betete mit ihm und hörte, was er sagte.",53,deutsch
