id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,1,"Ich bin unschlüssig, was ich schreiben soll; soll ich dich tadeln, daß du die bischöfliche Würde ablehnest, oder daß du auf die Zeitumstände schauest und dich aus Furcht vor den Juden verbirgst? Man mag jedoch die Sache so oder anders betrachten, so verdient dein Verfahren Tadel, mein geliebter Dracontius!",49,deutsch
2,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,2,"Denn du hättest nach dem Empfange der Gnade dich nicht verbergen, und den Uebrigen, da du einsichtsvoll bist, keinen Vorwand zur Flucht geben sollen. Denn viele, welche davon gehört haben, ärgern sich daran, zwar nicht, weil du überhaupt so handelst, sondern weil du, da du die Zeitumstände und die der Kirche drohenden Drangsale siehst, so handelst.",56,deutsch
3,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,3,"Und ich fürchte, du möchtest, indem du deinetwegen fliehest, wegen Anderer bei dem Herrn in Gefahr befunden werden. Dennwenn es für denjenigen,1„welcher einen der Kleinen ärgert, besser wäre, daß ihm ein Mühlstein an den Hals gehängt, und er in die Tiefe des Meeres versenkt würde; was wird mit dir geschehen, der du für so viele ein Gegenstand des Aergernisses geworden bist?",61,deutsch
4,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,4,"Denn jene bewunderungswürdige Einhelligkeit des Alexandrinischen Bezirkes, welche bei deiner Erwählung herrschte, wird in Folge deiner Entfernung nothwendig durch Spaltungen zerstört werden, und die Bischofswürde des Bezirkes selbst werden Viele an sich zu reißen suchen, und zwar Viele, welche nicht rechtgläubig, und so beschaffen sind, wie du selbst weißt.",49,deutsch
5,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,5,"Ferner werden die Heiden, welche unter der Bedingung, daß du eingesetzt werdest, Christen zu werden versprochen haben, im Heidenthume verharren, weil deine Aengstlichkeit die ihr verliehene Gnade gering achtet.",29,deutsch
6,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,1,"Welche Rechtfertigung wirst du also bei diesen Verhältnissen vorbringen? Mit welchen Worten wirst du solche Schulden abwaschen und tilgen können? Wie wirst du diejenigen heilen, welche durch dich gefallen, und geärgert worden sind? Oder wie wirst du den Frieden nach der Entstehung von Spaltungen wieder herzustellen im Stande seyn?",49,deutsch
7,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,2,"O theurer Dracontius! du hast uns anstatt Freude Trauer, anstatt Trost Betrübniß verursacht. Denn wir hofften, du würdest uns Trost gewähren; und jetzt sehen wir dich fliehen; wir sehen, daß du vor das Gericht gerufen, überwiesen, und in der Gefahr deine Handlung bereuen wirst.",44,deutsch
8,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,3,"Denn wer wird, wie der Prophet sagt1, dir Nachsicht schenken? Wer wird sich bewogen finden, dir den Frieden zu geben, wenn er die Brüder, für welche Christus gestorben ist, durch deine Flucht beschädiget sieht? Denn dusollst wissen und es nicht bezweifeln, daß du vor deiner Ordination dir selbst lebtest, nach der Ordination aber denen, für die du ordinirt worden bist.",60,deutsch
9,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,4,"Und ehe du die Gnade der Bischofswürde erhieltst, warst du Niemanden bekannt; jetzt aber, nachdem du ordinirt bist, erwartet das Volk, daß du ihm die Speise darreichest, nämlich die Lehre der Schriften. Wenn also diese, während sie dich erwarten, hungern, und du nur dich allein nährst, und indeß unser Herr Jesus Christus kommt, und wir vor ihm erscheinen, was wirst du dann für eine Rechtfertigung haben, wenn er seine Schafe hungern sieht?",72,deutsch
10,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,5,"Denn hättest du die Denare nicht empfangen, so würde er dir gewiß keinen Vorwurf machen; da du sie aber empfangen, vergraben und versteckt hast, so wird er dich mit Recht tadeln und jene Worte sprechen, welche deine Frömmigkeit ja nicht hören möge:2„Du hättest mein Geld den Wechslern geben sollen, damit ich bei meiner Zurückkunft dasselbe von ihnen zurückfordern könnte.",59,deutsch
11,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,1,"Ich beschwöre dich, schone deiner und unser; deiner nämlich, damit du nicht in Gefahr gerathest; unser aber, damit wir uns wegen deiner nicht betrüben dürfen. Trage Sorge für die Kirche, damit nicht deinetwegen Viele von den Kleinen Schaden leiden, und damit nicht Andere davon Anlaß nehmen sich zurückzuziehen.",48,deutsch
12,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,2,"Hast du es aber aus Furcht vor den Zeitumständen und aus Schüchternheit gethan; so zeigt dieses keine männliche Denkweise an; denn du hättest deinen Eifer für Christum in solchen Bedrängnissen an den Tag legen, und gerade bei diesen Umständen mit Vertrauen folgende Worte des seligen Paulus aussprechen sollen:1„Bei allem dem überwinden wir; vorzüglich, weil wir nicht der Zeit, sondern dem Herrn dienenmüssen.",62,deutsch
13,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,3,"Gefällt dir aber die Einrichtung der Kirchen nicht, und meinst du, die mit der Würde eines Bischofes verbundene Dienstleistung erhalte keinen Lohn; sondern bist du so weit gegangen, daß du den Heiland, welcher dieses angeordnet hat, verachtest; so beschwöre ich dich, denke nichts dergleichen, und gib Leuten, welche einen solchen Rath ertheilen, kein Gehör; dieses ist ja eines Dracontius unwürdig.",60,deutsch
14,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,4,"Denn was der Herr durch die Apostel angeordnet hat, das bleibt gut und fest; die Feigherzigkeit der Brüder aber wird ein Ende nehmen.",23,deutsch
15,Athanasius von Alexandrien,Brief an den Dracontius,Brief an den Dracontius,1,"Denn hätten immer Alle dieselbe Gesinnung gehabt, welche jetzt deine Rathgeber haben, wie wärest du dann ein Christ geworden, da es keine Bischöfe gegeben hätte? Wenn auch unsere Nachfolger so denken würden, wie könnten dann die Kirchen bestehen? Oder glauben deine Rathgeber, du habest nichts empfangen, daß sie dich so verächtlich behandeln?",52,deutsch
