id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),1,"Alle Werke Gottes sind gut und rein; denn nichts unnützes oder unreines hat das Wort Gottes gemacht. Denn wir sind ein Wohlgeruch Christi unter denen, welche selig werden, nach dem Ausspruche des Apostels1. Da aber die Geschosse des Teufels mannigfaltig und listig sind, und er die Unbehutsamern im Sinne zu verwirren sucht, und die Brüder von ihren gewöhnlichen Uebungen abhält, indem er ihnen unreine und unkeusche Gedanken einflößt; wohlan! so wollen wir kurz den Trug des Bösen durch die Gnade unsers Heilandes vertreiben, und die Gesinnung der Unbehutsamern stärken. „Den Reinen zwar ist Alles rein2,"" bei den Unreinen aber ist das Gewissen und alles Uebrige unrein.",106,deutsch
2,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),2,"Ich wundere mich aber über die Verschlagenheitdes Teufels, welcher, obgleich er Verderben und Pest ist, doch dem Scheine nach reine Gedanken einflüstert. Es ist aber das, was geschieht, mehr eine Hinterlist, als eine läuternde Prüfung. Denn um, wie ich oben bemerkt habe, die Asketen von der gewohnten und heilsamen Betrachtung abzulenken, und dadurch den Schein des Sieges zu erhalten, erregt er einige solche Einflüsterungen, welche dem Leben keinen Nutzen bringen, sondern leere Untersuchungen und Possen zur Folge haben, welche wir verabscheuen müssen.",82,deutsch
3,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),3,"Denn, sage mir, o Lieber und Frömmster! was enthält der natürliche Auswurf Sündhaftes oder Unreines, wie wenn man den aus der Nase kommenden Rotz oder den Speichel aus dem Munde zum Gegenstande einer Beschuldigung machen wollte? Wir können noch mehr als dieses erwähnen, nämlich die Absonderungen durch den Unterleib, welche dem thierischen Wesen zum Leben nothwendig sind.",57,deutsch
4,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),4,"Und ferner, wenn der Mensch, wie wir nach den göttlichen Schriften glauben, ein Werk der Hände Gottes ist, wie konnte aus einer reinen Kraft irgend ein unreines Werk hervorgehen? Und wenn wir, wie in der Apostel-Geschichte steht3, Gottes Geschlecht sind, so haben wir gewiß nichts Unreines in uns.",48,deutsch
5,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),5,"Denn nur dann werden wir verunreiniget, wenn wir die höchst übelriechende Sünde begehen. Wenn aber jede natürliche Absonderung ohne unsern Willen geschieht, dann ertragen wir aus Natur-Nothwendigkeit, wie wir oben bemerkt haben, mit dem Uebrigen auch dieses. Allein weil diejenigen, welche nur dem richtig Gesagten, oder vielmehr den Werken Gottes widersprechen wollen, auch folgenden Ausspruch des Evangeliums verdrehen:4Nicht das, was hineingeht, verunreiniget den Menschen, sondern das, was herauskommt; so müssen wir auch diesen ihren Unsinn, denn ich will nicht sagen ihre Streitfrage, widerlegen.",83,deutsch
6,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),6,"Erstens nämlich verdrehensie, als Menschen, die keinen festen Grund haben, die Schriften nach ihrer eigenen Unwissenheit. Denn mit dem göttlichen Ausspruche verhält es sich so: Als nämlich Einige auf eine ähnliche Weise, wie diese, wegen der Speisen zweifelten, sprach der Herr selbst, um ihre Unwissenheit zu beseitigen, oder wenigstens den Betrug öffentlich aufzudecken; nicht das, was hineingehe, verunreinige den Menschen, sondern das, was herauskomme.",64,deutsch
7,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),7,"Dann fügt er auch bei, aus was es komme, nämlich aus dem Herzen. Denn er weiß gar wohl, daß dort die bösen Schätze unheiliger Gedanken und anderer Laster sind. Noch kürzer aber lehrt dieses der Apostel mit den Worten:5„Die Speise aber gibt uns keinen Werth vor Gott."" Man könnte aber auch hier mit Recht sagen: Eine natürliche Absonderung macht uns nicht strafwürdig.",62,deutsch
8,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),8,"Und vielleicht werden auch Aerzte (damit jene wenigstens von Fremden beschämt werden) dieses mit uns behaupten, daß dem thierischen Leibe einige nothwendige Wege gegeben seyen, um dadurch das Ueberflüssige in unsern Gliedern auszuscheiden, wie die überflüssigen Stoffe des Kopfes, die Haare, und die Flüssigkeiten, welche aus dem Kopfe kommen, ferner die Ausleerungen des Unterleibes, und folglich jener Auswurf der Samengänge.",60,deutsch
9,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),9,"Was für eine Sünde gegen Gott findet nun hierin statt, o gottesfürchtigster Greis, da selbst der Herr, welcher das Thier gestaltet hat, wollte und machte, daß diese Glieder solche Wege haben? Allein weil man den Einwürfen der Gottlosen zuvorkommen muß; denn vielleicht möchten sie sagen: Also ist auch der wirkliche Gebrauch derselben Sünde, da die Werkzeuge vom Schöpfer geschaffen worden sind; so wollen wir ihnen auf diesen Einwurf durch eine Frage erwidern, und sie zum Schweigen bringen durch die Worte: Welchen Gebrauch meinst du, den gesetzlichen, welchen Gott selbst erlaubte, indem er sagte:6„Seyd fruchtbar, und vermehret euch und füllet die Erde;"" und welchen auch der Apostel gut geheißen hat mit den Worten:7„Die Ehe werde in Ehre gehalten, und das Ehebett unbefleckt;"" oder jenen gemeinen, welcher heimlicher und ehebrecherischer Weise ausgeübt wird?",131,deutsch
10,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),10,"Denn auch bei den übrigen Dingen, welche im Leben geschehen, werden wir in Manchem einige Unterschiede finden. So ist es z. B. nicht erlaubt zu tödten; aber im Kriege die Gegner zu erschlagen ist nicht nur von dem Gesetze erlaubt, sondern auch lobenswürdig.",43,deutsch
11,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),11,"Daher werden die, welche im Kriege sich auszeichnen, mit großen Ehren belohnt, und es werden ihnen Denkmale errichtet, welche ihre Großthaten verkündigen. Folglich ist eines und dasselbe gewisser Massen und zu einer gewissen Zeit nicht erlaubt, gewisser Massen aber und zu einer gewissen Zeit erlaubt und gestattet.",47,deutsch
12,Athanasius von Alexandrien,Brief an den Einsiedler Amun,Brief an den Einsiedler Amun. (Epistula ad Amun),12,"Das nämliche Verhältniß findet auch hinsichtlich der Beiwohnung statt. Selig ist derjenige, welcher in der Jugend durch eine freie Ehe sich verbunden, und die Natur zur Zeugung angewendet hat; wenn aber zur Befriedigung der sinnlichen Gelüste, so wird die Hurer und Ehebrecher die Strafe treffen, welche bei dem Apostel geschrieben steht.",51,deutsch
