id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,"Abschrift des Briefes des Kaisers Jovianus, welchen er an den Athanasius, den hochheiligen Erzbischof zu Alexandrien, überschickte.",1,Dem Gott innigst liebenden und von Gott geliebten Athanasius entbietet Jovianus seinen Gruß.,13,deutsch
2,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,"Abschrift des Briefes des Kaisers Jovianus, welchen er an den Athanasius, den hochheiligen Erzbischof zu Alexandrien, überschickte.",2,"Mit großer Bewunderung deines höchst tugendhaften Lebenswandels, deiner Aehnlichkeit mit dem Gotte aller Dinge und deiner Anhänglichkeit an Christum unsern Heiland, dieser deiner erhabenen Tugenden, loben wir dich, geehrtester Bischof! daß du keine Beschwerde, keine Wuth der Verfolger gefürchtet, Gefahren und Drohungen des Schwertes wie nichts geachtet, und das Steuer des dir lieben richtigen Glaubens festgehalten und bisher für die Wahrheit gestritten hast, und daß du dich fortwährend als Vorbild und Muster der Tugend dem ganzen Volke der Gläubigen bewährst.",80,deutsch
3,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,"Abschrift des Briefes des Kaisers Jovianus, welchen er an den Athanasius, den hochheiligen Erzbischof zu Alexandrien, überschickte.",3,"Unsere Majestät ruft dich demnach zurück und wünscht, daß du zum Lehramte des Heiles wiederkehrest. Komm also zurück zu den heil. Kirchen-Gemeinden, und weide Gottes Volk; sendet gemeinschaftlich euere Gebete frohen Herzens empor zu Gott für unsere Milde. Denn wir wissen, daß durch dein Gebet sowohl wir, als auch die, welche mit uns christlich denken, von dem höchsten Gotte große Hülfe erlangen werden.",63,deutsch
4,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,Brief an den Kaiser Jovianus,1,"Einem gottesfürchtigen Kaiser geziemt ein lernbegieriger Eifer und Liebe der himmlischen Dinge; denn so wird dein Herz wahrhaft in Gottes Hand seyn. Da also deine Frömmigkeit den Glauben der katholischen Kirche von uns lernen will; so haben wir, nachdem wir dafür dem Herrn gedankt, für das Allerbeste erachtet, deine Frömmigkeit auf den Glauben aufmerksam zu machen, welchen die Väter zu Nicäa bekannt haben.",63,deutsch
5,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,Brief an den Kaiser Jovianus,2,"Denn Einige haben denselben verworfen, und eines Theils uns auf verschiedene Weise nachgestellt, weil wir der arianischen Ketzerei nicht beipflichten wollten, andern Theils in der katholischen Kirche Ketzerei und Spaltungen veranlaßt. Denn der wahre und fromme Glaube an den Herrn steht für Alle unverhüllt da, weil er aus den göttlichen Schriften ersehen und erkannt wird.",55,deutsch
6,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,Brief an den Kaiser Jovianus,3,"Denn in diesem eingeweiht sind die heil. Märtyrer geworden, sind jetzt, befreit von dem Leibe, bei dem Herrn. Dieser Glaube würde allzeit unverletzt geblieben seyn, hätte es nicht die Bosheit einiger Ketzer gewagt, ihn zu verfälschen. Denn ein gewisser Arius und seine Anhänger haben es versucht, jenen Glauben zu zerstören und Gottlosigkeit gegen ihn einzuführen, indem sie behaupteten, der Sohn Gottes sey aus Nichts, er sey ein Geschöpf und ein Werk und veränderlich.",73,deutsch
7,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,Brief an den Kaiser Jovianus,4,"Durch diese Reden haben sie Viele verführt, so daß selbst diejenigen, die Etwas zu seyn schienen, sich zu ihrer Gottlosigkeit verleiten ließen, obschon unsere heiligen Väter, welche, wie gesagt wurde, in der Synode zuNicäa versammelt waren, dieselben mit dem Anathema belegt, und den Glauben der katholischen Kirche in einem schriftlichen Bekenntnisse niedergelegt hatten, damit dieser allenthalben verkündiget und dadurch die von den Häretikern angezündete Flamme der Irrlehre ausgelöscht werden möchte.",70,deutsch
8,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,Brief an den Kaiser Jovianus,5,"Dieses Glaubensbekenntniß wurde nun überall in der ganzen Kirche ohne Hinterlist anerkannt und verkündigt. Da aber jetzt Einige die arianische Ketzerei erneuern wollen, und deshalb diesen Glauben, welchen die nicäischen Väter bekannt haben, zu verwerfen sich erfrechten, da sie dem Scheine nach ihn bekennen, in der Wahrheit aber läugnen, indem sie den Ausdruck „von gleicher Wesenheit unrichtig auslegen und selbst gegen den heil.",63,deutsch
9,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,Brief an den Kaiser Jovianus,6,"Geist lästern, durch die Behauptung, er sey ein Geschöpf und durch den Sohn gemacht; so haben wir nothwendiger Weise, in Erwägung des Schadens, welchen eine solche Gottlosigkeit den Völkern verursacht, uns beeilt, das zu Nicäa ausgesprochene Glaubensbekenntniß deiner Frömmigkeit zu übergeben, damit deine Frömmigkeit wisse, was mit aller Sorgfalt niedergeschrieben wurde, und wie sehr jene irren, welche von diesem Glaubensbekenntnisse Abweichendes lehren.",62,deutsch
10,Athanasius von Alexandrien,Brief an den Kaiser Jovianus,Brief an den Kaiser Jovianus,1,"Einem gottesfürchtigen Kaiser geziemt ein lernbegieriger Eifer und Liebe der himmlischen Dinge; denn so wird dein Herz wahrhaft in Gottes Hand seyn. Da also deine Frömmigkeit den Glauben der katholischen Kirche von uns lernen will; so haben wir, nachdem wir dafür dem Herrn gedankt, für das Allerbeste erachtet, deine Frömmigkeit auf den Glauben aufmerksam zu machen, welchen die Väter zu Nicäa bekannt haben.",63,deutsch
