id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus (Epistula ad Maximum philosophum),1,"Dieser Brief wurde ungefähr um dieselbe Zeit geschrieben, wie der vorhergehende an den Bischof Adelphius. Uebrigens scheint dieser Philosoph Maximus kein anderer zu seyn, als jener Alexandriner, dessen Gregor von Nazianz in der 23. Rede rühmlich gedenkt, dessen Name aber nachher in den Namen Hero umgeändert, oder über dessen Namen vielmehr der Name Hero geschrieben wurde, wie Hieronymus in seinem Catalog. Scriptor. Eccles. bemerkt.",64,deutsch
2,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus (Epistula ad Maximum philosophum),2,"Er eiferte viel gegen die Heiden und Ketzer, litt selbst für den Glauben, und soll auch ein treffliches Werk gegen die Arianer verfaßt, und zu Mailand dem Gratianus überreicht haben, wie gleichfalls der heil. Hieronymus a. g. O. bemerkt.",39,deutsch
3,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,1,"Dem geliebten und wahrhaft ersehntesten Sohne, dem Philosophen Maximus, entbietet Athanasius seinen Gruß in dem Herrn.",16,deutsch
4,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,2,"Als ich dein letzteres Schreiben durchlas, bemerkte ich zwar deine Frömmigkeit mit Wohlgefallen, wunderte mich aber über die Verwegenheit derjenigen, welche nicht verstehen, was sie sagen und worüber sie Behauptungen aufstellen, und faßte wirklich den Entschluß, zu schweigen. Denn über so einleuchtende Dinge, welche klarer als das Licht selbst sind, antworten, heißt nichts anders, als diesen sogottlosen Menschen Anlaß zur Unverschämtheit geben.",62,deutsch
5,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,3,"Und dieses haben wir vom Heilande selbst gelernt. Denn nach dem Pilatus die Hände gewaschen und die Verleumdung der damaligen Juden angehört hatte, antwortete ihm der Herr nicht mehr, sondern ermahnte vielmehr dessen Gattin1in einem Gesichte, man solle nicht der Worte, sondern der Macht wegen glauben, daß der, welcher gerichtet werde, Gott sey.",53,deutsch
6,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,4,"Derselbe aber, welcher dem Kaiphas auf seine albernen Fragen keine Antwort gab, führte durch seine Verheißung Alle zu seiner Erkenntniß. Daher also habe ich lange gezögert, und erst dann, als ich das Wortgezänke jener Unverschämten sah, mit Mühe deinem Eifer für die Wahrheit nachgegeben, aber nichts weiter vorgebracht, als was von dir geschrieben wurde, damit der Gegner eben durch dasjenige, welchem er widersprach, endlich überzeugt, seine Zunge vor dem Bösen bewahre, und seine Lippen, daß sie nicht Trug reden2.",79,deutsch
7,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,5,"Und gäbe Gott, daß sie nicht mehr mit den Juden, welche damals vorübergingen, dem am Kreuze Hängenden schmähend zurufen: Ist er Gottes Sohn, so helfe er sich selbst3! Schämen sie aber auch so sich nicht, so denke an die Vorschrift des Apostels:4„Einen ketzerischen Menschen meide, wenn du ihn das eine und das andere Mal zurecht gewiesen hast, überzeugt, daß solcher verkehrt ist, und sündiget, so daß er sich selbst verurtheilt.",70,deutsch
8,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,6,"Denn sind die, welche solches wagen, Heiden oder aus der Zahl der Judenthümler; so mögen sie entweder, wie die Juden, das Kreuz Christi für ein Aergerniß, oder, wie die Heiden, für eine Thorheit halten. Geben sie sich aber für Christen aus, so sollen sie wissen, daß der gekreuzigte Christus der Herr der Herrlichkeit, und Gottes Kraft und Gottes Weisheit ist.5",60,deutsch
9,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,1,"Zweifeln sie aber, ob er auch Gott sey, so sollen sie sich vor Thomas scheuen, welcher den Gekreuzigten mit den Händen berührt und bestätiget hat, daß derselbe Herr und Gott sey. Ja sie sollen den Herrn selbst fürchten, welcher nach der Fußwaschung der Jünger sprach:1„Ihr heißet mich Meister und Herr, und das mit Recht; denn ich bin es.„ Aber an demselben Leibe, in welchem er die Füsse wusch, trug er unsere Sünden hinauf an das Holz2.",76,deutsch
10,Athanasius von Alexandrien,Brief an den Philosophen Maximus,Brief an den Philosophen Maximus,2,"Auch damals wurde bezeugt, daß er der Herr der Schöpfung ist, als die Sonne ihre Strahlen zusammenzog, als die Erde erbebte, die Felsen sich spalteten, und die Henker selbst anerkannten, daß der Gekreuzigte wahrhaft Gottes Sohn sey. Denn der Leib, welchen man sah, gehörte nicht irgend einem Menschen an, sondern war Gottes Leib, in welchem er, auch als er gekreuziget wurde, Todte auferweckte.",63,deutsch
