id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,1,Dem Herrn Sohne und theuersten Mitdiener Rufinianus entbietet Athanasius seinen Gruß in dem Herrn.,14,deutsch
2,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,2,"Du schreibst, wie es einem geliebten Sohne an seinen Vater zu schreiben sich geziemt; ich habe dich daher, da du durch dein Schreiben nahtest, mit Freuden aufgenommen, vor Allen mir theuerster Rufinianus. Obwohl ich aber im Anfange, in der Mitte und am Ende des Briefes, dir wie einem Sohne schreiben könnte, so halte ich mich doch zurück, damit nicht aus dem Schreiben die Empfehlung und das Zeugniß erkannt werde.",69,deutsch
3,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,3,"Denn du bist mir ein Brief, wie geschrieben steht (2. Kor. III, 2.), erkannt und gelesen im Herzen. Dieses glaube, diese Gesinnung hege, ja, dieses glaube. Ich grüße dich, ich ermahne dich, mir wieder zu schreiben; denn nicht wenig, sondern ungemein erfreuest du mich, wenn du dieses thuest.",48,deutsch
4,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,4,"Weil du aber aus frommem Eifer und nach der Vorschrift der Kirche, wie es deiner Gottseligkeit geziemt, hinsichtlich derjenigen gefragt hast, welche zwar durch Zwang gefallen, aber doch nicht von dem Irrglauben angesteckt worden sind; und weil du gewünscht hast, ich möchte dir schreiben, was hinsichtlich dieser in den Synoden, und überall beschlossen worden ist; so wisse, mein theuerster Herr, daß im Anfange, als jene Gewaltthätigkeit aufgehört hatte, eine Synode2gehalten wurde, wobei die Bischöfe aus dem Auslande anwesend waren, daß ferner eine andere Synode bei den Mitdienern, welcheGriechenland bewohnen, und eben so auch bei denen in Spanien und Gallien Statt fand, und daß hier und aller Orten derselbe Beschluß gefaßt wurde, es sollte nämlich den Gefallenen, wenn sie Häupter der Gottlosigkeit waren, im Falle sie Reue zeigten, zwar verziehen, aber keine Stelle unter dem Klerus eingeräumt, denjenigen aber, welche die Gottlosigkeit nicht verfochten, sondern durch Zwang und Gewalt hingerissen wurden, nicht nur Verzeihung gewährt, sondern auch im Klerus eine Stelle verliehen werden; zumal da sie eine hinreichende Entschuldigung vorbrachten, und dieses gewissermassen einer göttlichen Fügung zu Folge geschehen zu seyn schien.",181,deutsch
5,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,5,"Denn sie behaupteten, daß sie nicht in Gottlosigkeit verfallen seyen, sondern daß sie, damit nicht einige höchst gottlose Menschen zur bischöflichen Würde gelangen und die Kirchengemeinden verderben möchten, es vorgezogen hätten, der Gewalt zu folgen, und diese Last zu tragen, als die Völker ihrem Verderben entgegen gehen zu lassen.",49,deutsch
6,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,6,"Und dieses scheinen sie uns nicht ohne Grund gesagt zu haben, zumal weil sie als Beispiel anführten, daß Aaron, der Bruder des Moyses, an das Volk in der Wüste bei dem Vergehen desselben sich angeschlossen, zu seiner Entschuldigung aber die Absicht gehabt habe, damit das Volk nicht nach Aegypten zurückkehren und in der Abgötterei verharren möchte; denn dieser Grund war vernünftig, weil sie, wenn sie in der Wüste blieben, von der Gottlosigkeit ablassen konnten, wenn sie aber nach Aegypten gezogen wären, in der Gottlosigkeit gewandelt und diese in sich vergrößert hätten.",91,deutsch
7,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,7,"Daher wurde die Verzeihung bis zu der Erlaubniß, wieder in den Klerus zu treten ausgedehnt; denn denjenigen, welche hintergangen und durch Gewalt gezwungen wurden, wird gerne Verzeihung ertheilt. Dieses mache ich auch deiner Frömmigkeit zu wissen, mit der Zuversicht, daß deine Gottseligkeit die Beschlüsse gefällig annehmen, und die Milde derjenigen, welche versammelt waren, nicht verwerfen werde.",56,deutsch
8,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,8,"Ich wünsche, daß dir dieses würdig scheine,auch den Priestern und den Laien vorgelesen zu werden, welche unter dir stehen, damit auch diese es erfahren, und dich wegen dieser deiner Gesinnung gegen jene nicht tadeln. Denn es wäre unpassend, wenn ich schriebe, da deine Frömmigkeit im Stande ist, sowohl unsere Ansicht hinsichtlich jener kund zu machen, als auch alles Fehlende zu ergänzen.",61,deutsch
9,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,9,"Dank dem Herrn, der dich erfüllt hat mit jedem Worte und aller Weisheit. Diejenigen also, welche Buße thun, sollen öffentlich und ausdrücklich die Irrlehre des Eudoxius und Euzoius verfluchen. Denn diese Vertheidiger der arianischen Ketzerei haben Christum gelästert und geschrieben, er sey ein Geschöpf.",44,deutsch
10,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,10,"Sie sollen auch bekennen das zu Nicäa von den Vätern abgelegte Glaubensbekenntniß und durchaus keine andere Synode dieser Kirchenversammlung vorziehen. Grüße die Brüder, welche bei dir sind, die, welche bei mir sind, grüßen dich in dem Herrn.",37,deutsch
11,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,11,"Dieser Brief scheint nicht lange vor dem Tode des heiligen Athanasius geschrieben zu seyn. Fast das Nämliche schrieb er auch an Basilius, wie man aus dessen 75. Briefe ersieht.",29,deutsch
12,Athanasius von Alexandrien,Brief an den Rufinianus,Brief an den Rufinianus,12,Nämlich zu Alexandrien. Uebrigens kommt diese ganze Stelle vor in Concil. Nicaeno ll. p. 74 et 680.,17,deutsch
