id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,1,"Hinlänglich zwar ist das, was von unserm Geliebten und Mitdiener Damasus, dem Bischofe des großen Roms, und von so vielen zugleich mit ihm versammelten Bischöfen, und nicht minder das, was von den Andern in Gallien und Italien gehaltenen Synoden über den gesunden Glauben niedergeschrieben wurde; über den Glauben, welchen uns Christus geschenkt, die Apostel geprediget und die Väter überliefert haben, die von unserm ganzen Erdenrunde zu Nicäa sich versammelt hatten.",70,deutsch
2,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,2,"Denn damals wurde mit einer großen Sorgfalt hinsichtlich der arianischen Ketzerei zu Werkegegangen, damit diejenigen, welche in dieselbe verfallen wären, von ihr wieder abwendig gemacht, und die Urheber derselben bekannt werden möchten. Diesem Glauben nun hat damals die ganze Welt beigestimmt, und auch jetzt haben, nachdem viele Synoden gehalten worden sind, Alle, nachdem sie daran erinnert worden waren, in Dalmatien, Dardanien, Macedonien, Epirus, Griechenland, auf Creta und andern Inseln, in Cypern und Pamphylien, Lycien, Isaurien, ganz Aegypten und Libyen, und die meisten aus Arabien demselben ihren Beifall gegeben, und die Unterzeichner bewundert, weil nämlich, wenn bei ihnen noch irgend eine Bitterkeit aus der Wurzel der Arianer übrig war und wiederum aufkeimen wollte, ich meine den Auxentius, Ursacius, Valens, und die, welche mit diesen gleiche Gesinnung hegen, diese Ueberbleibsel durch jene Schreiben abgeschnitten und ausgerottet wurden.",135,deutsch
3,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,3,"Demnach sind, wie wir oben bemerkt haben, die Nicänischen Beschlüsse hinreichend und genügend, sowohl um die ganze gottlose Ketzerei zu vernichten, als auch um die Lehre der Kirche zu sichern und zu fördern. Doch weil wir gehört haben, daß Einige in der Absicht, diesen Glauben zu bekämpfen, eine gewisse Synode, welche zu Rimini gehalten worden seyn soll, nennen und sich bestreben, dieser vor der Nicänischen den Vorzug zu verschaffen; so hielten wir es für nothwendig, euch durch unser Schreiben zu ermahnen, solchen Menschen kein Gehör zu geben; denn dieses ist nichts anders, als wieder ein Auswuchs der arianischen Ketzerei.",99,deutsch
4,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,4,"Denn was wollen diejenigen, welche die gegen diese Ketzerei gehaltene Synode, ich meine die Nicänische, verwerfen, was wollen diese anders, als daß die Lehre des Arius die Oberhand erhalte? Was verdienen nun solche anders, als daß man sie Arianer nenne, und daß sie dieselbe Strafe wie diese empfangen? wie diese, welche weder Gott fürchteten, der da spricht:1„Verrückedie ewigen Gränzsteine nicht, die deine Väter gesetzt haben;"" und:2„Wer seinen Vater, oder seine Mutter schmäht, der soll des Todes sterben; noch die Väter ehrten, welche Alle, die ihrem Bekenntnisse widersprechende Ansichten hätten, mit dem Bannfluche belegt haben.",94,deutsch
5,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,1,"Denn darum war die Synode zu Nicäa eine allgemeine, auf welcher dreihundert achtzehn Bischöfe sich versammelten, um wegen der arianischen Gottlosigkeit über den Glauben zu verhandeln, damit in der Folge nicht wieder theilweise unter dem Vorwande des Glaubens verschiedene Synoden gehalten werden, sondern, wenn solche gehalten würden, dieselben unwirksam seyn sollten.",51,deutsch
6,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,2,"Denn was mangelt ihr, daß Jemand Neues suchen sollte? Sie ist voll Gottseligkeit, meine Lieben; sie hat das ganze bewohnte Erdenrund erfüllt. Sie wurde von den Indiern, und von allen Christen, welche unter den übrigen Barbaren wohnen, anerkannt. Folglich ist die Mühe derjenigen vergebens, welche sie oft zu bestreiten versucht haben.",51,deutsch
7,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,3,"Denn bereits haben solche Menschen zehn und vielleicht mehr Synoden gehalten, in Allem ihre Ansicht geändert, Einiges von dem frühern weggenommen, in dem Folgenden Manches umgeändert und hinzugesetzt. Und bis jetzt hat es ihnen nichts genützt, daß sie schrieben, das Geschriebene ausstrichen, und Gewalt gebrauchten, indem sie nicht wußten, daß „jede Pflanze, welche nicht der himmlische Vater gepflanzt hat, von der Wurzel ausgerottet werden wird1"".",65,deutsch
8,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,4,"Das Wort des Herrn aber, welches durch den allgemeinen Kirchenrath zu Nicäa vorgetragen wurde, bleibt in Ewigkeit. Denn wenn man Zahl mit Zahl vergleicht, so übertreffen die Väter zu Nicäa jene, welche sich theilweise versammelten, eben so sehr an Zahl, als das Ganze einen Theil an Größe übertrifft.",48,deutsch
9,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,5,"Will aberJemand die Ursache, warum die Nicänische Synode, und die so vielen nach ihr gehalten wurden, untersuchen; so wird er finden, daß die Nicänische einen sehr vernünftigen Grund hatte, die Andern aber aus Haß und Streitsucht mit Gewalt zu Stande gebracht wurden.",42,deutsch
10,Athanasius von Alexandrien,Brief an die Bischöfe in Afrika,Brief an die Bischöfe in Afrika,6,"Denn jene wurde wegen der arianischen Ketzerei und wegen der Osterfeier zusammengerufen, weil die Syrer, die Cilicier und die Bewohner Mesopotamiens von uns abwichen, und zur nämlichen Zeit, wie die Juden, das Osterfest2feierten. Aber Dank dem Herrn, daß sowohl hinsichtlich des Glaubens, als auch hlnsichtlich jener heiligen Feier Alle übereinkamen!",50,deutsch
