id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,1,"Allen, welche allenthalben das Einsiedlerleben üben, im Glauben an Gott gestärkt und in Christo geheiligt sind, und sagen:1„Sieh! wir haben Alles verlassen, und sind dir nachgefolgt, den geliebten und sehr theuern Brüdern, große Freude in dem Herrn!",37,deutsch
2,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,2,"Euerer Freundschaft willfahrend und oft von euch dazu aufgefordert habe ich endlich meine und der Kirche Drangsale kurz aufgezeichnet, und nach Kräften die verabscheuungswürdige Ketzerei der Ariomaniten widerlegt und gezeigt, wie weit dieselbe von der Wahrheit entfernt ist. Was ich aber bei dem Niederschreiben empfunden habe, glaube ich euerer Frömmigkeit bekannt machen zu müssen, damit ihr auch hieraus erkennet, wie wahr das ist, was der selige Apostel gesagt hat:2„O Tiefe des Reichthumes der Weisheit und der Erkenntniß Gottes! und mir von Natur schwachen Menschen verzeihet.",85,deutsch
3,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,3,"Denn je mehr ich schreiben wollte, und mir selbst Zwang anthat, die Gottheit des Wortes zu begreifen, desto weiter wich die Erkenntniß von mir; und ich erkannte, daß ich in demselben Grade von ihr entfernt war, in welchem ich sie erfaßt zu haben glaubte.",44,deutsch
4,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,4,"Denn nicht einmal dasjenige, was ich zu verstehen wähnte, vermochte ich niederzuschreiben; sondern auch das, was ich schrieb, war weniger, als der, wenn auch kleine, Schatten der Wahrheit in meinem Geiste.",31,deutsch
5,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,1,"Da ich nun sah, daß im Prediger geschrieben steht:1„Ich sprach: Ich will weise werden; aber die Weisheit entfernte sich viel weiter von mir, als sie zuvor entfernt war; und: „Es ist eine tiefe Tiefe, wer wird sie finden? und Folgendes in den Psalmen:2„Wunderbar kommt mir vor deine Erkenntniß; gar hoch ist sie, ich kann sie nicht erreichen! und was Salomon sagt:3„Gottes Ehre ist es, das Wort verbergen; wollte ich oft einhalten und aufhören zu schreiben; ja, glaubet es!",78,deutsch
6,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,2,"Damit ich aber weder euch zu betrüben, noch diejenigen, welche euch darum fragen und darüber streiten, durch mein Stillschweigen in der Gottlosigkeit hinzuhalten scheine, habe ich mir selbst Gewalt angethan, dieses wenige niederzuschreiben, und übersende nun dieses euerer Frömmigkeit. Denn wenn auch die Erkenntniß der Wahrheit, wie sie ist, jetzt wegen der Schwäche des Fleisches ferne von uns ist, so kann doch, wie der Prediger sagt,4die Thorheit der Gottlosen erkannt werden, und wer sie gefunden hat, kann sagen, daß sie bitterer als der Tod sey.",85,deutsch
7,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,3,"Deßwegen also, weil ich dieses wußte und zu erreichen vermochte, habe ich dieses niedergeschrieben, indem ich wußte, daß die Wiederlegung der Gottlosigkeit den Gläubigen zur Erkenntniß der Gottseligkeit genüge. Denn obschon man nicht begreifen kann, was Gott ist, so kann man doch sagen, was er nicht ist; wir wissen aber, daß er nicht wie ein Mensch ist, und daß man in ihm nichts von dem Geschaffenen denken darf.",68,deutsch
8,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,4,"Auf dieselbe Weise muß man aber auch von dem Sohne Gottes denken; obschon wir von Natur viel zu weit von ihm entfernt sind, als daß wir ihn fassen könnten, so ist es doch möglich und leicht, das zu widerlegen, was von den Ketzernvorgebracht wird, und zu sagen, daß dieses der Sohn Gottes nicht sey, und daß es nicht erlaubt sey, über dessen Gottheit etwas demjenigen Aehnliches auch nur zu denken, was jene sagen, geschweige mit den Lippen auszusprechen.",78,deutsch
9,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,1,"So also habe ich geschrieben, so viel ich schreiben konnte; ihr aber, meine Lieben! nehmet dieses auf, nicht als wenn es eine vollkommene Erklärung über die Gottheit des Wortes enthielte, sondern bloß als eine Widerlegung der Gottlosigkeit der Feinde Christi, die jedoch denen, welche wollen, eine Gelegenheit darbietet, den frommen und gesunden Glauben in Christo zu erlangen.",57,deutsch
10,Athanasius von Alexandrien,Brief an die Einsiedler,Brief an die Einsiedler,2,"Ist aber etwas weggelassen, (Ich glaube aber, es sey Alles weggelassen,) so verzeihet mir mit reinem Bewußtseyn, und nehmet dieses nur als ein für die Gottseligkeit gewagtes Unternehmen auf. Denn zur vollkommenen Widerlegung der Ketzerei der Arianer genügt schon das von dem Herrn hinsichtlich des Todes des Arius verhängte Urtheil, welches ihr schon früher von Andern vernommen habet.1Denn was der heilige Gott beschlossen hat, wer wird dieses vereiteln können? und wen der Herr verdammt hat, wer wird diesen rechtfertigen?",79,deutsch
