id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,1,"Meinen Herrn, den geliebten Bruder und geschätzten Amtsgenossen Epiktetus, grüßt Athanasius im Herrn.",13,deutsch
2,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,2,"Ich glaubte, daß alles törichte Gerede sämtlicher Häretiker, die es überhaupt gibt, seit der Synode zu Nicäa zu Ende sei. Denn das Glaubensbekenntnis, das auf derselben von den Vätern gemäß den göttlichen Schriften abgelegt wurde, genügt zur Ausrottung jeglicher Gottlosigkeit, zur Festigung des frommen Glaubens in Christus.",47,deutsch
3,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,3,"Deshalb belegten auch auf verschiedenen Synoden, die unlängst in Gallien, Spanien und im großen Rom stattfanden, alle Anwesenden jene, die noch heimlich der Lehre des Arius zugetan sind, nämlich Auxentius in Mailand, Ursacius, Valens und Gaius aus Pannonien einstimmig, wie von einem Geistebeseelt, mit dem Banne; sie schrieben auch überall hin, weil diese Leute sich Namen von Synoden ersinnen, solle man sich in der katholischen Kirche auf keine Synode mehr berufen, als einzig auf die Synode von Nicäa, die ein Siegesmal über jede, besonders aber über die arianische Häresie sei, derentwegen vor allem die Synode seiner Zeit auch zusammentrat.",99,deutsch
4,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,4,"Wie können sich also nach diesen Vorgängen noch einige unterfangen, zu streiten und Fragen auf zuwerfen? Allerdings, wenn sie zu den Arianern gehören, ist es nicht zu verwundern, daß sie die gegen sie gerichteten Schreiben verwerfen, wie ja auch die Heiden die Lehre vom göttlichen Kreuz für Torheit halten, wenn sie das Wort vernehmen: „Die Götzen der Heiden sind Silber und Gold, Werke von Menschenhänden""1.",65,deutsch
5,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,5,"Wenn aber diese Leute, die durch ihre Untersuchungen die ganze Frage abermals aufrollen wollen, zu jenen gehören, die rechtgläubig zu sein und das von den Vätern Verkündete zu billigen scheinen, so tun sie nichts anderes, als daß sie nach dem Schriftwort den Nächsten mit schmutzigem Umsturz tränken2, dagegen ohne jeglichen Nutzen oder zum Verderben der Unerfahrenen mit Worten zanken.",59,deutsch
6,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,1,"Das schreibe ich, nachdem ich die von deiner Frömmigkeit mir übermittelten Schriften gelesen habe, von denen ich wünschte, sie möchten nicht geschrieben worden sein, damit keine Erinnerung daran auf die Nachwelt käme. Denn wer hat je solches gehört? Wer hat je solches gelehrt oder gelernt? „Denn von Sion wird das Gesetz Gottes, und das Wort des Herrn von Jerusalem ausgehen""1.",60,deutsch
7,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,2,"Von wo aber sind diese Lehren ausgegangen? Welche Hölle hat die Behauptung ausgespieen, daß der Leib aus Maria mit der Gottheit des Logos wesensgleich sei; oder daß der Logos sich in Fleisch, Knochen, Haare und in den ganzen Körper verwandelt und seine eigene Natur geändert habe?",46,deutsch
8,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,3,"Wer hat in der Kirche oder überhaupt unter Christengehört, daß der Herr nur zum Schein und nicht in Wirklichkeit einen Leib getragen habe; oder wer ist in der Gottlosigkeit soweit gegangen, zu sagen und zu denken, die dem Vater wesensgleiche Gottheit selbst sei beschnitten und aus vollkommenem Zustand unvollkommen geworden, und das, was ans Kreuz geschlagen wurde, sei nicht der Leib, sondern die schöpferische Wesenheit der Weisheit selbst gewesen?",69,deutsch
9,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,4,"Wer möchte, wenn er jemand äußern hört, der Logos habe sich nicht aus Maria, sondern aus seiner eigenen Wesenheit einen leidensfähigen Leib gebildet, einen solchen noch einen Christen nennen? Wer hat diesen gottlosen Frevel ersonnen und es sich nur in den Sinn kommen lassen, zu sagen, daß derjenige, der behauptet, der Leib des Herrn sei aus Maria, nicht mehr eine Dreiheit (τριάς), sondern eine Vierheit (τετράς) in der Gottheit denke?",70,deutsch
10,Athanasius von Alexandrien,Brief an Epiktet,Brief an Epiktet,5,"Als ob diejenigen, die so denken, damit behaupten wollten, das Fleisch, das der Heiland aus Maria angenommen habe, gehöre zur Wesenheit der Trinität! Woher haben ferner einige eine Gottlosigkeit, ähnlich den erwähnten Behauptungen, hervorgezerrt, indem sie sagen, der Leib des Logos sei nicht jünger als dessen Gottheit, sei vielmehr mit ihm durchaus gleich ewig, da er aus dem Wesen der Weisheit bestehe?",62,deutsch
