id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,1,"Ich bewundere Dich, lieber Marcellinus, wegen Deiner Festigkeit in Christus. Denn Du nimmst nicht nur die gegenwärtige Prüfung,1da Du doch in ihr schon so viel geduldet hast, in geziemender Weise hin, sondern vernachlässigest auch die Arbeit nicht. Denn als ich mich bei dem Überbringer des Briefes erkundigte, was Du nach überstandener Krankheit für ein Leben führest, erfuhr ich, daß Du Dich mit der ganzen göttlichen Schrift beschäftigest, mit größerem Eifer aber Dich vorzugsweise mit dem Buche der Psalmen befassest und besonders darauf bedacht seiest, den in jedem Psalme verborgenen Sinn zu finden.",92,deutsch
2,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,2,"Deßhalb spende ich Dir nun meinen Beifall, da auch ich vom nämlichen Buche wie von der ganzen Schrift mich ausserordentlich angezogen fühle. Bei solcher Sinnesart traf ich nun einmal mit einem rüstigen Greise zusammen, und ich will Dir schreiben, was dieser mit dem Psalterium in der Hand über dasselbe mir vortrug.",51,deutsch
3,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,3,"Denn es ist ziemlich anziehend bei scharfsinniger Entwicklung. Er sprach also, wie folgt.",13,deutsch
4,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,1,"Unsere ganze Schrift, o Sohn, die alte und neue, ist von Gott eingegeben und nützlich zu Belehrung, wie ge-schrieben steht.1Es bietet aber das Buch der Psalmen dem Aufmerksamen etwas Besonderes dar. Denn jedes Buch hat eine besondere Aufgabe, mit der es sich befaßt, wie der Pentateuch die Erschaffung der Welt, die Thaten der Patriarchen, den Auszug Israels aus Ägypten und neben der Gesetzgebung die Anordnung des Zeltes und Priesterthums, der Triteuch die Verloosung, die Thaten der Richter und das Stammbuch Davids, die Bücher der Könige und Paralipomenon die Thaten der Könige, das Buch Esdras die Befreiung aus der Gefangenschaft, die Rückkehr des Volles, den Bau des Tempels und der Stadt, die Propheten die Ankunft des Heilandes und Erinnerungen an die Gebote und Tadelsprüche gegen die Übertreter und Prophezeihungen für die Heiden.",131,deutsch
5,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,2,"Das Buch der Psalmen aber trägt wie ein Garten, was in allen vorkommt, als Pflanzungen in sich und besingt es und zeigt wieder, was ihm eigen ist, indem es darüber Psalmen singt.",32,deutsch
6,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,1,"Denn was in der Schöpfungsgeschichte vorkommt, trägt es im achtzehnten Psalme vor: „Die Himmel erzählen die Herrlichkeit Gottes, und die Werke seiner Hände verkündet das Firmament. 1und im dreiundzwanzigsten: „Dem Herrn gehört die Erde und ihre Fülle, der Erdkreis und Alle, die auf ihm wohnen.",45,deutsch
7,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,2,"Er hat ihn über dem Meere gegründet. 2Was aber in den Büchern Exodus, Numeri und Deuteronomium vorkommt, besingt es herrlich im 77. Psalme und im 104, und im 105, und im 113, mit den Worten: „Beim Auszug Israels aus Ägypten, des Hauses Jakob aus fremdem Volke. 3Es trägt im 101.",50,deutsch
8,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,3,"Psalme das Nämliche vor mit den Worten: „Er sandte Moses, seinen Knecht, den Aaron, den er sich auserwählt hat. und: „Er sendete Dunkel und verfinsterte sie und verwandelte ihr Wasser in Blut und es brachte ihr Land Frösche hervor. 4Und man kann finden, daß dieser ganze Psalm überhaupt über dasNämliche geschrieben ist.",52,deutsch
9,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,4,"Was aber auf Priesterthum und Zelt Bezug hat, bringt es bei der Vollendung des Zeltes im 28. Psalm: „Opfert dem Herrn, Söhne Gottes'; bringet dem Herrn Söhne der Widder dar! 5",31,deutsch
10,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,1,"Die Thaten des Nave und der Richter zeigt er kurz im 106. Psalme mit den Worten: „Und sie errichteten Städte zur Wohnung und bebauten Acker und pflanzten Weinberge. 1Denn unter Nave ist ihnen das Land der Verheißung übergeben worden. Indem er aber im nämlichen Psalme beständig sagt: „Und sie schrien zum Herrn in ihrer Bedrängnis, und er befreite sie aus ihren Nöthen, weist er auf das Buch der Richter hin.",70,deutsch
11,Athanasius von Alexandrien,Brief an Marcellinus über die Erklärung der Psalmen,Brief an Marcellinus über die Erklärung der Psalmen,2,"Denn als sie damals schrien, erweckte er ihnen zu Zeiten Richter und befreite das Volk von seinen Bedrängern. Und die Thaten in den Büchern der Könige besingt er kurz im neunzehnten mit den Worten: „Diese werden in Wagen und Diese in Pferden, wir aber im Namen des Herrn unsers Gottes verherrlicht werden.",52,deutsch
