id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,1,"Dein Brief, ein Beweis deiner heiligen Zuneigung, wurde mir in der Wüste übergeben. Und wenn auch bittere Verfolgung und mannigfache Nachstellung derer uns bedrängte, die uns nach dem Leben strebten, so hat uns doch „der Vater der Erbarmung und Gott jeglichen Trostes""1durch deinen Brief getröstet.",45,deutsch
2,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,2,"Denn in der Erinnerung an deine und aller Edeldenkenden Wohlgeneigtheit glaubte ich sie alle da bei mir zugegen. Ich war deshalb beim Empfang des Briefes hocherfreut; als ich ihn aber gelesen hatte, überkam mich um jener willen, die nun einmal gegen die Wahrheit streiten wollen, alsbald wieder große Niedergeschlagenheit.",49,deutsch
3,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,3,"Du, innig und wahrhaft geliebter Freund, selbst voll Betrübnis, schreibst mir nämlich, daß sich einige wegen der Lästerung des Gottessohnes zwar von den Arianern getrennt haben, aber selbst unrichtige Anschauungen über den Heiligen Geist haben und behaupten, derselbe sei nicht bloß ein Geschöpf, sondern sogar einer der dienenden Geister2und nur um eine Stufe von den Engeln verschieden.",57,deutsch
4,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,4,"Das ist zwar ein scheinbarer Kampf gegen die Arianer, in Wahrheit jedoch ein Widerspruch gegen den frommen Glauben. Denn wie jene durch die Leugnung des Sohnes auch den Vater leugnen, so schmähendiese durch die Schmähung des Heiligen Geistes auch den Sohn.",41,deutsch
5,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,5,"Beide Parteien teilten sich lediglich in den Widerstand gegen die Wahrheit, um so, indem die einen über den Logos und die andern über den Geist unrichtigen Anschauungen huldigen, die heilige Trinität in gleicher Weise zu lästern. Als ich nun das so bedachte und eingehend überlegte, überkam mich Traurigkeit, weil der Teufel wieder Gelegenheit gefunden hatte, durch jene, die seine wahnwitzige Rolle darstellen, sein Spiel zu treiben.",66,deutsch
6,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,6,"Ich hatte zwar den Entschluß gefaßt, in dieser Zeit zu schweigen; aber auf die Anregung deiner Heiligkeit hin und um des Irrglaubens und der satanischen Dreistigkeit jener Leute willen schreibe ich in aller Kürze diesen Brief, allerdings kaum dazu imstande, nur damit auch du dadurch veranlaßt würdest, gemäß deiner Einsicht das Mangelnde zu ergänzen, und damit so die Widerlegung der gottlosen Ketzerei vollkommen wäre.",64,deutsch
7,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,1,"Für die Arianer liegt allerdings auch diese Anschauung nicht fern. Denn da sie einmal den Logos Gottes leugnen, ist es natürlich, wenn sie in gleicher Weise auch gegen seinen Geist lästern. Darum brauche ich gegen sie auch nichts mehr zu sagen; denn es genügt, was vordem gegen sie gesagt worden ist1.",51,deutsch
8,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,2,"Gegenüber jenen aber, die sich über den Geist im Irrtum befinden, ist in gewisser Weise2, wie sie sich selbst ausdrücken dürften, eine Untersuchung und eine Antwort am Platze. Denn man muß sich über den Unverstand dieser Leute wundern, daß sie die Geschöpflichkeit des Sohnes Gottes ablehnen — und hierin vertreten sie auchdie richtige Anschauung —, trotzdem es aber auch nur ertragen können, den Geist des Sohnes ein Geschöpf nennen zu hören.",71,deutsch
9,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,3,"Wenn sie nämlich wegen der Einheit des Logos mit dem Vater nicht zugeben, daß der Sohn selbst zu den geschaffenen Wesen gehöre, sondern, wie es der Wahrheit entspricht, dafür halten, daß er Schöpfer der gewordenen Dinge sei, warum nennen sie den Heiligen Geist ein Geschöpf, der mit dem Sohn dieselbe Einheit besitzt wie dieser mit dem Vater, und warum sehen sie nicht ein, daß sie durch die Ablehnung einer Trennung des Sohnes vom Vater wohl die Einheit Gottes wahren, aber durch die Trennung des Geistes vom Logos die Einheit des göttlichen Wesens in der Trinität darangeben, da sie dasselbe spalten, ihm eine fremde, wesensverschiedene Natur beimischen und es den Geschöpfen gleichstellen?",111,deutsch
10,Athanasius von Alexandrien,Briefe an Serapion von Thmuis,Briefe an Serapion von Thmuis,4,"Das läßt die Trinität nicht mehr als Wesenseinheit erscheinen, sondern als Zusammensetzung aus zwei verschiedenen Naturen, wegen der Wesensverschiedenheit des Geistes, wie sie sich dieselbe erdichtet haben. Was soll aber das für eine Gottesvorstellung sein, die Schöpfer und Geschöpf in sich beschließt?",42,deutsch
