id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",1,"Während sich Athanasius einige Tage daselbst (im Kloster des Theodor) aufhielt, sprach er zum Abte Theodor: „Weil Ostern nahe ist, so versammle, wie es bei euch Sitte ist, die Brüder; ich aber werde thun, nach der Anordnung des Herrn."" Hierauf umarmte er ihn, entließ ihn, und schickte durch ihn an den Abt Orsisius2und dessen Brüder einen Brief folgenden Inhalts:",59,deutsch
2,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",2,"„Ich habe den Theodor, deinen Mitarbeiter und den Vater der Brüder, und in ihm den Herrn unsers Vaters Pachomius gesehen. Ich erfreute mich sehr bei dem Anblickeder Kinder der Kirche, und war herzlich vergnügt über ihre Anwesenheit; der Herr aber ist ihr Vergelter.",43,deutsch
3,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",3,"Und da Theodor zu euch reisen wollte, sagte er zu mir: „Gedenke meiner!„ worauf ich ihm erwiederte:3„Vergesse ich deiner, Jerusalem, so werde meine Rechte vergessen; es klebe meine Zunge an meinem Gaumen, wenn ich deiner nicht gedenke.",37,deutsch
4,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",4,"Dieser Brief ist genommen aus dem Anhange zu den Akten der Heiligen auf den 14. Mai. ; der zweite aus dem Anhange zum 3ten Theile des Monates Mai. , im Leben des heiligen Pachomius.",34,deutsch
5,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",5,"Von diesem umsichtigen und liebevollen Vorsteher der Genossenschaft von Tabenna haben wir noch ein Werk mit dem Titel: „Lehrer des Orsisius"", welches der heil. Hieronymus in das Lateinische übertragen hat. Es ist gleichsam ein Testament, welches er seinen Mönchen hinterließ.",40,deutsch
6,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",1,"Als der heil. Erzbischof Athanasius den Tod unsers Vaters Theodor1vernahm, wurde er sehr traurig, und schrieb dem Abte Orsisius und den Brüdern folgenden Brief, um sie über den Hintritt desselben zu trösten.",32,deutsch
7,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",2,"Athanasius wünscht dem Abte Orsisius, dem Vater der Mönche, und Allen, welche mit ihm dem klösterlichen Leben obliegen und im Glauben an Gott gestärkt sind, den geliebten und sehr theuern Brüdern, Freude in dem Herrn.",35,deutsch
8,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",3,"Ich habe von dem Hintritte des seligen Theodor gehört, und diese Bothschaft mit sehr großer Bestürzung vernommen, weil ich weiß, wie nützlich er euch gewesen ist. Wäre es nun nicht Theodor, so würde ich, in Erwägung dessen, was nach dem Tode folgt, mit vielen Thränen zu euch reden.",48,deutsch
9,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",4,"Allein da es Theodor ist, welchen ihr eben so gut, wie wir, kanntet, was soll ich da anders schreiben, als: (Psalm l, 1.) „Selig ist Theodor, welcher nicht wandelte nach dem Rathe der Bösen?„ Wenn aber der selig ist, welcher den Herrn fürchtet; so können wir ihn jetzt mit Zuversicht selig preisen, weil wir gewiß wissen, daß er gleichsam in den Hafen eingelaufen ist, und bereits ein sorgenfreiesLeben genießt, O! wäre einem jedem von uns dasselbe zu Theil geworden!",79,deutsch
10,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",5,"O! möchte ein jeder Laufende so zu dem Ziele gelangen! O! möchte ein jeder Schiffende mit seinem Kahne in jenen ruhigen Hafen einlaufen, auf daß er bei den Vätern ruhend sagen könnte:2„Hier will ich wohnen, denn ich habe diese Ruhestätte erkoren; Daher, geliebte und sehr theuere Brüder, weinet nicht um den Theodor; denn er ist nicht gestorben, sondern er schläft nur.",61,deutsch
11,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",6,"Keiner vergieße eine Thräne, wenn er sich an ihn erinnert, sondern jeder ahme sein Leben nach. Denn man darf nicht trauern über den, welcher an einen Ort sich begeben hat, wo keine Trauer mehr ist. Dieses schreibe ich euch gemeinschaftlich, dir aber, geliebter und theuerster Orsisius, schreibe ich, daß du, nachdem jener entschlafen ist, die ganze Obsorge übernehmen und bei den Brüdern seine Stelle vertreten sollst.",66,deutsch
12,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",7,"Denn da jener noch lebte, wäret ihr beide gleichsam nur Einer, und wenn auch der Eine irgendwohin reiste, wurde dennoch die Pflicht beider erfüllt; und wäret ihr beide anwesend, so gäbet ihr, als wäret ihr Einer, den Lieben heilsame Lehren. So nun handle, dieses thue, und schreibe uns dann, und gib uns Nachricht über dein und der Brüder Wohl.",59,deutsch
13,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",8,"Ihr alle aber betet gemeinschaftlich, ich beschwöre euch darum, auf daß der Herr den Kirchen immer mehr den Frieden schenke. Denn erst vor Kurzem feierten wir das Oster- und das Pfingstfest mit frohem Muthe, und wir freuen uns über die Wohlthaten des Herrn.",43,deutsch
14,Athanasius von Alexandrien,"Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna","Briefe des Hl. Athanasius an Orsisius, Abt von Tabenna",9,"Wir schließen nun unser Schreiben an euch. Grüßet Alle, die den Herrn fürchten. Es grüßen euch die, welche bei mir sind. Ich wünsche euch Wohlergehen in dem Herrn, geliebte und theuerste Brüder!",32,deutsch
