id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,1,"Allein da wir die Ketzer als Todte erwähnt haben, uns aber als solche, welche die göttlichen Schriften zum Heile besitzen; und weil ich fürchte, es möchten, wie Paulus an die Korinther schrieb2, einige Wenige aus den Unbehutsamen von ihrer Einfalt und Reinheit durch die Arglist gewisser Menschen abgelenkt werden, und sie möchten alsdann andere Bücher, welche man Apokryphische nennt, zu lesen anfangen, getäuscht durch die Gleichheit des Namens der echten Bücher; so nehmet es, ich bitte euch, nicht mit Unwillen auf, wenn ich von Dingen, die ihr wohl kennet, in meiner Schrift Erwähnung thue, weil es nothwendig und für die Kirche nützlich ist.",103,deutsch
2,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,2,"Indem ich aber dieselben zu erwähnen im Begriffe bin, will ich im Anfange meines kühnen Unternehmens mich der Form des Evangelisten Lukas bedienen, und mit ihm sagen:3„Nachdem es Viele versucht haben,"" die sogenannten apokryphischen Bücher für sich selbst zu ordnen, und sie der vom göttlichen Geiste eingegebenen Schrift einzuverleiben, der Schrift, über welche wir völlige Gewißheit haben, wie den Vätern diejenigen meldeten, welche vom Anfange an Augenzeugen und Diener des Wortes waren; habe auch ich beschlossen, von aufrichtigen Brüdern aufgefordert und von oben belehrt, dieBücher der Reihe nach aufzuzählen, welche als göttliche im Canon verzeichnet, als solche überliefert und für solche gehalten worden sind; damit ein Jeder, welcher verführt worden ist, seine Verführer verdamme, derjenige aber, welcher rein geblieben ist, wieder daran erinnert sich freue.",125,deutsch
3,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,3,"Die Bücher des alten Testamentes sind also der Zahl nach im Ganzen zwei und zwanzig. Denn so viele Buchstaben sollen, wie ich gehört habe, die Hebräer haben. Der Ordnung und dem Namen nach aber sind sie im Einzelnen folgende: Erstens die Genesis, zweitens der Exodus, drittens der Leviticus, viertens Numeri, und fünftens das Deuteronomium.",54,deutsch
4,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,4,"Auf diese folgen Iosua, der Sohn Nuns, die Richter, und nachher das Buch Ruth. Alsdann ferner die vier Bücher der Könige, von welchen das erste und zweite Buch als Ein Buch gezählt werden, und das dritte und vierte gleichfalls als Eines.",41,deutsch
5,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,5,"Nach diesen werden das erste und zweite Buch Paralipomenon ebenfalls wieder als Ein Buch gezählt; hierauf das erste und zweite Buch Esdras gleichfalls für Eines. Nach diesen das Buch der Psalmen, und darauf die Sprüche, dann der Ekklesiastes und das Hohelied.",41,deutsch
6,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,6,"Zu diesen gehört auch Job, und alsdann die Propheten, von welchen zwölf als Ein Buch gerechnet werden; alsdann Isaias, Ieremias und mit diesem Baruch, die Klaglieder, ein Brief, nachher Ezechiel und Daniel. So weit gehen die Bücher des alten Testamentes. Aber auch die Bücher des neuen Testamentes aufzuzählen darf man nicht unterlassen.",52,deutsch
7,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,7,"Diese sind nämlich: Vier Evangelien, nach Matthäus, nach Markus, nach Lukas, nach Johannes. Alsdann die Geschichte der Apostel, und die sogenannten sieben katholischen Briefe der Apostel, nämlich: Einer von Iakobus, zwei von Petrus, dann drei von Johannes, und ferner Einer von Judas.",42,deutsch
8,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,8,"Ausser diesen sind vierzehn Briefe des Apostels Paulus vorhanden, welche in folgender Ordnung geschrieben sind: Der Erste an die Römer, dann zwei an die Korinther, und hierauf an die Galater; dann an die Epheser, alsdannan die Philipper und an die Kolosser, nach diesen zwei an die Thessalonicher, und der an die Hebräer, hierauf zwei an den Timotheus, und Einer an Titus; zuletzt der an den Philemon; weiterhin die Offenbarung des Johannes.",71,deutsch
9,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,9,"Dieses sind die Quellen des Heiles, welche den Dürstenden mit ihren Worten erfüllen; in diesen allein wird die Lehre der Frömmigkeit verkündet. Niemand darf diesen etwas beifügen, und Niemand von diesen etwas wegnehmen. In Bezug auf diese beschämte der Herr die Saducäer, mit den Worten4, „Ihr seyd irrig daran, da ihr die Schriften nicht könnet."" Die Juden aber ermahnte er mit den Worten:5„Forschet in den Schriften, denn sie sind es, die von mir Zeugniß geben."" Allein wenigstens der größern Genauigkeit wegen füge ich nothwendiger Weise auch noch dieses meinem Schreiben bei, daß es nämlich ausser diesen auch noch andere Bücher gibt, welche zwar nicht in den Canon aufgenommen, aber von den Vätern für diejenigen zum Lesen vorgeschrieben sind, welche erst eintreten, und in dem Worte der Frömmigkeit unterrichtet werden wollen.",130,deutsch
10,Athanasius von Alexandrien,Bruchstück aus dem neunundreißigsten Festbrief des Hl Athanasius,Ein Bruchstück aus dem neununddreißigsten Festbriefe des heil. Athanasius.,10,"Diese sind die Weisheit Salomons, und die Weisheit Sirachs, Esther, Judith, Tobias, die sogenannte Lehre der Apostel,6und der Hirt. Und doch, Geliebte, obwohl jene in den Canon aufgenommen sind, und diese gelesen werden, wird nirgends der apokryphischen Bücher gedacht; sondern diese sind eine Erdichtung der Ketzer, welche nach Belieben Bücher schreiben, und denselben auch Zeiten zuschreiben, und beilegen, damit sie unter dem Vorwande des Alters derselben Gelegenheit haben, die Unbehutsamen hiedurch zu hintergehen.",73,deutsch
