id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,1,"Den Anfang der Prophetie bringt David Christo dar, der aus ihm geboren werden soll. Deßhalb preist er zuerst die selig, die auf ihn hoffen.",24,deutsch
2,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,2,"V.1. „Glückselig der Mann, der nicht im Rathe der Gottlosen wandelt. Man kann unter Rath der Gottlosen die Versammlung und die Zusammenkunft der Bösen verstehen, und weil es Schaden bringt, sich in die Versammlungen der Gottlosen zu begeben, so preist er den selig, der nicht im Mindesten mit ihnen den gleichen Weg geht.",53,deutsch
3,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,3,"So hielt es Joseph von Arimathia, der den Leib des Herrn und Gottes begrub. Denn es ist von ihm gesagt, daß er in den Rathschluß der Verräter Jesu nicht einstimmte.2„Und nicht sitzt auf dem Stuhle derPestilenz Mit dem Stuhle deutet er die Lehre an, wie er sagt: „Auf dem Stuhle des Moses. '3Der Stuhl der Pestilenz ist also die Lehre der Bösen.",62,deutsch
4,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,4,V.2. „Tag und Nacht deutet auf die Unermüdlichkeit. Denn man darf nicht nachlässig das Gesetz des Herrn betrachten.,18,deutsch
5,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,5,"Dazu fügt Daniel Barbarus: Bei Tag betrachtet, wer in den Tugenden fortschreitet, bei Nacht aber, wer, wenn sich Stürme erheben, seine Seelenstärke unerschüttert bewahrt.",24,deutsch
6,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,6,"V.3. „Und er wird sein wie der Baum, der gepflanzt ist an den Wasserbächen. Als ein Baum des Bekenntnisses oder auch des Gleichnisses ist Christus in der von Gott eingegebenen Schrift hingestellt, wie geschrieben steht: „Ein Baum des Lebens ist sie Allen, die sie festhalten. '4Er sagt also, daß die, welche an Christus glauben, sein Leib sein werden; denn er wird den Leib unserer Erniedrigung umgestalten, damit er gleich: Gestalt annehme mit dem Leibe seiner Herrlichkeit.5Wasserbäche aber nennt er die göttlichen Schriften, in denen man überall die Predigt von Christus finden kann. „Der seine Frucht bringen wird zu seiner Zeit.",100,deutsch
7,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,7,"Unter Frucht des Baumes wirst Du den Glauben verstehen, unter seinen Blättern die Erfüllung der Gebote. „Und seine Blätter werden nicht abfallen. werden nicht zur Erde fallen. „Und Alles, was er that, wird wohl von Statten gehen. Denn kein Werk, das in Gott geschieht, ist ohne Nutzen.",47,deutsch
8,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,8,"V.5. „Deßhalb werden die Gottlosen im Gerichte sich nicht erheben. Deßhalb nämlich, weil sie keine Wurzel haben, sondern weil sie Erdenstaub ähnlich sind, der vom Winde aufgeweht wird. Unter dem Winde wirst Du die Drohung Gottes verstehen, welche sagt: „Seht von mir, ihr Verfluchte, in das ewige Feuer! 6Die dieseStimme hören, werden mit Recht niederfallen.",55,deutsch
9,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,9,"Denn sie stehen nicht in Christus, welcher die Stütze und das Fundament der Gläubigen ist. Denn er sagt „im Gerichte, nicht „in der Untersuchung. „In der Versammlung der Gerechten. sagt er. Denn er scheidet die Gerechten von den Sündern.",39,deutsch
10,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,10,"V.6. „Denn der Herr kennt den Weg der Gerechten. „Erkennt steht für „er ehrt , wie Gott zu Moses gesagt hat: „Ich kenne Dich vor Allen. '7statt: Ich ehre Dich, und Du hast Gnade vor mir gefunden.",37,deutsch
11,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,1,"Nachdem er im ersten Psalme die Fürsten des jüdischen Volkes Gottlose, Sünder und Pest genannt hat, stellt er ferner in diesem ihre Thaten in solchen Namen dar, die ihnen entsprechen.",30,deutsch
12,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,2,"V.1. „Warum tobten die Heiden und sannen die Völker auf Eitles? Ein Toben ist der thierische Sinn. „Warum gehört zu Beidem, so daß auch zu denken ist: Warum sannen die Völker auf Eitles? Denn wie ist ihnen ihr Nachsinnen nicht zu etwas Eitlem geworben, da sie den Heiland ihres Geschlechtes nicht aufnahmen ?",53,deutsch
13,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,3,"V.2. „Und es versammelten sich die Fürsten an einem Orte. Die schon angeführten Genossenschaften, die Schriftgelehrten, Pharisäer und Gesetzeskundigen. „Gegen den Herrn und seinen Gesalbten. Die Verfolgung gegen den Gesalbten trifft auch den Vater. Denn wenn der Vater im Sohne, und der Sohn im Vater, wie wäre die ihnen zugefügte Schmach nicht eine und dieselbe?",55,deutsch
14,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,4,"Beisatz des Daniel Barbarus: „Denn die zwei Präpositionen und die zwei Artikel führen auch zwei Personen ein, den Vater nämlich und den Sohn nach dem Ausspruch Christi: Wer mich aufnimmt, nimmt den auf, der mich gesandt hat, und wer mich verachtet, verachtet Beide. 1",44,deutsch
15,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,5,"V.3. „Laßt uns ihre Bande zerreissen. Es fehlt „indem sie sagten , so daß Dich der Sinn ist: Sie versammelten sich gegen den Herrn und seinen Gesalbten, indem sie sagten: Laßt uns ihre Bande zerreissen. Denn sie wollten nicht im heiligen Netze sein, von dem geschrieben steht: „Das Himmelreich ist einem Netze ähnlich. 2„Und laßt uns ihr Joch von uns werfen. die Schwere des Gesetzes, von dem er gesagt hat: „Mein Joch ist süß, und meine Bürde leicht. 3",79,deutsch
16,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,6,"V.4. „Der im Himmel wohnt, wird über sie lachen. weil sie auf Thörichtes denken. Denn der, welcher von ihnen angenagelt und dem Tode überliefert wurde, ist im Himmel und umfängt Alles und zeigt dadurch, daß ihre Rathschläge eitel und thöricht seien, und sein Vater, der Herr aller Dinge, wird in verdienter Weise ihn rächen. „Und der Herr wird ihrer spotten.",60,deutsch
17,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,7,"Denn er wird, will er sagen, sie verachten, sie hassen und verabscheuen.",12,deutsch
18,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,8,"V.5. „Dann wird er zu ihnen reden in seinem Zorne. „Dann. Wann anders, als da sie sagten: Laßt uns ihre Bande zerreissen? Was hat er im Zorne ge-sprochen als: „Wehe euch, ihr Schriftgelehrten und Pharisäer! 4und: „Es wird das Reich von euch genommen werden '5und: „Wehe euch, ihr Gesetzeskundigen ? 6",51,deutsch
19,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,9,"V.6. „Ich bin von ihm als König eingesetzt worden auf Sion. Gleich als wäre das israelitische Volk verworfen, erzählt er ihnen von dem unter die Heiden dringenden Glauben. Sion bedeutet die Kirche.",32,deutsch
20,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,10,"V.8. „Und zu Deinem Eigenthume die Grenzen der Erde; Du wirst sie beherrschen, mit eisernem Scepter. d, h, mit dem Kreuze. Denn sein Stoff ist Holz, seine Kraft die des Eisens. Einige verstehen darunter die römische Herrschaft. Daniel Barbarus fügt bei: Der Töpfer zerbricht das Gefäß, das ihm aus den Händen fällt.",52,deutsch
21,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,11,"Doch vernichtet er es nicht, sondern gestaltet es um, indem er keine andere Erde als die alte nimmt und nur Wasser beimischt, was auch Christus gethan hat.",27,deutsch
22,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,12,"V.10. „Und nun, Könige, verstehet. das heißt, erwäget, wendet euch zur Buße! „Lasset euch belehren, Alle, die ihr auf Erden richtet. Den Fortschritt stellt er durch: „Laßt euch belehren dar, die Vollendung aber durch: „Ergreifet die Zucht.",37,deutsch
23,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,13,"Daniel Barbarus: „Vom rechten Wege. Die von diesem abirren, verlieren den rechten Weg.",13,deutsch
24,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,14,"V.12. „Ergreifet die Zucht, die des Evangeliums nämlich: „Und ihr abirrt vom rechten Wege dessen, der gesagt hat: „Ich bin der Weg. 7",23,deutsch
25,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,1,"V. 1. Ein Psalm Davids, als er vor seinem Sohn Absalon floh1",12,deutsch
26,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,2,"So ist die vorstehende Überschrift des Psalmes gefaßt. Das sagt nämlich der Psalm, daß der Chor der Propheten von dem Volke der Juden verfolgt wird. David heißt nämlich übersetzt „der Ersehnte, was der Chor der Propheten ist. Wie also Absalon einen Aufstand gegen seinen eigenen Vater zu erregen suchte, nämlich gegen David, so erhoben sich auch die Juden gegen ihre Väter, die Propheten, indem sie die Befehle Gottes nicht beachteten, sondern sich ihnen widersetzten.",74,deutsch
27,Athanasius von Alexandrien,Erklärung der Psalmen,Erklärung der Psalmen,3,"V.2. „Herr, wie haben sich gemehrt, die mich bedrängen? „Wie ist gebraucht für „sehr.",14,deutsch
