id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,1,"Zur Erkenntnis der (rechten) Gottesverehrung und der Wahrheit überhaupt bedarf es nicht so fast eines Unterrichtes durch die Menschen, als ja vielmehr eine solche unmittelbar sich gewinnen läßt. Fast Tag für Tag erhebt sie in den Werken laut ihre Stimme, und sonnenklar offenbart sie sich in der Lehre Christi.",49,deutsch
2,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,2,"Doch gleichwohl möchtest du von ihr reden hören. Nun gut, du Glücklicher,1soweit wir dazu imstande sind, wollen wir über einige wenige Fragen aus dem christlichen Glauben2uns auseinandersetzen. Wohl kannst du diesen Glauben auch aus den göttlichen Schriften schöpfen, hörst aber doch recht gern auch andere an.",46,deutsch
3,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,3,"Es genügen ja die heiligen und inspirierten (θεόπνευστοι) Schriften zur Verkündigung der Wahrheit; doch gibt es daneben auch viele Kommentare, die unsere seligen Lehrer dazu verfaßt haben. Wer diese nachsieht, der wird ja wohl die (nötige) Schriftexegese finden und die Erkenntnis, nach der er verlangt, gewinnen können.",47,deutsch
4,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,4,"Da wir aber die Traktate der Lehrer augenblicklich nicht zur Hand haben3, so müssen wir das, was wir von jenen gelernt haben, dir mitteilen und schreiben — ich meine nämlich den Glauben an Christus den Erlöser4—, damit man nicht die bei uns vorgetragene Lehre geringschätze noch auch den Glauben an Christus für unvernünftig halte, wie etwa die Heiden, die mit verleumderischer Zunge spotten und offen über uns lachen, obschon sie uns immer nur das Kreuz Christi vorzuhalten wissen.",78,deutsch
5,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,5,"Und doch gerade daraufhin möchte man ihren Stumpfsinn am meisten betrauern, weil sie, die Spötter des Kreuzes, nicht sehen, wie seine Kraft die ganze Welt erfüllte, undwie durch das Kreuz die Werke der göttlichen Erkenntnis allen offenbar geworden sind. Denn wenn auch sie Leute wären mit einem geraden Sinn und Blick für seine Gottheit, dann würden sie über etwas so Grandioses nicht spotten.",63,deutsch
6,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,6,"Nein, vielmehr müßten auch sie ihn als Weltheiland anerkennen und einsehen, daß das Kreuz der Kreatur nicht zum Verderben, sondern zum Heile geworden ist. Denn wenn mit dem Eintritt des Kreuzes in die Welt aller Götzendienst ein Ende nahm, wenn alles Gaukelspiel der Dämonen diesem Zeichen weichen muß und nur mehr Christus angebetet und durch ihn der Vater erkannt wird5, wenn die Widersacher zuschanden werden, er aber täglich die Herzen derer, die ihm widersprechen, im stillen umstimmt, wie kann man da noch — man darf sie wohl mit Recht so fragen — an ein Menschenwerk denken, anstatt zu bekennen, daß es der Logos Gottes und der Heiland der Welt ist, der das Kreuz bestiegen hat?",115,deutsch
7,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,7,"Mit diesen Leuten scheint es ähnlich zu stehen wie mit einem Menschen, der auf die Sonne schmähte, die hinter den Wolken sich verbirgt, und doch ihr Licht bewunderte, weil er sieht, wie die ganze Schöpfung von ihr beleuchtet wird. Denn wie das Licht schön ist und schöner noch die Sonne als Quelle des Lichtes, so muß auch, da die Erfüllung des ganzen Erdkreises mit der Erkenntnis Gottes eine göttliche Tat ist, der Schöpfer und Lenker eines solchen Wunderwerkes Gott und Gottes Logos sein.",83,deutsch
8,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,8,"Wir wollen also (von der Sache) reden, so gut wir es vermögen, und zunächst den Ungläubigen ihre Unwissenheit nachweisen, damit dann auf die Widerlegung ihrer Lügen hin die Wahrheit von selbst leuchte, und auch du, o Mensch, an Zuversicht gewinnst, der Wahrheit geglaubt zu haben und mit der Erkenntnis Christi nicht irre gegangen zu sein.",55,deutsch
9,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,9,"Sodann finde ich es in der Ordnung, mit dir, einem Freund Christi, über Christus zu reden, zumal ich überzeugt bin, daß du seine Erkenntnis und den Glauben an ihn höher als alles wertest.",33,deutsch
10,Athanasius von Alexandrien,Gegen die Heiden,Gegen die Heiden,10,Die Erörterung des speziell christologischen Themas folgt in der zweiten Teilschrift „Über die Menschwerdung .,15,deutsch
