id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,1,"1Jene aber haben das, weßwegen sie diese Ränke geschmiedet hatten, nicht lange nachher vollbracht. Denn sogleich, nachdem sie ihre Nachstellungen bereitet hatten, nahmen sie den Arius in die Gemeinschaft auf. Und indem sie so viele Urtheile gegen sich gering achteten, schützten sie abermals die königliche Macht für sich vor, und scheuten sich nicht, in ihren Schreiben zu sagen: „Nachdem Athanasius gedemüthigt worden ist, hat der Neid aufgehört, lasset uns nun die Arianer aufnehmen; und zum Schrecken der Zuhörer setzten sie hinzu: „Denn dieses hat der König befohlen.",87,deutsch
2,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,2,"Ferner schämten sie sich nicht beizufügen: „Diese Menschen denken rechtgläubig, und sie fürchteten sich nicht vor dem, was geschrieben steht:2„Wehe euch, die ihr das Bittere süß nennet, und die Finsterniß für Licht haltet! Denn für die Ketzerei sind sie bereit Alles zu erdulden.",43,deutsch
3,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,3,"Ist es also nicht auch hieraus Allen sonnenklar, daß nicht einem Urtheile der Kirche, sondern der Drohung des Königes zu Folge, einerseits wir wegen unserer Ehrfurcht vor Christo damals gelitten haben, andererseits ihr jetzt verfolget? Denn auch andern Bischöfen haben sie auf diese Weise nachgestellt, und auch gegen jene haben sie Verleumdungen ersonnen, von welchen nun die Einen in derVerbannung entschlafen und des Ruhmes des Bekenntnisses Christi theilhaftig geworden find, die Andern aber auch jetzt noch in der Verbannung leben, und nur noch muthiger gegen die Ketzerei derselben kämpfen, indem sie sagen:3„Nichts wird uns scheiden von der Liebe Christi.",99,deutsch
4,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,4,"Sie geht bis auf das Jahr 357, und ist im Anfange mangelhaft.",12,deutsch
5,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,1,"Aber auch hieraus kann man wieder dieselbe Ketzerei erkennen und Gründe gegen sie schöpfen. Denn wer ihr Freund und ein Genosse ihrer Gottlosigkeit ist, der wird, sollte er auch anderer Verbrechen schuldig und mit tausend Anklagen belastet seyn, und sollten auch die augenscheinlichsten Beweise und Belege gegen ihn vorliegen, bei ihnen rechtschaffen, und sogleich ein Freund des Königes, weil ihn seine Gottlosigkeit empfiehlt; und nachdem er sich sehr viel Geld erworben hat, erhält er von den Richtern auch die Erlaubniß, nach Belieben zu handeln.",84,deutsch
6,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,2,"Wer hingegen ihre Gottlosigkeit widerlegt, und Christi Sohn aufrichtig vertheidigt, der wird, wenn er auch in Allem rein, wenn er sich keiner Schuld bewußt ist, wenn er auch keinen Ankläger hat, dennoch, indem jene mancherlei Vorwände erdichten, sogleich ergriffen, und nach dem Urtheile des Königes verbannt, als wenn er der Verbrechen schuldig wäre, welche ihm jene aufbürden wollen, oder als wenn er den Kaiser geschmäht hätte, wie bei Naboth geschah1.",70,deutsch
7,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,3,"Wer aber ihre Ketzerei begünstiget, der wird aufgesucht und sogleich in die Kirche des Widerlegers derselben geschickt, und zuletzt werden Verbannungen, Mißhandlungen und alle Uebel über diejenigen verhängt, welche den Eingedrungenen nicht aufnehmen. Und was das Auffallendste ist, wen die Völker wollen und als untadelhaft kennen, diesen entsetzt der König und schickt ihn über die Grenzen; einen solchen aber, welchen sie nicht wollen und nicht kennen, schickt er aus weiter Ferne mit seinen Soldaten und Schreiben; und dannwerden sie mit vieler Gewalt gezwungen, denjenigen zu hassen, welchen sie als ihren Religionslehrer und Vater lieben; jenen aber zu lieben, welchen sie nicht wollen; und dem ihre Kinder anzuvertrauen, dessen Wandel und Sitten sie nicht kennen, und von dem sie nicht wissen, wer er sey; oder eine Strafe zu erleiden, wenn sie dem Könige nicht gehorchen.",134,deutsch
8,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,1,"Dieses verüben jetzt die Gottlosen, wie sie es schon früher verübt haben, gegen die Rechtgläubigen; wodurch sie die Beweise ihrer Bosheit und Gottlosigkeit überall bei Allen verbreiten. Denn gesetzt, sie haben den Athanasius angeklagt, was haben denn die übrigen Bischöfe verbrochen?",41,deutsch
9,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,2,"Welche Veranlassungen gaben sie, oder welcher Arsenius wurde bei ihnen todt gefunden? Was für ein Priester Makarius, oder welcher zerbrochene Kelch fand sich bei ihnen? Welcher Meletianer spielte eine Rolle? Aber wie aus ihren Handlungen erhellet und es sich zeigt, daß ihre Aussagen gegen den Athanasius falsch sind; so erhellet auch aus ihrem Verfahren gegen den Athanasius, daß auch die Beschuldigungen wider Andere erdichtet sind.",65,deutsch
10,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,3,"Ein großes Ungeheuer ist über die Erde ausgegangen, nämlich diese Ketzerei; denn sie verletzt nicht bloß durch Worte wie durch Zähne die Unschuldigen, sondern miethete auch um Geld die äussere Gewalt zur Nachstellung. Und das Auffallende dabei ist, daß, wie ich schon sagte, Niemand aus ihnen angeklagt, oder wenn er angeklagt wird, nicht gerichtet wird, oder daß, wenn man ihn auf den Schein zur Rede stellt, diejenigen, welche ihn überführen, verurtheilt werden, und daß demjenigen, welcher überweiset, nachgestellt, der Schuldige aber nicht einmal beschämt wird.",85,deutsch
11,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,4,"Bei ihnen also strotzen Alle von Unflath, und ihre kataskopoi (Spione), denn episkopoi (Bischöfe) dürfen sie nicht genannt werden, sind unfläthiger, als Alle. Und wenn bei ihnen Jemand Bischof werden will,so hört er nicht die Worte:1„Ein Bischof muß untadelhaft seyn; sondern nur: Denke feindselig gegen Christum und kümmere dich nicht um den Wandel; denn dieses ist hinreichend, um dich zu empfehlen und ein Freund des Kaisers zu werden.",68,deutsch
12,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,5,"So viel von denen, welche mit Arius gleiche Gesinnung haben. Die Eiferer für die Wahrheit aber werden, obschon sie heilig und rein sich zeigen, wie ich oben gesagt habe, dennoch für schuldig gehalten, wenn jene es wollen, und nach ihrem Gutdünken Verbrechen ersinnen.",43,deutsch
13,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,6,"Dieses kann man, wie ich gesagt habe, aus ihren Handlungen ersehen.",11,deutsch
14,Athanasius von Alexandrien,Geschichte der Arianer,Geschichte der Arianer,1,"Ein gewisser Eustathius1war Bischof zu Antiochien, ein Bekenner und frommgläubiger Mann. Dieser wurde, weil er für die Wahrheit sehr eifrig wirkte, die arianische Ketzerei aber haßte und ihre Anhänger nicht aufnahm, beidem Könige Constantinus verleumdet, und es wurde die Beschuldigung erdichtet, daß er dessen Mutter gelästert habe; und sogleich wurde er und mit ihm eine große Anzahl Priester und Diakonen des Landes verwiesen; diejenigen aber, welche er wegen ihrer Gottlosigkeit unter den Klerus nicht aufnahm, führten sie hierauf, nachdem der Bischof verbannt worden war, nicht nur in die Kirche ein, sondern stellten sie sogar größtentheils als Bischöfe auf, um sie zu Mitverschwornen in ihrer Gottlosigkeit zu haben.",107,deutsch
