id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,1,"Leben und Wandel unseres frommen Vaters Antonius, verfaßt und abgesandt an die Mönche in der Fremde von unserem heiligen Vater Athanasius, Bischof in Alexandria.1",24,deutsch
2,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,2,"Einen trefflichen Wettstreit habt ihr mit2den Mönchen in Ägypten begonnen, da ihr euch vornahmt, jenen gleich zu werden oder sie womöglich noch zu übertreffen durch eure Übung in der Tugend. Denn auch beieuch gibt es jetzt Klöster,3und der Name ""Mönch"" hat Geltung.",42,deutsch
3,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,3,"Diesen euren Vorsatz kann man mit Recht loben, und Gott wird auf euer Gebet hin die Erfüllung gewähren. Ihr habt euch aber auch an mich gewandt wegen des Lebenswandels des seligen Antonius und wollt erfahren, wie er mit der Askese anfing, wie er vor ihr gewesen ist und welches sein Lebensende war, ferner, ob das, was man von ihm berichtet, wahr sei - um nach seinem Vorbild eure Bahn zu wandeln -; euren Auftrag habe ich mit großer Bereitwilligkeit übernommen; denn auch für mich ist schon die bloße Erinnerung an Antonius ein großer und nützlicher Gewinn.4Ich weiß dazu, daß auch ihr, wenn ihr alles gehört habt, diesen Mann nicht nur bewundern, sondern ihm auchnacheifern werdet in seinem Vorsatz; denn das Leben des Antonius ist für Mönche ein treffliches Vorbild der Askese.",131,deutsch
4,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,4,"Dem, was ihr von anderen über ihn habt berichten hören, sollt ihr nicht mißtrauen, glaubt vielmehr, daß ihr nur wenig von ihnen vernommen habt; übrigens haben sie wohl kaum so vieles von ihm erzählt. Denn auch ich sende euch auf eure Bitte nur einen dürftigen Bericht aus einer Erinnerung, wie viel das auch sei, was ich in diesem Schreiben erzähle.",60,deutsch
5,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,5,"Ihr aber laßt nicht ab, die zu befragen, welche von uns zu euch kommen. Denn vielleicht wird nur so, wenn jeder sagt, was er weiß, die Darstellung seines Lebens seiner annähernd würdig. Nachdem ich euer Schreiben empfangen hatte, wäre es mein Wunsch gewesen, einige von den Mönchen kommen zu lassen, die besonders häufig seines vertrauten Umganges genossen; ich hätte mich so selbst besser unterrichtet und euch ein reicheres Lebensbild entwerfen können.",71,deutsch
6,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,6,"Aber die Reisezeit neigte sich ihrem Ende zu und der Bote hatte es eilig; daher habe ich es mir angelegen sein lassen, eurer Heiligkeit das zu berichten, was ich selbst weiß - denn ich habe ihn ja oft gesehen - und was ich von ihm erfahren konnte, als ich ihm geraume Zeit danach nachfolgte und Wasser über seine Hände goß5- überall bemüht um die Wahrheit, damit man nicht zuviel vernehme6und mißtrauisch werde, andererseits aber auch nicht weniger als sich gebührt erfahre7und dann den Heiligen verachte.",85,deutsch
7,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,7,"Der handschriftliche Titel wechselt. So lautet eine andere Fassung: Leben und Wandel unseres frommen Vaters und Lehrers der Wüste Antonius, verfaßt von Athanasius, dem Erzbischof von Alexandria. Euagrius schickt folgenden Prolog voraus: Presbyter Euagrius seinem teuersten Sohne Innozentius Gruß im Herrn.",41,deutsch
8,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,8,"Die wortwörtliche Übersetzung aus einer Sprache in die andere verhüllt den Sinn und erstickt das Korn wie mit üppigem Grase. Während nämlich die Darstellung sich sklavisch den Wort- und Redeformen anschmiegt, legt sie auf einem langen Umweg das nur mit Mühe dar, was sie sonst mit einem kurzen Ausdruck bezeichnen könnte.",51,deutsch
9,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,9,"Um diesen Fehler zu vermeiden, habe ich auf Deine Bitte das Leben des seligen Antonius so übersetzt, daß nichts vom Sinne fehlt, wenn auch manches von den Worten. Andere mögen nach Silben und Buchstaben jagen, Du frage nur nach dem Sinne.",41,deutsch
10,Athanasius von Alexandrien,Leben des Hl. Antonius,Vorwort: Zweck und Entstehung der Vita.,10,"Das Begleitschreiben ist gerichtet ""an die Mönche in der Fremde."" Wenn etwas mehr dahintersteckt als bloß eine literarische Fiktion - und es scheint so -, so läßt sich mit größter Wahrscheinlichkeit vermuten, daß damit der Westen des Mittelmeeres gemeint ist, vielleicht Italien oder Gallien.",44,deutsch
