id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,1,"Ich höre, daß Leontius, der jetzige Bischof zu Antiochien, Narcissus von Neronias, Georgius, jetzt Bischof zu Laodicea, und die diese umgebenden Arianer vieles über mich sagen und heftig über mich schmähen, indem sie mich der Feigheit beschuldigen, weil ich mich ihnen, als sie mich aufsuchten, um mich zu ermorden, nicht ausgeliefert und übergeben habe.",54,deutsch
2,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,2,"Obgleich ich nun gegen ihre Schmähungen und Verleumdungen Vieles schreiben könnte, was nicht einmal sie selbst zu läugnen vermöchten, und was Allen, welche davon hören würden, bekannt wäre; so werde ich mich doch nicht dahinbringen lassen, etwas anders gegen sie zu sagen, als nur den Ausspruch unsers Herrn und dieWorts des Apostels:1„Die Lüge ist aus dem Teufel,„ und:2„Lästerer werden das Reich Gottes nicht besitzen.",64,deutsch
3,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,3,"Denn es ist hinreichend, wenn hieraus erhellt, daß sie nicht nach der Vorschrift des Evangeliums denken und handeln, sondern daß sie nach ihrem eigenen Gelüsten das, was sie wollen, für gut halten.",32,deutsch
4,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,1,"Weil sie sich aber die Anmassung erlauben, mich der Feigheit zu beschuldigen, so muß ich etwas weniges hierüber schreiben; denn es wird sich auch hieraus zeigen, daß sie verruchte Gesinnungen hegen, und die göttlichen Schriften nicht gelesen haben, oder daß sie dieselben zwar gelesen haben, aber nicht glauben, daß die in denselben verkommenden Aussprüche von dem heiligen Geiste eingegeben sind.",60,deutsch
5,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,2,"Denn wenn sie es glaubten, so würden sie nicht gegen die Lehren derselben zu handeln wagen, und nicht der Bosheit der Juden, der Mörder des Herrn, nacheifern. Da nämlich Gott geboten hat:1„Ehre deinen Vater und deine Mutter!„ und: „Wer dem Vater und der Mutter flucht, „der soll des Todes seyn! stellten jene, die Ehre in Schmähung umwandelnd und die Kinder für Geld von der Pflicht gegen ihre Eltern befreiend, ein jenem widersprechendes Gesetz aus.",74,deutsch
6,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,3,"Und obwohl sie die Thaten des David lasen, thaten sie doch Entgegengesetztes, und beschuldigten die Unschuldigen, welche am Tage des Sabbates Aehren abpflückten und zerrieben. Sie kümmerten sich aber weder um die Gesetze, noch um den Sabbat, denn an diesem handelten sie gesetzwidriger, als sonst.",45,deutsch
7,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,4,"Weil sie jedoch bei der Bosheit ihrer Gesinnung die Jünger um ihr Heil beneideten und nur ihre eigene Ansicht geltend machen wollten, so haben sie nun den Lohn für ihre Ungerechtigkeit, indem sieunheilig geworden sind, und in der Folge2Fürsten von Sodoma, und Volk von Gomorrha genannt wurden.",47,deutsch
8,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,5,"Und jene scheinen mir nun schon eben so sehr, wie diese, durch die Unkenntniß ihres Unverstandes zu büssen; denn sie verstehen nicht, was sie sagen, glauben aber doch zu wissen, was sie nicht wissen. Die einzige Kenntniß aber, welche sie haben, ist die, Böses zu thun, und täglich zu Schlimmem noch Schlimmeres zu ersinnen.",54,deutsch
9,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,6,"Auch unsere jetzige Entweichung tadeln sie daher nicht deßwegen, weil sie wünschen, daß wir für die Tugend Muth an den Tag legen sollten; (denn woher sollte bei Feinden ein solcher Wunsch für diejenigen kommen, welche nicht dieselbe Laufbahn der Bosheit mit ihnen verfolgen?) sondern, weil sie einen schlechten Charakter haben, bemühen sie sich, dieses überall zu verbreiten, indem sie, denn sie sind wirklich so thöricht, sich mit der Hoffnung schmeicheln, daß wir uns einst aus Furcht vor ihren Schmähungen an sie anschließen werden.",83,deutsch
10,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,7,"Denn dieses wünschen sie, und deßwegen laufen sie überall herum, und nehmen zwar den Schein von Freunden an, spähen aber wie Feinde, um, von dem Blute Anderer gesättigt, auch uns aus dem Wege zu räumen, weil wir immer ihrer Bosheit entgegengesetzte Gesinnungen hegten und noch hegen, und weil wir ihre Ketzerei widerlegen und brandmarken.",54,deutsch
11,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,8,"Matth. XV, 4, und 2. Mos. XX, 12, XXI, 17.",10,deutsch
12,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,1,"Denn wen haben sie jemals, wenn es ihnen gelang, ihn bei der Verfolgung in ihre Gewalt zu bekommen, nicht nach Lust mißhandelt? Wen haben sie jemals gesucht, und aufgefunden, ohne ihn in eine solche Lage zu versetzen, daß er entweder eines elenden Todes starb, oder daß er von jeder Seite mißhandelt wurde?",52,deutsch
13,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,2,"Denn was die Richter zu thun scheinen, das ist das Werk jener Menschen, und dieRichter sind eigentlich die Vollzieher ihrer Entwürfe und die Diener ihrer Bosheit. Welcher Ort hat daher nicht ein Denkmal ihrer Verruchtheit aufzuweisen? Gegen wen, der ihre Gesinnungen nicht theilte, haben sie sich nicht verschworen und nach dem Beispiele der Jezabel nicht Vorwände ersonnen?",57,deutsch
14,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,3,"Welche Kirche trauert jetzt nicht wegen der Nachstellungen, welche jene ihren Bischöfen bereiteten? Antiochien trauert um den Bekenner und eifrigen Anhänger des wahren Glaubens Eustathius, Balanea (Valania) um den höchst bewundernswerthen Euphration, Paltus (Boldo) und Antaradus (Tortosa) um den Cymatius und Carterius, Adrianopel um den Christus liebenden Eutropius, und nach diesem um Lucius, welcher jener Menschen wegen oft Ketten getragen hat, und so gestorben ist; auch Ancyra trauert um den Marcellus, Beröa um den Cyrus, und Gaza um den Asklepas.",80,deutsch
15,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,4,"Denn die arglistigen Menschen haben die Verbannung dieser Männer bewirkt, nachdem sie dieselben vorher vielfach mißhandelt hatten; den Theodulus aber und den Olympius, Bischöfe in Thracien, so wie uns und unsere Priester lassen sie so aufsuchen, daß wir, wenn wir gefunden würden, die Todesstrafe zu erleiden hätten.",47,deutsch
16,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,5,"Und so würden wir wohl auch unsern Tod gefunden haben, wenn wir damals nicht gegen ihre Erwartung uns geflüchtet hätten. Denn von dieser Art war das Schreiben, welches gegen den Olympius an den Proconsul Donatus, und das, welches gegen mich an den Philagrius erlassen wurde.",45,deutsch
17,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,6,"Sie bewirkten ja auch, daß Paulus, Bischof von Constantinopel, welchen sie verfolgt und gefunden hatten, zu Cucusum in Kappadocien öffentlich erdrosselt wurde, indem sie sich des ehemaligen Präfekten Philippus hiezu als eines Henkers bedienten; denn dieser beschirmte ihre Ketzerei und vollzog ihre verruchten Beschlüsse.1",44,deutsch
18,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,7,"Als nämlich Constantius nichts mehr von seinem Bruder Constans (gest. 350) zu befürchten hatte, erklärte er sich lauter, als jemals, zu Gunsten der Irrlehrer. Er schickte von Antiochien, wo er damals war, einen Befehl an Philippus, den Präfektus Prätorio, daß er den Paulus aus seiner Kirche und aus der Stadt Constantinopel vertrieb, um den Macedonius an dessen Stelle zu setzen.",60,deutsch
19,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,8,"Paulus wurde nach Thessalonich, dann mit Ketten beladen nach Singara, in Mesopotamien abgeführt. Von da schleppte man ihn nach Emesa, in Syrien, dann nach Cucusa, einer kleinen, in den Wüsten des Taurus, auf den Gränzen Kappadociens und Armeniens gelegenen Stadt, wo die Luft sehr ungesund war.",46,deutsch
20,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,9,"Da wurde er in einen finstern Kerker eingeschlossen, und dem bittersten Mangel preisgegeben. Seine Feinde gingen sogar so weit, daß sie verboten, ihm irgend eine Nahrung zu reichen. Als sie sechs Tage nachher ihn dennoch am Leben fanden, erdrosselten sie ihn auf meuchelmörderische Weise, und verbreiteten das Gerücht, er sey an einer Krankheit gestorben. — Philipp entging dem göttlichen Strafgerichte nicht lange; er wurde einige Jahre nachher seiner Würden und Güter beraubt, und zur Landesverweisung verurtheilt.",76,deutsch
21,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,1,"Sind sie nun hiedurch gesättiget worden, und haben sie sich hierauf ruhig verhalten? Keineswegs; denn sie ruhten nicht, sondern sie sind nach dem Beispiele des Blutigels in den Sprüchen1noch muthwilliger in der Verübung ihrer Schandthaten, indem sie ihre Angriffe auf die großen Kirchengemeinden richten.",44,deutsch
22,Athanasius von Alexandrien,Rechtfertigung wegen seiner Entwicklung,Rechtfertigung wegen seiner Entwicklung,2,"Denn wer könnte das, was sie auch jetzt verübt haben, auf eine angemessene Weise schil dern? Wer vermag so viel zu erzählen, als jene gethan haben? Während nämlich die Kirchen bereits den Frieden genossen, und die Völker in den Versammlungen ihre Gebete verrichteten, wurde Liberius, Bischof von Rom, Paulinus, Erzbischof von Gallien, Dionysius, Erzbischof von Italien (Mailand), Lucifer, Erzbischof von der Insel Sardinien, und Eusebius Bischof in Italien, lauter fromme Bischöfe und Verkünder der Wahrheit, aufgegriffen und des Landes verwiesen, aus keinem andern Grunde, als weil sie an die Sekte der Arianer sich nicht anschlossen und die gegen uns gerichteten Schmähungen und Verleumdungen mit ihnen nicht unterzeichneten.",107,deutsch
