id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,1,"Alle Häresien, die durch Abfall von der Wahrheit entstanden, haben offenbar ein Wahngebilde sich ausgesonnen, und ihre Gottlosigkeit ist längst allen offenkundig geworden. Daß ja die, die solches ausgeheckt haben, von uns geschieden sind, ist doch wohl klar, wie ja der selige Johannes geschrieben hat: Die Anschauung solcher Leute hätte mit der unsrigen nie harmoniert noch auch harmoniere sie heute1.",60,deutsch
2,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,2,"Deshalb zerstreuen sie auch, wie der Heiland gesagt hat2, mit dem Teufel, sie, die nicht mit uns sammeln, und warten, bis die Leute schlafen, um dann ihr eigenes tödliches Gift auszusäen und so Genossen im Tode zu gewinnen.",38,deutsch
3,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,3,"Eine von den Irrlehren nun und zwar die jüngste, die eben erst als Vorläuferin des Antichrist ausgezogen ist, die sogenannte arianische, — listig und verschlagen — sieht, wie ihre älteren Schwestern, die andern Irrlehren, vor aller Welt gebrandmarkt wurden. Deshalb sucht sie sich heuchlerisch mit den Aussprüchen der Schrift zu decken wie schon ihr Vater, der Teufel, und will sich den Wiedereintritt in das Paradies der Kirche erzwingen, um unter der Maske des Christentums durch ihre verführerischen Fehlschlüsse — etwas Vernünftiges ist ja bei ihr nicht zu finden — den einen und andern zu einer falschen Vorstellung von Christus zu verleiten.",101,deutsch
4,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,4,"Und sie hat ja wirklich schon einige Unbesonnene irregeführt und zwar so, daß deren Schädigung nicht auf das Anhören beschränkt blieb, sondern daß sie, der Eva gleich, auch nahmen und kosteten und nunmehr in ihrer Verblendung das Bittere süß wähnen und die abscheuliche Irrlehre schön nennen3.",46,deutsch
5,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,5,"Ich erachtete es daher, von euch dazu ermuntert4, für nötig, den geschlossenen Panzer dieser häßlichenIrrlehre zu öffnen und euch deren übelriechende Torheit nachzuweisen, damit die ihr ferne Stehenden sie noch mehr fliehen, die von ihr bereits Betrogenen aber zu besserer Einsicht kommen, die Augen ihres Herzens öffnen und erkennen, daß, wie die Finsternis nicht Licht und die Lüge nicht Wahrheit ist, so auch die arianische Irrlehre nicht schön ist, daß aber auch die, welche diese Leute noch Christen nennen, in gar schwerer Täuschung befangen sind, da sie weder die Schrift verstehen noch überhaupt das Christentum und seinen Glauben kennen.",99,deutsch
6,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,1,"Welche Ähnlichkeit haben sie denn zwischen dieser Irrlehre und dem frommen Glauben entdeckt, da sie so albern reden, als sagten jene nichts Schlimmes? Das heißt doch wahrlich soviel, wie wenn sie den Kaiphas noch einen Christen nenneten, den Verräter Judas noch zu den Aposteln zählten und sagten, die, welche den Barabbas statt des Heilandes losbaten, hätten nichts Böses getan, und den Hymenäus und Alexander als rechtlich denkende Männer, den Apostel aber unwahrer Aussagen über sie bezichtigten1.",76,deutsch
7,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,2,"Doch wohl kein Christ könnte dies mitanhören, noch auch würde man den, der solche Sprache zu führen sich erdreistete, für geistig gesund halten. Denn an Stelle von Christus haben sie den Arius, wie die Manichäer den Manichäus2, anstatt Moses und der übrigen Heiligen einen gewissen Sotades3, der selbst den Heiden zum Gespötte ist, und die Tochter des Herodias aufgebracht.",59,deutsch
8,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,3,"Denn des ersteren gebrochene und weibische Manier hat Arius nachgemimt, indem auch er Thalien schrieb. Der letzteren aber suchte er es im Tanze gleichzutun, indem er in seinen Schmähungen auf den Heiland tanzte und scherzte, so daß die, welche der Irrlehre anheimfallen, sinnverwirrt und unverständigwerden, den Namen des Herrn der Herrlichkeit mit der Ähnlichkeit eines Bildes von einem vergänglichen Menschen vertauschen4und anstatt Christen sich fortan Arianer nennen und damit ihre Gottlosigkeit kennzeichnen.",72,deutsch
9,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,4,"Denn mit Ausflüchten mögen sie sich nicht behelfen noch auch, wenn sie Schmach trifft, die, welche nicht ihresgleichen sind, verdächtigen wollen, indem sie auch in gleicher Weise die Christen nach ihren Lehrern benennen5, um so auch selbst wieder wie jene als Christen dazustehen und bezeichnet zu werden.",47,deutsch
10,Athanasius von Alexandrien,Rede gegen die Arianer,Rede gegen die Arianer,5,"Sie mögen auch nicht, wenn sie sich ihres schimpflichen Namens schämen, spassen, sondern, wenn sie erröten, sich verbergen oder ablassen von ihrer Gottlosigkeit. Denn noch nie nahm eine Gemeinde den Namen von ihren Bischöfen an, sondern vom Herrn, an den wir auch glauben.",43,deutsch
