id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,1,"Alles, was unser Herr und Heiland Jesus Christus, wie Lukas schreibt, gethan und gelehrt hat.""1vollbrachte er. weil er zu unserm Heil erschienen war. Denn er kam, wie Johannes sagt, nicht, damit er die Welt richtete, sondern damit die Welt durch ihn gerettet würde.2Wir können aber, wie in Allem, so auch darin seine Güte bewundern, daß er über die, welche gegen uns kämpfen würden, nicht geschwiegen, sondern sie uns deutlich vorhergesagt hat, damit, wenn das eintreten würde, wir sogleich als Solche erfunden würden, deren Gesinnung durch seine Lehre geschützt ist, da er sagt: „Es werden falsche Propheten und falsche Christus aufstehen und große Zeichen und Wunder wirken, so daß, wenn es möglich wäre, auch die Auserwählten irre geführt würden.",118,deutsch
2,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,2,"Sehet, ich habe es euch vorhergesagt.""3Denn die von ihm unter uns hinterlegten Kenntnisse und Gnadengaben sind vielfach und über den Menschen erhaben,nämlich das Vorbild himmlischer Lebensweise, die Macht gegen die Dämonen, die Annahme an Sohnes Statt, und was über jede Gnadengabe erhaben ist und besonders hervorragt, die Kenntnis des Vaters und des Wortes selbst und die Gabe des heiligen Geistes.",60,deutsch
3,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,3,"Der Sinn der Menschen aber ist gar sehr zum Bösen geneigt. Auch unser Widersacher, der Teufel, beneidet uns um die so vielen uns zu Theil gewordenen Güter und geht herum4und sucht die Samenkörner des Wortes in uns zu rauben. Deßhalb sagte also der Herr, indem er seine Lehren in uns als eigene Schätze durch die Vorhersagung besiegelte: „Sehet zu, daß euch Niemand irre führe!",64,deutsch
4,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,4,"Denn Viele werden in meinem Namen kommen und sagen: Ich bin es, und die Zeit ist herangerückt, und werden Viele irre führen; folget ihnen also nicht nach!""5Eine große Gnade hat uns das Wort gespendet, daß wir nicht durch die äußern Erscheinungen uns hintergehen lassen, sondern vielmehr dieselben, wenn sie auch verhüllt sind, durch die Gnade des Geistes richtig beurtheilen.",59,deutsch
5,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,5,"Denn da der Erfinder der Bosheit und der große Dämon, der Teufel, ganz verhaßt ist und bei seiner bloßen Erscheinung von Allen angegriffen wird, als Schlange, als Drache, als Löwe, welcher sucht, wen er raube und verschlinge, so verheimlicht und verbirgt er deßhalb. was er selbst ist. und hüllt sich in heimtückischer Weise in den von Allen ersehnten Namen, um durch die äußere Erscheinung zu täuschen und dann die Verführten in seinen eigenen Banden zu umstricken.",76,deutsch
6,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,6,"Und wie Einer, welcher fremde Kinder in Abwesenheit der Eltern zu Sklaven machen will, die äussere Gestalt der letztern annimmt, die sehnsüchtigen Söhne hintergeht, sie dann weit fortführt und ins Verderben stürzt, in der nämlichen Weise setzt auch der boshafte und tückische Teufel auf sich selbst kein Vertrauen; da er aber die Liebe der Menschen zur Wahrheit kennt, so nimmt er den äusseren Schein der Wahrheit an und bespritzt die mit seinem Gifte, welche ihm folgen.",76,deutsch
7,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,1,"Auf diese Weise überlistete er auch die Eva, indem er nicht seine eigene Meinung aussprach, sondern auf die Worte Gottes sich heuchlerisch berief und ihren Sinn fälschte. So stiftete er das Weib des Job an, indem er sie verleitete, Gattenliebe zu heucheln, aber ihr Anleitung gab, Gott zu lästern.",49,deutsch
8,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,2,"So täuscht der Hinterlistige die Menschen durch den äusseren Schein, indem er Jedem ein Bein stellt und in den eigenen Abgrund der Bosheit fortreißt. Da er also schon vor langer Zeit den ersten Menschen Adam hintergangen hatte und durch ihn Alle sich unterworfen zu haben glaubte, höhnte er voll Übermuth mit den Worten: „Die ganze bewohnte Erde will ich in meine Hand fassen wie ein Vogelnest und will sie wegnehmen wie zurückgelassene Eier, und Niemand wird mir entrinnen oder widersprechen.„1Da aber der Herr zu uns kam und der Feind mit dessen menschlicher Heilsordnung bekannt wurde, so wird der Übermüthige, der gedroht hatte, die ganze bewohnte Erde zu fassen, da er das von ihm getragene Fleisch nicht überlisten konnte, nunmehr durch ihn und durch seinen Einfluß auch von Kindern wie ein Sperling zum Gespötte gehalten.",134,deutsch
9,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,3,"Denn ein unmündiges Kind verspottet jetzt, indem es die Hand in eine Schlangenhöhle hält2den, der die Eva überlistete, und Alle, die den rechten Glauben an den Herrn haben, treten den mit Füßen, der gesagt hat: „Ich werde meinen Thron über den Wolken errichten, ich werde hinaufsteigen, ich werde wie der Höchste sein. 3Solche Schmach also muß er ertragen.",58,deutsch
10,Athanasius von Alexandrien,Rundschreiben an die Bischöfe Ägyptens und Lybiens,Rundschreiben an die Bischöfe Ägyptens und Lybiens,4,"Wenn gleichwohl der Unverschämte es wieder wagt, sich in eine andere Gestalt zu hüllen, so wird auch dann der Unselige um so mehr von denen erkannt, die das Zeichen auf der Stirne tragen.4und wird um so heftiger unter Erniedrigung und Beschämung zurückgewiesen.",42,deutsch
