id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier (Tomus ad Antiochenos),1,"Den geliebten und theuersten Mitdienern Eusebius, Lucifer, Asterius, Cymatius und Anatolius, wünschen Athanasius und die übrigen zu Alexandrien anwesenden Bischöfe aus Italien, Arabien, Aegypten und Libyen, Eusebius, Asterius, Gajus, Agathus, Ammonius, Agathodämon, Drakontius, Adelphius, Hermäon, Markus, Theodorus, Andreas, Paphnutius, ein anderer Markus, Zoilus, Menas, Georgius, Lucius, Makarius und die Uebrigen, in Christo sehr viele Freude.",55,deutsch
2,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,1,"Wir sind zwar überzeugt, daß ihr als Diener Gottes und gute Verwalter sämmtliche Angelegenheiten der Kirche zu ordnen geeignet seyd. Allein weil die Nachricht zu uns gelangt ist, daß sehr Viele, welche vor Kurzem aus Streitsucht von uns abgefallen sind, jetzt den Frieden wünschen, und Viele, der Ketzerei der Ariomaniten entsagend, mit uns in Verbindung zu treten wünschen; haben wir es für nöthig erachtet, dasjenige, was wir und unsere Lieben, Eusebius und Asterius, geschrieben haben, auch euerer Sanftmuth zu schreiben, (denn auch ihr seyd liebe und unswahrhaft sehr theuere Mitdiener,) indem wir über diese günstige Nachricht frohlocken und wünschen, daß, wenn noch Jemand von uns entfernt ist, und wenn noch Jemand mit den Arianern zusammenzukommen scheint, dieser von ihrem Unsinne eiligst sich entferne, damit endlich Alle überall sagen:1„Ein Herr, Ein Glaube.",131,deutsch
3,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,2,"Denn was ist, wie der Psalmist sagt,2so gut und so lieblich, als wenn Brüder beisammen wohnen? Unsere Wohnung aber ist die Kirche; und es geziemt sich, daß wir dieselbe Gesinnung haben. Denn so glauben wir, daß auch der Herr bei uns wohnen werde, der da spricht:3„In ihnen will ich wohnen und wandeln, und:4„Da will ich wohnen, denn ich habe sie erkoren.",61,deutsch
4,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,3,"Wo aber ist das „Da , als wo Ein Glaube und Eine Religion gelehrt wird?",15,deutsch
5,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,1,"Gerne wären nun zwar auch wir Aegypter mit unsern geliebten Brüdern Eusebius und Asterius aus vielen Gründen zu euch gereiset, besonders aber deßwegen, damit wir euere Liebe umfaßten und gemeinschaftlich einen solchen Frieden und eine solche Eintracht genießen könnten. Allein weil, wie wir bereits in dem andern Briefe bemerkt haben, und ihr von jenen unsern Mitdienern erfahren könnet, dringende Kirchenangelegenheiten uns hindern; so schmerzt es uns sehr, aber dennoch haben wir eben dieselben unsere Mitdiener, den Eusebius und Asterius, gebeten, anstatt unser zu euch sich zu begeben.",87,deutsch
6,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,2,"Und Dank ihrem frommen Sinne, daß sie, obwohl sie in ihre Sprengel hätten zurückeilen können, Allem die Reise zu euch vorzogen, wegen des dringenden Bedürfnisses der Kirche. Weil nun diese unserm Wunsche entsprachen, haben wir uns getröstet, indem wir, wenn solche Männer mit euch daselbst zusammentreffen, Alle bei euch zu seyn glauben.",52,deutsch
7,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,1,"Alle also, welche mit uns Frieden haben wollen, und zumal jene, welche in der alten Stadt, oder in der alten Kirche1ihren Gottesdienst halten, und die arianische Sekte verlassen, rufet zu euch, nehmet sie wie Väter ihre Kinder auf, behandelt sie, wie ihre Lehrer und Beschützer sie behandeln müssen, vereiniget sie mit unserm lieben Paulinus und seinen Getreuen, und fordert nichts weiter von ihnen, als daß sie die arianische Ketzerei verfluchen, und den Glauben bekennen, den die heiligen Väter zu Nicäa bekannt haben, und daß sie auch diejenigen verfluchen, welche behaupten, der heilige Geist sey ein Geschöpf, und von der Wesenheit Christi getrennt.",102,deutsch
8,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,2,"Denn darin besteht das wahre Abgehen von der verabscheuungswürdigen Ketzerei der Arianer, daß man die heilige Dreieinigkeit nicht theilt, und nicht sagt, Etwas von ihr sey ein Geschöpf. Denn diejenigen, welche zwar dem Scheine nach den nicäischen Glauben bekennen, dessenungeachtet aber sich erfrechen, wider den heiligen Geist zu lästern, thun nichts weiter, als daß sie die arianische Ketzerei zwar mit den Worten verläugnen, in dem Herzen aber dieselbe beibehalten.",69,deutsch
9,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,3,"Mit dem Fluche sollferner von Allen auch die Gottlosigkeit des Sabellius und des Paulus von Samosate, der Unsinn des Valentinus, und des Basilides, so wie der Wahnsinn der Manichäer belegt werden. Denn wenn dieses so geschieht, so wird überall von Allen aller böse Verdacht entfernt werden, und nur der Glaube der katholischen Kirche als der Reine sich zeigen.",58,deutsch
10,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,4,"Libanius bemerkt in seinem Antiochicon, Antiochia sey in zwei Städte getheilt gewesen, nämlich in das alte längs des Orontes, und in das neue, welches auf einer Insel des Orontes lag, eine runde Gestalt hatte, und durch fünf Brücken mit dem alten verbunden war.",43,deutsch
11,Athanasius von Alexandrien,Schreiben an die Antiochier,Schreiben an die Antiochier,5,"In dem alten stand die von den Aposteln gegründete Kirche, welche deßhalb Theodoretus die Apostolische, das Chronicon von Alexandrien aber die alte (palaian) nennt. Daher ist es zweifelhaft, ob Athanasius hier die Stadt oder die Kirche meint. Uebrigens ist gewiß, daß Meletius in der alten Stadt die kirchlichen Versammlungen hielt, und zwar in der besagten Kirche, und daß Paulinus nur eine sehr kleine Kirche in der Neustadt hatte, welche der damalige Bischof der Arianer Euzojus aus Hochachtung für den Paulinus diesem und dessen Anhängern überlassen hatte.",86,deutsch
