id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,1,"Da ich weiß, daß Du schon seit vielen Jahren Christ bist und die Frömmigkeit von Deinen Vorfahren ererbt hast, so gehe ich jetzt guten Muthes an meine Vertheidigung. Indem ich mich nämlich der Worte des seligen Paulus bediene,1mache ich ihn zu meinem Fürsprecher bei Dir.",45,deutsch
2,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,2,"Denn ich weiß, daß er ein Verkünder der Wahrheit ist, Du aber, gottesfürchtiger Augustus, seine Worte gerne vernimmst. Was nun die kirchlichen Angelegenheiten und die gegen mich geschmiedeten Ränke anbelangt, so genügen die Beschlüsse so vieler Bischöfe, um Deiner Frömmigkeit davon Zeugniß zu geben.",44,deutsch
3,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,3,"Auch reicht die Reue des Ursacius und Valens hin, um Alle zu überzeugen, daß Nichts von dem, was sie gegen uns vorbrachten, auf Wahrheit beruhte. Denn könnte sonst Jemand ein so kräftiges Zeugnis geben, als Diese schriftlich niedergelegt haben? „Wir logen, wir erdichteten, und alle Anschuldigungen gegen Athanasius strotzen von Verleumdung.",51,deutsch
4,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,4,"Zu diesem offenenBeweis kommt noch, wenn Du es noch vernehmen willst, daß die Ankläger in unserer Gegenwart gegen den Priester Makarius keinen Beweis führten, in unserer Abwesenheit aber für sich allein thaten, was ihnen beliebte. Ein solches Verfahren aber hat zunächst nach dem göttlichen Gesetze, dann aber auch nach unsern Gesetzen keine Giltigkeit.",53,deutsch
5,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,5,"Daraus kannst Du überzeugt sein, daß Deine wahrheitsliebende und gottesfürchtige Gewissenhaftigkeit uns von jedem Verdachte frei finden und unsere Gegner als Verleumder erklären wird.",24,deutsch
6,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,1,"[Forts. v.] Was aber die Verleumdung betrifft, die bei Deiner Menschenfreundlichkeit wegen des gottesfürchtigen Kaisers, Deines Bruders Constans seligen und ewigen Andenkens, gegen mich gerichtet wurde, — denn das verbreiten die Feinde und haben es sogar zu schreiben gewagt, — genügt das Frühere zum Beweise, daß auch das nicht wahr sei.",51,deutsch
7,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,2,"Denn wenn es andere Menschen wären, die das sagen, so könnte die Sache in Untersuchung gezogen werden, und es wäre ein umständlicher Beweis und eine augenscheinliche Überführung nöthig. Wenn aber die, welche das Erste erdichtet, auch Dieß zusammengesetzt haben, wie geht nicht aus Jenem hervor, daß auch Dieß erdichtet sei?",50,deutsch
8,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,3,"Deßhalb sagen sie Dir Dieß wiederinsgeheim, weil sie glauben, Deine Gottesfurcht hintergehen zu können. Aber sie täuschen sich. Denn nicht, wie sie wollen, hörst Du sie, sondern Du hast in Deiner Geduld auch uns die Vertheidigung gestattet. Denn daß Du nicht plötzlich in Flammen geriethest und Strafe verhängtest, ging auf nichts Anderes hinaus, als daß Du als gerechter Herrscher auch die Vertheidigung des Angeklagten abwarten wolltest.",66,deutsch
9,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,4,"Wenn Du Dich herablässest, diese anzuhören, so hoffe ich zuversichtlich, daß Du auch hierin sie tadeln wirst als verwegene Menschen, die Gott nicht fürchten, welcher befiehlt, daß man den König nicht anlüge.",32,deutsch
10,Athanasius von Alexandrien,Schutzschrift an Kaiser Constantius,Schutzschrift an Kaiser Constantius,1,"Ich schäme mich nun fürwahr, mich wegen solcher Punkte zu vertheidigen, die, wie ich glaube, nicht einmal der Ankläger in unserer Gegenwart erwähnen würde. Denn er weiß ganz gut, daß er lügt, und daß ich wederwahnsinnig bin, noch den Verstand verloren habe, so daß man muthmaßen könnte, ich hätte so Etwas auch nur gedacht.",54,deutsch
