id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,1,"Ich glaubte, es würden nach so vielen Beweisführungen für unsere Sache unsere Feinde sich nicht mehr hervorwagen und in den Punkten, in denen sie die Übrigen verleumdeten, vielmehr sich selbst für schuldig erkennen. Da sie aber nicht einmal erröthen, obschon sie in dieser Weise sich entpuppt haben, sondern in ihrer Verblendung feindselige Reden verbreiten, in der Meinung, es müsse über Alles neu entschieden werden, nicht als wollten sie sich selbst dem Richterspruch unterziehen, denn davon wollen sie Nichts wissen, sondern um uns und die Seelen der Arglosen zu beunruhigen, so hielt ich es für nothwendig, mich bei euch zu rechtfertigen, damit ihr auf ihr Murren nicht mehr achtet und euch von ihrer Bosheit und Ränkesucht überzeuget.",116,deutsch
2,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,2,"Vor euch als rechtlich gesinnten Menschen führe ich meine Vertheidigung; gegen meine Gegner aber flößen mir die Beweise Muth ein, die mir gegen dieselben zu Gebote stehen. Denn unsere Sache bedarf keines Richterspruches mehr, denn sie ist nicht einmal oder zweimal, sondern oft entschieden worden.",45,deutsch
3,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,3,"Zum ersten Mal geschah es in einer Versammlung unserer Provinz von nahezu hundert Bischöfen,zum zweiten Mal in Rom, als Eusebius geschrieben hatte, da wir selbst vorgeladen und dort mehr als fünfzig Bischöfe versammelt waren, und zum dritten Mal auf der großen Synode zu Sardica, die sich im Auftrag der gottesfürchtigen Kaiser Constantius und Constans versammelt hatte, auf welcher unsere Widersacher als Verleumder verurtheilt wurden.",64,deutsch
4,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,4,"Dem uns freisprechenden Urtheile stimmten mehr als dreihundert Bischöfe bei, aus den Eparchien von Ägypten, Libyen, der Pentapolis, Palästina, Arabien, Isaurien, Cypern, Pamphylien, Lycien, Galatien, Dacien, Mysien, Thracien, Dardanien, Macedonien, Epirus, Thessalien, Achaia, Kreta, Dalmatien, Siscien, Pannonien, Noricum, Italien, Picenum, Tuscien, Campanien, Calabrien, Apulien, Bruttium, Sicilien, ganz Afrika, Sardinien, Spanien, Gallien, Britanien.",52,deutsch
5,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,5,"Ihnen schloßen sich auch Ursacius und Valens an, die zuerst auf Seite der Ankläger standen, später aber ihre Gesinnung änderten. Denn sie stimmten nicht nur dem über uns gefällten Urtheile bei, sondern gaben auch zu, daß sie selbst und unsere übrigen Gegner uns verleumdet hätten.",45,deutsch
6,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,6,"Denn da sie in dieser Weise ihre Ansicht geändert und in dieser Weise geschrieben haben, so überführen sie offenbar auch die Anhänger des Eusebius. Denn gemeinsam mit ihnen schmiedeten sie Ränke gegen uns. Es wird nun Jedermann zugeben, daß es überflüssig sei, das, was von so vielen und so großen Bischöfen geprüft, entschieden und klar bewiesen wurde, noch einmal entscheiden zu lassen, damit es nicht, wenn es auch jetzt noch untersucht wird, wieder entschieden und nochmals untersucht werde, und so ihre übertriebene Geschäftigkeit kein Ende finde.",86,deutsch
7,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,1,"Es hätte das Urtheil so vieler Bischöfe genügt, um die Leute zu beschämen, die gegen uns auch nur zum Scheine noch Etwas vorbringen wollten. Da aber sogar die Feinde für uns und gegen sich selbst Zeugniß geben, indem sie das, was gegen uns geschehen ist, für Ränke erklären, wer schämt sich nicht, jetzt noch einen Zweifel zu hegen?",58,deutsch
8,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,2,"Denn während das Gesetz befiehlt, daß die Urteilssprüche auf der Aussage von zwei oder drei Zeugen beruhensollen,1so haben wir eine so große Menge Zeugen für uns, zu der auch noch die Erklärung unserer Feinde hinzutritt, daß auch die Übrigen sich nicht mehr auf ihren willkürlichen Urteilsspruch berufen, sondern sich genöthigt sehen, uns, von denen sie überführt werden, mit Beleidigungen statt mit Gründen zu bekämpfen.",64,deutsch
9,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,3,"Denn das macht ihnen den größten Kummer, daß das, was sie selbst heimlich thaten und in einem verborgenen Winkel unter sich abmachten, von Valens und Ursacius ausgeredet und ans Licht gezogen wurde. Auch ist ihnen wohl bekannt, daß deren Sinnesänderung ihnen zum Verdammungsurtheil wird, denen aber, die von ihnen gekränkt wurden, zur Rechtfertigung dient.",54,deutsch
10,Athanasius von Alexandrien,Schutzschrift gegen die Arianer,Schutzschrift gegen die Arianer,4,"Deßhalb wurden sie auch auf der Synode in Sardica, wie ich vorhin gemeldet, verurtheilt, und zwar mit Recht. Denn in dieser Weise vertheidigten einst auch die Pharisäer den Paulus und verriethen ihre und der Juden Verschwörung gegen ihn.2So wurde bewiesen, daß der selige David ohne Grund verfolgt wurde, als sein Verfolger das Geständniß machte: „Ich habe gefehlt, Sohn David! 3So wollten auch diese es machen, indem sie von der Wahrheit sich besiegen ließen, und übergaben dem Julius, Bischof von Rom, ein Schreiben.",82,deutsch
