id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",1,"Allen Mitdienern aller Orten, den geliebten Herrn, entbietet Athanasius seinen Gruß in dem Herrn.",14,deutsch
2,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",2,"Hart zwar und unerträglich sind die Unbilden, welche wir erduldet haben, und sie können nicht in ihrer ganzen Größe aufgezählt werden. Damit aber das Schreckliche dessen, was sich zugetragen hat, schneller erkannt werden könne, fand ich es für gut, eine Geschichte1aus den Schriften anzuführen.",44,deutsch
3,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",3,"Als einst ein Levite hinsichtlich seines Weibes mißhandelt wurde, und die gräßliche Schandthat beherzigte, (denn das Weib war eine Hebräerin und aus dem Stamme Juda,) und erschüttert ward durch das gegen ihn gewagte Verbrechen; so theilte er, wie die göttliche Schrift der Richter erzählt, das Weib in Stücke und schickte diese an alle Stämme Israels, auf daß man diese Beleidigung nicht als eine ihm allein, sondern als eine Allen gemeinschaftlich zugefügte ansehen möchte, und daß sie, wenn sie mit ihm Bedauern hätten, ihn rächen, wenn sie es aber ausser Acht lassen würden, sich am Ende selbst als die Uebelthäter schämen möchten.",101,deutsch
4,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",4,"Die Gesandten brachten die Nachricht von dem Vorfalle; jene aber sprachen, als sie dieses hörten und sahen, etwas solches sey nie geschehen, seit dem Tage, als die Söhne Israels heraufzogen aus Aegypten. Nun geriethen alle Stämme Israels in Bewegung, und alle traten zusammen, als wäre ihnen selbst die Beleidigung zugefügtworden, gegen die Urheber dieser Schandthat.",55,deutsch
5,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",5,"Und am Ende wurden jene Verbrecher im Kriege überwunden und von Allen verflucht. Denn die Versammelten sahen nicht auf die Verwandtschaft, sondern hatten nur das Verbrechen vor Augen. Ihr kennet die Geschichte, Brüder, und was in der Schrift genau darüber aufgezeichnet ist; denn ich will nicht mehr darüber anführen, weil ihr die Schrift kennet, und ich gezwungen bin, euerer Gutherzigkeit Dinge kund zu thun, welche weit schrecklicher sind, als jene.",70,deutsch
6,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",6,"Denn ich erinnerte an diese Geschichte deßwegen, damit ihr die damaligen Begebenheiten mit den jetzigen vergleichen, und nach der Erlangung der Ueberzeugung, daß diese jene an Grausamkeit übertreffen, in einen größern Unwillen gerathen möchtet, als einst jene gegen die Verbrecher. Denn das, was gegen uns verübt wurde, übertrifft selbst die Bitterkeit der Verfolgungen, und das Unglück des Leviten ist im Vergleiche mit dem, was jetzt gegen die Kirche gewagt worden ist, nur unbedeutend; ja es ist vielmehr auf der Erde nie etwas dergleichen gehört worden, und nie hat Jemand solche Uebel erfahren.",92,deutsch
7,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",7,"Denn damals wurde nur ein einziges Weib mißhandelt, und nur ein einziger Levite erlitt eine Gewaltthätigkeit; jetzt aber ist gegen die ganze Kirche Unrecht verübt, und der Priesterstand ist mißhandelt worden, und, was noch größer ist, die Gottseligkeit wird von der Gottlosigkeit verfolgt.",43,deutsch
8,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",8,"Damals wurde ein jeder Stamm bei dem Anblicke des Stückes eines Einzigen Weibes von Schauder ergriffen; jetzt aber sieht man die von einander gerissenen Glieder der ganzen Kirche, und die Abgeordneten, welche theils zu euch, theils zu Andern gesandt worden sind, und die Schmach und Ungerechtigkeit, welche sie gelitten haben, erzählen.",51,deutsch
9,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",9,"Setzet also auch ihr euch in Bewegung, ich beschwöre euch, nicht als wenn nur uns allein, sondern als wenn auch euch Unrecht zugefügt worden wäre; und ein Jeder leiste, als litte er selbst dabei, Hülfe, damit nicht in Kurzem die kirchlichen Canone und der Glaube der Kirche zuGrunde gehen.",49,deutsch
10,Athanasius von Alexandrien,"Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien","Umlaufschreiben des Hl. Athanasius, Bischof von Alexandrien",10,"Denn Beide schweben in Gefahr, wenn nicht Gott durch euch die schlimmen Folgen jener Verbrechen schnell beseitiget, und wenn der Kirche nicht Recht zu Theil wird. Denn nicht erst jetzt sind die Canone und Vorschriften den Kirchen gegeben, sondern von unsern Vätern sind sie richtig und standhaft überliefert worden; und nicht erst jetzt hat der Glaube angefangen, sondern von dem Herrn ist er mittelst der Jünger auf uns gekommen.",69,deutsch
