id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,1,"Unseres heiligen Vaters Athanasius, Erzbischofes zu Alexandrien, Brief, in welchem dargethan wird, daß Dionysius, Erzbischof von Alexandrien, eine der arianischen Ketzerei entgegengesetzte Meinung gehabt habe, wie die Nicäische Synode, und daß ihn die Arianer fälschlich einer Uebereinstimmung mit ihrer Lehre beschuldigen.",41,deutsch
2,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,2,"Langsam hast du Nachricht gegeben über die erst neulich bei euch vorgefallene Unterredung gegen die Feinde Christi; denn ehe mir deine Freundschaft dieses schrieb, hatte ich es nach sorgfältiger Erkundigung vernommen, und gerne gehört. Ich gebe nun deiner Frömmigkeit vollen Beifall, welche so richtig denkt über unsere seligen Väter, und habe auch bei dieser Gelegenheit den Unsinn der Arianer wieder erkannt.",61,deutsch
3,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,3,"Denn weil sich ihrer Ketzerei kein vernünftiger Grund, noch irgend ein Ausspruch aus der göttlichen Schrift als Beweis darbietet, ersannen sie bisher immerunverschämte Vorwände und listige Scheingründe; jetzt aber sind sie in ihrer Frechheit so weit gegangen, daß sie sogar die Väter verleumden; und dieses ist ihrer schlechten Denkungsweise gar nicht fremd, sondern vielmehr derselben ganz eigen.",57,deutsch
4,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,4,"Denn wie könnte man sich wundern, daß diejenigen, welche es wagten, „wider den Herrn und wider seinen Gesalbten zu sinnen1, auch den Bischof Dionysius von Alexandrien, seligen Andenkens, beschuldigen, er habe mit ihnen einerlei Lehre und einerlei Ansicht? Denn wen diese zur Aufrechthaltung ihre Ketzerei mit Lob zu überhäufen scheinen, diesen umhüllen sie, auch wenn sie ihn selig nennen, nicht mit geringen, sondern mit großen Verleumdungen, wie es Räuber und ähnliche verruchte Leute machen, welche, weil sie durch ihre Verbrechen in schlechtem Rufe stehen, rechtliche Menschen für ihre Genossen ausgeben, indem sie Lügen gegen ihre Rechtschaffenheit vorbringen.",97,deutsch
5,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,1,"Haben sie nun Vertrauen auf ihre Meinung und auf ihre Worte, so mögen sie ihre falsche Lehre ohne Beisatz vorbringen, und es aus derselben nachweisen, wenn sie entweder aus den Schriften, oder doch wenigstens einen menschlichen der Ehrfurcht gegen Gott entsprechenden Beweis zu ihrer Vertheidigung zu haben glauben; haben sie aber keinen solchen, so sollen sie schweigen; denn sie werden nirgends etwas finden, ausser vielmehr Beweise, durch welche sie selbst widerlegt werden.",72,deutsch
6,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,2,"Denn in den heiligen Schriften sagt Johannes:1„Im Anfange war das Wort; welches, wie sie sagen, nicht wahr, ehe es gezeugt wurde. David aber singt in der Person des Vaters so:2„Mein Herz gab von sich ein gutes Wort, welches nach ihrer Behauptung nur dem Gedanken nach ist, und aus Nichts gemacht worden ist; und Johannes sagt ferner in dem Evangelium:3„Alles ist durch dasselbe, gemacht, und ohne dasselbe ist nichts gemacht worden; und Paulus schreibt:4„Ein Herr Jesus Christus, durch welchen Alles ist; und anderswo:5„Denn durch ihn ist Alles geschaffen.",87,deutsch
7,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,3,"Auf was werden sie also diese ihre Zuversicht stützen, ja vielmehr, welcher Schmach werden sie anheimfallen, da sie den Aussprüchen der Heiligen widerstreben, indem sie sagen, der Urheber aller Dinge sey etwas Gemachtes, und derjenige sey ein Geschöpf, durch welchen Alles geschaffen ist und besteht?",45,deutsch
8,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,4,"Nicht einmal ein menschlicher mit der Verehrung Gottes übereinstimmender Vernunftgrund ist ihnen übrig zu ihrer Vertheidigung. Denn welcher Mensch, sey er Grieche oder Barbar, wird es wagen, den Gott, welchen er bekennt, ein Geschöpf zu nennen, oder zu sagen, er sey nicht gewesen, ehe er gemacht wurde?",47,deutsch
9,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,5,"Oder welcher Mensch wird, wenn er denjenigen, welchen er für den einzigen Gott hält, sagen hört:6„Dieser ist mein geliebter Sohn, und: „Mein Herz gab von sich ein gutes Wort, sich zu sagen erfrechen: Das Wort, welches aus Gottes Herz hervorgegangen ist, ist aus Nichtseyendem gemacht worden, oder der Sohn ist ein Geschöpf, und nicht der eigene Erzeugte des Redenden?",59,deutsch
10,Athanasius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,Verteidigung der Lehre des Hl. Dionysius von Alexandrien,6,"Oder wer wird ferner, wenn er denjenigen, von dem er glaubt, daァ er der Herr und Heiland sey, sagen hört:7„Ich bin in dem Vater, und der Vater ist in mir, und: „Ich und der Vater sind Eins, das zu trennen sich getrauen, was jener verbunden, und ungetheilt bewahrt hat?",49,deutsch
