id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,1,"Schreiben des heiligen Vater s Athanasius, Erzbischofes von Alexandrien, daß die nicäische Synode, nachdem sie die Verschlagenheit der Eusebianer eingesehen hatte, ihre Beschlüsse über die arianische Ketzerei auf eine angemessene und religiöse Weise faßte.",34,deutsch
2,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,2,"Du hast recht gethan, daß du deinen Streit mit den Verfechtern der arianischen Ketzerei mir bekannt gemacht hast, unter welchen nicht nur einige Freunde des Eusebius, sondern auch sehr viele von den Brüdern waren, welche dem Glauben der Kirche anhangen. Deine Christum liebende Wachsamkeit nun, welche die gotttose Ketzerei trefflich widerlegte, habe ich mit Wohlgefallen aufgenommen; zugleich habe ich mich aber auch über die Unverschämtheit jener Menschen gewundert, daß sie, obwohl die Gründe der Arianer als unhaltbar und nichtig widerlegt wurden, und ihre ganze Bosheit von Allen verworfen wurde, doch sogar nach diesem noch wie die Juden murrten und sagten: Warum haben die zu Nicäa Versammelten die nicht geschriebenen Ausdrücke, nämlich„aus der Wesenheit und„gleiches Wesens 1, geschrieben?",117,deutsch
3,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,3,"Du hast zwar als beredter Mann bewiesen, daß sie auch ungeachtet dieser Ausflüchte leere Worte vorbringen. Jene aber thun nichts, was ihrer schlechten Gesinnung fremd wäre, wenn sie Vorwände erdichten. Denn sie sind in ihren Ansichten so unbeständig undveränderlich, wie die Chamäleone2in ihren Farben, und sie erröthen, wenn man sie überweist, kommen in Verlegenheit, wenn man sie zur Rede stellt, und schützen endlich unverschämter Weise nichtige Gründe vor.",68,deutsch
4,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,4,"Ueberweiset sie auch hierin Jemand, so ermüden sie nicht, bis sie Dinge, welche nicht sind, ausgedacht, und wie geschrieben3steht, auf Eitles gesonnen haben, um nur gottlos zu bleiben. Dieses Verfahren aber ist nichts anders, als ein augenscheinlicher Beweis ihrer Thorheit, und, wie ich sagte, eine Nachahmung der jüdischen Bosheit.",49,deutsch
5,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,5,"Denn da die Juden, von der Wahrheit überzeugt, die Augen gegen dieselbe nicht zu erheben vermochten, gebrauchten sie Vorwände und sagten:4„Was thust du für ein Wunder, auf daß wir sehen und dir glauben? Was wirkest du? Da doch so viele Wunder geschahen, daß auch sie selbst sagen mußten:5„Was thun wir? denn dieser Mensch wirkt viele Wunder.",56,deutsch
6,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,6,"Todte wurden ja auferweckt, Lahme gingen, Blinde sahen, Aussätzige wurden gereiniget, das Wasser wurde in Wein verwandelt, und mit fünf Broden wurden fünftausend Menschen gesättiget. Und alle bewunderten und beteten ihn als den Herrn an, indem sie bekannten, daß in ihm die Weissagungen erfüllt wurden, und daß er Gott, der Sohn Gottes sey.",53,deutsch
7,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,7,"Nur die Pharisäer murrten, obwohl die Wunder klarer als die Sonne waren, doch wieder wie Unwissende und sprachen:6„Warum machst du, da du ein Mensch bist, dich selbst zu Gott? Die Thoren und wahrhaft Blinden in ihren Herzen! Sie hätten vielmehr sagen sollen: Warum bist du, da du Gott bist, Mensch geworden?",51,deutsch
8,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,8,"Denn die Werke bewiesen, daß er Gott ist, so daß sie die Güte des Vaters hätten verehren, und seine unsertwegengemachte Anordnung hätten bewundern sollen. Dieses sagten sie aber nicht; ja sie wollten nicht einmal das, was geschah, sehen; oder wenn sie es sahen, (denn sie konnten nicht umhin, es zu sehen;) so nahmen sie gleich wieder zu einer andern Klage ihre Zuflucht und sagten: Warum heilst du am Sabathe den Gichtbrüchigen, und warum machest du den Blindgebornen sehend ?",79,deutsch
9,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,9,"Dieses war aber wieder ein Vorwand und ein bloßes Murren. Denn auch, wenn der Herr an andern Tagen jede Krankheit und jedes Gebrechen heilte, beklagten sich jene auf die gewöhnliche Weise, und wollten ihn lieber Beelzebul nennen, und so in den Verdacht der Gottlosigkeit fallen, als ihre eigene Bosheit ablegen.",50,deutsch
10,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,10,"Obwohl also der Heiland auf verschiedene und vielfache Weise seine Gottheit bewies, und allen die frohe Bothschaft von dem Vater brachte, widersprachen jene nichts desto weniger auch so, wie wenn sie auf Stachel träten, mit thörichtem Geschwätze, um nur nach dem göttlichen Sprüchworte7Vorwände ausfindig zu machen, unter welchen sie sich von der Wahrheit trennen könnten.",55,deutsch
11,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,11,Ἐκ τῆς οὐσίας καὶ τὸ ὁμοούσιον[Ek tēs ousias kai to homoousion].,11,deutsch
12,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,12,"Das Chamäleon ist ein sonderbares Thierchen, mit langen Beinen, eckigem Kopfe, großen Augen. Es sieht, je nachdem es kalt oder warm, fröhlich oder traurig ist, bald grünlich, bald gelblich, weißlich, oder röthlich aus.",33,deutsch
13,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,1,"Die Juden nun, welche damals so boshaft handelten, und den Herrn verläugneten, sind mit Recht sowohl der Gesetze, als auch der den Vätern gemachten Verheissungen verlurstig geworden. Die Arianer aber, welche heut zu Tage die Juden nachahmen, scheinen mir dem Kaiphas und den damaligen Pharisäern ähnlich zu handeln; obwohl sie nämlich sehen, daß ihre Ketzerei nichts Vernünftiges enthalte, erdichten sie doch Einwendungen, indem sie fragen: Warum ist dieses und nicht jenes geschrieben worden?",73,deutsch
14,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,2,"Und wundere dich nicht, wenn sie jetzt solche Ränke gebrauchen; denn nach kurzem werden sie sogar zu Mißhandlungen sich wenden, und dann mit der Cohorte und dem Chiliarchendrohen; denn hierauf stützt sich ihre verkehrte Lehre. Seitdem sie nämlich Gottes Wort von sich gestossen haben, sind sie mit Recht aller Vernunft beraubt.",51,deutsch
15,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,3,"Da ich also dieses wohl wußte, würde ich ihnen auf ihre Fragen nichts geantwortet haben; weil aber deine Neigung das, was in der Synode verhandelt wurde, zu wissen verlangte, will ich nicht zögern, sondern mache dir sogleich, was damals vorfiel, bekannt, und zeige dir kurz, wie weit die arianische Ketzerei von der religiösen Gesinnung entfernt ist, und wie sie nur Ausflüchte ersinnen.",62,deutsch
16,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,4,"Sieh aber auch du, Geliebter, ob sich die Sache nicht so verhalte. Haben sie Vertrauen auf das Böse, welches sie, da ihnen der Teufel ihren verkehrten Sinn eingepflanzt hat, ausgedacht haben, so sollen sie sich zuvor hinsichtlich jener Irrthümer, wegen welcher sie als Ketzer erklärt wurden, vertheidigen, und dann erst sollen sie hinsichtlich der gegen sie gefaßten Beschlüsse, wenn sie können, Klagen erheben.",63,deutsch
17,Athanasius von Alexandrien,Über die Beschlüsse der Synode von Nicäa,Über die Beschlüsse der Synode von Nicäa,5,"Denn Niemand, welcher eines Mordes oder eines Ehebruches überwiesen ist, hat nach der Fällung des Urtheiles das Recht, über den Ausspruch des Richters zu klagen, warum dieser nicht so, sondern so gesprochen habe. Denn dieses würde den Verurtheilten nicht befreien, sondern es wird vielmehr seine Schuld durch eine solche Verwegenheit und Frechheit vergrössert werden.",54,deutsch
