id,author,work_title,title,section,text,word_count,language
1,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,1,"Im vorausgehenden haben wir aus der Menge der Fragen bezüglich des heidnischen Götzenwahnes und Aberglaubens wenigstens einige wenige zur Genüge erörtert, so die Frage, wie man im Anfang auf diese Verirrungen kam und wie die Menschen aus ihrer Bosheit heraus sich ihren Götzenkult ersannen.",44,deutsch
2,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,2,"Doch haben wir mit Gottes Gnade auch schon über den göttlichen Logos des Vaters einige wenige Andeutungen gemacht und über seine allumfassende Vorsehung und Macht und gezeigt, daß der gütige Vater durch ihn alles anordnet, alles von ihm Bewegung und in ihm Leben erhält.",44,deutsch
3,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,3,"Nun wohlan, Glücklicher und wahrer Christusjünger1, im folgenden wollen wir, dem frommen Glauben treu, auch die Fragen von der Menschwerdung des Logos behandeln und uns klar werden über seine göttliche Erscheinung unter uns, auf welche die Juden lästern, die Heiden höhnen, die wir aber anbeten.",45,deutsch
4,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,4,"So soll dann die äußere Erniedrigung des Logos dir geradezu Anlaß geben zu einer noch größeren und höheren Ehrfurcht gegen ihn. Denn je mehr er den Ungläubigen zum Gespötte ist, desto schlagender führt er den Beweis für seine Gottheit, weil er das als möglich offenbart, was Menschen unmöglich und darum unbegreiflich finden, weil er in seiner Güte das ehrenhaft macht, was Menschen als anstößig verspotten, weil er in seiner Macht das als göttlich erweist, was die Menschen in ihrer Weisheit als menschliche Schwächen verhöhnen, insofern er den Götzenwahn mit seiner vermeintlichen Erniedrigung am Kreuze zerstört und die Spötter und Ungläubigen unvermerkt bekehrt, so daß sie seine Gottheit und Macht anerkennen.",110,deutsch
5,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,5,"Zur Erläuterung dessen ist es angezeigt, an das bereits Gesagte zu erinnern, damitdu auch den Grund der in einem Leibe erfolgten Erscheinung des so großen und erhabenen Logos des Vaters einsehen könnest und nicht etwa meinst, der Heiland hätte dem Naturgesetz zufolge einen Leib getragen; vielmehr sollst du erkennen, daß er, obschon unkörperlich von Natur und Logos, gleichwohl gehorsam der Menschenfreundlichkeit und Güte seines Vaters um unseres Heiles willen im Menschenleibe uns erschienen ist.",74,deutsch
6,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,6,"Es empfiehlt sich aber, bei einer diesbezüglichen Erörterung zuerst von der Schöpfung der Welt zu reden und von ihrem schöpferischen Gott, um so auch ihre Erneuerung durch den Logos, der sie im Anfange geschaffen hat, recht würdigen zu können. Denn man wird keinen Widerspruch darin finden, wenn der Vater die Erlösung der Welt in dem bewerkstelligt hat, durch den er sie auch erschaffen.",63,deutsch
7,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,1,"Die Gründung der Welt und die Erschaffung aller Dinge haben viele verschieden aufgefaßt, und ein jeder hat nach seinem Kopf eine Erklärung gegeben. Die einen behaupten, alles sei von selbst und durch Zufall entstanden, so die Epikureer1, die zu ihrem eigenen Verderben2die Vorsehung in der Welt wegschwatzen - in direktem Widerspruch mit der hellen, augenscheinlichen Wahrheit.",56,deutsch
8,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,2,"Wäre nämlich alles durch sich selbst ohne Vorsehung entstanden, wie sie meinen, dann hätte alles einfach entstehen müssen, sich gleich, nicht verschieden. Wie ineinemKörper müßte alles notwendig Sonne oder Mond sein, und bei den Menschen müßte das Ganze Hand oder Auge oder Fuß sein.",44,deutsch
9,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,3,"Nun ist es aber nicht so. Wir sehen vielmehr da Sonne, da Mond, da Erde, und so wieder bei den menschlichen Körpern da Fuß, da Hand, da Haupt. Solche Ordnung aber zeigt, daß sie nicht von selbst entstanden, weist vielmehr aufeine vorausliegende Ursache für diese Dinge hin, aus der man auf Gott, der alles angeordnet und geschaffen hat, schließen kann.",60,deutsch
10,Athanasius von Alexandrien,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,Über die Menschwerdung des Logos und dessen leibliche Erscheinung unter uns,4,"Andere hingegen, zu denen auch der große Grieche Plato zählt3, behaupten, aus einer bereits vorliegenden, unerschaffenen Materie hätte Gott das Weltall geschaffen. Gott hätte ja nichts machen können, wenn die Materie nicht bereits vorgelegen hätte, so wie auch dem Zimmermann das Holz zur Verfügung stehen muß, um etwas verfertigen zu können.",51,deutsch
