id,author,work_title,title,section,text,word_count,language
1,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,1,"Obwohl Eure Untertanen die widersprechendsten Sitten und Einrichtungen haben, sieht sich doch keiner aus ihnen durch ein Gesetz und durch die Furcht vor Strafe gezwungen, von der Liebe zu den heimischen Bräuchen abzulassen, sollten diese auch noch so lächerlich sein. Der hier vergöttert seinen Hektor und betet Helena als Adrasteia1an; der Lazedämonier verehrt den Agamemnon als Zeus und Phylonoe, die Tochter des Tyndareos, als Hekate Enodia2; der Athener opfert dem Erechtheus, den er mit Poseidon identifiziert; auch werden von den Athenern die Agraulos und die Pandrosos, die doch wegen Öffnung der Kiste3als Frevlerinnen galten, durch Weihungen und Geheimdienst verehrt.",99,deutsch
2,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,2,"So hat, um es kurz zu sagen, eine jede Nation und ein jeder Volksstamm Opfer und Geheimdienst nach eigener Wahl. Die Ägypter verehren sogar Katzen, Krokodile, Schlangen, Nattern und Hunde als Götter. Und all diese werden weder von Euch noch von den Gesetzen behelligt.",44,deutsch
3,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,3,"Ihr seht eben ein, daß der volle Atheismus Sünde und Frevel ist und daß man einem jeden die Götter seiner Wahl lassen muß, damit die Menschen aus Furcht vor der Gottheit das Unrecht meiden. [Wir dagegen werden angefeindet - wegen des bloßen Namens!",43,deutsch
4,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,4,"O lasset Euch doch nicht wie die urteilslose Menge vom Hörensagen berücken! Dennnicht die Namen verdienen Haß, erst das Unrecht verdient gerichtliche Verfolgung und Strafe4.] Daher bewundert auch alles Eure Güte und Milde, Eure unbegrenzte Friedsamkeit und Menschenliebe. Denn es bekommt nicht nur jeder einzelne das ihm gebührende Recht, nicht nur jede Gemeinde die ihrer Stellung entsprechende Anerkennung, sondern dank Eurer weisen Regierung erfreut sich der ganze Erdkreis eines tiefen Friedens.",71,deutsch
5,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,5,"Leider aber erstreckt sich Eure Fürsorge nicht auch auf uns, die sogenannten Christen. Obschon wir kein Unrecht verüben, sondern, wie im Laufe der Rede gezeigt werden soll, sowohl gegen die Gottheit als gegen Eure Herrschaft das Allerpietätvollste, gerechteste Verhalten beobachten, so lasset Ihr doch zu, daß man uns mißhandelt, ausraubt, fortjagt, indem der Pöbel auf den bloßen Namen hin mit uns Krieg führt.",63,deutsch
6,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,6,"Daher haben wir uns ein Herz gefaßt, unsere Angelegenheiten zur Sprache zu bringen (diese Rede soll Euch den Nachweis liefern, daß wir widerrechtlich und gegen alle Satzung und Vernunft Verfolgung leiden), und legen Euch die Bitte vor, auch in unserer Sache nach dem Rechten zu sehen, damit wir nicht länger mehr Schlachtopfer der Angeber sein müssen.",56,deutsch
7,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,7,"Denn unsere Verfolger haben es eigentlich nicht auf unsere Güter abgesehen, wenn sie unsere Bestrafung betreiben, nicht auf unsere bürgerliche Ehre, wenn sie Schimpf auf uns häufen, nicht auf sonst eines der geringeren5Güter, wenn sie uns in Schaden stürzen; solche Güter schlagen wir nämlich nicht hoch an, mögen sie auch der Menge erstrebenswert erscheinen. [Denn wir haben die Lehre empfangen, Leute, die uns quälen, nicht ebenfalls zu schlagen, und Leute, die uns vertreiben und ausrauben, nicht einmal vor Gericht zufordern, sondern ersteren, wenn sie uns schmählich auf die Schläfe schlagen, auch die andere Seite des Kopfes zum Schlage darzubieten und letzteren, wenn sie uns den Leibrock nehmen, auch noch den Mantel auszuliefern.]6Nein, unser Leib und unser Leben ist es, worauf die Nachstellungen der Verfolger zielen, wenn es keine Güter mehr bei uns zu holen gibt.",135,deutsch
8,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,8,"So erklären sich auch die vielen Beschuldigungen, die sie über uns ausstreuen. Aber all diese Dinge lassen wir uns nicht einmal in Gedanken beikommen, während sie dagegen jenen Schwätzern und ihrer Zunft wirklich anhaften.",34,deutsch
9,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,9,"Eine troisch-phrygische Berggöttin, die auch mit Rhea, Kybele und Nemesis konfundiert wird; derartige Theokrasien, Zeichen des Niedergangs, sind für die hellenistische Zeit charakteristisch.",23,deutsch
10,Athenagoras von Athen,Bittschrift für die Christen,Bittschrift für die Christen,10,Hekate Enodia ist mit der Mondgöttin Artemis dientisch. Nach Gessner: der Tenedier den Tennes.,14,deutsch
