id,author,work_title,title,section,text,word_count,language
1,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,1,"Neben jeder Lehre und Beweisführung, die in diesen Dingen das Richtige trifft, sproßt auch die eine oder andere Irrlehre auf, aber nicht aus irgendeinem Prinzip geht diese hervor und mit Naturnotwendigkeit, auch ergibt sie sich nicht aus dem Begriffsinhalt der jeweils behandelten Sache, sondern sie wird absichtlich beigebracht von Leuten, die es für rühmlich halten, zur Zerstörung der Wahrheit frevelhafte Lügensaat auszustreuen.",62,deutsch
2,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,2,"Dies kann man zunächst an denen sehen, die sich schon in früherer Zeit mit solchen Fragen beschäftigt haben, und an den Widersprüchen, in die sie mit den noch älteren und mit ihren Zeitgenossen geraten sind, und nicht zum wenigsten gerade an der Verwirrung, die auf dem in Frage stehenden Gebiete herrscht.",51,deutsch
3,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,3,"Keinen richtigen Gedanken gibt es, den solche Leute nicht bestritten hätten: nicht die Wesenheit Gottes, nicht sein Wissen und Wirken verschonten sie mit ihren boshaften Angriffen, nicht die hieraus in logischer Kette abgeleiteten Wahrheiten, die uns zu einem Gott wohlgefälligen Leben anleiten; während die einen auf die Wahrheit in solchen Dingen ein für allemal verzichten, drehen andere sie nach ihrem eigenen Kopfe und wieder andere liefern selbst das Evidente der Skepsis aus.",72,deutsch
4,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,4,"Daher müssen meines Erachtens diejenigen, die sich mit einem derartigen Stoffe beschäftigen, eine doppelte Methode anwenden,eine apologetische, welche die Wahrheit gegen Angriffe in Schutz nimmt, und eine dogmatisch-spekulative, welche sich mit der Wahrheit selbst beschäftigt; erstere wendet sich dann an die Ungläubigen und Zweifler, letztere an alle, die guten Willens sind und die Wahrheit gerne aufnehmen.Deshalb muß ein jeder, der über ein solches Thema schreiben will, das jeweilig vorliegende Bedürfnis prüfen und darnach seine Ausführungen bemessen; dabei kann er die Reihenfolge der Gedanken nach Bedarf abändern; auch soll er nicht dadurch, daß er offensichtlich immer den nämlichen Ausgangspunkt festhält, das Zweckdienliche und die einem jeden Gedanken zukommende Stelle außer acht lassen.",111,deutsch
5,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,5,"In Hinsicht auf Begründung und natürliche Folgerichtigkeit ist freilich jedesmal das dogmatisch-spekulative Verfahren dem apologetischen vorzuziehen; aber umgekehrt liegt die Sache, wenn man das praktische Bedürfnis ins Auge fast. Auch der Landmann kann wohl nicht den Samen in die Erde streuen, ohne zuvor das Unkraut und alles, was der edlen Saat hinderlich ist, entfernt zu haben; ebensowenig wird ein Arzt einem heilungsbedürftigen Körper eine seiner gesunden Arzeneien einflößen, bevor er ihn von dem vorhandenen Krankheitsstoff gereinigt und von hinzukommendem bewahrt hat.",81,deutsch
6,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,6,"So kann auch der Lehrer der Wahrheit, wenn er über die Wahrheit sprechen will, niemand überzeugen, solange im Denken der Hörer eine falsche Meinung versteckt liegt und seinen Worten entgegensteht. Daher lassen auch wir aus praktischen Gründen den dogmatisch-spekulativen Erörterungen öfters apologetische vorangehen.",43,deutsch
7,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,7,"Dieses Verfahren scheint auch jetzt, wo wir von der Auferstehung reden wollen, im Hinblick auf das Bedürfnis gar wohl am Platze zu sein. Denn es entgeht uns nicht, daß auch auf diesem Gebiete die einen ganz ungläubig sind, andere noch zweifeln und selbst von denen, die die Grundlagen schon angenommen haben, manche gleich den Zweiflern schwanken.",56,deutsch
8,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,8,"Was aber das Widersinnigste ist, ist dies, daß sie solches tun, obschon die Sache selbst ihnen nicht den geringsten Anlaß zum Unglauben bietet und sie keinen triftigen Grund für ihren Unglauben oder Zweifel angeben können.",35,deutsch
9,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,1,"2. Wollen wir die Sache so betrachten! Jeder Unglaube, der nicht leichtfertig und unüberlegt gehegt wird, sondern auf einen triftigen Grund und auf festeÜberzeugung hin bei diesem oder jenem sich einnistet, hat Berechtigung, wenn die in Frage kommende Sache selbst unglaublich erscheint.Aber an Dinge nicht zu glauben, die nicht unglaublich sind, verrät Mangel an gesundem Wahrheitssinn.Daher sollten diejenigen, die sich in der Auferstehungsfrage des Unglaubens oder Zweifels nicht entschlagen können, nicht nach ihrer unüberlegten subjektiven Meinung oder nach dem Vorurteil der Zügellosen darüber entscheiden, sondern sie sollten entweder die Entstehung der Menschen von keiner Ursache abhängig machen (das aber läßt sich sehr leicht widerlegen) oder aber, indem sie in Gott den Urgrund alles Seienden suchen, die Grundlage dieser Lehre betrachten und mittels derselben den Beweis liefern, daß die Auferstehung durchaus nicht glaubwürdig ist.",133,deutsch
10,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,2,"Dies wird ihnen aber erst dann gelingen, wenn sie nachweisen können, daß es weder in Gottes Macht noch in Gottes Willen liege, die entseelten oder auch schon ganz verwesten Leiber wieder zu einigen und zur Zusammensetzung der nämlichen Menschen zu verbinden.",41,deutsch
11,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,3,"Können sie dies aber nicht, weg dann mit diesem gottlosen Unglauben, weg mit den frivolen Lästerungen! Mögen sie nämlich behaupten, die Auferstehung sei mit Gottes Macht oder sie sei mit Gottes Willen unvereinbar, sie treffen nicht das Richtige. Die nachfolgende Abhandlung wird dies deutlich zeigen.",45,deutsch
12,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,4,"Unvermögenist in Wahrheit offenbar dann vorhanden, wenn einer garnicht weiß, was werden soll, oder wenn er es zwar weiß, abernicht auszuführenvermag. Wer nämlich von dem, was werden soll, nichts weiß, wird, was er nicht weiß, überhaupt nicht anfangen und vollenden können; und wer zwar ganz gut weiß, was gemacht werden soll, und auch die Mittel und Wege hiezu kennt, aber die Macht, das Erkannte auszuführen, überhaupt nicht hat oder nicht in ausreichendem Maße hat, wird es, wofern er klug ist und seine Macht überlegt, von Anfang an nicht versuchen; hat er es aber unüberlegter Weise begonnen, wird er das Beschlossene nicht vollenden können.",103,deutsch
13,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,5,"Nun aber ist es ganz ausgeschlossen, daß Gott dieNatur der zur Auferstehung bestimmten Leiber nicht kennt nach all ihren Teilen und Teilchen, daß er nicht weiß, wohin ein jedes Teilchen der sich auflösender Körper gerät und welcher Teil der Materie das Aufgelöste und zu dem ihm Verwandten Hinzugetretene aufgenommen hat, wenn auch menschlichen Augen das mit dem All in naturgemäßem Anschluß wiedervereinigte völlig ununterscheidbar vorkommt.",65,deutsch
14,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,6,"Er, der schon vor der eigenartigen Zusammensetzung eines jeden Organismus die Natur der zu schaffenden Grundstoffe kannte, aus denen die Menschenleiber bestehen, und der auch wußte, aus welchen Teilen derselben er das zur Zusammensetzung des menschlichen Leibes Nötige nehmen sollte, weiß selbstverständlich auch nach der Auflösung des Ganzen, wo ein jedes der von ihm zum Aufbau der einzelnen Leiber verwendeten Atome hingekommen ist.",63,deutsch
15,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,7,"Nach der jetzt für uns geltenden Ordnung der Dinge und nach der Beobachtung, die wir sonst machen, ist das Vorherwissen des Nochnichtseienden mehr; aber für Gottes Würde und Weisheit ist beides naturgemäß und ist das Vorherwissen des Nochnichtseienden nicht schwieriger als die Kenntnis des Aufgelösten.",45,deutsch
16,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,1,"Daß er dann auch zur Auferweckung der Leiber die ausreichende Macht besitzt, beweist schon deren Entstehung. Wenn er nämlich die Menschenleiber und deren Elemente bei der ersten Zusammensetzung aus dem Nichts erschuf, wird er nach erfolgter Auflösung sie mit der gleichen Leichtigkeit auch auferwecken, wobei es gleichgültig ist, wie sie sich aufgelöst haben.",53,deutsch
17,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,2,"Denn auch dies ist ihm gerade so leicht möglich. Und der Sache verschlägt es nichts, mag man die Elementarstoffe aus einer noch nicht differenzierten Materie oder die Menschenleiber aus den schon bestimmten Grundstoffen als dem Ursprünglichen oder aus Keimen herleiten. Eine Macht, die imstande war; die bei jenen Elementarstoffen vorausgesetzte gestaltlose Substanz zu gestalten, die ungeformte und ungeordnete durch viele und verschiedene Formen zu ordnen, die Teile der Grundstoffe zu einem einheitlichenGebilde zu verbinden, den Keim, der einheitlich und einfach ist, zu vervielfältigen, das Ungegliederte zu gliedern, dem Leblosen Leben einzuhauchen, ist auch imstande, das Aufgelöste zu einigen, das Liegende aufzurichten, das Tote wieder zu beleben und das Verwesliche zur Unverweslichkeit emporzuheben.",112,deutsch
18,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,3,"Einem und demselben kommt es zu, der nämlichen Macht und Weisheit, das an die Menge der mannigfachen Lebewesen, die sich an menschlichen Leibern zu vergreifen und sich an ihnen zu sättigen pflegen, Verteilte aus diesen auszuscheiden und mit den ursprünglichen Teilen und Teilchen wieder zu vereinigen, mag es nun in eines jener Lebewesen gekommen sein oder in viele und von diesen in andere, oder mag es, nachdem es mit diesen sich aufgelöst hat, in jenem natürlichen Prozesse, durch den sich alles wieder in die Grundstoffe auflöst, schon wieder zu diesen zurückgekehrt sein.",92,deutsch
19,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,4,"Indes gerade dieser Gedanke ist es, der wohl am meisten die Köpfe verwirrte und selbst Kapazitäten stutzig machte, so daß sie, merkwürdig genug, die von der Menge vorgebrachten Bedenken für begründet hielten.",32,deutsch
20,Athenagoras von Athen,Über die Auferstehung der Toten,Über die Auferstehung der Toten,1,"Diese wenden ein, viele Leiber von denen, die bei Schiffbrüchen oder in Flüssen jämmerlich umkamen, seien schon Nahrung für Fische geworden, und viele Leiber der im Kriege Gefallenen oder durch ein herberes Geschick und durch den Drang der Umstände ohne Bestattung Gebliebene hätten den sie auffindenden Tieren zum Fraße gedient.",50,deutsch
