id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Ausgewählte Briefe,Erstes Buch (Jahre 386-395).,1,Briefe von Augustins Bekehrung (386) bis zu seiner Erhebung zum Bischof von Hippo (395).,14,deutsch
2,Augustinus von Hippo,Ausgewählte Briefe,I. (Nr. 3.) An Nebridius,1,"Nach seiner wunderbaren Bekehrung hatte Augustinus als Lehrer der Rhetorik zu Mailand noch den Schluß des Schuljahres, der mit dem Beginn der Weinlese zusammenfiel, abgewartet und dann sich nach Cassiciacum auf das Landgut seines Freundes Verecundus zurückgezogen1. Sein Freund Nebridius war ihm nicht dorthin nachgefolgt, obwohl er seine Sinnesänderung teilte und sich gleich ihm zur Taufe vorbereitete.",57,deutsch
3,Augustinus von Hippo,Ausgewählte Briefe,I. (Nr. 3.) An Nebridius,2,"Hier in Cassiciacum, also noch vor seiner Taufe, schrieb Augustinus seine Schriften gegen die Akademiker, vom glückseligen Leben, die Soliloquien und auch die Briefe an Nebridius. In den Bekenntnissen sagt Augustinus von seiner damaligen wissenschaftlichen Tätigkeit, sie sei zwar in den Dienst Gottes getreten, habe aber noch die Schule des Stolzes geatmet.",52,deutsch
4,Augustinus von Hippo,Ausgewählte Briefe,I. (Nr. 3.) An Nebridius,3,"In diesem Briefe tadelt Augustinus den Nebridius, daß er ihn nach der Lektüre der Schrift über das glückselige Leben einen Glückseligen genannt habe. Glückselig könne man nicht sein, so lange man sich über so viele Dinge in Zweifel und Unwissenheit befinde.",41,deutsch
5,Augustinus von Hippo,Ausgewählte Briefe,I. (Nr. 3.) An Nebridius,4,"Es folgen Bedenken gegen die Atomenlehre der Epikureer. Sodann erklärt Augustinus, dieGlückseligkeit bestehe in der Freiheit der Seele von der Herrschaft der Sinne. Zum Schluß kommt noch eine grammatikalische Glosse.",30,deutsch
6,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,1,"Magst du es mir nun sozusagen durch deine Schmeicheleien angetan haben oder mag sich die Sache in Wirklichkeit so verhalten, das weiß ich nicht genau. Denn es kam so plötzlich, und ich habe noch nicht hinreichend überlegt, wie weit ich trauen darf.",42,deutsch
7,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,2,"Du bist gespannt, was ich damit sagen will. Was meinst du wohl? Beinahe hättest du mich überzeugt, nicht gerade, daß ich glückselig sei — denn das ist allein der Anteil des Weisen —, aber doch, daß ich gewissermaßen glückselig sei. So sagen wir auch vom Menschen, er sei gewissermaßen ein Mensch, im Hinblick auf den Menschen, wie Plato ihn gezeichnet hat; so nennen wir auch gewissermaßen rund oder viereckig, was sich unserem Blicke darbietet, obwohl es weit von dem nur wenigen bekannten mathematischen Begriffe des Runden oder Viereckigen entfernt ist.",90,deutsch
8,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,3,"Ich habe nämlich deinen Brief bei Licht nach dem Abendessen gelesen. Die Zeit des Schlafengehens war da, aber der Schlaf wollte nicht kommen. Im Bette liegend dachte ich lange darüber nach und hielt mit mir selbst, Augustin mit Augustin, folgendes Gespräch: Ist etwa des Nebridius Ansicht, wir seien glückselig, nicht wahr?",51,deutsch
9,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,4,"In der Tat nicht; denn er selbst wagt nicht zu leugnen, daß wir noch töricht sind. Aber könnte nicht auch Toren ein glückseliges Leben zuteil werden? Diese Annahme ist hart; gibt es doch außer der Torheit kein anderes, wenn auch nur kleines Ungemach.",43,deutsch
10,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,5,"Wie kommt er also zu dieser Ansicht? Hat er etwa jene Schriften gelesen und nun gemeint, mich auch für weise halten zu dürfen? Aber so leichtsinnig kann doch selbst ausgelassene Freude nicht sein, besonders bei einem Manne, dessen gewichtiges Urteil mir wohlbekannt ist.",43,deutsch
11,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,6,"So wird es sich verhalten: Er hat mir einige Liebenswürdigkeiten geschrieben, weil auch er Freude empfand über die Ansichten, die ich in jenen Schriften niedergelegt hatte; so schrieb er voll Freude, ohne darauf zu achten, was er in seiner Freude in die Feder fließen lasse.",45,deutsch
12,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,7,"Wenn er nur erst die„Alleingespräche 1gelesen hätte? Dann würde er sich noch viel mehr freuen, aber er könnte doch keinen höheren Titel als den eines Glückseligen für mich finden. So hat er denn mir gleich den höchsten Titel zugeworfen, ohne sich etwas vorzubehalten, was er bei noch größerer Freude mir beilegen könnte.",52,deutsch
13,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,1,"Aber wo ist denn dieses glückselige Leben? Wo, ich bitte dich, wo? Besteht es nur darin, die Nichtigkeit von Epikurs Atomenlehre zu erweisen? Besteht es nur im Bewußtsein, daß nichts niedriger als die Welt ist? Besteht es etwa in der Kenntnis, daß die Oberfläche einer Kugel sich schneller bewegt als deren Zentrum?",52,deutsch
14,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,2,"So könnte man noch viele Einzelheiten der Art vorbringen, die wir allerdings ähnlich so wissen. Nun aber — wie oder inwiefern kann ich glücklich sein, wenn ich nicht weiß, warum die Welt gerade diese Größe hat, da doch die Natur ihrer Bestandteile keineswegs eine beliebig größere Gestalt verbietet?",48,deutsch
15,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,3,"Oder warum sollte man mir nicht den Einwurf erheben, ja warum sollten wir nicht zum Eingeständnis gezwungen werden, daß die Körper bis ins Unendliche teilbar seien, so daß aus einem bestimmten Körper eine bestimmte Anzahl kleiner Körper von bestimmter Ausdehnung entstehen müßte?",42,deutsch
16,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,4,"Da man nun aber keinen Körper als den kleinsten anerkennt, warum sollten wir einen größten, der sich nicht mehr vergrößern ließe, anerkennen, wenn nicht der Einwand, den ich einst dem Alypius1gegenüber ganz im Vertrauen erhob, große Beweiskraft besitzt; daß zwar die Geistessubstanz ins Unbegrenzte wachse, aber nicht unbegrenzt teilbar sei, da die Monade2sich nicht weiter auflösen lasse, daß aber umgekehrt die Materie (undwas verstehen wir darunter anders als die körperliche Ausdehnung oder die Ausdehnung der Körper?) zwar unbegrenzt teilbar sei, aber nicht unbegrenzt wachsen könne?",85,deutsch
17,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,5,"Das ist auch vielleicht der Grund, weshalb die Philosophen der Geistessubstanz Reichtum, der Materie Armut zuschreiben. Denn was ist armseliger, als immer weniger und noch weniger werden zu können? Was hingegen größerer Reichtum, als nach Belieben sich entwickeln zu können, zu gehen, wohin und wie weit man will, nach Belieben zurückzukehren und große Liebe zum Unteilbaren zu hegen?",58,deutsch
18,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,6,"Denn wer Verständnis für jene Substanzen besitzt, der liebt nichts so sehr als die Monade, und es ist nicht zu verwundern, daß dadurch auch Liebe zu den anderen Monaden entsteht. Indessen: warum hat die Welt gerade diese bestimmte Größe? Sie könnte ja auch größer oder kleiner sein.",47,deutsch
19,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,7,"Ich weiß es nicht; sie ist nun einmal so.Und warum befindet sie sich gerade an diesem und an keinem anderen Orte? Auch danach darf man nicht fragen, weil sonst alles zur Frage würde.Nur der eine Umstand machte mir immer viel zu schaffen, daß die Körper unendlich teilbar sein sollten.",49,deutsch
20,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,8,Doch ist die genügende Antwort hierauf vielleicht der Hinweis auf das entgegengesetzte Verhältnis bei der Geistessubstanz.,16,deutsch
21,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,9,"Augustins bekannter Freund, der mit ihm getauft wurde (Bekenntnisse IX 6.)",11,deutsch
22,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,10,Die Monade oder Einheit des intellegibilis munerus ist die Seele. Das Wort stammt von den Pythagoreern und Platonikern und bezeichnet dort die dem Weltgeiste als der Urmonas entsprungenen geistigen Kräfte. Bei Platon heißen die Ideen Monaden oder Heuaden.,38,deutsch
23,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,1,"Doch halt! Laß uns den Einfall untersuchen, der mir eben in den Sinn kommt! Man behauptet ja bekanntlich, die Materie sei das Abbild irgendeiner geistigen Welt. Da ist es nun ganz wunderbar, was sich bei Spiegelbildern beobachten läßt. Mögen die Spiegel noch so groß sein, sie zeigen auch vom kleinsten Objekte nur die wirkliche Größe.",55,deutsch
24,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,2,"In kleinen Spiegeln aber, etwa im Stern des Auges, entsteht ein der Größe des Spiegels entsprechendes kleines Bild, mag auch ein großer Körper davor treten. Das körperliche Bild kann also durch Verkleinerung des Spiegels verkleinert, aber nicht durch eine Vergrößerung des Spiegels über seine wirkliche Gestalt hinaus vergrößert werden.",49,deutsch
25,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,3,"Das hat zweifellos etwas zu bedeuten, aber jetzt ist Schlafenszeit. Denn Nebridius hält mich nicht für glücklich, weil ich forsche, vielleicht aber, weil ich etwas finde. Was ist aber diesesEtwas? Etwa folgender Vernunftschluß, dessen ich mich, da er sozusagen mein einziges Besitztum ist, zu schmeicheln und zu freuen pflege.",49,deutsch
26,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,1,"Woraus bestehen wir? Aus Leib und Seele. Was von diesen ist das Bessere? Offenbar die Seele. Was lobt man am Leibe? Nichts anderes, soweit ich sehe, als seine Schönheit. Worin besteht die Schönheit des Körpers? In dem Ebenmaß seiner Teile, verbunden mit einer gewissen Anmut der Farbe.",47,deutsch
27,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,2,"Wo ist nun diese Schönheit größer, dort wo sie wahr oder wo sie falsch ist? Wer könnte auch nur zweifeln, daß sie dort größer ist, wo sie wahr ist? Wo ist sie nun wahr? Natürlich an der Seele. Die Seele ist also mehr zu lieben als der Körper.",48,deutsch
28,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,3,"Aber in welchem Teile der Seele befindet sich diese Wahrheit? Im Geiste und in der Erkenntnis. Was arbeitet dieser entgegen? Die Sinnlichkeit. Also muß man der Sinnlichkeit aus aller Kraft Widerstand leisten? Offenbar. Wenn aber der Reiz, den die sinnlichen Dinge ausüben, übermächtig wird?",44,deutsch
29,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,4,"Dann muß man dafür sorgen, daß sie ihn verlieren. Wie geschieht dies? Dadurch, daß man sich dauernd von ihnen fernhält und nach Höherem strebt. Wenn aber die Seele stirbt? Dann stirbt also auch die Wahrheit, oder aber die Erkenntnis ist nicht die Wahrheit, oder (drittens) die Erkenntnis ist nicht in der Seele, oder (viertens) es kann etwas sterben, worin sich etwas Unsterbliches befindet.",63,deutsch
30,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,5,"Daß aber diese Möglichkeiten ausgeschlossen sind, das enthalten schon meine „Alleingespräche , und davon sind wir hinreichend überzeugt. Allein eine gewisse Angewöhnung an böse Dinge verursacht uns Schrecken und Schwanken. Schließlich wenn auch der Geist, was nach meiner Meinung unmöglich ist, stürbe, so habe ich doch in dieser Einsamkeit genügend erkannt, daß das glückselige Leben nicht in der Freude an sinnlichen Dingen besteht.",63,deutsch
31,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,6,"Aus solchen und ähnlichen Erwägungen vielleicht erscheine ich meinem Nebridius wenn auch nicht glückselig, so doch wenigstens gewissermaßen glückselig. Möchte ich doch auch mir so vorkommen! Was verliere ich dabei, und warum sollte ich die gute Meinung nicht aufkommen lassen? So sprach ich zu mir,darauf verrichtete ich nach meiner Gewohnheit mein Gebet und schlief dann ein.",56,deutsch
32,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,1,"So viel wollte ich dir schreiben. Es macht mir nämlich Freude, daß du mir noch dankst, wenn ich dir nichts verschweige, was mir gerade in den Mund kommt, und ich bin froh, daß du solches Gefallen an mir findest. Wem also sollte ich lieber meine Einfälle zum besten geben als dir, da ich dir unmöglich mißfallen kann?",57,deutsch
33,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,2,"Aber wenn es Gabe des Glückes ist, daß ein Mensch den anderen liebt, so sieh, wie glückselig ich bin, da ich mich über die Gaben des Glückes so sehr erfreue und ich den Wunsch habe — gern gesteh' ich's —, daß solche Güter mir in reicher Fülle zuteil werden.",49,deutsch
34,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,3,"Gerade die echten Weisen aber, die man allein glückselig nennen dürfte, haben gewollt, daß man die Güter des Glückes weder fürchte noch nach ihnen Verlangen trage. Ob es hier nun cupi oder cupiri heißt, magst du entscheiden. Gut hat's sich getroffen!",41,deutsch
35,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,4,"Denn ich möchte gern von dir über die Abwandlung dieses Zeitworts belehrt werden. Vergleiche ich ähnliche Worte, so werde ich unsicher. Denn cupio endigt doch genau so wie fugio, sapio, iacio, capio; ob aber der richtige Infinitiv fugiri oder fugi, sapiri oder sapi lautet, weiß ich nicht.",47,deutsch
36,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,5,"Ich könnte auf iaci und capi hinweisen, wenn ich nicht fürchtete, derjenige möchte mich fangen und nach Willkür und Laune irgendwohin werfen1, der mich belehren müßte, iactum und captum sei etwas ganz anderes als fugitum, cupitum und sapitum. Auch weiß ich nicht, ob bei diesen drei Wörtern die vorletzte Silbe lang und gedehnt oder kurz und geschärft auszusprechen ist.",59,deutsch
37,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,6,"Ich möchte dir gern Veranlassung zu einem längeren Briefe gegeben haben; hoffentlich darf ich dich etwas länger lesen. Denn ich kann gar nicht sagen, welches Vergnügen mir dies bereitet.",29,deutsch
38,Augustinus von Hippo,Ausgewählte Briefe,II. (Nr. 4.) An Nebridius,1,"Nebridius hatte in einem früheren Briefe Augustinus angefragt, wie weit er in seiner gegenwärtigen Einsamkeit in der Unterscheidung zwischen Geist und Materie fortgeschritten sei. Augustin antwortet, daß die Wahrheit, die er in dieser Beziehung erkannt, sich mit Gottes Hilfe immer tiefer seiner Seele einpräge.",44,deutsch
39,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,1,"Wider Erwarten habe ich eine eigentümliche Erfahrung gemacht. Als ich nachsah, auf welche von deinen Briefen ich noch zu antworten hätte, da habe ich nur einen gefunden, mit dessen Beantwortung ich noch im Rückstande bin.Du verlangst in ihm, wir sollten bei der vielen Muße, die wir nach deiner Ansicht haben oder die du mit uns wünschest, dir anzeigen, welche Fortschritte wir inder Unterscheidung der geistigen und sinnlichen Natur gemacht hätten.",70,deutsch
40,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,2,"Allein es kann dir nicht unbekannt sein: wenn Irrtümer den Geist je mehr umstricken, je mehr und je liebevoller man sich mit ihnen beschäftigt, so ist dies bei der Wahrheit in erhöhtem Maße der Fall.So schreiten wir zwar vorwärts, jedoch nur allmählich, gleichsam wegen Unreife des Alters.",47,deutsch
41,Augustinus von Hippo,Ausgewählte Briefe,Ausgewählte Briefe,3,"Denn da ein großer Unterschied zwischen einem Kinde und einem Jüngling ist, so wird jemand, der täglich seine Kindheit zu empfinden hat, sich nie für einen Jüngling erklären.",28,deutsch
