id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",1,"1Ich kann es dir gar nicht sagen, mein geliebtester Sohn Laurentius, wie sehr ich mich über deine Gelehrsamkeit freue und wie gerne ich dich unter den Weisen sehe. Ich meine damit aber nicht den großen Haufen jener Weisen, von denen es heißt: „Wo ist denn ein Weiser, wo ein Schriftgelehrter, wo ein Forscher dieser Welt?",55,deutsch
2,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",2,"Hat nicht Gott die Weisheit dieser Welt zur Torheit gemacht2? Nein, sondern diejenigen Weisen meine ich, denen das Schriftwort gilt: „Eine große Zahl von Weisen bedeutet Heil für die Erde3 , oder dieder Apostel (Paulus) denen als Vorbild empfiehlt, von denen er sagt: „Ich wünsche nur, daß ihr immer weise handelt, wo es das Gute gilt, dagegen vom Bösen euch behutsam ferne haltet4.",63,deutsch
3,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",3,"Röm. 16,19. Den Satz: „Wie aber niemand aus sich selbst das Sein haben kann, so kann auch niemand aus sich Weisheit haben, sondern nur aus der Erleuchtung durch den, von dem geschrieben steht: ,Alle Weisheit ist von Gott (Ekkli. 1,1) [ Ekklisiastikus Sirach] , den man vielfach an dieser Stelle findet, haben nur jüngere Handschriften.",55,deutsch
4,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",1,"Des Menschen Weisheit aber ist seine ehrfurchtsvolle Gesinnung. So findet man im Buch des heiligen Job geschrieben; denn dort liest man den Ausspruch, der von der (göttlichen) Weisheit selbst an die Menschheit ergangen ist: „Siehe, die ehrfurchtsvolle Gesinnung ist Weisheit1. Fragst du aber, welche Art von ehrfurchtsvoller Gesinnung denn die Weisheit an dieser Stelle gemeint hat, so findest du dafür im griechischen Text das deutlichere„θεοσέβεια [theosebeia] gesetzt, was so viel heißt wie „Gottesverehrung .",74,deutsch
5,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",2,"Man kann freilich im Griechischen für Pietät auch noch anders sagen, nämlich„εὐσέβεια [eusebeia]. Dieses Wort deutet soviel wie „rechte Verehrung , wird aber auch vorzugsweise für „Gottesverehrung gebraucht. Doch der treffendste Ausdruck istθεοσέβεια[theosebeia], was an der Stelle, wo eine Begriffsbestimmung der menschlichen Weisheit gegeben wird, ganz klar und deutlich soviel bedeutet wie Gottesverehrung.",53,deutsch
6,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",3,"Du verlangst von mir, ich solle einen großen Inhalt mit kurzen Worten umschreiben: Wünschest du einen noch prägnanteren Ausdruck (als Gottesverehrung)? Oder willst du vielleicht, ich solle dir gerade den Punkt, wie Gott denn zu ehren sei, kurz auseinandersetzen und in eine knappe Darlegung zusammenfassen?",45,deutsch
7,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",1,"Wenn ich dir nun darauf antworte, Gott müsse mit Glaube, Hoffnung und Liebe verehrt werden, so wirst du mir gewiß gleich erwidern, damit sei allerdings meine Antwort in eine kürzere Form gefaßt als dir selbst lieb ist; und du wirst dann sofort weiter bitten,ich solle dir wenigstens in Kürze darlegen, was denn zu jedem dieser drei Stücke gehöre, das heißt, was man denn glauben, hoffen und lieben müsse.",68,deutsch
8,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",2,"Gehe ich aber auf diese Fragen ein, so habe ich damit auch schon alle Fragen deines Briefes beantwortet. Falls du also noch eine Abschrift davon in Händen hast, so kannst du sie ganz leicht noch einmal durchgehen und nachlesen, andernfalls magst du sie dir mit meiner Unterstützung ins Gedächtnis zurückrufen.",50,deutsch
9,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",1,"Du willst nämlich, wie du mir schreibst, ich solle für dich ein Buch verfassen, das dir, wie man so sagt, als Handbuch dienen und als solches nicht aus der Hand kommen soll. Dieses Buch soll alle gewünschten Antworten enthalten, beispielsweise, wonach man vor allem streben und wovor man wegen der verschiedenen Irrlehren hauptsächlich fliehen müsse, inwieweit die Vernunft der Religion zu Hilfe kommt, oder wieweit es gegen die Vernunft verstoße, wenn einer bloß einen Glauben (ohne Vernunftüberzeugung) habe, worauf es in erster Linie und worauf es letzten Endes ankomme, was das Wesentliche des ganzen (christlichen) Lehrgebäudes sei und schließlich, worin die sichere und recht eigentliche Grundlage des katholischen Glaubens bestehe.",110,deutsch
10,Augustinus von Hippo,"Buch vom Glauben, von der Hoffnung und von der Liebe","Buch vom Glauben, von der Hoffnung und von der Liebe",2,"Über all diese deine Fragepunkte wirst du ganz sicheren Bescheid wissen, sobald du dir einmal darüber klar wirst, was Gegenstand unseres Glaubens, unserer Hoffnung und unserer Liebe sein muß. Denn das ist die hauptsächliche, ja einzige Richtschnur unseres religiösen Lebens. Wer sich damit in Widerspruch setzt, der steht Christus entweder gänzlich fremd gegenüber oder ist wenigstens ein Irrgläubiger.",58,deutsch
