id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,Bücher über das Symbolum an die Katechumenen,1,"Nach einigen einleitenden Bemerkungen über das Symbolum und die Pflicht, es auswendig zu lernen, geht Augustinus zur Besprechung der einzelnen Artikel über. Der allmächtige Gott ist der Schöpfer des Himmels und der Erde; zum Herrn der Erde hat er den Menschen bestellt, aber dieser ist gefallen unter die Botmäßigkeit des Teufels gerathen.",52,deutsch
2,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,Bücher über das Symbolum an die Katechumenen,2,"Gott Sohn ist ebenso allmächtig wie Gott der Vater; er ist kein zweiter Gott, sondern Vater und Sohn sind nureinGott (c. 1 u. 2).",24,deutsch
3,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,Bücher über das Symbolum an die Katechumenen,3,"Wegen der Erlösung des gefallenen Menschen ist Gott Sohn wunderbar aus Maria der Jungfrau Mensch geworden. Seine ewige Geburt aus dem Vater ist noch wunderbarer, da Vater und Sohn gleich ewig sind; ein Bild dieser Zeugung ist das Feuer und sein Glanz.",42,deutsch
4,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,Bücher über das Symbolum an die Katechumenen,4,"Durch sein Leben wollte er uns seine Geduld lehren, eine Geduld, welche wie die des Job frei von selbstsüchtigen Gedanken sein soll. Christus, nun im Himmel in der ewigen Seligkeit, wird aber von dort kommen, um die dann noch Lebenden und die bereits Gestorbenen oder auch um die Guten und die Bösen zu richten (c. 3 u. 4).",58,deutsch
5,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,Bücher über das Symbolum an die Katechumenen,5,"Auch der hl. Geist ist wahrer Gott, da ihm Gott der Vater unsere Leiber zum Tempel gebaut hat. Ein anderer TempelGottes ist die Kirche, die im Kampfe gegen die Häresieen immer siegreich ist. Durch die Taufe werden alle Sünden vergeben, nach der Taufe werden geringe Sünden durch das Gebet erlassen, schwere Sünden aber können nur durch die Kirchenbuße getilgt werden.",60,deutsch
6,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,Bücher über das Symbolum an die Katechumenen,6,"Nichtgetaufte können überhaupt keine Vergebung der Sünden erwarten. Christus unser Haupt ist auferstanden, daher werden auch wir auferstehen und uns im ewigen Leben erfreuen (c. 5—9.).",26,deutsch
7,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,"1. Bemerkungen über den Empfang des Symbolums; dasselbe lehrt zunächst den Glauben an den allmächtigen Vater, der Himmel und Erde und Alles, was darinnen ist, erschaffen hat. Den Menschen hat er zum Herrn über die Geschöpfe bestimmt, aber dieser ist durch die Sünde unter die Botmäßigkeit des Teufels gerathen, und daher erklären sich die Exorcismen.",1,"Empfanget, Söhne, die Glaubensregel, welche Symbolum genannt wird.1Wenn ihr dasselbe empfangen habt,so schreibet es in euer Herz nieder und saget es täglich für euch; bevor ihr schlafet und bevor ihr das Schlafgemach verlasset, waffnet euch mit eurem Symbolum. Niemand schreibt das Symbolum auf, um es lesen zu können, das geschieht nur, um es zu überdenken, damit nicht etwa Vergeßlichkeit Das austilge, was die Sorgsamkeit übergeben hat. Euer Gedächtniß sei euer Buch!",71,deutsch
8,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,"1. Bemerkungen über den Empfang des Symbolums; dasselbe lehrt zunächst den Glauben an den allmächtigen Vater, der Himmel und Erde und Alles, was darinnen ist, erschaffen hat. Den Menschen hat er zum Herrn über die Geschöpfe bestimmt, aber dieser ist durch die Sünde unter die Botmäßigkeit des Teufels gerathen, und daher erklären sich die Exorcismen.",2,"Was ihr hören werdet, das sollt ihr glauben, und was ihr glaubet, das sollt ihr mündlich wiedergeben. Denn es sagt der Apostel:2„Mit dem Herzen glaubt man zur Gerechtigkeit, und mit dem Munde erfolgt das Bekenntniß zur Seligkeit. 3",38,deutsch
9,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,"1. Bemerkungen über den Empfang des Symbolums; dasselbe lehrt zunächst den Glauben an den allmächtigen Vater, der Himmel und Erde und Alles, was darinnen ist, erschaffen hat. Den Menschen hat er zum Herrn über die Geschöpfe bestimmt, aber dieser ist durch die Sünde unter die Botmäßigkeit des Teufels gerathen, und daher erklären sich die Exorcismen.",3,"Das also ist das Symbolum, das ihr merken und wiedergeben sollet. Die Worte, die ihr gehört habt, sind in der Schrift zerstreut, aber sie wurden dort gesammelt zusammengestellt, damit nicht das Gedächtniß schwach begabter Menschen sich abmühen, sondern damit jeder Mensch sagen und behalten könne, was er glaubt.",48,deutsch
10,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,"1. Bemerkungen über den Empfang des Symbolums; dasselbe lehrt zunächst den Glauben an den allmächtigen Vater, der Himmel und Erde und Alles, was darinnen ist, erschaffen hat. Den Menschen hat er zum Herrn über die Geschöpfe bestimmt, aber dieser ist durch die Sünde unter die Botmäßigkeit des Teufels gerathen, und daher erklären sich die Exorcismen.",4,"Habt ihr soeben nur gehört, daß Gott allmächtig sei? Nein. Denn ihr erhaltet ihn demnächst zum Vater,4wenn ihr durch die Mutter, die Kirche, geboren seid. Daher habt ihr schon empfangen, überdacht und mit Bedacht festgehalten, daß ihr saget: „Ich glaube an Gott, den allmächtigenVater.",44,deutsch
11,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,"1. Bemerkungen über den Empfang des Symbolums; dasselbe lehrt zunächst den Glauben an den allmächtigen Vater, der Himmel und Erde und Alles, was darinnen ist, erschaffen hat. Den Menschen hat er zum Herrn über die Geschöpfe bestimmt, aber dieser ist durch die Sünde unter die Botmäßigkeit des Teufels gerathen, und daher erklären sich die Exorcismen.",5,"Gott ist allmächtig, aber trotz seiner Allmacht kann er nicht sterben, nicht getäuscht werden, nicht lügen und, wie der Apostel sagt:5„kann er sich selbst nicht verläugnen. Wie Vieles kann er nicht und ist doch allmächtig, und zwar allmächtig, weil er esnicht kann.",42,deutsch
12,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,"1. Bemerkungen über den Empfang des Symbolums; dasselbe lehrt zunächst den Glauben an den allmächtigen Vater, der Himmel und Erde und Alles, was darinnen ist, erschaffen hat. Den Menschen hat er zum Herrn über die Geschöpfe bestimmt, aber dieser ist durch die Sünde unter die Botmäßigkeit des Teufels gerathen, und daher erklären sich die Exorcismen.",6,"Denn wenn er sterben könnte, so wäre er nicht allmächtig; wenn er lügen, täuschen, getäuscht werden und ungerecht handeln könnte, so wäre er nicht allmächtig, weil er bei solchen Eigenschaften der Allmacht unwürdig gewesen wäre. Unser allmächtiger Vater kann durchaus nicht sündigen.",42,deutsch
13,Augustinus von Hippo,Bücher über das Symbolum an die Katechumenen,"1. Bemerkungen über den Empfang des Symbolums; dasselbe lehrt zunächst den Glauben an den allmächtigen Vater, der Himmel und Erde und Alles, was darinnen ist, erschaffen hat. Den Menschen hat er zum Herrn über die Geschöpfe bestimmt, aber dieser ist durch die Sünde unter die Botmäßigkeit des Teufels gerathen, und daher erklären sich die Exorcismen.",7,"Er thut Alles, was er will; denn er ist die Allmacht selbst. Er thut Alles, was er gut, und Alles, was er gerecht will; was aber schlecht geschieht, das will er nicht. Niemand hindert den Allmächtigen zu thun, was er will.",41,deutsch
