id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,1,"1. Es gibt gewisse Regeln, die man meines Erachtens einem, der sich mit Schriftstudium befaßt, nicht ohne Nutzen mitteilen kann. Man tut sich dann leichter, sowohl bei der Lektüre solcher Autoren, die den in den göttlichen Schriften ruhenden Wahrheitssinn bereits erschlossen haben, als auch dann, wenn man ihn andern seinerseits wieder erschließen soll.",53,deutsch
2,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,2,"Diese Regeln nun will ich denen übermitteln, die sie kennen lernen wollen und sollen; es müßte schon sein, daß mir mein Herrgott das, was er mir beim Nachdenken über diesen Stoff einzugeben pflegt, jetzt vorenthält, wo ich es niederschreiben will. Bevor ich aber damit beginne, glaube ich denen eine Rechtfertigung schuldig zu sein, die mein Beginnen tadeln werden oder die es wenigstens dann tadeln würden, wenn ich sie nicht vorher beruhigte.",71,deutsch
3,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,3,"Urteilen aber die einen oder andern auch nach meiner Rechtfertigung noch abfällig, so werden sie dann doch damit keinen Eindruck mehr auf andere machen und niemanden mehr von dem nützlichen Schriftstudium abbringen und zu einem Leben träger Unwissenheit verführen können, ein Versuch, der ihnen vielleicht gelänge, würden sie ihre Opfer ohne Schutz und Vorbereitung antreffen.",55,deutsch
4,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,4,"2. Es werden nämlich manche Leute mein Werk tadeln, weil sie die Regeln, die ich aufstellen will, einfach nicht verstehen. Andere wieder werden sie zwar verstehen, werden sie auch anwenden und an die göttlichen Schriften nun wirklich nach den Grundsätzen dieser Regeln herantreten wollen; aber außerstande, sie tatsächlich zu erschließen und ihre Gedanken darüber darzulegen, werden sie meine Arbeit für nutzlos halten, und da sie selbst dadurch nicht gefördert werden, so werden sie meinen, es könne nun überhaupt niemand gefördert werden.",81,deutsch
5,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,5,"Eine dritte Gruppe von Tadlernbilden endlich jene Leute, die mit den göttlichen Schriften entweder wirklich gut umzugehen wissen oder dies wenigstens von sich meinen: ohne solche Beobachtungen, wie ich sie hier geben will, auch nur gelesen zu haben, wissen oder glauben sie sich im Besitze der Befähigung, die heiligen Bücher auszulegen.",51,deutsch
6,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,6,"Solche Leute werden schreien, es brauche derlei Regeln überhaupt für niemanden, es könne vielmehr alles, was sich füglich aus dem Dunkel jener Schriften ans Licht bringen lasse, durch direkte Mitteilung von Seiten Gottes erfolgen.",34,deutsch
7,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,7,"3. All diesen Tadlern will ich in Kürze Rede und Antwort stehen: denen, die meine Schrift überhaupt nicht verstehen, sage ich nur, daß doch ich darob keinen Tadel verdiene, weil es ihnen am nötigen Verständnis hierfür fehlt. Das ist geradeso, als wenn ich ihnen beispielsweise den Mond im letzten oder im ersten Viertel oder ein anderes nur ganz wenig helles Gestirn, das sie gerne sehen möchten, mit ausgestrecktem Finger zeigte: hätten sie nun nicht die ausreichende Sehkraft, um auch nur meinen Finger zu sehen, so dürften sie ja auch darum nicht mir grollen. — Die andern aber, die zwar meine Regeln ganz gut verstehen, aber gleichwohl den verborgenen Sinn der göttlichen Schriften nicht zu begreifen vermögen, die sollen dafür halten, daß sie zwar meinen Finger sehen können, nicht aber die Gestirne, zu denen ich ihn emporstrecke, um sie ihnen zu zeigen.",141,deutsch
8,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,8,"Diese zwei Gruppen von Leuten also mögen es aufgeben, mich zu tadeln; sie sollen sich vielmehr erst von Gott das Licht der Augen erflehen. Ich kann nämlich zwar einen Finger von mir bewegen, um ihnen etwas zu zeigen, aber ich kann ihnen nicht auch noch ihre Augen erleuchten, damit auch sie den Gegenstand, den ich ihnen zeigen will, oder wenigstens meinen Finger, mit dem ich zeige, sehen können.",68,deutsch
9,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,9,"4. Aber auch den Feuereifer derer muß ich ab kühlen, die sich voll freudigen Jubels über ihre von Gott erhaltene Gabe (des Schriftverständnisses) rühmen, ohne Zuhilfenahme solcher Regeln, wie ich sie im folgenden aufstellen will, die heiligen Bücher zu verstehen und aucherklären zu können und die deshalb glauben, ich hätte etwas Überflüssiges schreiben wollen.",54,deutsch
10,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,10,"Solche Leute mögen sich immerhin mit Recht über eine so große Gottesgabe freuen, aber sie sollen doch daran denken, daß auch sie ihr Wissen nur durch mündliche und schriftliche Vermittlung überkommen haben. Deshalb braucht sich aber keiner durch den ägyptischen Mönch Antonius, einen heiligen und vollkommenen Mann, beschämt fühlen, der zwar keinen Buchstaben lesen konnte, der aber doch vom bloßen Anhören her die göttlichen Schriften auswendig gewußt und infolge seines klugen Nachdenkens darüber auch wirklich verstanden haben soll.",78,deutsch
11,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,11,"Nicht beschämt fühlen brauchen sie sich ferner von einem ganz ungebildeten christlichen Sklaven, von dem uns in jüngster Zeit durchaus ernst zu nehmende und glaubwürdige Leute Nachricht gegeben haben: als dieser Sklave darum betete, es möge ihm doch die Kenntnis der Buchstaben geoffenbart werden, da lernte er ohne jede menschliche Beihilfe nach dreitägigem Beten diese Buchstaben so gründlich kennen, daß er ein ihm vorgelegtes Buch zum Staunen der Anwesenden fließend las.",71,deutsch
12,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,12,"5. Hält jemand diese Erzählungen für falsch, so lasse ich mich darob nicht in einen heftigen Streit mit ihm ein. Denn da ich es mit Christen zu tun habe, die sich der Gabe erfreuen wollen, die heiligen Schriften ohne menschliche Hilfe zu verstehen, und die sich, wenn dies wirklich der Fall ist, damit tatsächlich eines wahren und großen Gutes erfreuen, so müssen sie das doch gewiß zugeben, daß ein jeder von uns schon in seiner ersten Kindheit seine Muttersprache nur durch gewohnheitsmäßiges Hören gelernt hat und daß er auch sonst jede Sprache, wie z.",94,deutsch
13,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,13,"B. die griechische, hebräische oder irgendeine andere, in ähnlicher Weise wieder nur durch das Hören oder durch den Unterricht eines menschlichen Lehrers empfangen hat. Sollen wir also wohl all unsere Brüder dazu auffordern, ihre Kinder doch solche Dinge nicht zu lehren, weil die Apostel infolge der Ankunft des (Heiligen) Geistes1, von dem sie erfüllt wurden, in einem einzigen Augenblick in denSprachen aller Völker geredet haben?",65,deutsch
14,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,14,"Oder soll sich ein jeder, dem so etwas nicht begegnete, darum für keinen Christen halten, oder muß er zweifeln, daß er den Heiligen Geist empfangen hat? Doch im Ernst: ein jeder lerne ohne Selbstüberschätzung, was nun einmal von Menschen erlernt werden muß; und wer andere lehrt, der gebe ohne Selbstüberhebung und ohne Neid wieder weiter, was er selbst empfangen hat.",60,deutsch
15,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,15,"Denjenigen wollen wir nicht versuchen, an den wir glauben: es könnte sonst sein, daß wir, irregeleitet durch solche Schliche unseres Erbfeindes und durch eigene Verkehrtheit, entweder gar nicht mehr in die Kirche gehen wollen, um dort das Evangelium zu hören und kennen zu lernen, oder daß wir kein Buch (zu unserer Belehrung) lesen und keine Vorlesung oder Predigt eines Menschen mehr anhören wollen.",63,deutsch
16,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,16,"Da müßten wir freilich darauf warten, im Körper oder unseres Körpers entkleidet, wie der Apostel sagt2, in den dritten Himmel entrückt zu werden und dort geheimnisvolle Worte zu hören, wie sie kein Mensch aussprechen darf, oder dort den Herrn Jesus Christus zu sehen und lieber gleich von ihm selbst als von Menschen das Evangelium zu hören.",56,deutsch
17,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,17,"6. Wir wollen uns daher vor solchen höchst stolzen und gefährlichen Versuchungen in acht nehmen und lieber bedenken, daß sich selbst ein Apostel Paulus, der doch gewiß von einer göttlichen, himmlischen Stimme zu Boden geworfen und dann unterrichtet worden ist, doch auch zu einem Menschen schicken lassen mußte, um die Sakramente zu empfangen und der Kirche einverleibt zu werden3.",59,deutsch
18,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,18,"Und obwohl es ein Engel war, der dem Hauptmann Cornelius meldete, seine Gebete seien erhört und sein Almosen gnädig aufgenommen worden, so wurde er doch an Petrus gewiesen, um von ihm unterrichtet zu werden4; von diesem sollte er nicht bloß die Sakramente empfangen, sondern auch zu hören bekommen, was man glauben, hoffen und lieben müsse.",55,deutsch
19,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,19,"Dieshätte gewiß auch alles durch den Engel geschehen können, aber es bedeutete ein Wegwerfen der Menschenwürde, gäbe sich Gott den Anschein, als wollte er sich nicht der Menschen bedienen, um anderen Menschen sein Wort zu vermitteln. Denn wie wäre sonst der Ausspruch wahr: „Der Tempel Gottes ist heilig, und der seid ihr5 , wenn Gott aus diesem seinem menschlichen Tempel heraus keine Antwort erteilen, sondern seine ganze Offenbarung an die Menschheit nur vom Himmel herab und nur durch Engel verkünden wollte?",81,deutsch
20,Augustinus von Hippo,Bücher über die christliche Lehre,Vorwort des hl. Augustinus,20,"Wenn sodann die Menschen nichts voneinander lernten, dann würde selbst der Liebe, welche die Menschen gegenseitig verbindet, keine Gelegenheit geboten, die Geister sozusagen in gegenseitigen Fluß zu bringen und miteinander zu verschmelzen.",32,deutsch
