id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,1,". Wer diese meine Abhandlung über die Dreieinigkeit lesen will, soll zuerst wissen, daß meine Feder wachsam sich gegen die Verdrehungskünste jener wendet, welche es verschmähen, vom Glauben auszugehen, und so durch ihr vorwitziges und verkehrtes Verlangen nach Verstehen in Irrtum fallen.",42,deutsch
2,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,2,"Einige von ihnen versuchen das, was sie von den stofflichen Dingen, sei es durch die Erfahrung der Leibessinne wissen, sei es durch die natürliche Kraft der menschlichen Begabung und durch lebendigen Fleiß oder durch die Hilfe der Kunst sich angeeignet haben, auf die unstofflichen und geistigen Dinge zu übertragen, so daß sie nach den ersteren die letzteren messen und deuten wollen.",61,deutsch
3,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,3,"Es gibt auch andere, welche sich ihre Meinung über Gott gemäß der Natur der menschlichen Seele und ihren Neigungen bilden, wenn sie sich überhaupt eine Meinung bilden. Aus diesem Irrtum heraus verleiben sie ihrer Rede, wenn sie von Gott sprechen, abwegige und falsche Regeln ein.",45,deutsch
4,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,4,"Wiederumgibt es eine andere Art von Menschen, solche, die zwar über die ganze Schöpfung, die in der Tat wandelbar ist, hinauszugehen suchen, um den Blick zu der unwandelbaren Substanz, die Gott ist, zu erheben; aber durch der Sterblichkeit Last niedergedrückt — da sie sowohl, was sie nicht wissen, zu wissen scheinen wollen, wie auch, was sie wollen, nicht wissen können —, behaupten sie allzu kühn ihre vorgefaßten Meinungen und verschließen sich so die Zugänge zur Einsicht, mehr darauf bedacht, ihre verkehrte Ansicht nicht zu verbessern, als die von ihnen verteidigte Lehre aufzugeben.",92,deutsch
5,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,5,"Das ist ja doch die Krankheit aller drei Menschenarten, die ich vorgeführt habe: derjenigen, welche von Gott wie von einem Körper denken; derjenigen, welche von ihm wie von einem geistigen Geschöpfe denken, wie es die Seele ist; derjenigen endlich, welche von Gott weder wie von einem Körper noch wie von einem geistigen Geschöpfe denken und doch Falsches von ihm glauben, von der Wahrheit um so weiter entfernt, als das, was sie meinen, weder im körperlichen noch im gewordenen und geschaffenen geistigen Sein noch im Schöpfer selbst sich findet.",88,deutsch
6,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,6,"Wenn jemand zum Beispiel Gott für weiß oder rot hält, täuscht er sich, aber diese Bestimmungen finden sich immerhin im körperlichen Sein. Wenn ferner jemand von Gott glaubt, jetzt vergesse er, jetzt erinnere er sich, oder etwas dergleichen, so ist er gleicherweise im Irrtum befangen.",45,deutsch
7,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,7,"Aber diese Vorgänge begeben sich doch wenigstens in der Seele. Wenn jedoch jemand glaubt, die Macht Gottes sei derart, daß er sich selbst gezeugt habe, so irrt er um so mehr, als nicht nur Gott nicht derart ist, sondern auch das geistige oder körperliche Geschöpf nicht.",46,deutsch
8,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,8,"Es gibt ja überhaupt keinerlei Wirklichkeit, die sich selbst erzeugen würde, so daß sie hierdurch Dasein besäße.",17,deutsch
9,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,9,"2. Damit also der menschliche Geist von derartigen Irrtümern gereinigt werde, hat die Heilige Schrift, denKleinen sich anpassend, die Ausdrücke für keine Art von Dingen verschmäht, damit von ihnen aus unsere Vernunft, wie von Nahrung gestärkt, gleichsam in Stufen zur göttlichen und erhabenen Wirklichkeit aufsteige.",45,deutsch
10,Augustinus von Hippo,Bücher über die Dreieinigkeit,1. Kapitel.Verhältnis von Glaube und Wissen; Gründe für die irrigen Anschauungen über Gott.,10,"Einmal gebraucht sie nämlich, wenn sie von Gott spricht, Worte, welche aus dem Bereich der stofflichen Dinge stammen, so wenn sie sagt: „Im Schatten deiner Fittiche beschütze mich 1Ebenso hat sie von der geistigen Schöpfung viele Worte übernommen, um damit Sachverhalte zu bezeichnen, die nicht wirklich so sind, die aber so ausgedrückt werden müssen, so an der Stelle: „Ich bin ein eifernder Gott 2, und an der anderen: „Es reut mich, den Menschen geschaffen zu haben. 3Von den Dingen jedoch, die gar kein Sein haben, hat sie keinerlei Worte genommen, um mit ihnen bildliche Redeweisen oder rätselhafte und verwickelte Ausdrücke zu formen.",102,deutsch
