id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,1. Diese Lobpreisung Gottes ist auf seine eigene Veranlassung zurückzuführen.,1,"Augustinus durchforscht die Anfänge seines Lebens bis zu seinem fünfzehnten Jahr. Er gesteht die Sünden seines Kindes- und Knabenalters ein und bekennt, daß ihn Spiel und kindlicher Zeitvertreib mehr gefesselt hätten als Lernen und Studium.",35,deutsch
2,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,1. Diese Lobpreisung Gottes ist auf seine eigene Veranlassung zurückzuführen.,2,"„Groß bist du, o Herr, und überaus preiswürdig; groß ist deine Stärke, und deiner Weisheit ist kein Ziel gesetzt 1. Und dich will loben ein Mensch, ein winziger Teil deiner Schöpfung, ein Mensch, der schwer trägt an der Bürde seiner Sterblichkeit, schwer trägt auch am Zeugnis seiner Sünde und am Zeugnis, daß „du den Stolzen widerstehest 2.",57,deutsch
3,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,1. Diese Lobpreisung Gottes ist auf seine eigene Veranlassung zurückzuführen.,3,"Und dennoch will dich loben der Mensch, selbst ein Teil deiner Schöpfung. Du selbst veranlaßt ihn, in deinem Preis eine Wonne zu suchen, denn geschaffen hast du uns im Hinblick auf dich, und unruhig ist unser Herz, bis es ruhet in dir.",42,deutsch
4,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,1. Diese Lobpreisung Gottes ist auf seine eigene Veranlassung zurückzuführen.,4,"Verleihe mir, o Herr, die rechte Erkenntnis und Einsicht, ob man dich erst anrufen oder preisen, erst dich erkennen oder anrufen muß! Aber wer ruft dich an, ohne dich zu kennen? Könnte er doch leicht in seiner Unwissenheit einen anderen für dich anrufen!",43,deutsch
5,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,1. Diese Lobpreisung Gottes ist auf seine eigene Veranlassung zurückzuführen.,5,"Oder wirst du etwa angerufen, um erkannt zu werden? „Wie aber soll man den anrufen, an den man nicht geglaubt? Wie aber wird man glauben ohne Prediger 3? „Loben werden den Herrn, die ihn suchen 4Denn wer sucht, der findet ihn, und wer ihn findet, wirdihn preisen.",47,deutsch
6,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,1. Diese Lobpreisung Gottes ist auf seine eigene Veranlassung zurückzuführen.,6,"So will ich dich denn suchen, o Herr, indem ich dich anrufe, und dich anrufen, da ich an dich glaube; denn du bist uns verkündet worden. Dich, o Herr, ruft an mein Glaube, den du mir gegeben, den du mir eingehaucht hast durch die Menschwerdung deines Sohnes, durch das Amt deines Predigers.",52,deutsch
7,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"2. Gott, zu dem ich rufe, ist in mir und ich in ihm.",1,"Doch wie soll ich meinen Gott anrufen, meinen Gott und meinen Herrn? Sicherlich werde ich ihn in mich rufen, wenn ich ihn anrufe. Und wo gibt es eine Stätte in mir, wohin mein Gott zu mir kommen soll? Wohin Gott kommen soll, Gott, der geschaffen hat Himmel und Erde?",49,deutsch
8,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"2. Gott, zu dem ich rufe, ist in mir und ich in ihm.",2,"So gibt es denn wirklich, Herr mein Gott, etwas in mir, was dich fassen könnte? Aber fassen dich denn Himmel und Erde, die du zusammen mit mir geschaffen hast? Oder muß, weil nichts Bestehendes, ohne dich gedacht werden kann, dieses notwendigerweise dich fassen?",43,deutsch
9,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"2. Gott, zu dem ich rufe, ist in mir und ich in ihm.",3,"Weil nun auch ich dazu gehöre, warum bitte ich dich, zu mir zu kommen, da ich doch nicht bestände, wenn du nicht in mir wärest? Denn noch bin ich nicht in der Unterwelt, und doch bist du ja auch dort! „Stiege ich auch hinab zur Unterwelt, so bist du dort 1.",51,deutsch
10,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"2. Gott, zu dem ich rufe, ist in mir und ich in ihm.",4,"So wäre ich also nicht, mein Gott, ich wäre überhaupt nicht, wärest du nicht in mir. Oder richtiger: ich wäre nicht, wäre ich nicht in dir, „aus dem, durch den, in dem alles ist 2. Gewiss, auch so, o Herr! Wohin aber soll ich dich rufen, da ich in dir bin?",51,deutsch
11,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"2. Gott, zu dem ich rufe, ist in mir und ich in ihm.",5,"Oder woher solltest du in mich kommen? Denn wohin soll ich außerhalb von Himmel und Erde mich begeben, daß von dort mein Gott in mich komme, der da gesagt hat: „Himmel und Erde erfülle ich 3?",36,deutsch
12,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"3. Gott ist allenthalben so mit seinem ganzen Wesen gegenwärtig, daß nichts ihn ganz fassen kann.",1,"Fassen dich also Himmel und Erde, da du sie erfüllest? Oder erfüllst du sie, aber nicht ganz, weil siedich nicht fassen? Und wohin strömest du aus, was von dir noch übrig bleibt, nachdem du Himmel und Erde erfüllt hast? Oder brauchst du, der du alles umfassest nicht von etwas umschlossen zu werden, da du ja, was du erfüllest, so erfüllest, daß du es auch umschließest?",65,deutsch
13,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"3. Gott ist allenthalben so mit seinem ganzen Wesen gegenwärtig, daß nichts ihn ganz fassen kann.",2,"Denn nicht geben Gefäße, die von dir erfüllt sind, dir festen Halt; wenn sie auch brechen, du wirst nicht ausgegossen. Und wenn du dich auch über uns ausgießest, so liegst du doch nicht danieder, sondern richtest uns auf; du wirst nicht zerstreut, wohl aber sammelst du uns.",47,deutsch
14,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"3. Gott ist allenthalben so mit seinem ganzen Wesen gegenwärtig, daß nichts ihn ganz fassen kann.",3,"Aber alles was du erfüllst, erfüllst du mit deinem ganzen Wesen. Oder weil die Dinge dich nicht in deinem ganzen Wesen erfassen können erfassen sie da einen Teil von dir und zwar alle zugleich denselben? Oder faßt jedes Ding einen besondern Teil, das größere Ding einen größeren Teil, das kleine einen kleineren?",52,deutsch
15,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,"3. Gott ist allenthalben so mit seinem ganzen Wesen gegenwärtig, daß nichts ihn ganz fassen kann.",4,"So ist also ein Teil von dir größer, ein anderer kleiner? Oder bist du überall mit deinem ganzen Wesen, und faßt doch kein Ding dich ganz?",26,deutsch
16,Augustinus von Hippo,Die Bekenntnisse vom Hl. Augustinus von Hippo,4. Gottes Größe und Vollkommenheit ist unerklärlich.,1,"Was also ist mein Gott? Was anderes, frage ich, als Gott der Herr? Denn „wer ist Herr außer dem Herrn? Oder wer ist Gott außer unserem Gott? 1Höchster, Bester, Mächtigster, Allmächtigster, Barmherzigster und Gerechtester, Verborgenster und Allgegenwärtigster, Schönster und Gewaltigster, du Beständiger und Unfassbarer, du Unwandelbarer, selbst alles wandelnd, nie neu, nie alt, machst du doch alles neu „die Hochmütigen aber läßt du alt werden, und sie wissen es nicht 2.",71,deutsch
