id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,1,"Es lebte ein Mann namens Faustus, nach Herkunft Afrikaner, nach Geburtsort Milevitaner, im sprachlichen Ausdruck angenehm, im Denken wendig, nach Religion Manichäer und somit in gottlosem Irrglauben von der Wahrheit abgekommen.",31,deutsch
2,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,2,"Ich kannte den Mann persönlich, so wie ich ihn in den Büchern meiner „Bekenntnisse in Erinnerung gerufen habe (cf. conf. V 6,10-7,13).",22,deutsch
3,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,3,"Dieser veröffentlichte eine Schrift gegen den rechten christlichen Glauben und die katholische Wahrheit. Nachdem sie uns in die Hände gelangt und von unseren Freunden gelesen worden war, wünschten sie dringend und forderten uns unter Berufung auf die Liebe, in der wir ihnen dienen, auf, dass wir ihm darauf antworteten.",49,deutsch
4,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,4,"Diese Aufgabe will ich nun im Namen und mit der Hilfe unseres Herrn und Erlösers Jesus Christus angehen, damit alle, die das lesen werden, erkennen, wie wertlos ein scharfer Verstand und eine geschliffene Zunge sind, wenndes Menschen Schritte nicht vom Herrn gelenkt werden(cf. Ps. 36,23).",45,deutsch
5,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,5,"Diese Lenkung ist durch die im Verborgenen wirkende Gerechtigkeit des göttlichen Erbarmens auch vielen Bedächtigeren und Unbegabteren gewährt worden, während viele äusserst scharfdenkende und redegewandte Menschen, von der Hilfe Gottes im Stich gelassen, zwar schnell und beharrlich dahinrennen, doch nur um vom Weg der Wahrheit umso weiter abzuirren.",48,deutsch
6,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,6,"Ich erachte es aber als zweckmässig, seine Worte unter seinem Namen, meine Antwort aber unter dem meinigen wiederzugeben.",18,deutsch
7,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,1,"Es lebte ein Mann namens Faustus, nach Herkunft Afrikaner, nach Geburtsort Milevitaner, im sprachlichen Ausdruck angenehm, im Denken wendig, nach Religion Manichäer und somit in gottlosem Irrglauben von der Wahrheit abgekommen.",31,deutsch
8,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,2,"Ich kannte den Mann persönlich, so wie ich ihn in den Büchern meiner „Bekenntnisse in Erinnerung gerufen habe (cf. conf. V 6,10-7,13).",22,deutsch
9,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,3,"Dieser veröffentlichte eine Schrift gegen den rechten christlichen Glauben und die katholische Wahrheit. Nachdem sie uns in die Hände gelangt und von unseren Freunden gelesen worden war, wünschten sie dringend und forderten uns unter Berufung auf die Liebe, in der wir ihnen dienen, auf, dass wir ihm darauf antworteten.",49,deutsch
10,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,4,"Diese Aufgabe will ich nun im Namen und mit der Hilfe unseres Herrn und Erlösers Jesus Christus angehen, damit alle, die das lesen werden, erkennen, wie wertlos ein scharfer Verstand und eine geschliffene Zunge sind, wenndes Menschen Schritte nicht vom Herrn gelenkt werden(cf. Ps. 36,23).",45,deutsch
11,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,5,"Diese Lenkung ist durch die im Verborgenen wirkende Gerechtigkeit des göttlichen Erbarmens auch vielen Bedächtigeren und Unbegabteren gewährt worden, während viele äusserst scharfdenkende und redegewandte Menschen, von der Hilfe Gottes im Stich gelassen, zwar schnell und beharrlich dahinrennen, doch nur um vom Weg der Wahrheit umso weiter abzuirren.",48,deutsch
12,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,6,"Ich erachte es aber als zweckmässig, seine Worte unter seinem Namen, meine Antwort aber unter dem meinigen wiederzugeben.",18,deutsch
13,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,1,"Faustus:Obwohl die Irrtümer des jüdischen Aberglaubens bereits genug und übergenug ans Licht gebracht und auch die Täuschungsmanöver der Halbchristen mehr als hinreichend aufgedeckt wurden, nämlich durch den hochgelehrten und nach unserem seligen Vater Manichaeus für uns allein massgebenden Adimantus, erschien es uns doch nicht überflüssig, geliebteste Brüder, wegen der durchtriebenen und hinterhältigen Thesen, die sie im Disput mit uns vorbringen, zusätzlich für euch diese kurzen und präzisen Antworten schriftlich zu fixieren, damit auch ihr, wenn diese euch nach Art ihres Erzeugers, der Schlange, mit verfänglichen Fragen (cf.",87,deutsch
14,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,2,"Joh. 8,44) zu umschlingen suchen, gerüstet seid, ihnen wachsam zu antworten. So wird es nämlich gelingen, sie bei ihren eigenen Aussagen zu behaften, und zu verhindern, dass sie weiterhin nach dieser und nach jener Seite hin Finten schlagen können.",39,deutsch
15,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,3,"Damit nun das Aufnahmevermögen der Leser nicht von einem wortreichen und ungeordneten Redeschwall überflutet wird, habe ich ihre Worte und die der Unsrigen, ebenso kurz wie klar gegliedert, einander gegenübergestellt.",30,deutsch
16,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,1,"Augustinus:Du glaubst, dass man sich vor den Halbchristen hüten muss und behauptest, dass wir das seien; wir dagegen hüten uns vor den Pseudochristen und zeigen, dass ihr das seid.",29,deutsch
17,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,2,"Was nämlich nur zur Hälfte da ist, ist zwar in bestimmter Hinsicht unvollständig, doch in keiner Weise verfälscht. Was heisst das für uns?",23,deutsch
18,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,3,"Wenn beim Glauben jener, die ihr zu umschlingen sucht, etwas noch nicht vorhanden ist, muss man etwa deswegen das niederreissen, was bei ihnen vorhanden ist, und nicht vielmehr das, was noch fehlt, hinzufügen?",33,deutsch
19,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,4,"So wie es auch der Apostel sagte, als er zu Menschen, die noch unvollkommen waren, sprach (Kol. 2,5):Indem ich mich freue und euren Lebenswandel sehe und das, was eurem Glauben in Christus noch fehlt.",34,deutsch
20,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,5,"Er sah da natürlich eine Art geistiges Gebäude, so wie er an anderer Stelle sagt (I Kor. 3,9):Ihr seid Gottes Bauwerk.Und in diesem Bauwerk sah er beides: etwas, worüber er sich freute, und etwas, was ihn herausforderte. Er freute sich darüber, was er schon erbaut sah, es forderte ihn heraus, wo er erkannte, dass noch weiter zu bauen war, bis die Spitze der Vollkommenheit erreicht war.",66,deutsch
21,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,6,"In Tat und Wahrheit verfolgt ihr mit eurer Irrlehre also Katholiken, die noch nicht vollkommen, sondern in gewisser Weise, wie du es ausgedrückt hast, Halbchristen sind, um sie zu täuschen und zu verführen. Doch auch wenn einer zu dieser Kategorie gehört und wenn er einmal erkannt hat, dass ihr Pseudochristen seid, versteht er sehr wohl, dass man euch nicht folgen darf sondern aus dem Weg gehen muss, so sehr er – aufgrund dessen, was seinem Glauben noch fehlt– ausserstande ist, auf eure verfänglichen Fragestellungen zu antworten.",86,deutsch
22,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,7,"Wie es also eure Absicht ist, Halbchristen aufzuspüren, um sie irrezuleiten, so ist es unsere Absicht, euch als Pseudochristen zu erweisen, damit nicht nur die fortgeschritteneren Christen euch widerlegen und dadurch entlarven können, sondern auch die weniger fortgeschrittenen Nutzen ziehen, indem sie sich vor euch in Acht nehmen.",48,deutsch
23,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,8,"Doch warum hast du die Schlange als unsern Vater bezeichnet? Hast du etwa vergessen, wie ihr dauernd Gott tadelt, der dem Menschen im Paradies das Gebot gab (cf. Gen. 2,16-17.), und die Schlange lobt, weil sie ihm durch ihren Rat die Augen öffnete (cf. Gen. 3,7)?",46,deutsch
24,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,9,"Ich meine, dass es gerechtfertigt wäre, wenn vielmehr du jene Schlange, den von euch gelobten Verführer, als deinen Erzeuger anerkennen würdest; denn jene anerkennt dich ja als Sohn, auch wenn du sie soeben getadelt hast.",35,deutsch
25,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,1,"Das tue ich nicht. Wenn ich nämlich das Evangelium anerkenne, so folgt daraus nicht, dass ich deshalb auch anerkenne, dass Christus geboren wurde.Wie das?",24,deutsch
26,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,2,"Weil das Evangelium sowohl dem Inhalt wie der Bezeichnung nach doch erst bei der Verkündigung Christi beginnt und da sagt er selber ja nirgends, dass er von Menschen geboren sei.",30,deutsch
27,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,3,"Und in der Tat ist die Genealogie so weit entfernt davon, Evangelium zu sein, dass nicht einmal deren Verfasser es gewagt hat, sie Evangelium zu nennen.",26,deutsch
28,Augustinus von Hippo,Gegen Faustus,Gegen Faustus,4,"Was hat er denn geschrieben?Buch der Geburt Jesu Christi, des Sohnes Davids(Mt. 1,1), also nichtBuch des Evangeliums Jesu Christi,sondernBuch der Geburt.Und da wird ja auch noch der Stern eingeführt, welcher die Geburt bestätigt (cf. Mt. 2,2), sodass man diesen Teil, wenn man korrekt sein will, eher als ‚Genesidium denn als ‚Evangelium bezeichnen könnte.",53,deutsch
