id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Die Offenbarung des Wortes im Fleische,1,"„Was von Anfang an war, was wir gehört, was wir mit unsern Augen gesehen und was unsere Hände berührt haben vom Worte des Lebens (I, 1). Kann jemand das Wort „mit den Händen berühren , so nur, weil „das Wort Fleisch geworden ist und unter uns gewohnt hat (Ev. Joh. I, 14).",52,deutsch
2,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Die Offenbarung des Wortes im Fleische,2,"Dieses Wort aber, das Fleisch geworden ist, um mit den Händen sich berühren zu lassen, nahm Fleisch an aus der Jungfrau Maria. Doch nicht das Wort nahm damals seinen Anfang; sagte er ja, daß es „von Anfang an war . Seht, ob nicht sein Brief eine Bestätigung durch sein Evangelium findet, aus dem ihr soeben gehört habt: „Im Anfang war das Wort und das Wort war bei Gott (Ev. Joh. 1,1).",71,deutsch
3,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Die Offenbarung des Wortes im Fleische,3,"„Und das Leben selbst ist offenbar geworden (1,2). Christus ist also das Wort des Lebens. Und wieso wurde es offenbar? Es war ja von Anfang an; jedoch war es den Menschen nicht offenbar; offenbar aber war es den Engeln, die es schauten und gleichsam als ihr Brot genossen.",48,deutsch
4,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Die Offenbarung des Wortes im Fleische,4,"Sagt doch die Heilige Schrift: „Das Brot der Engel aß der Mensch (Ps. 77, 25). Es wurde also das Leben selbst im Fleische offenbar; es wurde offenbar, damit die Wirklichkeit, die nurmit dem Geiste geschaut werden kann, auch mit den Augen des Leibes gesehen werden könnte, um den Geist zu heilen.",51,deutsch
5,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Die Offenbarung des Wortes im Fleische,5,"Allein mit dem Geiste nämlich ist das Wort zu schauen; das Fleisch aber ist auch für die Augen des Leibes sichtbar. Wir hatten also ein Organ, das Fleisch zu sehen, aber keines, das Wort zu schauen. So wurde das Wort Fleisch, das wir sehen können, um das in uns zu heilen, womit wir das Wort zu schauen vermöchten (Tr. I, 1).1",61,deutsch
6,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Die Offenbarung des Wortes im Fleische,6,"Diese Ausführungen sind nur vom christlichen Platonismus Augustins aus voll zu verstehen: Der Mensch ist durch die Sünde aus der ursprünglichen geistigen Verbundenheit mit Gott und der göttlichen Welt der Ideen herausgefallen und ist seitdem der Herrschaft der Sinnenwelt, des Untermenschlichen unterworfen.",42,deutsch
7,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Die Offenbarung des Wortes im Fleische,7,"Dieser hoffnungslose Zustand erfährt erst dadurch eine Änderung, daß Gott in Christus in die sichtbare Welt eintritt und so den Menschen gerade auf dem Weg über das Sinnliche zur Erkenntnis des Geistig-Göttlichen zurückführt.",33,deutsch
8,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Gemeinschaft im Glauben,1,"„Wir haben gesehen und sind Zeugen, und wir verkündigen euch das ewige Leben, das beim Vater war und uns geoffenbart wurde. Was wir gehört und gesehen haben, verkündigen wir euch (I, 2f.). Die Apostel sahen den im Fleische gegenwärtigen Herrn selbst und hörten die Worte aus dem Munde des Herrn und verkündigten sie uns.",54,deutsch
9,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Gemeinschaft im Glauben,2,"Auch wir haben also gehört, aber wir haben nicht gesehen. Sind wir darum weniger glücklich als jene, die sahen und hörten? Wie fährt er fort? „Damitauch ihr Gemeinschaft mit uns habt (1,3). Jene sahen, wir haben nicht gesehen; und dennoch stehen wir in Gemeinschaft mit ihnen: weil wir den gemeinsamen Glauben festhalten.",52,deutsch
10,Augustinus von Hippo,Gott ist die Liebe (über den 1. Johannesbrief),Gemeinschaft im Glauben,3,"War doch da einer, der nicht auf das bloße Sehen hin glaubte, sondern der betasten und so glauben wollte: „Ich glaube nicht , sagte er, „bevor ich nicht meine Finger in die Stelle der Nägel lege und seine Narben berühre (Joh. 20, 25).",43,deutsch
