id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Vom ersten katechetischen Unterricht,1. Kapitel: Einleitung. Die Veranlassung des hl. Augustinus zur Abfassung des vorliegenden Werkes,1,". Mein Bruder Deogratias, du hast mich gebeten, dir einiges zu schreiben, was du für den ersten katechetischen Unterricht1gebrauchen könntest. Wie du nämlich sagst, bringt man dir in Karthago, wo du Diakon bist, gar oft Leute, die den allerersten Einführungsunterricht ins Christentum erhalten müssen; denn wegen deiner gründlichen theologischen Kenntnisse und wegen deines anziehenden Vortrages hält man dich für einen ganz besonders geeigneten Katecheten.",64,deutsch
2,Augustinus von Hippo,Vom ersten katechetischen Unterricht,1. Kapitel: Einleitung. Die Veranlassung des hl. Augustinus zur Abfassung des vorliegenden Werkes,2,"Wie du aber erklärst, bist du fast immer darüber in Verlegenheit, wie du das, was wir glauben müssen, um Christen zu sein, einem am besten beibringen kannst, von wo du ausgehen und wie weit du in deiner Darlegung kommen sollst, ob man an die Darlegung auch noch eine Ermahnung anschließen soll oder ob man sich einfach auf die Gebote beschränken dürfe, deren Beobachtung sich dem Schüler als wesentlicher Inhalt des christlichen Lebens und Bekenntnisses darstellen muß.",76,deutsch
3,Augustinus von Hippo,Vom ersten katechetischen Unterricht,1. Kapitel: Einleitung. Die Veranlassung des hl. Augustinus zur Abfassung des vorliegenden Werkes,3,"Ferner bekennst und klagst du, du seiest dir gar oft wegen deiner langen und trockenen Vorträge selber überdrüssig und zuwider, umvon dem gar nicht zu reden, dem dein Vortrag galt oder von den anderen, die als Zuhörer zugegen waren. Diese Not sei denn auch daran schuld, daß du mich bei meiner Liebe zu dir darum batest, ich solle mich doch durch meine Berufsgeschäfte nicht davon abhalten lassen, dir über diesen Gegenstand das eine oder andere zu schreiben.",77,deutsch
4,Augustinus von Hippo,Vom ersten katechetischen Unterricht,1. Kapitel: Einleitung. Die Veranlassung des hl. Augustinus zur Abfassung des vorliegenden Werkes,4,"2. Ich für meine Person fühle mich nun nicht bloß von meiner Freundschaft zu dir, sondern überhaupt auch durch das Gefühl der Liebe und das Bewußtsein der Verpflichtung zu unserer Mutter, der Kirche, gedrängt, keine Aufgabe zurückzuweisen, sondern sie vielmehr gerne und freudig zu übernehmen, wenn mich der Herr mit der Arbeitskraft, die mir dank seiner Freigebigkeit zur Verfügung steht, meine gottbestellten Brüder unterstützen heißt.",65,deutsch
5,Augustinus von Hippo,Vom ersten katechetischen Unterricht,1. Kapitel: Einleitung. Die Veranlassung des hl. Augustinus zur Abfassung des vorliegenden Werkes,5,"Je mehr ich also wünsche, das vom Herrn erhaltene Talent möge weiter segensreich wirken, um so mehr muß ich, sobald ich sehe, daß meine Mitarbeiter in der Verteilung des Almosens [der christlichen Unterweisung in den göttlichen Wahrheiten] auf Schwierigkeiten stoßen, nach Möglichkeit dazu mitwirken, daß sie das mit Leichtigkeit und Gewandtheit ausführen können, wozu es ihnen nicht an Eifer und gutem Willen gebricht.",63,deutsch
6,Augustinus von Hippo,Vom ersten katechetischen Unterricht,1. Kapitel: Einleitung. Die Veranlassung des hl. Augustinus zur Abfassung des vorliegenden Werkes,6,"Das vorliegende Schriftchen ist dem Anfangs- oder Einführungsunterricht ins Christentum gewidmet [De catechizandis rudibus]. Unter „rudis versteht man nach dem Sprachgebrauch der ersten christlichen Zeit den in der christlichen Lehre noch völlig unerfahrenen Neuling; rudis ist nicht allein der ungebildete, niedere Mann aus dem Volke, sondern auch der Durchschnittsgebildete, der die üblichen Schulen durchgemacht hat, der auf seine Bildung stolze und im Urteil absprechende Bildungsphilister, der aber vom Christentum noch nichts weiß. [Drews bei Krüger, a.a.O. IVf.]",77,deutsch
7,Augustinus von Hippo,Vom ersten katechetischen Unterricht,2. Kapitel: Es besteht nur zu oft ein bedauerlicher Gegensatz zwischen dem Wollen und dem Können eines Redners. — Der Redner darf nicht kleinmütig werden,1,"3. Was nun die Bedenken bezüglich deiner eigenen Person anbelangt, so möchte ich nicht, daß du dich darüber beunruhigst, weil dir selbst dein Vortrag oft so platt und unbefriedigend vorkommt; denn möglicher weise machte er auf deinen Schüler diesen Eindruck nicht; vielleicht schienen dir selbst deine Worte nur deshalb für fremde Ohren so schlecht, weil du selbst ein besseres Verständnis gewünscht hättest.",62,deutsch
8,Augustinus von Hippo,Vom ersten katechetischen Unterricht,2. Kapitel: Es besteht nur zu oft ein bedauerlicher Gegensatz zwischen dem Wollen und dem Können eines Redners. — Der Redner darf nicht kleinmütig werden,2,"Auch ich habe an meinem Vortrag fast immer Mißfallen. Ich wünsche mir immer einen besseren und oft ist er auch wirklich in meinem Geist so vorhanden, bevor ich ihnin laute Worte zu kleiden beginne. Gelingt es mir dann nicht so gut als ich es eigentlich [in meinem Innern] wüßte, dann bin ich darüber betrübt, daß meine Ausdrucksfähigkeit nicht an meine Einsicht heranreichte.",62,deutsch
9,Augustinus von Hippo,Vom ersten katechetischen Unterricht,2. Kapitel: Es besteht nur zu oft ein bedauerlicher Gegensatz zwischen dem Wollen und dem Können eines Redners. — Der Redner darf nicht kleinmütig werden,3,"Denn ich möchte natürlich, es sollten auch meine Zuhörer alles ganz so verstehen, wie ich es selbst [in mir] verstehe; und doch fühle ich, daß meine Worte meiner Absicht nicht entsprechen. Dies kommt vor allem daher, daß das Verständnis in der Seele gleichsam blitzartig aufleuchtet, die mündliche Darlegung aber ganz im Gegenteil dazu nur langsam und allmählich erfolgen kann, so daß sich über ihrer allmählichen Entwicklung das Verständnis bereits wieder in die geheimen Falten der Seele zurückgezogen hat.",78,deutsch
10,Augustinus von Hippo,Vom ersten katechetischen Unterricht,2. Kapitel: Es besteht nur zu oft ein bedauerlicher Gegensatz zwischen dem Wollen und dem Können eines Redners. — Der Redner darf nicht kleinmütig werden,4,"Indessen hinterläßt jenes schnelle innere Erfassen doch in wundersamer Weise gewisse Eindrücke im Gedächtnis, und eben diese Eindrücke dauern in den Silben fort, die wir aussprechen, und aus ihnen entwickeln wir jene Töne und Bezeichnungen, die man Sprache nennt, sei es nun die lateinische oder die griechische oder die hebräische oder irgendeine andere; dabei ist es ganz gleich, ob diese Bezeichnungen bloß gedacht oder auch in Worte gekleidet werden; denn die bezeichneten Ausdrücke selbst sind weder lateinisch noch griechisch noch hebräisch noch irgendeinem Volke eigentümlich, sondern sie sind für den Geist, was die Gesichtszüge für den Körper sind. Der Begriff „Zorn z.",102,deutsch
