id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",1,". Es gibt Leute, die für eine unterschiedslose Zulassung aller zum Bade der Wiedergeburt1in Christus Jesus unserm Herrn sind, selbst wenn diese ein ganz abscheuliches und durch völlig offenkundige, schändliche Verbrechen gebrandmarktes Leben nicht ändern wollen, sondern sogar ungescheut erklären, sie wollten diesen Wandel auch noch weiterhin beibehalten.",48,deutsch
2,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",2,"Wenn einer beispielsweise an einer Dirne hängt, so solle man von ihm nicht verlangen, dieses Weib vor allem zu verlassen und erst dann zur Taufe zu kommen, sondern obgleich er sein Verhältnis nicht aufgibt, vielmehr zu seiner Fortsetzung entschlossen ist und sich zu dieser Absicht sogar offen erklärt, so solle man ihn doch zur Taufe zulassen und ihn nicht daran hindern, auch als hartnäckiges Glied einer Buhlerin ein Glied Christi zu werden2: nachträglich solle er dann allerdings über die Schwere seiner Sünde aufgeklärt und nach der Taufe über die Notwendigkeit einer Lebensbesserung unterrichtet werden.",94,deutsch
3,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",3,"Sie halten es nämlich für verkehrt und für unzeitig, einen zuerst über das Wesen des christlichen Wandels zu belehren und ihn erst dann zu taufen; sie sind vielmehr der Ansicht, die Spendung des Taufsakramentes müsse vorangehen und erst dann habe der Unterricht über das sittliche Leben zu folgen; wolle einer dann in Treue ein solches Leben führen, so handle er zu seinem Nutzen; aber selbst wenn er sich dazu nicht herbeilasse, so werde er trotz seines Verharrens in jeglicher Freveltat und Unzucht gerettet werden, wenn er nur den christlichen Glauben festhalte, ohne den er freilich auf ewig zugrunde gehen würde.",100,deutsch
4,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",4,"Seine Rettung aber werde wie durch Feuer erfolgen, da er ja ein Mensch sei, der auf das Fundament Christus nicht Goldund Silber und Edelsteine, sondern nur Holz und Heu und Stoppeln auf erbaut habe3, d. h. nicht gerechte und keusche, sondern ungerechte und unzüchtige Sitten.",45,deutsch
5,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",5,"2. Zu dieser Behauptung scheint sie der Brauch veranlaßt zu haben, daß Männer, die sich nach Entlassung ihrer Frau, oder Frauen, die sich nach Entlassung ihres Mannes wieder verhexraten, nicht zur Taufe zugelassen werden4da ja dies nach dem unzweifelhaften Zeugnis Christi des Herrn nicht eine eheliche Verbindung, sondern ein Ehebruch ist5.",51,deutsch
6,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",6,"Da sie nun einerseits nicht leugnen konnten, daß das ein wirklicher Ehebruch sei, was die [ewige] Wahrheit ganz deutlich als solchen erklärte, und da sie anderseits doch auch denen wieder zur Taufe verhelfen wollten, die sie von so starken Fesseln umstrickt sahen, daß sie im Falle einer Zurückweisung von der Taufe lieber überhaupt ohne jedes Sakrament leben und sogar sterben wollten, als das Band des Ehebruches zu zerreißen und so frei zu werden: so gaben sie einer Anwandlung menschlichen Mitleidens nach und nahmen sich der Sache dieser Unglücklichen in der Weise an, daß sie nicht bloß für ihre, sondern auch für die Zulassung aller schändlichen Verbrecher stimmten.",107,deutsch
7,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",7,"Diese brauchten dabei durch keine Abweisung gestraft, durch keine Unterweisung auf einen guten Weg gebracht und durch keine Buße gebessert zu sein. Denn würden diese Menschen nicht getauft, so müßten sie nach der Ansicht ihrer Fürsprecher auf ewig zugrunde gehen, einmal aber getauft, würden sie trotz ihres Verharrens in jenen Sünden durch Feuer gerettet werden.",55,deutsch
8,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",8,"Die Synode von Elvira [i. J. 306] verordnet im Kanon XI, daß einer Taufbewerberin, die sich mit einem Getauften verheiratet, der seine Frau unschuldig verstoßen hat, die Taufe auf fünf Jahre weiterer Probezeit verschoben werden soll; nur im Falle schwerer Erkrankung soll sie eher getauft werden dürfen. [Vgl. Hefele, Konziliengeschichte, I. Bd., 2. Aufl., 13.]",55,deutsch
9,Augustinus von Hippo,Vom Glauben und von den Werken,"1. Kapitel: Darlegung der falschen Lehre, die Augustinus mit der vorliegenden Abhandlung zurückweisen will",9,"Matth. 19,9; vgl. Mark. 10,11 ff.; Luk. 16,18; 1 Kor. 7,10.",11,deutsch
10,Augustinus von Hippo,Vom Glauben und von den Werken,"2. Kapitel: Das Beispiel des Moses und des Apostels Paulus zeigt, daß trotz der Vermischung von Guten und Bösen in der Kirche die Strafe der Absetzung und Exkommunikation berechtigt ist",1,". Wenn ich nun Leuten, die solches lehren, antworte, so stelle ich zu allererst die Berechtigung in Abrede, solche Zeugnisse der Heiligen Schrift, welche die Vermischung der Guten und Bösen in der Kirche für die Gegenwart anzeigen oder für die Zukunft vorhersagen, so aufzufassen, daß sich jemand für gänzliche Aufhebung und Preisgabe einer strengen und sorgfältigen Beobachtung der kirchlichen Zucht ausspricht.",61,deutsch
