id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,1,"Wenn zum Hafen der Philosophie, von dem aus man nun nur noch in das Gebiet und den Boden des glücklichen Lebens gelangt, liebster und großer Theodor, der Kurs durch Vernunft geleitet und der eigene Wille uns dahin führen würde, weiß ich nicht, ob ich voreilig sagen würde, dass viel weniger Menschen dorthin gelangen würden, als wir auch jetzt sehen, dass sehr wenige und seltene Menschen dort ankommen.",67,deutsch
2,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,2,"Denn als wir in diese Welt kamen, sei es durch Gott, die Natur, die Notwendigkeit, unseren eigenen Willen, eine Kombination aus einigen davon oder alle zusammen (die Sache ist sehr unklar, aber nun von dir zu erhellen übernommen), hat es uns gleichsam zufällig und wahllos in eine stürmische See geworfen; wie viele von uns würden erkennen, wohin sie streben oder wohin sie zurückkehren sollten, wenn nicht manchmal und widerstrebend irgendein Sturm, der den Törichten als widrig erscheint, die Unwissenden und Irrenden in das ersehnte Land treiben würde?",87,deutsch
3,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,1,"Daher scheint es mir, dass ich drei Arten von Menschen sehe, die die Philosophie aufnehmen kann, gleichsam wie drei Typen von Seefahrern. Die erste Art sind jene, die, sobald das Alter sie zur Vernunft befähigt, mit einem kleinen Anstoß und Ruderbewegungen die näheren Gefilde verlassen und sich in jene Ruhe zurückziehen, von wo aus sie, soweit sie können, die anderen Bürger ermahnen, sich ihnen zuzuwenden, und ein leuchtendes Zeichen ihrer Arbeit aufstellen.",72,deutsch
4,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,2,"Die zweite Art, im Gegensatz zur ersten, sind jene, die durch das trügerische Aussehen des Meeres getäuscht, sich entscheiden, sich ins offene Meer zu wagen und sich weit von ihrer Heimat zu entfernen und sie oft zu vergessen. Wenn der Wind, den sie für günstig halten, sie auf eine unbekannte und verborgene Weise vom Heck her verfolgt, dringen sie in die tiefsten Tiefen des Elends ein, aufgeblasen und erfreut darüber, dass ihnen überall die trügerische Heiterkeit von Vergnügungen und Ehren schmeichelt.",81,deutsch
5,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,3,"Was ist diesen Menschen wohl anderes zu wünschen als etwas Unglück in jenen Dingen, von denen sie hin- und hergeworfen werden, und wenn das nicht genug ist, ein wütender Sturm und ein entgegengesetzter Wind, der sie, weinend und klagend, zu den festen und soliden Freuden führt?",46,deutsch
6,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,4,"Von dieser Art sind jedoch viele, die noch nicht allzu weit hinausgewagt haben und durch einige nicht allzu schwere Unannehmlichkeiten zurückgebracht werden. Dies sind die Menschen, die, wenn sie entweder von den tragischen Ereignissen ihres Schicksals zu Tränen gerührt oder von den sorgenvollen Schwierigkeiten nutzloser Geschäfte getrieben werden, als hätten sie nichts anderes zu tun, in die Bücher der gelehrtesten und weisesten Männer gedrängt werden und gleichsam im Hafen selbst aufwachen, von wo aus sie keine der falschen Versprechungen jenes lächelnden Meeres mehr ausschließen können.",85,deutsch
7,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,5,"Es gibt jedoch eine dritte Art von Menschen, die entweder am Beginn ihrer Jugend oder schon lange und weit geworfen, dennoch gewisse Anzeichen beachten und sich an ihre süßeste Heimat erinnern, wenn auch mitten in den Wellen: entweder verfolgen sie direkt und ohne Täuschung oder Verzögerung ihren Weg zurück; oder sie irren oft länger, indem sie sich entweder in den Wolken verirren, die untergehenden Sterne betrachten oder von einigen Verlockungen gefangen werden und die Zeit der guten Seefahrt hinauszögern, und geraten oft in Gefahr.",84,deutsch
8,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,6,"Diese Menschen werden oft auch durch irgendein Unglück in den wechselnden Schicksalen, gleichsam wie ein Sturm, der ihren Bemühungen entgegensteht, in das sehnlichst erwartete Land der Ruhe getrieben.",28,deutsch
9,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,1,"Für all jene jedoch, die auf welche Weise auch immer in die Region des glücklichen Lebens gelangen, steht ein riesiger Berg unmittelbar vor dem Hafen, der selbst für die Eintretenden große Enge erzeugt und äußerst gefürchtet sowie äußerst vorsichtig vermieden werden muss.",42,deutsch
10,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,2,"Denn er glänzt so sehr und ist von einem trügerischen Licht umgeben, dass er sich nicht nur den Ankommenden und noch nicht Eingetretenen als bewohnbar anbietet und verspricht, ihren Wünschen anstelle des glücklichen Landes gerecht zu werden, sondern oft auch Menschen direkt aus dem Hafen zu sich einlädt und sie manchmal durch die Höhe selbst, von der aus sie auf die anderen herabsehen möchten, festhält.",65,deutsch
11,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,3,"Dennoch warnen sie oft die Ankommenden, nicht von verborgenen Felsen unter Wasser getäuscht zu werden oder zu glauben, dass der Aufstieg zu ihnen leicht sei; und sie zeigen großzügig, wie man ohne Gefahr aufgrund der Nähe zu jenem Land eintritt. So zeigen sie ihnen, während sie ihnen ihre eitle Pracht neiden, den Ort der Sicherheit.",55,deutsch
12,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,4,"Denn welchen anderen Berg möchte die Vernunft als gefährlich für diejenigen verstehen, die sich der Philosophie nähern oder in sie eintreten, wenn nicht das hochmütige Streben nach der eitelsten Ehre, das so leer und substanzlos ist, dass es diejenigen, die sich aufgeblasen darüber hinweg bewegen, auf dem brüchigen Boden versinken und verschlucken lässt, und ihnen das strahlende Zuhause entreißt, das sie fast schon gesehen hätten?",65,deutsch
13,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,1,"Da dies der Fall ist, nimm an, mein Theodor, denn ich betrachte nur dich als das, was ich begehre, und bewundere dich immer als den am besten geeigneten; nimm an, sage ich, sowohl welche der drei Arten von Menschen mich dir gegeben hat, als auch an welchem Ort ich mich wähne und welche Art von Hilfe ich von dir sicher erwarte.",61,deutsch
14,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,2,"Ich selbst bin seit meinem neunzehnten Lebensjahr, nachdem ich in der Schule des Rhetors das Buch von Cicero, das Hortensius genannt wird, erhalten habe, von solch einer Liebe zur Philosophie entflammt, dass ich sofort plante, mich ihr zuzuwenden. Aber auch mir mangelte es nicht an Nebeln, die meinen Kurs verwirrten, und lange, gestehe ich, schaute ich auf die im Ozean versinkenden Sterne, die mich in die Irre führten.",68,deutsch
15,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,3,"Denn einerseits schreckte mich eine gewisse kindische Aberglaube von der Untersuchung selbst ab; und als ich aufrechter wurde und diesen Schleier abwarf, überzeugte ich mich, dass man eher den Lehrenden als den Gebietenden glauben sollte; ich geriet an Menschen, denen das Licht, das mit den Augen gesehen wird, als höchstes und göttliches Verehrungswürdiges erschien.",54,deutsch
16,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,4,"Ich stimmte nicht zu, aber ich dachte, sie würden etwas Großes hinter diesen Hüllen verbergen, das sie eines Tages enthüllen würden. Aber als ich sie hinter mir gelassen hatte, vor allem nachdem ich jenes Meer überquert hatte, hielten die Steuerruder meines Lebens lange Zeit inmitten der Wellen der Akademiker, die sich gegen alle Winde sträubten.",55,deutsch
17,Augustinus von Hippo,Vom glücklichen Leben,Vom glücklichen Leben,5,"Daraufhin kam ich in diese Länder; hier lernte ich den Norden kennen, dem ich mich anvertrauen sollte. Denn ich bemerkte sowohl oft in den Reden unseres Priesters als auch manchmal in deinen Gesprächen, dass beim Nachdenken über Gott überhaupt nichts Körperliches gedacht werden sollte, noch über die Seele: denn das ist das einzige, was in den Dingen Gott am nächsten ist.",61,deutsch
