id,author,work_title,title,section,text,word_count,language
1,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,1,"Über die Stelle: „Im Anfang war das Wort, und das Wort war bei Gott, und Gott war das Wort usw. bis dahin: „Und die Finsternis hat es nicht erfaßt . Joh. 1, 1 5.",34,deutsch
2,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,1,"Wenn ich erwäge, was wir soeben aus dem Texte des Apostels vernommen haben, daß „der sinnliche Mensch nicht faßt, was des Geistes Gottes ist 1, und weiter bedenke, daß in dieser gegenwärtigen Schar eurer Liebe notwendigerweise viele Sinnliche sind, die noch nach dem Fleische urteilen und sich noch nicht zum geistigen Verständnisse erheben können, so bin ich in großer Verlegenheit, wie ich mit der Hilfe des Herrn sagen oder nach meinem schwachen Vermögen erklären kann, was aus dem Evangelium verlesen wurde: „Im Anfang war das Wort, und das Wort war bei Gott, und Gott war das Wort ; denn dies faßt der sinnliche Mensch nicht. Wie also, Brüder? Sollen wir deshalb schweigen?",112,deutsch
3,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,2,"Warum also wird es gelesen, wenn man schweigt? Oder warum wird es angehört, wenn man es nicht erklärt? Aber auch wozu wird es erklärt, wenn es nicht verstanden wird? Demnach nun, weil hinwieder unter euch ohne Zweifel manche sind, die es nicht bloß auf die Erklärung hin fassen, sondern auch vor der Erklärung verstehen können, so will ich diejenigen, welche es zu fassen imstande sind, nicht beeinträchtigen aus Furcht, den Ohren derer, die es nicht fassen können, unnütz zu werden.",80,deutsch
4,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,3,"Schließlich wird die Gnade Gottes beistehen, vielleicht daß allen Genüge geschehe und ein jeder das fasse, was er kann, weil auch, wer redet, das sagt, was er kann. Denn sagen, wie es ist, wer kann das? Ich wage zu behaupten, meine Brüder, vielleicht hat auch Johannes selbst nicht gesagt, wie es ist, sondern auch er, wie er konnte, weil von Gott einMenschgesprochen hat, zwar ein von Gott erleuchteter (inspiratus), aber immerhin ein Mensch.",73,deutsch
5,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,4,"Weilerleuchtet, hat er etwas gesagt; wäre er nicht erleuchtet gewesen, so hätte er nichts gesagt; weil aber ein erleuchteterMensch, so hat er nicht alles, was ist, gesagt, sondern was ein Mensch konnte, hat er gesagt.",35,deutsch
6,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,1,"[Forts. v.] Es gehörte nämlich dieser Johannes, teuerste Brüder, zu jenen Bergen, von welchen geschrieben steht: „Empfangen mögen die Berge Frieden für dein Volk, und die Hügel Gerechtigkeit 1. Berge sind die hohen Seelen, Hügel sind die kleinen Seelen. Aber deshalb nehmen die Berge den Frieden auf, damit die Hügel die Gerechtigkeit aufnehmen können.",54,deutsch
7,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,2,"Welches ist die Gerechtigkeit, welche die Hügel aufnehmen? Der Glaube, weil „der Gerechte aus dem Glauben lebt 2. Jedoch würden die kleineren Seelen den Glauben nicht aufnehmen, wenn nicht die größeren Seelen, welche Berge genannt worden sind, von der Weisheit selbst erleuchtet würden, damit sie den Kleinen zuteilen können, was die Kleinen zu fassen vermögen, und die Hügel aus dem Glauben leben, weil die Berge den Frieden aufnehmen.",68,deutsch
8,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,3,"Von den Bergen selbst ist der Kirche gesagt worden: „Der Friede sei mit euch , und die Berge selbst trennten sich, indem sie der Kirche den Frieden verkündeten, nicht von demjenigen, von welchem sie den Frieden empfingen3, um so in Wahrheit, nicht zum Scheine den Frieden zu verkünden4.",48,deutsch
9,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,4,"Augustin spielt hier auf dieDonatistenan, welche zwar das Wort „Friede im Munde führten, aber von der Kirche und darum auch von Christus, dem Friedensbringer, sich trennten.",26,deutsch
10,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,1,"Es gibt nämlich andere Berge, schiffzerschellende, und wer dort landet, leidet Schiffbruch. Denn leicht ist es, wenn man in Gefahr steht und Land sieht, gleichsam ans Land hinzustreben; aber bisweilen sieht man Land an einem Berge, und es sind Klippen am Berge hin verborgen; und wenn einer zum Berge kommen will, stößt er auf Klippen und findet dort keinenHafen, sondern Wehklagen1.",61,deutsch
11,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,2,"So gab es manche Berge, und sie erschienen groß unter den Menschen, und sie veranlaßten Irrlehren und Spaltungen, und trennten die Kirche Gottes; aber die, welche die Kirche Gottes trennten, waren nicht jene Berge, von welchen gesagt ist: „Empfangen mögen die Berge Frieden für dein Volk .",47,deutsch
12,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,3,"Denn wie sollen den Frieden empfangen haben jene, welche die Einheit zerrissen?",12,deutsch
13,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,4,"Non ibi invenit portum, sed planctum. Planctus bedeutet wohl zunächst das durch das Aufschlagen des Schiffes an den Felsen entstehende Geräusch, dann aber das damit verbundene Wehklagen.",27,deutsch
14,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,1,"Die aber den Frieden empfangen haben, um ihn dem Volke zu verkünden, betrachteten die Weisheit selbst, soweit menschlichen Herzen zugänglich war, was weder ein Auge gesehen, noch ein Ohr vernommen, noch in eines Menschen Herz gekommen ist1. Wenn sie (die Weisheit) in keines Menschen Herz gekommen ist, wie ist sie in das Herz des Johannes gekommen? Oder war Johannes kein Mensch?",61,deutsch
15,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,2,"Oder ist sie vielleicht auch in das Herz des Johannes nicht gekommen, sondern das Herz des Johannes ist zu ihr emporgestiegen? Denn was in das Herz des Menschen emporsteigt, das istunterdem Menschen; wohin aber das Herz des Menschen emporsteigt, das istüberdem Menschen.",42,deutsch
16,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,3,"Auch so, Brüder, kann man sagen: Wenn sie in das Herz des Johannes gekommen ist wenn man das irgendwie sagen kann , dann ist sie insoweit in das Herz des Johannes gekommen, als Johannes selbst kein Mensch war. Was heißt das, er war kein Mensch?",45,deutsch
17,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,4,"Insofern als er angefangen hatte, ein Engel zu sein; denn alle Heiligen sind Engel, weil Verkündiger Gottes. Was sagt darum der Apostel zu den Fleischlichen und Sinnlichen, die nicht zu fassen vermögen, was Gottes ist: „Denn wenn ihr saget: Ich bin des Paulus, ich des Apollo, seid ihr da nicht Menschen? 2Wozu wollte er jene machen, denen er vorhielt, daß sie Menschen seien?",63,deutsch
18,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,5,"Verlangt ihr zu wissen, wozu er sie machenwollte? Höret in den Psalmen: „Ich habe gesagt: Ihr seid Götter und Söhne des Höchsten alle 3. Dazu also ruft uns Gott, daß wir nicht Menschen seien. Aber dann werden wir im besseren Sinne nicht Menschen sein4, wenn wir uns zuerst als Menschen anerkennen, d. h. zu jener Höhe von der Niedrigkeit aufsteigen, damit wir nicht etwa, indem wir uns für etwas halten, da wir doch nichts sind, nicht bloß das nicht empfangen, was wir nicht sind, sondern auch das verlieren, was wir sind.",91,deutsch
19,Augustinus von Hippo,Vorträge über das Johannesevangelium,Vorträge über das Johannesevangelium,6,"In melius non erimus homines. Wir sollen nach Augustin „nicht Menschen sein, nicht in dem Sinne, daß wir zu den Tieren herabsteigen d. h. ihnen gleich werden, sondern in dem Sinne, daß wir zu Gott emporsteigen d. h. ihm ähnlich werden.",41,deutsch
