id,author,work_title,title,section,text,word_count,language
1,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,1,"Inhalt: Angabe des Themas (Weltschöpfung) - Notwendigkeit einer entsprechenden Disposition auf Seiten des Hörers - Glaubwürdigkeit des Hagiographen Moses (c. 1). Die Schöpfung im Urteil der Heiden - nach dem Berichte Mosis (ein Werk Gottes) (c. 2). Die Welt nicht ewig, sondern veränderlich und vergänglich (c. 3).",47,deutsch
2,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,2,"Darüber spottende Philosophen gewärtigen ein furchtbares Gericht (c. 4). Erst eine unsichtbare, dann die sichtbare Welt als Lehrstätte für Menschen und Wohnstätte für alle Kreatur - geworden in und mit der Zeit. Begriff der „Zeit (c. 5). Der Begriff „Anfang (ὰρχἡ) Prinzip der Ordnung und des Zwecks, nicht Zeitteil (c. 6).",51,deutsch
3,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,3,"Die Welt eigentliches Werk, und zwar Kunstwerk Gottes. - „Himmel und Erde schließen in sich alle Elemente und Stoffe (c. 7). Die Substanz des Himmels nach Isaias. - Substanz und Substrat der Erde umstritten, eigentlich undiskutierbar; jedenfalls ruht sie in Gottes Hand (c. 8-9).",44,deutsch
4,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,4,"Der geozentrische Standpunkt hypothetisch (c. 10). Widersprechende Mutmaßungen der Philosophen über die Substanz des Himmels - keine beweisbar. Besser, Moses zu glauben und den Schöpfer zu preisen (c. 11).",29,deutsch
5,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,1,"Ein passender Anfang, wenn der, welcher über die Entstehung der Welt sich verbreiten soll, seine Rede beginnt mit einem Anfange ( Prinzip), auf den die Ordnung der sichtbaren Welt zurückgeht. Denn die Erschaffung von Himmel und Erde soll erzählt werden nicht als ein von selbst erfolgter Vorgang, wie manche sich einbildeten, sondern als ein Werk, das in Gott seine Ursache hat.",61,deutsch
6,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,2,"Welches Ohr wäre würdig, etwas so Großes anzuhören? Wie muß die Seele vorbereitet sein,die herantreten will, um so erhabene Dinge zu vernehmen! Frei von den sinnlichen Leidenschaften, frei von den finstern Sorgen des Lebens, arbeitsfroh, spekulativ veranlagt, überall Umschau haltend, wo sie irgendwo eine würdige Gotteserkenntnis gewinnen könnte.",48,deutsch
7,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,3,"Doch bevor wir den Sinn der Worte genau untersuchen und nachforschen, was alles mit den wenigen Worten gesagt sein will, wollen wir erwägen,weres ist, der zu uns redet. Denn wenn wir auch schuld der Unzulänglichkeit unseres Verstandes den Tiefsinn des Schriftstellers nicht erreichen, so werden wir doch bauend auf die Glaubwürdigkeit des Erzählers von selbst so weit kommen, daß wir seinen Worten zustimmen.Mosesnämlich ist es, der diesen Bericht verfaßt hat, jener Moses, der laut Bezeugung schon als Säugling „bei Gott angenehm war1, den die Tochter Pharaos an Kindes Statt angenommen2, den sie königlich erzogen, für den sie die ägyptischen Weisen zu Lehrern und Erziehern bestellt hat3, der aus Haß gegen den Druck der Tyrannen zur Niedrigkeit seiner Stammesgenossen zurückgekehrt ist und „lieber mit dem Volke Gottes Ungemach ertragen, als einen augenblicklichen Genuß von der Sünde haben wollte4 , der schon aus angeborner Gerechtigkeitsliebe, noch ehe er mit der Führung des Volkes betraut war, und aus natürlichem Haß (gegen die Bosheit) die Missetäter bekanntlich bis auf den Tod verfolgte5, der von denen, die er mit Wohltaten überhäuft hatte, vertrieben, freudig die tobenden Ägypter verließ und sich nach Äthiopien begab, wo er, frei von allen sonstigen Beschäftigungen, volle vierzig Jahre der Betrachtung der Dinge oblag, der in einem Alter von achtzig Jahren Gott schaute, soweit ein Mensch ihn zu schauen vermag, ja so schaute, wie es keinem andern je beschieden war - nach dem Zeugnisse Gottes selbst, das lautet: „Ist unter euch ein Prophet des Herrn, sowerde ich in einemGesichtemich ihm offenbaren und imTraumezu ihm reden.",254,deutsch
8,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,4,"Nicht so ist es aber bei meinem Knechte Moses, der mir der Vertrauteste ist im ganzen Hause: Von Mund zu Mund rede ich mit ihm, offenbar und nicht in Rätseln6. Dieser (Moses) also, der gleich den Engeln der unmittelbaren Anschauung Gottes gewürdigt worden, erzählt uns, was er von Gott vernommen hat.",51,deutsch
9,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,5,"So wollen wir denn aufhorchen den Worten der Wahrheit, die „nicht in der Überredungskunst menschlicher Weisheit7 , sondern in der Lehrweise des Geistes gesprochen sind, und deren Zweck nicht das Lob seitens der Zuhörer ist, sondern das Heil derer, die belehrt werden.",42,deutsch
10,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,6,vgl. Pseudo-Justin in Cohort. Ad gent. c. 10 (de Otto II p. 48) mit Berufung auf Philo und Josephus,19,deutsch
11,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,1,„Im Anfange schuf Gott den Himmel und die Erde1. - Mir will die Zunge stocken vor Staunen ob dem Gedanken. Wovon soll ich zuerst sprechen? Womit meine Ausführungen beginnen? Soll ich die Hohlheit der Außenstehenden2nachweisen oder unsere Wahrheit preisen? Die griechischen Philosophen haben viel mit der Natur sich beschäftigt.,49,deutsch
12,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,2,"Doch stand bei ihnen auch nichteineAnsicht unumstößlich und unerschütterlich fest; vielmehr stieß immer wieder eine zweite Ansicht die erste um. Daher macht es uns keine Mühe, ihre Meinungen zu widerlegen; sie genügen einander selbst zu gegenseitiger Widerlegung. Da sie von Gott nichts wußten, wollten sie die Entstehung des Universums nicht von einer vernünftigen Ursache herleiten, sondern ließen sich entsprechend ihrer fundamentalen Unwissenheit zu (irrigen) Schlußfolgerungen verleiten.",66,deutsch
13,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,3,"So nahmen die einen zu materiellen Prinzipien ihre Zuflucht und verlegten die Ursache von allem Sein in die Elemente der Welt3. Die andern bildeten sich ein,Atome und unteilbare Körper, Stoffmassen und Bewegungen4begründen die Natur der sichtbaren Welt: Je nachdem die unteilbaren Körper bald miteinander zusammenkommen, bald einander ausscheiden5, komme es zu Neubildungen und Vernichtungen, und die stärkere Verflechtung6der Atome begründe die Haltbarkeit der dauerhafteren Körper.",65,deutsch
14,Basilius von Cäsarea,Homilien über das Hexaemeron,Homilien über das Hexaemeron,4,"Wahrhaftig, die so etwas schreiben, weben ein Spinnengewebe, da sie für Himmel, Erde und Meer so schwache und unhaltbare Anfänge annehmen. Sie wußten ja nicht zu sagen: „Im Anfange schuf Gott den Himmel und die Erde. So gaben sie in ihrem Atheismus sich der Täuschung hin, das Universum sei steuer- und ordnungslos, sei dem blinden Zufall überlassen.",57,deutsch
