id,author,work_title,title,section,text,word_count,language
1,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,1,"Nachdem in der „Einleitung den mit dem Lehramte Betrauten eingeschärft worden, ihres Amtes sowohl öffentlich als privat zu warten und den Lernenden keine Gelegenheit vorbei zu lassen, etwas Nützliches zu lernen, werden folgende Punkte abgehandelt:",35,deutsch
2,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,2,"1. Ist es erlaubt und zuträglich, ohne das Zeugniß der heiligen Schrift Etwas zu thun oder zu reden, was man für gut hält. 2. Wozu müssen sich Die bekennen, welche auf eine Gott wohlgefällige Weise mit einander leben wollen. 3. Wie ist der Sünder zu bekehren oder der Nichtbekehrte zu behandeln. 4.",52,deutsch
3,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,3,"Ist es unbarmherzig, auch wegen geringer Sünden die Brüder zur Buße aufzufordern. 5. Welche Buße soll für die einzelnen Sünden geschehen. 6. Was ist von Dem zu halten, der mit dem Munde Buße thut, aber die Sünde nicht ablegt. 7. Welches Gericht kommt über Die, welche die Sünder in Schutz nehmen. 8.",52,deutsch
4,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,4,Wie hat man sichgegen einen aufrichtig Büßenden zu erweisen. 9. Wie gegen einen unbußfertigen Sünder. 10. Mit wie großer Furcht und wie vielen Thränen soll eine durch viele Sünden unglückliche Seele von den Sünden ablassen. 11. Wie man die Sünde hassen soll. 12.,43,deutsch
5,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,5,"Wie die Seele sich überzeugen könne, Gott habe ihr die Sünden vergeben. 13. Ob der nach der Taufe in viele Sünden Gefallene an seinem Heile verzweifeln müsse, oder ob er nach dem Maße seiner Buße auf Gottes Güte hoffen dürfe. 14.",41,deutsch
6,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,6,"Nach welchen Früchten ist die wahre Buße zu beurtheilen. 15. Was heißt: „Wie oft soll ich meinem Bruder verzeihen? u. s. w. 116. Warum wird die Seele oft von selbst zerknirscht, und warum kann sie oft nicht einmal mit Gewalt dazu gebracht werden. 17.",44,deutsch
7,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,7,"Ist Jemand, der ans Essen denkt, sich dann aber darüber tadelt, der Ängstlichkeit anzuklagen. 18. Ist einem Sünder nach längerer Bußübung in der Brüderschaft ein Amt anzuvertrauen und welches. 19. Soll man auf Jemanden, der im Verdachte einer Sünde ist, Acht haben, damit die Sünde an den Tag komme. 20.",50,deutsch
8,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,8,"Soll ein Sünder die Gesellschaft Andersgläubiger sowohl als auch derer, die einen schlechten Lebenswandel führen, vermeiden. 21. Woher die Zerstreuung und die eiteln Gedanken entstehen, und wie ihnen zu begegnen. 22. Woher die unreinen Träume in der Nacht. 23. Welche Reden als unnütze verurtheilt werden. 24. Was ist Lästerung. 25. Was Verleumdung. 26.",53,deutsch
9,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,9,"Was verdient, wer einen Bruder verleumdet, oder den Verleumder anhört. 27. Wie sollen wir uns zu dem stellen, der den Vorgesetzten verleumdet. 28. Von Solchen, die kühn und ausgelassen antworten. 29. Wie man sich vom Zorne enthalten könne. 30. Wie die böse Begierlichkeit auszurotten ist. 31.",46,deutsch
10,Basilius von Cäsarea,Kurzgefasste Vorschriften,Die dreihundertzehn kurzgefaßten Regeln in Form von Frage und Antwort.,10,"Ob es überhaupt nicht erlaubt ist, zu lachen. 32. Woher die unzeitige und übermäßige Schlafsucht und wie zu vertreiben. 33. Woran erkennt man den Gefallsüchtigen. 34. Wie ist der Fehler der Gefallsucht zuvermeiden. 35. Woran erkennt man den Stolzen und wie wird er geheilt. 36.",45,deutsch
