id,author,work_title,title,section,text,word_count,language
1,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,1,"So vieles bestimmt mich, meine Jünglinge1, euch zu raten, was ich für das Beste halte, und was nach meiner Überzeugung euch nützen wird, wenn ihr darauf eingeht. Ich stehe ja in einem Alter, habe schon so viele Kämpfe durchgemacht und habe wahrhaftig genug die in allweg erzieherische Gunst und Mißgunst des Lebens erfahren, daß ich mich jetzt in den menschlichen Dingenauskenne und denen, die eben in das Leben eintreten, den sichersten Weg weisen kann.",74,deutsch
2,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,2,"Zudem komme ich dank unserer natürlichen Zusammengehörigkeit unmittelbar nach euren Eltern, so daß ich auch persönlich, kaum weniger Wohlwollen für euch habe als eure Väter2. Ich glaube aber auch, mich in euch nicht zu täuschen, wenn ich annehme, daß ihr jetzt nicht nach euren Eltern verlangt, wo ihr mich vor euch seht.",52,deutsch
3,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,3,"Wenn ihr nun meine Worte freudig aufnehmt, so werdet ihr zur zweiten Klasse der bei Hesiod Belobten gehören; wenn aber nicht, so möchte ich euch nichts Unangenehmes sagen, wohl aber sollt ihr selbst euch der bekannten Verse erinnern, in denen er sagt: „Der Beste ist der, der von sich aus weiß, was er zu tun hat; trefflich auch der der von andern sich belehren läßt; wer aber zum einen nicht taugt und nicht zum andern, der ist unnütz zu allem3.",80,deutsch
4,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,4,"παῖδες, eigentlich „Knaben , „die , wie es hernach heißt, „eben in das Leben [d. h. in die Welt] eintreten , nachdem sie zuvor zu Hause beaufsichtigt waren.",28,deutsch
5,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,5,"Die Ansprache galt also den Basilius nahestehenden jungen. Leuten [wohl einem kleineren Kreise], denen er auch im weitern Verlaufe des Lebens ratend zur Seite bleiben will. [Vgl. c. 8, Schluß.]",30,deutsch
6,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,6,Die Verse bei Hesiod [Opera et dies] von 293—297 lauten wörtlich: ουὗτος μὲν πανάριστος ὅς αὐτὸς πάντα νοήσῃ φρασσάμενος τά κ'ἒπειτα καὶ ἐς τέλος ᾒσιν ἀμείνω. ἐσθλὸς δ'αὖ κὰκεῖνος ὂς εὖ εἰπόντι πίθηται ὅς δέ κε μήτ αὐτὸς νοὲῃ μήτ ἄλλου ἀκούων. ἐν θεμῷ βάλληται ὁ δ αὖτ ἀχρήϊος ἀνήρ.,50,deutsch
7,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,1,"Wundert euch nicht, wenn ich behaupte, ich hätte für euch, die ihr doch täglich eure Lehrer besucht und mit den berühmtesten Männern des Altertums durch deren literarische Hinterlassenschaft in Fühlung steht, noch etwas Eigenes und besonders Wertvolles zu sagen. Eben das, was ich euch jetzt anraten will, ist [der Rat], ihr mögt doch nicht diesen Männern ein für allemal gleichsam Steuer und Segel eures Geistes anheimgeben und ihnen dahin folgen, wohin sie euch führen, vielmehr euch darüber klar werden, was neben dem Nützlichen, das ihr aus ihnen schöpft, bei ihnen auch zu übergehen, habt.",94,deutsch
8,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,2,"Was das ist, und wie wir es erkennen, das will ich nun eben an der Hand jener Schriftsteller zeigen.",19,deutsch
9,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,3,"Meine Jünglinge, wir halten dies irdische Menschenleben überhaupt für keinen Gewinn, wähnen und nennen durchaus kein Gut, was nur eine diesseitige Seligkeit bringt. Ahnenglanz, Körperstärke, Schönheit, Größe, allseitige Ehrung, selbst die Königswürde, kurz alles, was man menschlich groß nennen möchte, halten wir nicht einmal für begehrenswert, geschweige denn, daß wir ihre Besitzer anstaunen; wir gehen in unseren Hoffnungen weiter und tun alles zur Erlangung eines andern Lebens.",67,deutsch
10,Basilius von Cäsarea,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,Mahnwort an die Jugend über den nützlichen Gebrauch der heidnischen Literatur,4,"Was uns nach dieser Richtung hin förderlich ist, das muß man unseres Erachtens lieben und mit aller Kraft anstreben, aber als wertlos beiseite lassen, was nicht auf jenes Leben abzielt.",30,deutsch
