id,author,work_title,title,section,text,word_count,language
1,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,1,"In der Einleitung fordert er die versammelten Brüder auf, die Zurückgezogenheit zu benutzen, um für das Heil ihrer Seele zu sorgen, die Lauheit abzulegen und die Bekehrung nicht von einem Tage auf den andern zu verschieben, damit sie, wenn der Herr käme, nicht unvorbereitet gefunden würden.",46,deutsch
2,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,2,"Die Zeit der Buße ist auf diese Welt beschränkt, hier hilft Gott den sich Bekehrenden, hier zeigt er noch seine Langmuth, im Jenseits zeigt er sich nur als strenger und gerechter Richter. (1) Es genügt nicht, mit Worten nach dem Himmelreiche zu verlangen, sondern man muß sich keine Mühe um dasselbe verdrießen lassen.",53,deutsch
3,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,3,"Wer nicht säet, kann nicht ernten, wer keinen Weinberg pflanzt, keine Trauben lesen, wer nicht kämpft, keine Siegeskränze beanspruchen. Auch kommt es darauf an, daß wir so handeln, wie es der Herr geboten hat, und uns nicht damit begnügen, das eine oder andere Gebot zu erfüllen oder mit dem einen oder andern Talente zu wirthschaften, sondern wir müssen alle Gebote halten, alle Talente gebrauchen, wie denn der Herr auch geboten hat, Alles zu halten, was er befohlen.Eineböse That macht alle vorhergebrachten guten Thaten unnütz.",84,deutsch
4,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,4,"VonvielenKrankheiten frei sein nützt Nichts, wenn der Leib voneinerverzehrt wird. (2) Daß es Nichts nützt, das eineoder andere Gebot zu halten, zeigt das Beispiel des seligen Petrus, der trotz seiner vielen guten Werke keinen Theil am Herrn haben sollte, wenn er sich nicht waschen ließe.",45,deutsch
5,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,5,"Freilich heißt es: „Jeder, der den Namen des Herrn anruft, wird gerettet werden; aber es heißt auch: „Nicht ein Jeder, der zu mir sagt: Herr, Herr, wird in das Himmelreich eingehen. Auch arbeitet der, welcher den Willen des Herrn nicht so thut, wie Gott will, vergebens, er hat seinen Lohn dahin.",51,deutsch
6,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,6,"Auf dreifache Weise nun wird der Mensch zur Erfüllung der Gebote bewogen: entweder aus Furcht vor der Strafe, oder zur Erlangung des Lohnes, oder aus Liebe zum Gesetzgeber. Der Letzte aber wird allein selig gepriesen. (3) Um so mehr müssen alle Gebote gehalten werden, weil, wie die Schrift sagt, durch jede Übertretung Gott verunehrt wird.",55,deutsch
7,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,7,"Wer daher die Lüste des Lebens der Erfüllung der Gebote vorzieht, wird an den Freuden der Engel und Heiligen keinen Theil haben, Niemand wird Siegern und Nichtkämpfern gleiche Kränze zuerkennen, um so weniger der gerechte Gott, der Jedem nach seinen Werken vergilt.",42,deutsch
8,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,8,"Barmherzigkeit und Gerechtigkeit gehen bei ihm immer Hand in Hand. Seine Güte und Barmherzigkeit soll uns nicht zur Trägheit, sondern zur Buße führen; der Verstockte wird seinem Zorne nicht entgehen. Also alle Gebote Gottes muß der Mensch erfüllen, wenn er selig werden will; denn nur so kann er zur Vollkommenheit gelangen.",51,deutsch
9,Basilius von Cäsarea,Regeln in Frage und Antworten,1. Inhalt der Einleitung.,9,"Worin sich Jemand schwach fühlt, das möge er der gemeinsamen Berathung der Brüder vorlegen. Wie Basilius die Pflicht hat, das Evangelium zu verkündigen, so müssen die übrigen forschen und die Vorschriften mit Eifer beobachten, damit nicht Joh. 12, 48 und Luk. 12,  an ihnen erfüllt werde. (4)",47,deutsch
10,Basilius von Cäsarea,Regeln in Frage und Antworten,2. Inhalt der Regeln,1,"1. Ordnung und Reihenfolge der Gebote. 2. Liebe gegen Gott; der Mensch hat von Natur Neigung und Kraft,die Gebote zu erfüllen. 3. Nächstenliebe. 4. Furcht Gottes. 5. Beständigkeit des Geistes. 6. Nothwendigkeit, in Zurückgezogenheit zu leben. 7. Zusammenleben mit Gesinnungsgenossen; Gefahr des einsamen Lebens. 8. Entsagung. 9.",47,deutsch
11,Basilius von Cäsarea,Regeln in Frage und Antworten,2. Inhalt der Regeln,2,"Wer sich dem Herrn weiht, braucht sein Vermögen nicht den Verwandten zu überlassen. 10. Wie bei Aufnahme neuer Mitglieder zu verfahren. 11. Knechte. 12. Aufnahme Verheiratheter. 13. Stillschweigen. 14. Solche, welche ihre Gelübde nicht mehr halten wollen. 15. Aufnahme und Unterricht der Knaben; Gelübde der Keuschheit. 16. Enthaltsamkeit. 17. Enthalten vom Lachen. 18.",53,deutsch
12,Basilius von Cäsarea,Regeln in Frage und Antworten,2. Inhalt der Regeln,3,"Gleichgiltigkeit in Beziehung auf Speise. 19. Maß der Enthaltsamkeit. 20. Bewirthung der Gäste. 21. Benehmen bei den Mahlzeiten. 22. Kleidung. 23. Gürtel. 24. Zusammenleben. 25. Pflicht des Vorstehers, die Fehlenden zu strafen. 26. Selbst die geheimen Gedanken sind dem Vorsteher mitzutheilen. 27.",42,deutsch
13,Basilius von Cäsarea,Regeln in Frage und Antworten,2. Inhalt der Regeln,4,"Irrt der Vorsteher, so haben ihn die Vornehmsten der Brüder zu ermahnen. 28. Wie ein Ungehorsamer zu behandeln ist. 29. Wie ein Stolzer und Unzufriedener. 30. Gesinnung des Vorgesetzten bei der Sorge für die Brüder. 31. Den vom Vorgesetzten gegebenen Auftrag muß Jeder nachahmen. 32. Benehmen gegen Blutsverwandte. 33. Unterhaltung mit den Schwestern. 34. Ökonomen der Bruderschaft. 35.",58,deutsch
14,Basilius von Cäsarea,Regeln in Frage und Antworten,2. Inhalt der Regeln,5,"Ob in einem Dorfe mehrere Bruderschaften zugleich bestehen dürfen. 36. Aus der Bruderschaft Austretende. 37. Ob des Gebets wegen die Arbeiten vernachläßigt werden dürfen. 38. Welche Handarbeiten angemessen sind. 39. Verkauf der Arbeiten und Reisen. 40. Der Verkauf darf nicht stattfinden, wo die Menschen zur Verehrung der Martyrer zusammenkommen. 41. Befehl und Gehorsam. 42. Gesinnung bei der Arbeit. 43.",59,deutsch
15,Basilius von Cäsarea,Regeln in Frage und Antworten,2. Inhalt der Regeln,6,"Eigenschaften der Vorsteher und wie sie die Brüder leiten sollen. 44. Welchen die Reisen zu übergeben und wie sie nach ihrer Rückkehr zu fragen sind. 45. Stellvertreter des Vorstehers. 46. Niemand darf des Bruders, oder seine eigenen Sünden dem Vorsteher verbergen. 47.",42,deutsch
16,Basilius von Cäsarea,Regeln in Frage und Antworten,2. Inhalt der Regeln,7,Über die den Verordnungen des Vorstehers nicht Nachkommenden.. Über die Verwaltung des Vorstehers ist nicht vorwitzig nachzugrübeln. 49. Uneinigkeiten in der Bruderschaft. 50. Wie der Vorgesetzte strafen soll. 51. Wie das Vergehen zu bessern ist. 52. Wie die Strafen zu erdulden sind. 53.,43,deutsch
