id,author,work_title,title,section,text,word_count,language
1,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,1,"Wie der Soldat auf die Befehle des Feldherrn, so soll der Christ auf die Verordnungen unsers Königs Christus hören; wie ein Soldat sich um keine weltlichen Verhältnisse, weder um Wohnung, Kleidung noch sonstige Geschäfte kümmert, sich allerlei Strapazen und Gefahren unterzieht, dann aber auch, ist Alles überstanden, reichlich belohnt wird, (1) so soll der Streiter Christi auch im göttlichen Kriegsdienste verfahren.",61,deutsch
2,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,2,"Er soll nicht fleischliche Kinder suchen, sondern geistige für den Himmel, gegen den bösen Feind kämpfen, Anderen darin beistehen, die Trugschlüsse der Glaubensfeinde zerstören und ihnen einen unerschütterlichen Muth entgegenstellen im Vertrauen auf den siegreichen König Christus, der seine Treuen nicht zugrunde gehen läßt. (2) Den für ihn Gefallenen verleiht er die Herrlichkeit Gottes, die Gemeinschaft mit den Engeln, die Herrschaft über die Schöpfung, den auf der Welt muthig weiter Kämpfenden Ruhm und Ehre bei den Freunden.",77,deutsch
3,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,3,"Zu den Streitern Christi gehört auch das weibliche Geschlecht; die größten Heldinen unter ihnen sind die Jungfrauen und Martyrinen. Wegen der Belohnungen, die der Streiter Christi warten, sollen die Eltern ihre Kinder dazu erziehen, um Fürsprecher bei Christus zu haben, nicht kleinmüthig werden, wenn sie ihre Kinder leiden sehen, und sie dem Herrn freudig darbringen, der sie ihnen gegeben hat.",60,deutsch
4,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,1,"Wenn die göttliche Stimme uns ermahnt, zu Christus zu kommen, so ermahnt sie uns auch, die Last des Reichthums mit den daraus entstehenden Sünden abzuwerfen und uns dem kreuztragenden Leben der Mönche anzuschliessen. Niemand thue Dieß aber ohne Selbstprüfung und gewöhne sich vorher an Mühsale, damit er sich nicht lächerlich mache, wenn er es unerträglich findet, zur Welt zurückkehrt und Andern Ärgerniß gibt.",63,deutsch
5,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,2,"Auch spiegele sich ein Solcher nicht vor, er könne auch in der Welt Gott dienen. Denn wer in einem Leben von Geistessammlung den Feind nicht besiegen kann, wie wird er es in einem Leben können, welches überall Veranlassung zur Sünde gibt?",41,deutsch
6,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,3,"Aber gesetzt, er könnte ein tugendhaftes Leben führen, so bleibt doch immer auf ihm der Vorwurf, Christus verlassen zu haben. Weil nicht für Alle der jungfräuliche Stand paßt, so hat Gott neben diesem den Ehestand eingeführt, der aber nach dem Beispiele Abrahams gehalten werden und zu jedem Opfer, das der Herr fordert, bereit sein muß, wie Job, David, Samuel, Petrus und die übrigen Apostel. (1) Alle Mönche wie Verheirathete müssen dem Evangelium gehorsam sein.",74,deutsch
7,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,4,"Die Verheiratheten bedürfen größerer Anstrengung und Wachsamkeit, um das Heil zu erlangen, weil sie mehr zur Sünde gereizt werden und den Angriffen des bösen Feindes ausgesetzt sind. Wer diesen harten Kampf nicht übernehmen will, muß ein Leben wählen, wo er weniger Angriffen ausgesetzt ist, oder sich unterrichten lassen, wie er ihn bestehen kann.",53,deutsch
8,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,5,"Was ein Mitkämpfer Christi werden will, der schließe sich ohne Zagen den Mönchen an und lasse sich von seinen Verwandten nicht abhalten, da er statt jener mit Christus vereinigt wird. Er wähle sich einen tugendhaften, schriftkundigen, freigebigen und sanften Mann zum Führer und folge ihm mit voller Hingebung. (2) Der Widersacher sucht uns oft zu bereden, uns keinem solchen Manne anzuvertrauen, sondern einem ehrgeizigen und nachsichtsvollen.",66,deutsch
9,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,6,"Dieser gleicht aber einem blinden Führer, der sich und den er führt in s Verderben stürzt. Auch wird nicht, wer nicht gesetzmäßig kämpft, gekrönt. (3)Thue nichts wider den Willen eines guten Lehrers, den du dir gewählt hast. Was ohne sein Wissen und Wollen geschieht, ist gleichsam Diebstahl und Kirchenraub.",49,deutsch
10,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,7,"Wer die Kunst nicht versteht, Schlangen zu beschwören, der bleibe davon, oder er setzt sich der Gefahr aus, von ihnen gebissen zu werden. Der echte Mönch sucht weder die Wahrheit zu verdrehen noch seinen Bruder in Folge eigener Weichlichkeit zu beargwöhnen noch sich auf eine Weise das Leben zu erleichtern; denn wer es thut, läuft Gefahr abzufallen.",57,deutsch
11,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,8,"Der wahre Mönch hält sich für den Niedrigsten und Sündhaftesten und bemüht sich, der Diener Aller zu sein. Seine Ohren sind offen zum Hören, seine Hände bereit zur Arbeit, sein Mund schweigsam, sein Geist umsichtig, hört nicht aus eitles Gerede, dagegen aufmerksam auf die Lehren der göttlichen Schriften und die Reden heiliger Männer, ahmt den tugendhaften Vorgängern nach, ringt nach höheren Tugenden, ohne die niedrigeren zu versäumen, achtet kein Vergehen gering, richtet nicht über fremde Fehler und ist immer bußfertig. (4) Er flieht vor eiteln Menschen, geht nicht aus.",89,deutsch
12,Basilius von Cäsarea,Vorläufige ascetische Unterweisungen,Vorläufige ascetische Unterweisungen,9,"Das Verlassen der Zelle hat schon Manche in s Verderben gestürzt und, wo das nicht, sie mit Unlust erfüllt, die früheren Werke wieder aufzunehmen. Wer durch Umstände genöthigt wird, die Zelle zu verlassen, der waffne sich mit der Furcht Gottes und der Liebe Christi und kehre nach Verrichtung des Geschäfts sofort zurück.",52,deutsch
