id,author,work_title,title,section,text,word_count,language
1,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,1,"Lausche, mein Sohn, den Lehren des Meisters, neige das Ohr deines Herzens2, nimm willig hin die Mahnung deines liebreichen Vaters und erfüll' sie im Werke, damit du in der Mühsal des Gehorsams heimkehrest zu dem, den du in der Trägheit des Ungehorsams verlassen hattest.",44,deutsch
2,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,2,"An dich richtet sich also jetzt mein Wort3, der du dem Eigenwillen entsagst, und die herrlichen Heldenwaffen4des Gehorsams ergreifst, um für Christus den Herrn, den wahren König, zu streiten.",29,deutsch
3,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,3,"Zuerst: beginnst du irgendein gutes Werk, so erflehe von ihm in inständigem Gebet, er mög' es vollbringen; sonst könnte er sich ob unserer bösen Werke einmal betrüben müssen, er, der uns in Huld schon in die Zahl der Söhne aufgenommen hat.",41,deutsch
4,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,4,"Denn wegen der uns verliehenen Gaben müssen wir ihm jederzeit so gehorchen, daß er weder als erzürnter Vater seine Kinder jemals enterbe, noch als gestrenger Herr ergrimmt ob unserer Sünden und als nichtswürdige Knechte die der ewigen Pein überliefere, die ihm zur Herrlichkeit nicht folgen wollten.",46,deutsch
5,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,5,"Drum wollen wir uns endlich einmal erheben; denndie Schrift weckt uns auf mit den Worten: „Schon ist die Stunde da, vom Schlafe aufzustehen 5. Öffnen wir also unser Auge dem göttlichen Licht und vernehmen wir mit aufmerksamem Ohr, was Gottes Stimme täglich uns mahnend zuruft: „Heute, wenn ihr seine Stimme höret, verhärtet eure Herzen nicht 6, und wiederum: „Wer Ohren hat zu hören, der höre, was der Geist zu den Gemeinden spricht 7.",73,deutsch
6,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,6,"Und was sagt er? „Kommet Kinder, höret mich, die Furcht des Herrn will ich euch lehren 8. „Lauft, solang ihr das Licht des Lebens habt, damit die Finsternisse des Todes euch nicht überraschen 9.",34,deutsch
7,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,7,"In der Menge des Volkes, dem der Herr diese Worte zuruft, sucht er nun seinen Arbeiter und spricht deshalb abermals: „Wer ist der Mann, so Lust am Leben hat und gerne gute Tage sieht? 10Vernimmst du diese Frage und gibst du zur Antwort: Ich bin es, so spricht Gott zu dir: „Willst du wahres und ewiges Leben besitzen, dann bewahr vor Bösem deine Zunge und deine Lippen vor trugvoller Rede.",70,deutsch
8,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,8,"Kehr dich ab vom Bösen und tu Gutes, trachte nach Frieden und jag ihm nach 11. Und habt ihr also gehandelt, dann sind meine Augen über euch und meine Ohren eurem Flehen nah12. Noch eh' ihr mich anruft, will ich zu euch sprechen: „Seht, hier bin ich 13.",48,deutsch
9,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,9,"Geliebteste Brüder, was gäbe es Lieblicheres für uns als diese Stimme, mit der uns der Herr einlädt? Seht, in seiner väterlichen Liebe zeigt uns der Herr den Weg des Lebens14.",30,deutsch
10,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,10,"Umgürten wir daher unsere Lenden mit Glauben und Eifer in guten Werken und wandeln wir unter derLeitung des Evangeliums15seine Pfade, damit wir würdig werden, den zu schauen, „der uns in sein Reich berufen hat 16. Wollen wir in diesem Königszelte wohnen: unmöglich gelangt man dorthin, außer man eilt auf dem Pfade der guten Werke.",54,deutsch
11,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,11,"Fragen wir nun den Herrn mit dem Propheten: „Herr, wer darf wohnen in Deinem Gezelte, wer ruhen auf Deinem heiligen Berge? 17Vernehmen wir, meine Brüder, nach dieser Frage die Antwort des Herrn, der uns den Weg zu seinem Gezelte weist mit den Worten: „Wer makellos wandelt und Gerechtigkeit übt, wer Wahrheit spricht in seinem Herzen, wer keinen Trug übt mit der Zunge, wer nicht Übles tut seinem Nächsten, wer nicht Schmähreden anhört wider den andern 18.",76,deutsch
12,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,12,"Wer den bösen Feind, naht er mit einer Versuchung, mitsamt seiner Einflüsterung vom Angesicht seines Herzens stößt und zunichte macht19, wer dessen Brut, die Gedanken packt und an Christus zerschmettert20. In der Furcht des Herrn erheben sie sich nicht ob ihres guten Wandels; was an ihnen Gutes ist, schreiben sie vielmehr nicht ihrem eigenen Vermögen, sondern dem Herrn zu und preisen Gott, der in ihnen wirksam ist, indem sie mit dem Propheten sprechen: „Nicht uns, o Herr, nicht uns, sondern Deinem Namen gib die Ehre 21.",86,deutsch
13,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,13,"So tat sich ja auch der Apostel Paulus nicht etwas auf seine Predigt zugut, sondern sagt: „Durch Gottes Gnade bin ich, was ich bin 22. Und abermals: „Wer sich rühmen will, rühme sich im Herrn 23. Deshalb sagt auch der Herr im Evangelium: „Wer diese meine Worte hört und sie befolgt, den vergleiche ich mit einem weisen Manne, der sein Haus auf Felsen gebaut hat.",65,deutsch
14,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,14,"Fluten wälzten sich daher, Stürme brausten und tobten gegen jenes Haus,allein es fiel nicht zusammen, auf Felsen war es ja gegründet 24. So spricht der Herr und erwartet nun von uns, daß wir Tag für Tag diesen seinen heiligen Mahnungen mit der Tat entsprechen.",44,deutsch
15,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,15,"Deshalb gewährt er uns zur Besserung unserer Fehler noch Gnadenfrist in diesem Leben, wie der Apostel sagt: „Weißt du nicht, daß Gottes Langmut dich zur Buße führen will? 25Mit väterlicher Güte spricht ja der Herr: „Nicht den Tod des Sünders will ich, sondern daß er sich bekehre und lebe 26.",50,deutsch
16,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,16,"Brüder, wir haben nun den Herrn darüber befragt, wer in seinem Zelte wohnen dürfe, und haben vernommen, was verlangt wird, dort zu wohnen. Ja, dort werden wir sein, aber nur wenn wir die Pflichten eines Bewohners erfüllen. Leib und Seele müssen wir deshalb dienstbereit halten zum heiligen Gehorsam gegen die Gebote.",51,deutsch
17,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,17,"Soweit aber unsere eigene Kraft nicht ausreicht, wollen wir zum Herrn flehen, daß er uns den Beistand seiner Gnade gewähren wolle. Und wenn wir den Peinen der Hölle entkommen und zum ewigen Leben gelangen wollen, dann müssen wir jetzt eilen und so wirken, wie es uns für die Ewigkeit frommt, jetzt, solange es noch Zeit ist, solang wir im Fleische wandeln, und all das in diesem Erdenleben noch vollbringen können.",70,deutsch
18,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,18,"Es ist also unsere Aufgabe, eine Schule für den Dienst des Herrn27einzurichten. Wir hoffen, dabei nicht Hartes, nicht Drückendes zu verordnen. Sollte aber doch zur Ausrottung der Fehler oder Bewahrung der Liebe die Billigkeit es erheischen, etwas mehr Strengein Anwendung zu bringen, dann sollst du nicht gleich voll Schrecken den Weg des Heiles verlassen, der am Anfang nicht anders als eng sein kann28.",63,deutsch
19,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,19,"Schreitet man aber im klösterlichen Wandel und im Glauben29voran und erweitert sich so das Herz30, dann eilt man in unaussprechlicher Süßigkeit der Liebe den Weg der Gebote Gottes. Dann entziehen wir uns auch nie mehr seiner Leitung, verharren in seiner Lehre bis zum Tod im Kloster, haben durch Geduld Anteil am Leiden Christi und verdienen damit auch, Genossen seiner Herrschaft zu werden31.",62,deutsch
20,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,20,"Im Vorwort handelt der heilige Benedikt ohne scharf gegliederten Fortschritt der Gedanken über den Zweck der Regel, wie überhaupt die Aufgabe des klösterlichen Lebens. Er kleidet seine Gedanken besonders in die Bilder der Wanderung auf dem Wege des Heiles und des Kriegsdienstes.",42,deutsch
21,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,21,"Den Ideengang im einzelnen sucht E. Schmidt festzustellen in Stud. u. Mitteilungen 4 [1883] 1, 1—23 u. 24 [1903] 18—33. Betrachtungen über den Prolog enthält Chr. Stelzer. Das Leben der Vollkommenheit [Freiburg 1911].",33,deutsch
22,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,22,Die Bilder vom Kriegsdienst werden im Altertum sehr häufig auf das aszetische und monastische Leben angewendet.,16,deutsch
23,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,23,Zu den beiden letzten Abschnitten Vgl. August. Ennar. in Psalmos 16—18.,11,deutsch
24,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,24,"Dominici schola servitii, der Ausdruck findet sich ähnlich beim hl. Basilius [Reg. fus. tract. 2]; der heilige Benedikt hat ihn wohl gewählt mit Anlehnung an die spätrömischen Berufskorporationen, die eine bestimmte Werkstätte [officina] und ihre eigene schola, Übungsstätte, Berufsschule hatten; näherhin denkt S.",43,deutsch
25,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,25,"Benedikt vielleicht an die dem Heere zugeordneten Korporationen, vgl. Rothenhäusler, Zur Aufnahmeordnung der Regula S. Benedicti [Beiträge z. Gesch. des alten Mönchtums 3 I, Münster 1912] 37 f. Anm.",29,deutsch
26,Benedikt von Nursia,Die Regel des Hl. Benedikt,Es hebt an der Prolog1der Mönchsregel.,26,"Dieser Ausdruck ist wohl aus Cassian Coll. III, 15 entlehnt.",10,deutsch
27,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,1,"Regel heißt sie deshalb, weil sie den Wandel derer regeln soll, die sie befolgen.",14,deutsch
28,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,2,"Es gibt bekanntlich vier Gattungen von Mönchen1, Die erste ist die der Zönobiten, das heißt jener, die in einem Kloster unter Regel und Abt Gott dienen2.",26,deutsch
29,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,3,"Die zweite Gattung ist die der Anachoreten oder Eremiten, jener nämlich, die diesen Beruf nicht im Neulingseifer für das klösterliche Leben, sondern nach langer Bewährung im Kloster erwählt haben. Sie haben durch die Beihilfe vieler gelernt, gegen den Teufel zu streiten, treten nun wohlgerüstet aus der Reihe der Brüder zum Einzelkampfe in die Einöde hinaus und haben Kraftgenug, unter Gottes Schutz, voll Zuversicht, auch ohne tröstliches Beispiel anderer, mit eigenem Arm und eigener Faust allein gegen die Verderbnis von Fleisch und Sinn zu kämpfen3.",84,deutsch
30,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,4,"Eine dritte ganz schlimme Gattung von Mönchen ist die der Sarabaiten4. Wie die Erfahrung lehrt, sind sie nicht wie Gold im Feuerofen durch das Leben nach einer Regel bewährt, sondern so weich wie Blei, und in ihrer Lebensart immer noch der Welt ergeben, belügen sie offenkundig Gott mit ihrer Tonsur.",50,deutsch
31,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,5,"Zu zweien oder dreien, oder auch wohl allein leben sie hirtenlos dahin in der eigenen Hürde, nicht in der des Herrn. Ihr Begehren und Behagen gilt ihnen als Gesetz; denn was sie meinen und was sie wollen, das nennen sie heilig, was sie nicht mögen, das halten sie für unerlaubt5.",50,deutsch
32,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,6,"Die vierte Gattung von Mönchen heißt die der Gyrovagen. Diese ziehen ihr Leben lang im Lande umher und bleiben drei oder vier Tage in den einzelnen Klöstern zu Gast, immer unbeständig6, niemals seßhaft, Sklaven ihrer Launen und der Gaumenlust, in allweg noch schlimmer als die Sarabaiten.",46,deutsch
33,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,7,"Allein es ist besser, von dem jämmerlichen Wandel all dieser zu schweigen als davon zu reden7.",16,deutsch
34,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,8,"Lassen wir sie also und gehen wir daran8, mit Gottes Hilfe dem starken Geschlechte der Zönobiten eine feste Ordnung zu geben.",21,deutsch
35,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,9,"In der Einteilung und Schilderung der Mönchsarten schließt ßich der heilige Benedikt zum Teil wörtlich an Hier. Ep. 22, 84 s. und Cassian Coll. XVIII, 4—7 an.",27,deutsch
36,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,10,Über das Leben des Einsiedlers in seinem Verhältnis zum gemeinsamen Leben im Kloster nach alter Auffassung s. Rothenhäusler a. a. 0. —66.,22,deutsch
37,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,11,"Nach Cassian ein ägyptisches Wort, Hieronymus nennt sie Remoboth, vgl. Schiwietz, Das morgenländische Mönchtum I [Mainz 1904] 238 f.",19,deutsch
38,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,12,"Melius est silere quam loqui, geflügeltes, wohl aus Sallust. Bell. Jug. 19 stammendes Wort.",14,deutsch
39,Benedikt von Nursia,Die Regel des Hl. Benedikt,I. KAPITEL. Von den Gattungen der Mönche.,13,"Hier lehnt sich S. Benedikt im Wortlaut wohl an Hier. Ep. 22, 85 an.",14,deutsch
40,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,1,"Ein Abt,1der würdig sein will, einem Kloster vorzustehen, soll immer des Namens eingedenk sein, den er trägt, und muß durch sein Verhalten den Titel eines Obern wahrmachen. Denn der Glaube sieht in ihm den Stellvertreter Christi im Kloster; redet man ihn doch mit dessen Beinamen an, da der Apostel sagt: „Ihr habt den Geist der Kindschaft Gottes empfangen, in dem wir rufen: Abba, Vater 2.",65,deutsch
41,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,2,"Deshalb darf der Abt nichts lehren, anordnen oder befehlen, was den Vorschriften Gottes zuwider ist3; sein Geheiß und seine Unterweisung sollen vielmehr wie ein Sauerteig der göttlichen Gerechtigkeit in die Herzen der Jünger dringen. Der Abt denke immer daran, daß beim furchtbaren Gerichte Gottes sowohl seine Unterweisung als auch der Gehorsam seiner Jünger in Untersuchung gezogen wird.",57,deutsch
42,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,3,"Auch wisse der Abt, daß es dem Hirten als Schuld angerechnet wird, falls der Hausvater an den Schafen zu wenig Nutzen finden kann. Ebenso wird aber auch derselbe Hirt, wenn er einer unruhigen und widerspenstigen Herde alle Hirtensorge zugewendet und ihrem verderbten Wandel alle Heilkunst hat angedeihen lassen, einmal beim Gericht des Herrn schuldlos befunden und kann dann mit dem Propheten zu Gott sprechen: „Deine Gerechtigkeit verbarg ich nicht im Herzen, verkündeteDeine Treue und Dein Heil 4; „sie aber hatten nur Verachtung für mich 5.",85,deutsch
43,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,4,"Und dann mögen schließlich die ihm anvertrauten, unfolgsamen Schafe zur Strafe der Macht des Todes anheimfallen.",16,deutsch
44,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,5,"Wer also die Würde des Abtes übernommen hat, muß seinen Schülern mit doppelter Belehrung vorangehen, das heißt, mehr noch durch Beispiel als durch Worte über alles Gute und Heilige sie belehren. Die verständigeren Jünger unterweise er demnach in den Geboten des Herrn mit Worten, den weniger Empfänglichen und Beschränkteren aber veranschauliche er die Vorschriften Gottes durch sein Beispiel.",58,deutsch
45,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,6,"Was er seine Jünger meiden lehrt, das lasse er auch in seinem Verhalten als unstatthaft erkennen, sonst könnte er, während er anderen predigt, selbst als verworfen erfunden werden6und könnte Gott dereinst zu ihm, dem Sünder, sprechen: „Warum zählst du meine Satzungen her und führst meine Worte in deinem Mund; du selbst hassest ja die Zucht und wirfst meine Worte hinter dich 7und „der du im Auge deines Bruders den Splitter sähest, hast in deinem eigenen den Balken übersehen 8.",79,deutsch
46,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,7,"Er mache im Kloster keinen Unterschied der Person; den einen liebe er nicht mehr als den anderen, außer er findet bei einem einen höheren Grad von Tugend und Gehorsam. Einem Freigeborenen darf kein Vorrang eingeräumt werden vor dem, der aus unfreiem Stande ins Kloster kommt9, falls nicht sonst ein vernünftiger Grund vorliegt.",52,deutsch
47,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,8,"Findet es der Abt aus Gründen der Billigkeit für gut, dann mag er die Rangordnung eines jeden in dieser Weise regeln. Liegt ein solcher Grundnicht vor, so bleibe jeder an dem ihm zukommenden Platze10; denn ob unfrei oder frei, in Christus sind wir alle eins11und leisten unter einem Herrn den gleichen Kriegsdienst. „Bei Gott gibt es ja kein Ansehen der Person 12.",62,deutsch
48,Benedikt von Nursia,Die Regel des Hl. Benedikt,II. KAPITEL. Wie der Abt sein soll.,9,"Nur eines zeichnet uns in seinen Augen aus, wenn wir nämlich reicher an Verdiensten als andere und demütig erfunden werden. Darum schenke der Abt allen die gleiche Liebe, allen lasse er, wie sie es verdienen, die gleiche Behandlung zuteil werden13.",40,deutsch
